DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,2,10,22.82,21.37,16.8,0.768,9.08,19,13
JUL,2,11,31.24,21.74,15.54,0.794,7.06,29,16
JUL,2,12,36.41,22.77,14.06,0.823,6.4,30,17
JUL,2,13,40.86,24.33,12.43,0.88,7.68,29,17
JUL,2,14,46.89,27.7,11.6,0.933,5.59,31,24
JUL,2,15,50.45,32.29,11.05,0.927,5.39,29,27
JUL,2,16,49.59,36.83,10.78,0.898,4.91,28,24
JUL,2,17,51.85,41.26,10.86,0.845,3.31,27,24
JUL,2,18,46.77,44.26,10.78,0.831,5.97,25,20
JUL,2,19,44.33,45.89,10.7,0.822,6.41,30,19
JUL,2,20,40.15,46.36,10.64,0.838,17.05,51,18
JUL,2,21,31.45,45.19,10.95,0.786,6.11,65,19
JUL,2,22,36.18,43.85,10.3,0.724,5.28,47,20
JUL,2,23,34.58,41.86,9.21,0.691,4.57,35,20
JUL,3,0,17.26,37.82,11.67,0.678,7.75,33,18
JUL,3,1,15.93,33.33,12.93,0.693,6.42,32,17
JUL,3,2,4.6,28.06,15.89,0.702,11.69,41,20
JUL,3,3,12.48,24.08,16.47,0.714,6.63,44,26
JUL,3,4,19.4,21.48,16.58,0.66,2.57,40,24
JUL,3,5,18.63,19.88,16.65,0.646,4.14,36,20
JUL,3,6,16.32,17.4,17.5,0.658,6.39,37,16
JUL,3,7,8.45,14.13,17.61,0.674,13.2,44,19
JUL,3,8,20.39,14.53,18.07,0.704,5.38,39,21
JUL,3,9,29.25,16.19,19.45,0.711,1.6,37,21
JUL,3,10,30.03,19.37,20.83,0.69,3.56,38,21
JUL,3,11,38.2,22.58,21.69,0.676,3.59,42,26
JUL,3,12,46.57,25.98,22.03,0.695,3.91,43,26
JUL,3,13,54.3,30.44,22.04,0.713,4.04,43,26
JUL,3,14,56.6,35.47,21.19,0.708,4.56,43,25
JUL,3,15,57.65,41.62,20.62,0.696,3.25,35,22
JUL,3,16,54.47,45.88,20.53,0.67,3.99,28,18
JUL,3,17,55.65,49.18,20.61,0.671,2.93,22,17
JUL,3,18,55.37,52.35,20.65,0.673,NA,96,15
JUL,3,19,38.1,52.34,20.68,0.67,4.05,170,14
JUL,3,20,24.27,49.55,20.92,0.704,12.47,169,12
JUL,3,21,21.86,45.5,20.61,0.693,7.2,124,15
JUL,3,22,25.54,41.62,20.58,0.67,1.67,77,16
JUL,3,23,16.4,36.46,21.43,0.682,7.25,53,15
JUL,4,0,15.37,31.57,21.3,0.688,6.34,46,21
JUL,4,1,15.52,26.55,20.19,0.649,5.9,40,20
JUL,4,2,17,21.76,17.25,0.632,5.42,32,18
JUL,4,3,21.75,19.71,16.67,0.61,0.38,27,16
JUL,4,4,23.27,19.59,16.57,0.554,NA,25,15
JUL,4,5,16.5,18.92,16.97,0.554,5.44,23,14
JUL,4,6,10,16.98,16.9,0.562,9.09,24,15
JUL,4,7,3.36,15.35,18.05,0.573,15.07,28,17
JUL,4,8,7.77,14.4,18.62,0.6,13.75,35,22
JUL,4,9,20.22,14.98,18.89,0.628,6.5,37,24
JUL,4,10,26.47,16.17,17.7,0.646,2.79,35,25
JUL,4,11,35.8,17.92,17,0.659,2,29,22
JUL,4,12,41.67,20.22,16.66,0.673,2.21,25,16
JUL,4,13,44.37,23.71,16.42,0.678,3.01,28,16
JUL,4,14,48.71,28.55,16.33,0.688,4.34,25,15
JUL,4,15,51.93,34.62,16.28,0.662,3.16,21,14
JUL,4,16,57.28,40.81,16.2,0.623,2.9,20,14
JUL,4,17,59.67,45.74,16.04,0.607,3.18,19,15
JUL,4,18,58.51,49.74,16.22,0.616,1.92,19,16
JUL,4,19,38.46,50.08,16.18,0.623,7.65,22,12
JUL,4,20,35.31,49.28,15.92,0.621,4.62,22,11
JUL,4,21,28.12,47.25,15.85,0.626,6.84,20,13
JUL,4,22,26.12,44.43,16.35,0.689,3.86,21,13
JUL,4,23,26.85,41.29,15.88,0.68,3.01,19,13
JUL,5,0,25.71,37.34,13.58,0.676,5.27,21,12
JUL,5,1,30.58,33.71,13.41,0.665,6.97,21,13
JUL,5,2,30.5,30.21,13.4,0.645,5.39,19,14
JUL,5,3,21.99,28.15,13.42,0.633,9.63,18,12
JUL,5,4,6.98,24.61,13.49,0.631,18.01,15,11
JUL,5,5,6.24,21.87,13.16,0.619,15.48,16,11
JUL,5,6,2.38,18.9,12.53,0.548,18.71,17,12
JUL,5,7,3.53,15.99,11.44,0.562,15.75,19,12
JUL,5,8,7.25,13.68,12.06,0.572,12.74,19,12
JUL,5,9,12.77,11.45,10.84,0.584,8.56,20,15
JUL,5,10,27.38,11.07,10.61,0.592,1.89,20,15
JUL,5,11,33.48,12.5,10.45,0.596,2.19,19,17
JUL,5,12,39.92,16.62,10.53,0.6,1.69,18,14
JUL,5,13,46.59,21.66,10.85,0.616,4.48,18,15
JUL,5,14,56.85,28.47,11.32,0.633,3.51,20,17
JUL,5,15,51.02,34.41,11.66,0.635,3.37,18,20
JUL,5,16,53.48,40.19,12.14,0.648,3.91,15,18
JUL,5,17,57.01,45.72,12.23,0.66,5.09,17,18
JUL,5,18,55.77,49.27,12.14,0.674,5.74,19,15
JUL,5,19,44.91,50.69,12.19,0.686,6.2,25,16
JUL,5,20,37.09,50.34,12.23,0.696,6.79,25,16
JUL,5,21,32.55,48.58,12.29,0.699,9.05,26,17
JUL,5,22,23.75,44.45,11.88,0.685,8.93,24,17
JUL,5,23,22.8,40.92,11.39,0.669,10.67,19,13
JUL,6,0,29.66,37.94,11.17,0.638,8.21,15,11
JUL,6,1,20.9,33.43,11.16,0.612,13.27,19,10
JUL,6,2,22.56,29.28,11.17,0.588,10.95,17,9
JUL,6,3,21.09,26.3,11.17,0.569,9.46,14,8
JUL,6,4,10.37,22.96,11.14,0.55,12.33,15,8
JUL,6,5,3.1,19.28,11.08,0.532,22.18,16,9
JUL,6,6,2.52,16.62,10.97,0.536,19.44,14,10
JUL,6,7,2.63,14.1,10.82,0.568,22.64,19,10
JUL,6,8,3.68,10.86,9.34,0.614,19.54,25,10
JUL,6,9,12.26,9.78,9.23,0.651,13.82,31,11
JUL,6,10,23.5,9.89,9.3,0.706,12.48,30,13
JUL,6,11,36.94,11.88,9.33,0.741,8.09,27,8
JUL,6,12,50.99,16.95,9.35,0.774,8.64,29,8
JUL,6,13,55.13,23.46,9.09,0.797,6.32,28,21
JUL,6,14,66.65,31.47,8.84,0.81,4.91,26,22
JUL,6,15,72.65,40.22,8.88,0.811,6.29,26,24
JUL,6,16,73.39,48.94,8.66,0.792,5.17,27,29
JUL,6,17,77.46,57.09,8.74,0.785,5.28,28,24
JUL,6,18,78.3,63.94,8.81,0.758,5.85,28,22
JUL,6,19,74.42,68.62,9.06,0.759,8.44,28,20
JUL,6,20,61.09,69.89,9.19,0.774,13.59,35,20
JUL,6,21,33.43,67.17,9.22,0.774,27.32,35,20
JUL,6,22,28.43,62.4,9.47,0.803,10.03,31,17
JUL,6,23,18.86,55.67,10.95,0.784,8.67,29,17
JUL,7,0,31.77,50.47,11.03,0.756,3.77,28,17
JUL,7,1,34.12,45.05,10.98,0.722,2.17,21,12
JUL,7,2,35.66,39.72,10.92,0.688,2.54,15,10
JUL,7,3,35.56,34.86,10.87,0.647,2.31,11,10
JUL,7,4,32.4,31.28,10.8,0.595,2.92,9,9
JUL,7,5,29.69,30.81,10.7,0.564,3.38,7,9
JUL,7,6,24.02,30.26,10.66,0.509,5.56,10,9
JUL,7,7,17.1,30.04,10.63,0.507,10.43,10,8
JUL,7,8,14.84,27.92,10.67,0.532,11.11,15,7
JUL,7,9,22.89,26.52,10.37,0.558,6.49,14,11
JUL,7,10,32.58,26.14,10.32,0.577,3.95,12,8
JUL,7,11,35.16,26.09,10.16,0.593,4.32,16,8
JUL,7,12,38.93,26.9,9.8,0.611,3.65,15,10
JUL,7,13,42.1,28.45,9.88,0.619,1.78,16,10
JUL,7,14,41.32,30.62,9.82,0.632,2.93,14,10
JUL,7,15,47.16,34.37,9.57,0.626,4.31,11,9
JUL,7,16,50.44,38.82,9.39,0.616,4.39,11,9
JUL,7,17,51.04,42.34,8.78,0.611,3.92,14,9
JUL,7,18,53.71,44.98,8.27,0.608,4.08,15,13
JUL,7,19,48.97,46.71,8.18,0.601,4.87,40,11
JUL,7,20,41.36,47.01,7.79,0.595,6.34,44,17
JUL,7,21,37.38,46.42,8.11,0.592,5.54,30,16
JUL,7,22,28.74,44.85,9.54,0.582,9.68,27,15
JUL,7,23,32.57,43.03,8.23,0.572,5.27,26,22
JUL,8,0,35.97,41.22,7.95,0.557,3.84,16,15
JUL,8,1,33.75,39.06,7.73,0.539,3.99,11,11
JUL,8,2,26.07,35.6,8.19,0.527,7.68,12,9
JUL,8,3,28.4,33.03,9.29,0.528,5.82,10,10
JUL,8,4,27.36,31.28,9.25,0.527,5.7,13,10
JUL,8,5,13.46,28.29,9.16,0.532,7.37,17,10
JUL,8,6,11.51,26.14,8.99,0.539,14.98,17,13
JUL,8,7,12.31,23.6,8.77,0.572,16.07,14,11
JUL,8,8,11.58,20.56,8.32,0.613,14.21,15,11
JUL,8,9,17.06,18.47,8.13,0.644,7.08,14,13
JUL,8,10,19.77,17.68,7.84,0.659,3.52,12,13
JUL,8,11,23.81,17.11,7.81,0.669,4.46,11,NA
JUL,8,12,29.25,17.34,7.91,0.682,3.72,13,NA
JUL,8,13,31.48,19.6,7.63,0.688,4.25,125,16
JUL,8,14,27.86,21.64,7.38,0.705,4.79,309,13
JUL,8,15,26.96,23.47,7.13,0.698,4.27,211,11
JUL,8,16,21.89,24.76,6.91,0.698,7.27,141,11
JUL,8,17,19.72,25.09,6.93,0.705,5.99,81,11
JUL,8,18,7.02,23.5,7,0.764,9.53,53,13
JUL,8,19,7.17,21.42,6.62,0.803,8.18,29,9
JUL,8,20,10.18,19.04,6.65,0.812,5.71,18,9
JUL,8,21,8.61,16.18,6.16,0.817,5.66,18,9
JUL,8,22,8.43,13.75,4.46,0.798,5.22,13,5
JUL,8,23,11.52,11.82,3.88,0.772,3.67,10,4
JUL,9,0,8.41,NA,6.32,NA,5.97,NA,NA
JUL,9,1,7.39,NA,10.84,NA,4.79,25,12
JUL,9,2,11.02,NA,14.68,NA,3.18,13,13
JUL,9,3,10.32,NA,14.3,NA,2.65,10,11
JUL,9,4,10.9,NA,15.07,NA,2.84,5,7
JUL,9,5,8.93,9.5,15.45,0.55,4.98,4,6
JUL,9,6,6.34,9.35,13.42,0.547,5.93,6,6
JUL,9,7,2.78,8.26,13.72,0.566,9.63,10,7
JUL,9,8,3.79,7.68,13.93,0.589,8.56,15,11
JUL,9,9,6.32,7.55,14.03,0.597,7.32,16,11
JUL,9,10,9.47,7.36,14.18,0.608,6.24,15,11
JUL,9,11,11.53,7.51,15.02,0.633,5.86,20,10
JUL,9,12,16.69,8.23,15.94,0.72,4.38,16,14
JUL,9,13,25.69,10.33,17.63,0.796,5.62,19,12
JUL,9,14,29.37,13.21,18.1,0.821,2.64,93,15
JUL,9,15,25.22,16.01,18.31,0.819,2.47,72,15
JUL,9,16,18.26,17.82,18.38,0.808,2.97,40,14
JUL,9,17,14.99,18.9,18.46,0.795,4.16,29,12
JUL,9,18,15.86,19.7,18.67,0.797,6.29,19,10
JUL,9,19,21.71,20.97,18.89,0.807,5.45,23,8
JUL,9,20,20.82,21.49,18.93,0.746,4.75,21,6
JUL,9,21,19.65,20.74,18.94,0.678,2.63,19,6
JUL,9,22,20.98,19.69,19.01,0.652,3.15,14,7
JUL,9,23,26.4,19.83,19.05,0.636,4.53,10,8
JUL,10,0,20.93,20.17,17.37,0.623,5.15,8,7
JUL,10,1,29.57,21.99,13.63,0.608,3.11,8,7
JUL,10,2,27.07,23.39,9.91,0.578,5.73,7,7
JUL,10,3,24.1,23.69,9.16,0.541,5.72,7,9
JUL,10,4,16.53,23.15,8.41,0.516,8.61,7,8
JUL,10,5,15.74,22.66,8.03,0.509,7.19,8,7
JUL,10,6,10.47,21.35,7.78,0.514,11.42,9,9
JUL,10,7,3.59,18.5,7.54,0.539,17.48,11,9
JUL,10,8,8.18,16.91,8.08,0.584,15.27,21,14
JUL,10,9,16.07,15.22,8.41,0.629,11.31,21,24
JUL,10,10,26.58,15.16,9.61,0.686,13.38,25,17
JUL,10,11,46.4,17.94,11,0.788,9.64,38,26
JUL,10,12,46.05,21.64,10.77,0.854,3.81,27,28
JUL,10,13,55.18,26.57,10.22,0.942,5.76,19,19
JUL,10,14,53.33,31.92,10.91,1.001,5.65,17,15
JUL,10,15,51.43,37.9,11.51,1.022,3.3,14,17
JUL,10,16,49.84,43.11,11.76,0.983,3.33,13,16
JUL,10,17,52.94,47.72,11.81,0.948,NA,11,12
JUL,10,18,62.86,52.25,11.73,0.9,NA,9,11
JUL,10,19,60.18,53.97,11.92,0.817,2.31,10,11
JUL,10,20,49.44,54.4,12.86,0.757,6.34,16,11
JUL,10,21,39.25,52.41,12.91,0.675,6.45,13,14
JUL,10,22,35.09,50.13,12.91,0.606,3.34,17,10
JUL,10,23,31.27,47.61,14.12,0.566,3.09,19,13
JUL,11,0,18.46,43.69,17.57,0.563,9.15,23,16
JUL,11,1,15.55,39.01,19.56,0.561,7.91,29,20
JUL,11,2,21.09,33.79,20.4,0.589,3.74,28,23
JUL,11,3,25.97,29.52,20.75,0.623,NA,22,18
JUL,11,4,23.17,26.23,21.78,0.745,1.36,18,15
JUL,11,5,21.47,24.01,22.16,0.765,3.22,17,13
JUL,11,6,19.69,22.08,22.29,0.77,3.28,14,12
JUL,11,7,13.32,19.84,22.86,0.815,8.67,14,11
JUL,11,8,11.55,18.98,23.54,0.847,9.16,18,14
JUL,11,9,14.83,18.89,24.2,0.888,5.23,23,19
JUL,11,10,30.53,20.07,23.85,0.929,NA,17,20
JUL,11,11,35.68,21.28,22.37,0.935,NA,15,16
JUL,11,12,40.39,23.43,22.67,0.885,1.55,13,14
JUL,11,13,43.35,26.17,22.77,0.876,3.01,18,13
JUL,11,14,42.67,29.04,23.53,0.89,4.19,31,23
JUL,11,15,43.01,32.75,24.13,0.884,1.48,27,28
JUL,11,16,41.09,36.44,24.62,0.901,1.07,21,22
JUL,11,17,39.02,39.47,24.92,0.865,NA,14,17
JUL,11,18,34.32,39.94,25.06,0.836,4.25,19,17
JUL,11,19,27.25,38.89,24.8,0.797,3.66,30,11
JUL,11,20,11.19,35.24,24.02,0.797,13.74,20,13
JUL,11,21,5.92,30.56,26,0.844,10.98,17,17
JUL,11,22,15.41,27.15,27.29,0.868,4,13,14
JUL,11,23,17.73,23.99,26.46,0.853,3.62,10,12
JUL,12,0,12.04,20.36,24.35,0.886,7.6,10,9
JUL,12,1,12.53,17.05,25.64,1.139,4.23,13,8
JUL,12,2,7.69,13.72,26.93,1.189,6.39,12,8
JUL,12,3,4.53,10.88,29.7,1.203,5.43,16,12
JUL,12,4,4.37,10.03,30.81,1.128,5.14,16,12
JUL,12,5,7.18,10.18,33.69,1.071,7.58,14,12
JUL,12,6,3.39,8.68,36.25,1.04,8.57,19,14
JUL,12,7,5.28,7.13,39.2,1.041,7.27,16,18
JUL,12,8,4.25,6.15,41.47,1.005,9.29,14,15
JUL,12,9,14.03,6.34,43.19,0.796,NA,13,20
JUL,12,10,22.3,8.17,44.16,0.702,NA,10,13
JUL,12,11,27.61,11.05,44.38,0.677,NA,10,10
JUL,12,12,33.26,14.66,43.85,0.678,NA,8,14
JUL,12,13,34.66,18.1,43.05,0.682,3.15,12,10
JUL,12,14,39.34,22.59,41.37,0.681,2.01,16,10
JUL,12,15,42.99,27.31,40.26,0.651,NA,11,15
JUL,12,16,44.11,32.29,40.33,0.605,NA,18,15
JUL,12,17,49.63,36.74,40.39,0.551,NA,17,16
JUL,12,18,46.02,39.7,40.23,0.555,NA,20,13
JUL,12,19,29.51,39.94,40.15,0.573,4.23,37,13
JUL,12,20,22.26,38.57,40,0.597,8.72,31,15
JUL,12,21,20.75,36.83,37.98,0.613,9.36,25,15
JUL,12,22,15.52,33.85,36.67,0.616,11.05,23,14
JUL,12,23,17.25,30.63,36.27,0.624,8.86,18,13
JUL,13,0,20.15,27.64,34.92,0.628,6.89,17,11
JUL,13,1,14.81,23.28,31.66,0.629,10.76,13,10
JUL,13,2,4.04,18.03,29.59,0.622,16.85,15,10
JUL,13,3,2.83,14.7,26.56,0.602,18.37,14,11
JUL,13,4,2.35,12.21,24.48,0.575,18.06,13,11
JUL,13,5,3.51,10.06,21.29,0.553,16.74,13,9
JUL,13,6,2.39,8.42,18.67,0.559,16.39,15,10
JUL,13,7,1.28,6.42,15.22,0.61,13.44,21,10
JUL,13,8,1.52,4.09,11.95,0.664,17.07,23,NA
JUL,13,9,2.22,2.52,9.7,0.728,20.98,34,NA
JUL,13,10,15.93,4,8.42,0.756,11.58,52,26
JUL,13,11,26.92,7.02,7.7,0.78,7.35,40,26
JUL,13,12,44.3,12.26,7.66,0.803,7.85,35,21
JUL,13,13,64.07,19.83,8.12,0.818,7.73,35,22
JUL,13,14,66.14,27.8,8.45,0.828,11.18,36,23
JUL,13,15,53.53,34.33,8.46,0.781,6.12,31,23
JUL,13,16,61.94,41.88,7.76,0.737,7.05,28,21
JUL,13,17,62.36,49.4,7.4,0.689,8.22,24,20
JUL,13,18,59.76,54.88,7.34,0.681,9.34,26,20
JUL,13,19,53.26,58.17,7.33,0.699,13.98,29,18
JUL,13,20,43.07,58.02,7.3,0.713,17.86,32,17
JUL,13,21,26.81,53.36,7.28,0.738,27.26,36,15
JUL,13,22,24.78,48.19,7.25,0.72,16.26,31,17
JUL,13,23,28.88,45.11,7.58,0.7,4.96,24,15
JUL,14,0,14.92,39.23,7.72,0.684,13.46,25,14
JUL,14,1,11.31,32.85,8.18,0.675,16.31,30,15
JUL,14,2,8.21,26.4,8.64,0.656,21.08,31,17
JUL,14,3,15.11,21.64,8.71,0.611,10.67,30,19
JUL,14,4,15.92,18.24,8.68,0.57,8.46,24,14
JUL,14,5,14.49,16.7,9.05,0.526,8.82,24,12
JUL,14,6,6.14,14.37,9.32,0.539,16.18,34,14
JUL,14,7,1.85,10.99,9.33,0.599,18.35,39,14
JUL,14,8,2.87,9.49,8.97,0.646,17.84,34,16
JUL,14,9,16.71,10.16,8.42,0.669,15.4,30,16
JUL,14,10,32.29,13.17,8.34,0.693,12.81,31,17
JUL,14,11,60.61,18.86,9.01,0.72,12.64,35,19
JUL,14,12,83.42,27.3,9.56,0.756,12.15,41,25
JUL,14,13,77.29,35.15,9,0.78,8.06,41,30
JUL,14,14,64.15,42.4,8.5,0.773,8.43,31,30
JUL,14,15,68.93,50.78,8.49,0.734,6.97,24,26
JUL,14,16,76.44,59.98,8.79,0.702,6.33,27,23
JUL,14,17,72.46,66.95,9.06,0.698,8.74,33,20
JUL,14,18,59.67,70.37,9.23,0.716,16.31,34,17
JUL,14,19,50.47,69.1,9.27,0.734,17.25,36,20
JUL,14,20,39.74,63.64,9.27,0.752,21.23,39,20
JUL,14,21,14.17,55.75,9.29,0.774,40.15,42,20
JUL,14,22,15.41,49.66,9.3,0.777,33.78,41,18
JUL,14,23,26.11,44.31,9.6,0.758,7.31,38,19
JUL,15,0,21.95,37.5,10.2,0.741,6.73,38,21
JUL,15,1,22.32,31.23,9.92,0.715,5.84,37,20
JUL,15,2,17.84,26,10.08,0.673,5.97,38,22
JUL,15,3,20.65,22.27,11.28,0.633,4.51,37,23
JUL,15,4,10.94,18.67,13.52,0.591,10.6,45,25
JUL,15,5,12.66,18.48,14.19,0.55,10.16,41,27
JUL,15,6,11.88,18.04,15.1,0.532,8.95,37,25
JUL,15,7,7.27,15.69,17.47,0.538,13.5,39,30
JUL,15,8,11.26,14.35,19.61,0.548,11.26,37,25
JUL,15,9,20.82,14.16,21.43,0.558,6.92,34,28
JUL,15,10,29.81,15.66,21.95,0.569,3.97,39,31
JUL,15,11,42.94,18.45,21.16,0.582,5.36,38,31
JUL,15,12,50.92,23.44,20.24,0.592,6,91,27
JUL,15,13,58.18,29.13,19.95,0.605,4.4,120,26
JUL,15,14,63.02,35.53,19.94,0.62,4.68,81,27
JUL,15,15,70.65,43.45,19.84,0.633,4.77,56,26
JUL,15,16,68.49,50.6,19.92,0.643,5.92,47,27
JUL,15,17,63.83,55.98,19.74,0.645,5.04,38,28
JUL,15,18,59.88,59.74,19.65,0.667,10.91,34,26
JUL,15,19,51.39,60.8,19.68,0.695,15.04,42,24
JUL,15,20,50.87,60.79,19.7,0.688,5.96,163,25
JUL,15,21,42.55,58.84,19.7,0.676,8.89,165,23
JUL,15,22,35.93,55.45,19.66,0.655,4,113,21
JUL,15,23,24.57,49.69,18.98,0.643,10.03,96,17
JUL,16,0,24.29,44.16,19.35,0.62,7.72,61,18
JUL,16,1,21.18,38.83,19.64,0.613,6.53,48,26
JUL,16,2,18.72,33.69,19.06,0.576,5.22,43,21
JUL,16,3,16.23,29.29,17.87,0.536,7.01,45,21
JUL,16,4,16.67,25.02,15.82,0.522,5.89,42,22
JUL,16,5,20.31,22.24,14.7,0.512,3.07,38,21
JUL,16,6,18.23,20.02,13.69,0.513,4.59,36,19
JUL,16,7,12.69,18.54,12.15,0.516,7.92,40,21
JUL,16,8,10.06,16.76,11.76,0.526,7.19,52,30
JUL,16,9,22.34,16.91,10.65,0.525,2.14,47,39
JUL,16,10,21.35,17.24,11.2,0.539,4.58,47,41
JUL,16,11,40.79,20.31,11.38,0.55,3.86,59,41
JUL,16,12,50.23,24.5,11.35,0.57,3.76,182,34
JUL,16,13,58.82,29.31,11.35,0.589,4.48,232,27
JUL,16,14,73.19,36.18,11.62,0.607,6.09,149,22
JUL,16,15,70.72,43.44,11.82,0.612,5.15,198,27
JUL,16,16,59.03,49.56,11.49,0.62,4.99,179,24
JUL,16,17,52.32,53.31,11.98,0.619,3.07,108,23
JUL,16,18,48.09,56.65,11.99,0.622,5.78,72,20
JUL,16,19,29.69,55.26,11.85,0.634,15.33,48,20
JUL,16,20,11.82,50.46,11.78,0.655,26.43,37,20
JUL,16,21,18.57,45.43,11.72,0.646,13.88,34,18
JUL,16,22,22.77,39.13,11.71,0.625,1.58,35,15
JUL,16,23,13.51,31.98,13.17,0.61,5.49,47,17
JUL,17,0,16.36,26.64,12.62,0.601,4.62,53,30
JUL,17,1,15.29,22.01,12.63,0.607,6.26,59,26
JUL,17,2,20.07,18.51,13.48,0.593,3.76,55,24
JUL,17,3,23.2,17.7,13.76,0.564,2.39,53,29
JUL,17,4,15.03,18.1,15.14,0.527,5.2,53,27
JUL,17,5,18.41,18.08,15.49,0.523,2.98,53,37
JUL,17,6,15.98,17.23,15.73,0.526,4.3,51,32
JUL,17,7,12.54,17.11,15.37,0.536,8.47,53,32
JUL,17,8,13.61,16.77,14.37,0.547,6.72,54,36
JUL,17,9,23.98,17.85,14.25,0.546,2.83,57,35
JUL,17,10,26.13,18.61,14.11,0.565,5.06,57,32
JUL,17,11,39.09,20.6,14.77,0.583,6.44,58,37
JUL,17,12,48.09,24.73,15.65,0.63,8.74,58,40
JUL,17,13,52.87,29.04,15.72,0.643,4.81,57,36
JUL,17,14,51.31,33.45,15.38,0.657,5.65,51,32
JUL,17,15,55.53,38.83,14.98,0.655,3.69,43,25
JUL,17,16,57.63,44.33,15.24,0.649,4.29,40,24
JUL,17,17,68.31,49.87,14.93,0.657,5.92,41,25
JUL,17,18,70.5,55.42,15.11,0.663,7.47,44,26
JUL,17,19,55.52,57.47,15.27,0.651,5.16,46,25
JUL,17,20,44.07,56.97,15.28,0.608,4.47,43,23
JUL,17,21,49.85,56.59,15.31,0.599,5.57,41,21
JUL,17,22,45.18,55.82,15.31,0.594,4.42,35,21
JUL,17,23,50.55,55.2,13.85,0.593,4.67,27,17
JUL,18,0,50.31,54.29,13.23,0.581,2.38,22,12
JUL,18,1,41.64,50.95,13.44,0.568,2.88,26,10
JUL,18,2,30.73,45.98,13.29,0.544,9.27,27,16
JUL,18,3,39.67,44,13.11,0.536,4.08,28,22
JUL,18,4,21.8,41.22,11.7,0.533,15.59,25,19
JUL,18,5,26.75,38.33,11.41,0.53,10.28,23,17
JUL,18,6,17.81,34.91,11.08,0.537,14.58,24,18
JUL,18,7,2.78,28.94,10.61,0.572,24.92,32,16
JUL,18,8,11.58,24.09,10.67,0.61,19.98,36,17
JUL,18,9,18.41,21.19,12.17,0.635,14.94,46,25
JUL,18,10,29.77,21.07,12.2,0.661,8.8,53,31
JUL,18,11,41.43,21.29,11.73,0.677,5.08,54,35
JUL,18,12,59.61,26.02,11.76,0.699,5.95,53,37
JUL,18,13,74.48,31.98,12.48,0.712,5.82,57,37
JUL,18,14,78.34,39.55,13.17,0.729,8.08,55,38
JUL,18,15,78,48.95,13.85,0.715,6.49,52,34
JUL,18,16,76.62,57.08,14.08,0.695,4.87,46,38
