DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5,
FEB,13,7,15.27,11.03,2.25,1.6,31.13,14.52,
FEB,13,8,15.5,10.03,2.29,1.73,32.42,14.82,
FEB,13,9,15.84,9.64,2.75,1.8,33.47,14.93,
FEB,13,10,15.98,10.09,3.26,1.84,34.51,15.49,
FEB,13,11,14.9,11.99,3.59,1.85,35.77,16.06,
FEB,13,12,10.79,15.72,3.76,1.85,36.22,16.85,
FEB,13,13,8.42,19.86,3.9,1.87,36.02,17,
FEB,13,14,11.18,23.75,3.94,1.87,35.5,17.13,
FEB,13,15,9.29,28.4,3.97,1.85,35.66,17.72,
FEB,13,16,10.6,33.72,4.02,1.72,35.13,18.12,
FEB,13,17,10.73,39.41,4.09,1.67,34.99,18.52,
FEB,13,18,13.19,43.78,4.13,1.65,34.9,18.53,
FEB,13,19,15.65,45.34,4.16,1.64,34.74,18.84,
FEB,13,20,26.25,42.93,4.16,1.76,34.62,19.07,
FEB,13,21,19.92,39.47,4.18,1.83,35.25,18.78,
FEB,13,22,18.67,36.14,4.2,1.86,35.81,19.13,
FEB,13,23,14.78,32.67,4.42,1.86,36.48,19.27,
FEB,14,0,13.59,28.84,5.12,1.84,37.21,19.47,
FEB,14,1,13.68,23.99,6.54,1.81,38.25,19.62,
FEB,14,2,9.63,20.05,7.28,1.77,38.48,20.33,
FEB,14,3,10.81,17.38,8.86,1.72,38.33,20.17,
FEB,14,4,11.68,17.27,10.73,1.58,37.96,20.18,
FEB,14,5,8.33,18.04,11.66,1.48,37.76,20.16,
FEB,14,6,8.14,18.78,12.74,1.41,36.96,20.37,
FEB,14,7,9.74,18.61,13.74,1.39,35.91,19.88,
FEB,14,8,11.35,18.51,15.42,1.38,33.91,19.8,
FEB,14,9,10.45,18.66,16.71,1.4,32.01,19.71,
FEB,14,10,7.65,19.51,17.28,1.41,30.86,19.21,
FEB,14,11,9.28,20.75,18.64,1.44,30.02,18.94,
FEB,14,12,11.16,22.46,20.01,1.48,30.35,18.55,
FEB,14,13,13.36,24.84,21.77,1.51,30.96,18.99,
FEB,14,14,9.84,28.39,22.6,1.54,31.63,19.76,
FEB,14,15,11.18,32.4,23.3,1.57,31.04,19.5,
FEB,14,16,9.2,37.08,23.63,1.58,31.52,19.29,
FEB,14,17,12.03,42.65,23.93,1.59,31.35,19.02,
FEB,14,18,12.01,47.33,24.12,1.62,31.6,19.17,
FEB,14,19,23.95,48.39,24.17,1.71,31.81,19.38,
FEB,14,20,33.62,46.3,24.21,1.87,32.6,19.54,
FEB,14,21,27.39,43.43,24.28,1.96,33.04,19.85,
FEB,14,22,11.54,41.35,24.83,1.95,33.35,19.82,
FEB,14,23,12.32,38.41,25.87,1.93,33.42,19.8,
FEB,15,0,10.55,35.05,25.55,1.91,33.13,20.1,
FEB,15,1,9.03,31.37,24.64,1.88,32.03,19.69,
FEB,15,2,11.07,26.78,25.17,1.85,31.9,18.93,
FEB,15,3,9.66,25.43,25.29,1.73,32.02,19.12,
FEB,15,4,11.16,26.52,25.58,1.53,32.29,19.6,
FEB,15,5,10.39,27.19,26.04,1.4,32.55,19.89,
FEB,15,6,10.16,26.06,26.93,1.39,33.14,20.18,
FEB,15,7,10.66,25.21,27.3,1.38,33.35,20.62,
FEB,15,8,11.16,23.81,26.95,1.4,33.62,20.57,
FEB,15,9,11.34,22.06,26.99,1.42,33.84,20.61,
FEB,15,10,10.89,21.15,28.09,1.44,34.66,20.74,
FEB,15,11,16.07,20.76,29.91,1.46,35.59,20.68,
FEB,15,12,13.91,22.11,29.74,1.5,36.23,21.8,
FEB,15,13,14.08,25.38,29.04,1.54,36.6,21.54,
FEB,15,14,15.97,29.91,30.26,1.58,37.06,21.33,
FEB,15,15,13.84,36.39,30.35,1.63,38.49,22.23,
FEB,15,16,13.04,43.39,30.56,1.65,38.93,22.71,
FEB,15,17,11.65,50.75,30.5,1.67,39.43,23.21,
FEB,15,18,15.91,55.69,30.36,1.71,39.95,23.46,
FEB,15,19,23.43,57.34,30.34,1.79,40.42,23.34,
FEB,15,20,36.19,54.53,30.34,2.02,41.48,23.31,
FEB,15,21,34.71,49.68,30.33,2.21,43.4,23.5,
FEB,15,22,22.16,45.37,29.88,2.24,44.32,24.24,
FEB,15,23,21.37,39.28,28.96,2.24,44.71,24.63,
FEB,16,0,19.74,32.31,29.31,2.25,45.38,24.81,
FEB,16,1,15.98,25.56,29.14,2.24,46.88,25.54,
FEB,16,2,10.47,21.68,28.65,2.2,47.27,25.83,
FEB,16,3,11.8,20.58,27.45,2.09,47.66,26,
FEB,16,4,18.72,20.41,25.41,1.85,48.18,26.11,
FEB,16,5,18.71,20.67,24.11,1.63,48.52,25.61,
FEB,16,6,19.15,18.97,22.22,1.59,48.96,25.39,
FEB,16,7,18.71,17.85,20.94,1.57,49.57,25.45,
FEB,16,8,17.73,16.54,19.65,1.61,50.65,26.15,
