DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,11,5,30.18,36.70,31.13,0.58,15.83,18,NA
JUN,11,6,33.05,35.54,31.35,0.59,11.12,13,0.51
JUN,11,7,30.95,34.12,31.37,0.59,8.16,11,1.41
JUN,11,8,28.74,32.57,30.67,0.61,8.33,11,2.78
JUN,11,9,28.75,31.31,28.88,0.68,9.51,11,1.88
JUN,11,10,33.06,30.60,28.62,0.72,8.75,12,NA
JUN,11,11,33.27,30.01,28.44,0.79,13.24,12,0.79
JUN,11,12,32.75,31.35,28.85,0.82,14.87,12,NA
JUN,11,13,36.81,32.17,30.39,0.80,29.04,15,2.55
JUN,11,14,38.84,32.90,31.08,0.83,38.06,19,1.48
JUN,11,15,40.88,34.14,31.18,0.85,25.79,13,NA
JUN,11,16,45.48,36.23,30.60,0.84,18.86,12,NA
JUN,11,17,46.19,38.41,30.10,0.78,12.86,12,NA
JUN,11,18,44.56,39.85,30.08,0.74,13.99,11,1.26
JUN,11,19,40.53,40.75,30.07,0.68,16.73,9,0.80
JUN,11,20,36.88,41.27,30.08,0.63,15.39,8,0.63
JUN,11,21,31.08,40.55,30.10,0.62,13.98,8,0.81
JUN,11,22,28.98,39.32,30.10,0.59,11.64,8,0.64
JUN,11,23,27.96,37.71,30.09,0.56,8.81,7,NA
JUN,12,0,24.91,35.14,30.12,0.56,8.29,7,0.73
JUN,12,1,23.06,32.24,30.13,0.55,13.67,7,NA
JUN,12,2,20.51,29.24,30.13,0.55,12.57,6,NA
JUN,12,3,18.45,26.48,30.16,0.56,10.61,7,NA
JUN,12,4,10.62,23.19,29.99,0.80,10.64,9,2.19
JUN,12,5,12.51,20.87,33.92,0.93,13.46,14,2.81
JUN,12,6,5.49,17.94,35.67,0.94,13.50,15,6.87
JUN,12,7,6.95,15.31,40.78,0.98,21.07,18,9.71
JUN,12,8,12.17,13.72,49.20,1.04,21.19,24,5.27
JUN,12,9,NA,12.39,49.69,1.14,19.16,NA,1.32
JUN,12,10,21.00,12.45,50.70,1.21,14.76,NA,NA
JUN,12,11,23.85,13.23,51.61,1.22,14.25,NA,NA
JUN,12,12,25.45,15.35,50.47,1.05,11.91,NA,NA
JUN,12,13,28.98,17.70,48.48,0.94,10.06,NA,NA
JUN,12,14,32.04,21.49,47.80,0.95,7.94,NA,NA
JUN,12,15,32.75,25.18,47.30,0.93,10.63,NA,NA
JUN,12,16,33.14,28.17,48.02,0.97,10.39,NA,NA
JUN,12,17,35.54,29.09,48.89,0.90,8.93,NA,NA
