DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,,,
NOV,7,15,0.0724,0.0463,0.0513,1.208,46,32,0.0137,,,,
NOV,7,16,0.0638,0.0516,0.0492,1.223,43,24,0.0136,,,,
NOV,7,17,0.0580,0.0556,0.0475,1.232,38,19,0.0154,,,,
NOV,7,18,0.0551,0.0588,0.0470,1.265,39,20,0.0217,,,,
NOV,7,19,0.0245,0.0572,0.0468,1.389,46,18,0.0427,,,,
NOV,7,20,0.0113,0.0527,0.0465,1.563,53,16,0.0502,,,,
NOV,7,21,0.0099,0.0459,0.0466,1.709,70,20,0.0484,,,,
NOV,7,22,0.0230,0.0398,0.0455,1.744,85,23,0.0299,,,,
NOV,7,23,0.0121,0.0322,0.0430,1.795,79,19,0.0355,,,,
NOV,8,0,0.0079,0.0252,0.0413,1.876,86,25,0.0381,,,,
NOV,8,1,0.0087,0.0191,0.0345,1.946,89,26,0.0360,,,,
NOV,8,2,0.0201,0.0147,0.0293,1.953,87,29,0.0276,,,,
NOV,8,3,0.0122,0.0131,0.0269,1.878,70,29,0.0264,,,,
NOV,8,4,0.0127,0.0133,0.0258,1.708,62,25,0.0216,,,,
NOV,8,5,0.0129,0.0137,0.0245,1.550,60,26,0.0238,,,,
NOV,8,6,0.0085,0.0119,0.0230,1.505,54,24,0.0227,,,,
NOV,8,7,0.0088,0.0115,0.0210,1.477,53,20,0.0225,,,,
NOV,8,8,0.0101,0.0118,0.0193,1.421,55,21,0.0231,,,,
NOV,8,9,0.0213,0.0133,0.0183,1.380,55,23,0.0277,,,,
NOV,8,10,0.0412,0.0160,0.0195,1.443,64,31,0.0268,,,,
NOV,8,11,0.0756,0.0239,0.0197,1.484,70,42,0.0205,,,,
NOV,8,12,0.0513,0.0287,0.0178,1.507,62,42,0.0109,,,,
NOV,8,13,0.0484,0.0331,0.0146,1.519,43,26,0.0095,,,,
NOV,8,14,0.0545,0.0389,0.0138,1.521,38,19,0.0087,,,,
NOV,8,15,0.0531,0.0444,0.0136,1.494,33,17,0.0099,,,,
NOV,8,16,0.0530,0.0498,0.0136,1.471,28,15,0.0100,,,,
NOV,8,17,0.0567,0.0542,0.0135,1.425,29,15,0.0085,,,,
NOV,8,18,0.0484,0.0551,0.0135,1.352,36,18,0.0179,,,,
NOV,8,19,0.0173,0.0478,0.0134,1.381,45,23,0.0403,,,,
NOV,8,20,0.0077,0.0424,0.0134,1.774,54,26,0.0478,,,,
NOV,8,21,0.0069,0.0372,0.0134,2.027,76,30,0.0446,,,,
NOV,8,22,0.0086,0.0315,0.0134,2.267,93,34,0.0389,,,,
NOV,8,23,0.0176,0.0270,0.0133,2.272,83,33,0.0202,,,,
NOV,9,0,0.0162,0.0224,0.0132,2.272,60,22,0.0176,,,,
NOV,9,1,0.0126,0.0169,0.0130,2.275,57,15,0.0210,,,,
NOV,9,2,0.0087,0.0119,0.0123,2.259,49,15,0.0251,,,,
NOV,9,3,0.0073,0.0107,0.0119,2.157,50,13,0.0245,,,,
NOV,9,4,0.0097,0.0109,0.0117,1.743,50,13,0.0242,,,,
NOV,9,5,0.0078,0.0111,0.0118,1.492,53,18,0.0255,,,,
NOV,9,6,0.0081,0.0110,0.0143,1.264,59,23,0.0254,,,,
NOV,9,7,0.0072,0.0097,0.0145,1.280,60,31,0.0228,,,,
NOV,9,8,0.0079,0.0087,0.0146,1.331,64,28,0.0236,,,,
NOV,9,9,0.0118,0.0086,0.0137,1.405,63,26,0.0271,,,,
NOV,9,10,0.0255,0.0107,0.0122,1.431,63,30,0.0205,,,,
NOV,9,11,0.0340,0.0140,0.0106,1.455,67,36,0.0207,,,,
NOV,9,12,0.0555,0.0197,0.0108,1.468,55,30,0.0160,,,,
NOV,9,13,0.0808,0.0289,0.0111,1.463,49,22,0.0146,,,,
NOV,9,14,0.0694,0.0365,0.0112,1.456,46,22,0.0155,,,,
NOV,9,15,0.0690,0.0442,0.0114,1.435,36,20,0.0140,,,,
NOV,9,16,0.0658,0.0515,0.0118,1.393,35,15,0.0155,,,,
NOV,9,17,0.0619,0.0577,0.0121,1.333,33,15,0.0177,,,,
NOV,9,18,0.0406,0.0596,0.0121,1.373,37,15,0.0298,,,,
NOV,9,19,0.0106,0.0567,0.0121,1.566,53,16,0.0501,,,,
NOV,9,20,0.0072,0.0507,0.0121,1.832,89,16,0.0510,,,,
NOV,9,21,0.0072,0.0415,0.0121,1.967,106,27,0.0445,,,,
NOV,9,22,0.0086,0.0339,0.0121,2.012,98,23,0.0370,,,,
NOV,9,23,0.0124,0.0268,0.0121,2.045,86,20,0.0311,,,,
NOV,10,0,0.0105,0.0199,0.0121,2.072,76,18,0.0317,,,,
NOV,10,1,0.0126,0.0137,0.0121,2.070,70,18,0.0274,,,,
NOV,10,2,0.0135,0.0103,0.0121,2.007,58,14,0.0251,,,,
NOV,10,3,0.0076,0.0100,0.0121,1.796,57,16,0.0310,,,,
NOV,10,4,0.0074,0.0100,0.0119,1.524,52,19,0.0278,,,,
NOV,10,5,0.0085,0.0101,0.0118,1.386,50,17,0.0260,,,,
NOV,10,6,0.0080,0.0101,0.0092,1.338,48,21,0.0262,,,,
NOV,10,7,0.0102,0.0098,0.0092,1.331,48,19,0.0276,,,,
NOV,10,8,0.0113,0.0099,0.0095,1.363,68,22,0.0287,,,,
NOV,10,9,0.0183,0.0106,0.0107,1.391,70,26,0.0264,,,,
NOV,10,10,0.0312,0.0128,0.0097,1.401,68,33,0.0182,,,,
NOV,10,11,0.0397,0.0168,0.0092,1.411,58,36,0.0190,,,,
NOV,10,12,0.0545,0.0227,0.0089,1.404,47,24,0.0124,,,,
NOV,10,13,0.0568,0.0287,0.0086,1.411,41,19,0.0148,,,,
NOV,10,14,0.0553,0.0346,0.0085,1.410,36,17,0.0127,,,,
NOV,10,15,0.0542,0.0402,0.0084,1.387,27,14,0.0135,,,,
NOV,10,16,0.0641,0.0468,0.0080,1.314,25,11,0.0119,,,,
NOV,10,17,0.0640,0.0525,0.0077,1.280,29,11,0.0129,,,,
NOV,10,18,0.0451,0.0542,0.0077,1.324,35,12,0.0309,,,,
NOV,10,19,0.0156,0.0512,0.0077,1.481,57,13,0.0489,,,,
NOV,10,20,0.0086,0.0455,0.0076,1.707,86,16,0.0533,,,,
NOV,10,21,0.0076,0.0393,0.0077,1.825,114,21,0.0486,,,,
NOV,10,22,0.0100,0.0336,0.0077,1.912,119,26,0.0421,,,,
NOV,10,23,0.0154,0.0288,0.0077,1.957,107,31,0.0317,,,,
NOV,11,0,0.0152,0.0227,0.0077,1.991,86,28,0.0292,,,,
NOV,11,1,0.0105,0.0160,0.0081,2.016,71,22,0.0321,,,,
NOV,11,2,0.0128,0.0120,0.0081,1.973,61,20,0.0280,,,,
NOV,11,3,0.0100,0.0113,0.0083,1.815,59,19,0.0309,,,,
NOV,11,4,0.0086,0.0112,0.0084,1.592,55,20,0.0288,,,,
NOV,11,5,0.0085,0.0114,0.0084,1.464,50,19,0.0264,,,,
NOV,11,6,0.0102,0.0114,0.0084,1.379,46,18,0.0253,,,,
NOV,11,7,0.0105,0.0108,0.0083,1.362,57,17,0.0268,,,,
NOV,11,8,0.0112,0.0103,0.0078,1.424,67,21,0.0293,,,,
NOV,11,9,0.0158,0.0109,0.0061,1.463,78,26,0.0311,,,,
NOV,11,10,0.0345,0.0137,0.0059,1.463,85,34,0.0185,,,,
NOV,11,11,0.0428,0.0178,0.0061,1.461,64,30,0.0162,,,,
NOV,11,12,0.0542,0.0235,0.0062,1.462,52,26,0.0144,,,,
NOV,11,13,0.0551,0.0293,0.0063,1.461,46,23,0.0108,,,,
NOV,11,14,0.0542,0.0348,0.0063,1.451,37,19,0.0108,,,,
NOV,11,15,0.0585,0.0408,0.0062,1.421,30,15,0.0128,,,,
NOV,11,16,0.0668,0.0477,0.0062,1.336,32,13,0.0135,,,,
NOV,11,17,0.0596,0.0532,0.0062,1.290,35,16,0.0180,,,,
NOV,11,18,0.0533,0.0556,0.0062,1.292,37,16,0.0192,,,,
NOV,11,19,0.0195,0.0527,0.0062,1.432,43,12,0.0451,,,,
NOV,11,20,0.0157,0.0478,0.0062,1.571,65,17,0.0453,,,,
NOV,11,21,0.0162,0.0430,0.0062,1.663,74,21,0.0401,,,,
NOV,11,22,0.0255,0.0394,0.0061,1.701,77,21,0.0289,,,,
NOV,11,23,0.0329,0.0362,0.0061,1.699,63,19,0.0162,,,,
NOV,12,0,0.0192,0.0302,0.0061,1.692,53,15,0.0255,,,,
NOV,12,1,0.0130,0.0244,0.0057,1.681,60,19,0.0293,,,,
NOV,12,2,0.0146,0.0196,0.0057,1.673,57,20,0.0256,,,,
NOV,12,3,0.0167,0.0192,0.0056,1.513,52,20,0.0233,,,,
NOV,12,4,0.0141,0.0190,0.0059,1.364,51,18,0.0240,,,,
NOV,12,5,0.0096,0.0182,0.0062,1.278,48,17,0.0264,,,,
NOV,12,6,0.0090,0.0161,0.0064,1.259,45,18,0.0265,,,,
NOV,12,7,0.0094,0.0132,0.0065,1.286,54,19,0.0258,,,,
NOV,12,8,0.0104,0.0121,0.0064,1.351,86,26,0.0278,,,,
NOV,12,9,0.0183,0.0128,0.0069,1.376,76,30,0.0255,,,,
NOV,12,10,0.0318,0.0149,0.0073,1.393,73,29,0.0221,,,,
NOV,12,11,0.0418,0.0181,0.0074,1.434,67,34,0.0231,,,,
NOV,12,12,0.0587,0.0236,0.0074,1.448,58,35,0.0162,,,,
NOV,12,13,0.0667,0.0308,0.0074,1.439,48,26,0.0120,,,,
NOV,12,14,0.0692,0.0383,0.0075,1.410,42,21,0.0102,,,,
NOV,12,15,0.0737,0.0463,0.0077,1.389,38,18,0.0129,,,,
NOV,12,16,0.0783,0.0548,0.0086,1.363,38,19,0.0181,,,,
NOV,12,17,0.0726,0.0616,0.0091,1.358,46,22,0.0192,,,,
NOV,12,18,0.0609,0.0652,0.0093,1.354,48,18,0.0213,,,,
NOV,12,19,0.0250,0.0631,0.0093,1.410,55,18,0.0463,,,,
NOV,12,20,0.0078,0.0567,0.0094,1.694,70,19,0.0610,,,,
NOV,12,21,0.0075,0.0493,0.0095,1.860,92,26,0.0551,,,,
NOV,12,22,0.0074,0.0416,0.0095,2.172,112,29,0.0522,,,,
NOV,12,23,0.0115,0.0338,0.0098,2.240,127,37,0.0424,,,,
NOV,13,0,0.0108,0.0254,0.0103,2.261,125,37,0.0403,,,,
NOV,13,1,0.0112,0.0178,0.0106,2.274,115,42,0.0375,,,,
NOV,13,2,0.0079,0.0111,0.0108,2.291,103,39,0.0400,,,,
NOV,13,3,0.0076,0.0090,0.0109,2.235,93,38,0.0381,,,,
NOV,13,4,0.0088,0.0091,0.0108,1.968,86,37,0.0377,,,,
NOV,13,5,0.0108,0.0095,0.0107,1.829,85,35,0.0356,,,,
NOV,13,6,0.0083,0.0096,0.0110,1.551,85,32,0.0370,,,,
NOV,13,7,0.0087,0.0093,0.0114,1.520,98,34,0.0330,,,,
NOV,13,8,0.0118,0.0094,0.0117,1.569,103,36,0.0313,,,,
NOV,13,9,0.0183,0.0103,0.0114,1.580,92,35,0.0279,,,,
NOV,13,10,0.0305,0.0131,0.0122,1.569,83,33,0.0228,,,,
NOV,13,11,0.0455,0.0178,0.0124,1.556,79,39,0.0196,,,,
NOV,13,12,0.0589,0.0241,0.0138,1.561,73,35,0.0220,,,,
NOV,13,13,0.0689,0.0314,0.0150,1.566,68,37,0.0183,,,,
NOV,13,14,0.0780,0.0401,0.0167,1.585,59,34,0.0173,,,,
NOV,13,15,0.0757,0.0484,0.0176,1.545,50,34,0.0122,,,,
NOV,13,16,0.0692,0.0556,0.0168,1.443,45,28,0.0152,,,,
NOV,13,17,0.0691,0.0620,0.0166,1.408,44,22,0.0179,,,,
NOV,13,18,0.0586,0.0655,0.0164,1.438,49,20,0.0294,,,,
NOV,13,19,0.0116,0.0613,0.0164,1.752,60,16,0.0668,,,,
NOV,13,20,0.0072,0.0548,0.0164,1.978,87,24,0.0633,,,,
NOV,13,21,0.0091,0.0473,0.0165,2.051,110,32,0.0542,,,,
NOV,13,22,0.0223,0.0404,0.0170,2.052,117,36,0.0321,,,,
NOV,13,23,0.0240,0.0339,0.0168,2.094,91,33,0.0246,,,,
NOV,14,0,0.0186,0.0276,0.0165,2.115,77,25,0.0238,,,,
NOV,14,1,0.0172,0.0211,0.0172,2.096,71,23,0.0197,,,,
NOV,14,2,0.0128,0.0154,0.0173,2.045,64,23,0.0229,,,,
NOV,14,3,0.0157,0.0159,0.0172,1.720,59,20,0.0221,,,,
NOV,14,4,0.0159,0.0170,0.0170,1.465,50,21,0.0223,,,,
NOV,14,5,0.0079,0.0168,0.0168,1.366,46,18,0.0265,,,,
NOV,14,6,0.0075,0.0150,0.0164,1.329,43,18,0.0248,,,,
NOV,14,7,0.0083,0.0130,0.0158,1.308,43,17,0.0228,,,,
NOV,14,8,0.0091,0.0118,0.0157,1.334,58,16,0.0236,,,,
NOV,14,9,0.0169,0.0118,0.0155,1.362,65,33,0.0195,,,,
NOV,14,10,0.0251,0.0133,0.0137,1.399,61,29,0.0239,,,,
NOV,14,11,0.0434,0.0168,0.0131,1.418,67,33,0.0176,,,,
NOV,14,12,0.0548,0.0216,0.0117,1.448,64,36,0.0147,,,,
NOV,14,13,0.0646,0.0287,0.0104,1.471,62,42,0.0158,,,,
NOV,14,14,0.0860,0.0385,0.0086,1.478,60,34,0.0131,,,,
NOV,14,15,0.0834,0.0479,0.0076,1.469,52,28,0.0133,,,,
NOV,14,16,0.0768,0.0564,0.0075,1.437,47,25,0.0165,,,,
NOV,14,17,0.0742,0.0635,0.0074,1.428,50,21,0.0154,,,,
NOV,14,18,0.0511,0.0668,0.0073,1.455,50,21,0.0304,,,,
NOV,14,19,0.0162,0.0634,0.0073,1.583,59,20,0.0552,,,,
NOV,14,20,0.0136,0.0582,0.0072,1.687,70,23,0.0545,,,,
NOV,14,21,0.0130,0.0518,0.0071,1.786,82,28,0.0461,,,,
NOV,14,22,0.0179,0.0433,0.0065,1.887,92,30,0.0386,,,,
NOV,14,23,0.0174,0.0350,0.0067,1.958,102,42,0.0356,,,,
NOV,15,0,0.0225,0.0282,0.0067,1.995,103,47,0.0286,,,,
