DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,12,5,4.57,18.56,21.63,0.51,31,20,19.64
MZO,12,6,1.79,15.96,21.14,0.48,32,18,20.89
MZO,12,7,1.86,12.69,20.55,0.5,42,19,24.7
MZO,12,8,2.38,9.86,19.84,0.57,55,24,20.43
MZO,12,9,5.47,7.24,19.45,0.63,60,28,24.44
MZO,12,10,13.17,5.25,18.65,0.65,66,41,23.1
MZO,12,11,42.13,9.32,15.58,0.68,61,43,12.57
MZO,12,12,56.62,16,14,0.71,52,36,8.62
MZO,12,13,64.82,23.53,11.35,0.72,46,32,7.98
MZO,12,14,66.66,31.64,8.72,0.72,44,28,9.38
MZO,12,15,63.97,39.4,7.4,0.7,43,24,8.89
MZO,12,16,70.59,47.93,6.87,0.61,40,24,9.45
MZO,12,17,66.23,55.52,6.6,0.57,42,22,14.6
MZO,12,18,67.10,62.26,6.47,0.56,44,25,13.59
MZO,12,19,55.92,63.99,6.37,0.57,45,25,18.35
MZO,12,20,34.40,61.21,6.29,0.61,48,23,30.59
MZO,12,21,17.93,55.35,6.23,0.7,63,24,35.89
MZO,12,22,31.10,50.91,6.17,0.73,66,27,17.41
MZO,12,23,31.31,46.82,5.89,0.74,57,25,14.66
MZO,13,0,16.29,40.04,5.36,0.75,52,22,24.55
MZO,13,1,9.61,32.96,4.75,0.74,59,28,30.57
MZO,13,2,8.24,25.6,4.59,0.74,61,31,29.04
MZO,13,3,11.86,20.09,4.33,0.72,62,33,25
MZO,13,4,25.35,18.96,4.14,0.66,55,30,9.92
MZO,13,5,7.83,17.7,3.88,0.55,47,26,23.38
MZO,13,6,11.76,15.28,3.8,0.53,44,25,18.78
MZO,13,7,6.53,12.18,3.7,0.58,46,26,26.65
MZO,13,8,3.72,10.61,3.4,0.68,63,28,25.98
MZO,13,9,7.32,10.33,2.85,0.74,65,31,31.18
