DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,12,17,54.64,36.05,19.84,0.74,28,20,5.18,
AGO,12,18,30.21,37.65,16.67,0.76,37,20,11.69,
AGO,12,19,17.65,37.58,15.46,0.74,33,21,9.43,
AGO,12,20,19.44,36.9,15.47,0.75,23,18,7.17,
AGO,12,21,19.67,34.92,14.46,0.76,18,18,6.13,
AGO,12,22,22.54,32.42,14.06,0.76,13,18,8.85,
AGO,12,23,20.29,29.34,13.7,0.76,11,14,7.87,
AGO,13,0,25.44,26.24,13.54,0.75,11,13,2.59,
AGO,13,1,21.96,22.15,13.36,0.74,9,13,4.43,
AGO,13,2,28.62,21.95,12.9,0.69,7,13,2.15,
AGO,13,3,6.95,20.61,12.49,0.66,11,11,NA,
AGO,13,4,9.6,19.38,12.24,0.65,17,15,5.3,
AGO,13,5,18.77,19.27,12.22,0.64,12,16,4.28,
AGO,13,6,28.48,20.01,12.62,0.64,11,13,13.25,
AGO,13,7,7.7,18.44,14.51,0.68,15,15,15.02,
AGO,13,8,6.78,16.11,16.4,0.74,19,22,15.39,
AGO,13,9,7.89,14.35,24.42,0.85,19,24,8.13,
AGO,13,10,7.53,11.71,24.35,0.86,26,21,4.55,
AGO,13,11,7.29,11.75,24.78,0.87,31,23,4.94,
AGO,13,12,15.99,12.55,25.03,0.87,34,24,5.26,
AGO,13,13,45.69,15.92,25.56,0.88,37,26,4.85,
AGO,13,14,56.89,19.47,25.13,0.87,33,25,4.98,
AGO,13,15,44.49,24.07,24.97,0.86,28,22,7.54,
AGO,13,16,40.13,28.24,24.62,0.82,23,16,6.99,
AGO,13,17,28.46,30.81,24.39,0.75,24,16,9.02,
AGO,13,18,24.66,32.95,24.3,0.78,24,17,10.3,
AGO,13,19,19.5,34.48,24.23,0.81,25,17,10.88,
AGO,13,20,17.77,34.7,24.16,0.85,24,13,11.57,
AGO,13,21,13.39,30.66,24.15,0.87,22,12,14.07,
AGO,13,22,23.57,26.5,24.18,0.87,20,11,8.43,
AGO,13,23,24.15,23.95,24.2,0.85,16,11,5.6,
AGO,14,0,25.32,22.1,24.23,0.83,14,11,4.98,
AGO,14,1,17.27,20.7,24.43,0.81,14,11,10.01,
AGO,14,2,11.54,19.06,24.58,0.77,16,11,15.71,
AGO,14,3,11.75,18.09,24.6,0.73,14,15,14.44,
AGO,14,4,6.11,16.64,24.7,0.70,18,13,14.49,
AGO,14,5,5.21,15.62,24.8,0.67,21,12,11.73,
AGO,14,6,9.04,13.8,24.42,0.68,17,12,13.39,
AGO,14,7,5.86,11.51,22.79,0.71,22,16,11.86,
AGO,14,8,5.08,8.98,21.54,0.75,32,14,11.61,
AGO,14,9,5.39,7.5,14.18,0.77,32,22,5.43,
AGO,14,10,15.8,8.03,13.34,0.77,29,17,NA,
AGO,14,11,23.05,9.44,12.75,0.78,22,15,1.89,
AGO,14,12,27.27,12.09,12.12,0.79,23,18,2.11,
AGO,14,13,28.13,14.95,12.73,0.83,22,19,4.82,
AGO,14,14,34.46,18.13,13.52,0.82,21,17,2.55,
AGO,14,15,34.68,21.73,14.33,0.82,18,19,4.95,
AGO,14,16,41.55,26.29,14.89,0.81,19,19,4.12,
AGO,14,17,43.04,31,14.99,0.80,19,21,3.9,
