DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,16,17,46.64,37.51,32.13,0.78,20,20,3.27,
AGO,16,18,31.77,38.7,32.26,0.78,26,18,NA,
AGO,16,19,19.86,38.03,32.35,0.81,28,17,7.43,
AGO,16,20,8.61,35.19,32.76,0.83,22,17,10.4,
AGO,16,21,14.51,31.89,32.91,0.83,17,15,7.89,
AGO,16,22,14.56,28.43,31.2,0.82,11,13,6.46,
AGO,16,23,14.71,24.5,28.36,0.77,7,11,6.85,
AGO,17,0,17.55,21.03,27.93,0.75,7,9,3.94,
AGO,17,1,14.41,17,27.71,0.71,6,8,5.59,
AGO,17,2,5.8,13.75,26.73,0.71,8,9,8.12,
AGO,17,3,3.21,11.67,25.93,0.69,10,13,10.34,
AGO,17,4,8.63,11.67,23.95,0.66,8,12,5.97,
AGO,17,5,6.34,10.65,24.68,0.66,10,11,5.59,
AGO,17,6,2.73,9.17,26.69,0.69,14,14,9.09,
AGO,17,7,2.81,7.68,27.77,0.73,19,16,11.97,
AGO,17,8,2.63,5.82,24.91,0.77,21,18,9.36,
AGO,17,9,3.4,4.44,24.03,0.79,21,17,6.75,
AGO,17,10,14.52,5.53,22.2,0.81,18,18,NA,
AGO,17,11,23.13,8.02,22.95,0.81,16,15,NA,
AGO,17,12,29.47,10.63,23.76,0.85,20,16,2,
AGO,17,13,37.31,14.5,24.57,0.85,19,15,NA,
AGO,17,14,44.29,19.7,25.38,0.84,20,16,2.57,
AGO,17,15,47.31,25.26,25.53,0.81,23,17,4.16,
AGO,17,16,47.52,30.87,24.68,0.78,24,19,2.82,
AGO,17,17,37.24,35.1,24.45,0.78,31,17,7.17,
AGO,17,18,25.26,36.44,24.24,0.79,31,17,7.45,
AGO,17,19,20.21,36.08,24.32,0.82,26,15,8.17,
AGO,17,20,15.71,34.36,24.08,0.82,23,14,9.02,
AGO,17,21,20.8,32.29,23.94,0.81,25,16,6.6,
AGO,17,22,17.38,28.93,23.9,0.79,22,13,6.62,
AGO,17,23,22.72,25.85,23.87,0.78,19,15,3.77,
AGO,18,0,24.94,23.03,23.88,0.77,14,14,1.33,
AGO,18,1,26.12,21.64,23.88,0.73,12,13,NA,
AGO,18,2,7.06,19.37,24.01,0.70,11,11,4.12,
AGO,18,3,3.45,17.27,25.47,0.67,18,13,6.94,
AGO,18,4,6.39,16.11,28.99,0.66,18,17,6.77,
AGO,18,5,4.23,14.04,30.37,0.64,16,13,6.06,
AGO,18,6,3.28,12.27,28.86,0.64,19,14,6.19,
AGO,18,7,4.98,10.06,27.61,0.77,18,14,8.36,
AGO,18,8,5.19,7.59,28.44,0.83,18,14,9.61,
AGO,18,9,7.64,5.28,30.34,0.87,24,21,5.75,
AGO,18,10,12.59,5.97,28.82,0.89,25,18,4.33,
AGO,18,11,19.01,7.92,27.17,0.91,19,15,4.37,
AGO,18,12,29.76,10.84,26.27,0.90,24,19,3.43,
AGO,18,13,45.11,15.95,25.81,0.91,23,17,2.95,
AGO,18,14,51,21.91,25.13,0.92,24,19,4.12,
AGO,18,15,55.42,28.22,24.39,0.83,26,20,9.21,
AGO,18,16,52.9,34.18,23.99,0.81,28,18,11.39,
AGO,18,17,55.16,40.12,23.66,0.81,28,17,11.73,
AGO,18,18,42.6,43.87,23.59,0.84,29,15,12.1,
AGO,18,19,38.09,46.25,23.37,0.86,28,14,14.34,
AGO,18,20,37.45,47.22,23.14,0.89,31,15,12.25,
AGO,18,21,35.96,46.07,23.09,0.90,26,16,7.46,
AGO,18,22,33.74,43.91,23.08,0.88,25,16,3.01,
AGO,18,23,28.25,40.52,23.1,0.86,19,18,3.61,
AGO,19,0,14.46,35.71,23.46,0.83,13,12,4.32,
AGO,19,1,11.23,30.22,30.64,0.80,19,11,7.31,
AGO,19,2,14.65,26.73,33.07,0.76,18,13,3.16,
AGO,19,3,20.46,24.53,32.33,0.71,14,13,3.17,
AGO,19,4,18.43,22.15,29.04,0.67,9,13,4.6,
AGO,19,5,9.3,18.81,26.62,0.66,10,10,11.91,
AGO,19,6,6.1,15.36,25.72,0.68,13,9,16.12,
AGO,19,7,5.41,12.5,24.88,0.71,15,11,14.83,
AGO,19,8,7.17,11.59,21.78,0.75,17,12,13.47,
AGO,19,9,7.42,11.12,19.16,0.80,23,12,15.37,
AGO,19,10,10.49,10.6,20.51,0.84,30,32,12.29,
AGO,19,11,14.94,9.91,20.87,0.88,37,32,7.76,
AGO,19,12,25.36,10.77,19.81,0.90,29,24,3.31,
AGO,19,13,27.45,13.04,19.32,0.97,22,18,7.48,
AGO,19,14,36.66,16.86,19.32,1.01,27,16,8.74,
AGO,19,15,38.6,21.01,19.64,1.02,28,22,8.9,
AGO,19,16,48.24,26.14,19.84,1.00,23,20,6.56,
AGO,19,17,41.65,30.42,19.94,0.97,28,23,5.44,
AGO,19,18,31.92,33.1,20.01,0.96,34,21,7.75,
AGO,19,19,18.82,33.59,20.08,0.97,29,22,13.46,
AGO,19,20,25.76,33.64,20.1,0.97,22,21,6.81,
AGO,19,21,25.69,33.42,20.11,0.92,15,17,7.83,
AGO,19,22,25.11,31.97,20.08,0.87,11,14,5.32,
AGO,19,23,24.95,30.27,20.04,0.83,10,12,4.9,
AGO,20,0,24.37,27.28,19.65,0.80,9,12,3.69,
AGO,20,1,22.46,24.88,12.45,0.78,12,13,3.61,
AGO,20,2,20.41,23.45,9.87,0.75,13,15,3.73,
AGO,20,3,18.2,23.37,9.14,0.70,15,16,3.78,
AGO,20,4,7.13,21.04,9.06,0.75,16,15,9.48,
AGO,20,5,1.81,18.05,9.52,0.78,30,20,9.24,
AGO,20,6,2.59,15.24,10.24,0.81,37,27,11.5,
AGO,20,7,1.81,12.35,10.65,0.89,42,32,16.48,
AGO,20,8,2.15,9.57,10.94,1.00,49,33,17.72,
AGO,20,9,2.99,7.14,11,1.08,53,37,17.24,
AGO,20,10,2.97,4.96,10.8,1.17,60,46,20.51,
AGO,20,11,14.73,4.52,10.6,1.21,64,51,11.88,
AGO,20,12,28.33,7.17,11.14,1.18,55,49,9.54,
AGO,20,13,33.74,11.16,12.24,1.21,47,49,10.56,
AGO,20,14,47.68,16.8,12.6,1.23,42,45,8.57,
AGO,20,15,43.92,22.06,12.27,1.17,29,39,4.76,
AGO,20,16,43.93,27.29,12,1.07,23,39,3.6,
AGO,20,17,49.11,33.05,11.78,1.01,20,24,5.8,
AGO,20,18,48.37,38.73,11.61,0.96,20,20,8.34,
AGO,20,19,47.66,42.84,11.92,0.97,25,19,16.35,
AGO,20,20,41.77,44.52,11.78,0.99,35,20,23.07,
AGO,20,21,25.09,43.44,11.66,0.97,37,22,19.71,
AGO,20,22,17.61,39.68,12.06,0.93,31,20,19.87,
AGO,20,23,18.32,36.48,11.96,0.94,35,19,16.91,
AGO,21,0,24.62,34.07,12.39,0.93,31,23,9.43,
AGO,21,1,20.79,30.53,12.82,0.93,28,21,9.8,
AGO,21,2,2.87,24.84,13.82,0.91,30,22,18.37,
AGO,21,3,4.87,19.49,15.04,0.86,32,22,10.37,
AGO,21,4,4.61,14.85,15.47,0.80,25,18,10.79,
AGO,21,5,2.7,12.05,15.41,0.76,21,16,12.79,
AGO,21,6,2.92,10.21,15.43,0.76,30,16,14.64,
AGO,21,7,2.71,8.26,16.48,0.80,35,21,15.5,
AGO,21,8,2.42,5.49,16.71,0.88,28,20,14.41,
AGO,21,9,4.16,3.41,16.69,0.94,24,19,14.07,
AGO,21,10,14.02,4.8,15.75,0.96,28,17,10.1,
AGO,21,11,22.49,7,15.84,0.99,35,16,12.52,
AGO,21,12,40.42,11.48,15.81,1.03,38,24,10.54,
AGO,21,13,51.81,17.62,14.77,1.06,37,27,9.28,
AGO,21,14,57.51,24.44,14.05,1.06,34,27,7.52,
AGO,21,15,61.76,31.82,14.58,1.01,29,25,6.54,
AGO,21,16,57.34,38.69,15.17,0.95,29,26,9.43,
AGO,21,17,65.51,46.36,15.87,0.92,29,26,6.68,
AGO,21,18,55.52,51.54,16.5,0.92,33,28,11.54,
AGO,21,19,36.47,53.29,16.32,0.91,39,26,11.07,
AGO,21,20,28.64,51.82,16.81,0.90,36,23,12.53,
AGO,21,21,20.84,47.95,17.31,0.89,31,22,19.9,
AGO,21,22,13.95,42.5,17.09,0.89,38,22,21.81,
AGO,21,23,7.82,35.76,17.58,0.91,44,23,23.97,
AGO,22,0,9.85,29.82,17.84,0.91,45,24,21.6,
AGO,22,1,3.7,22.1,18.12,0.90,49,22,25.59,
AGO,22,2,2.94,15.52,17.55,0.89,45,22,22.34,
AGO,22,3,2.69,11.3,17,0.88,40,23,20.53,
AGO,22,4,28.07,11.23,17.06,0.87,36,22,20.98,
AGO,22,5,NA,9.86,16.87,0.87,37,22,19.02,
AGO,22,6,30.94,12.29,16.35,0.87,40,24,18.86,
AGO,22,7,11.98,12.88,15.11,0.90,49,24,15.87,
AGO,22,8,3.89,12.03,14.88,0.97,50,25,15.36,
AGO,22,9,5.52,12.29,15.07,1.03,55,25,21.1,
AGO,22,10,10.34,13.35,16.29,1.06,49,30,14.51,
AGO,22,11,30.67,17.34,16.64,1.07,44,29,9.48,
AGO,22,12,44.68,19.72,17.31,1.07,34,27,5.66,
AGO,22,13,54.63,24.08,18.03,1.07,31,29,3.51,
AGO,22,14,54.98,27.09,19.04,1.06,26,25,6.62,
AGO,22,15,57.77,32.81,19.47,1.05,26,23,6.41,
AGO,22,16,54.48,39.13,20.19,0.99,23,21,3.56,
AGO,22,17,48.74,44.54,20.59,0.93,25,20,6.37,
AGO,22,18,55.56,50.19,20.54,0.89,20,18,5.63,
AGO,22,19,41.17,51.5,21.01,0.89,22,17,4.25,
AGO,22,20,35.88,50.4,21.49,0.87,21,15,4.97,
AGO,22,21,26.75,46.92,22.03,0.84,20,14,10.93,
AGO,22,22,20.78,42.64,22.28,0.85,20,12,12.93,
AGO,22,23,23.86,38.4,24.65,1.08,17,10,6.34,
AGO,23,0,19.04,33.97,27.88,1.15,19,10,7.95,
AGO,23,1,26.86,31.24,27.29,1.11,28,11,5.08,
AGO,23,2,18.91,26.65,29.87,1.09,26,11,9.36,
AGO,23,3,11.23,22.91,32.71,1.06,23,10,15.88,
AGO,23,4,12.45,19.98,38.69,1.08,26,15,12.17,
AGO,23,5,17.29,18.8,39.04,1.07,23,17,5.65,
AGO,23,6,22.53,19.02,39.18,1.04,18,14,6.08,
AGO,23,7,9.49,17.23,39.42,0.77,25,10,12.37,
AGO,23,8,7.32,15.76,41.6,0.68,35,15,11.3,
AGO,23,9,8.09,13.42,44.4,0.71,38,30,8.82,
AGO,23,10,26.69,14.39,48.24,0.76,41,39,4.33,
AGO,23,11,36.66,17.57,50.55,0.77,33,34,2.04,
AGO,23,12,45.01,21.64,51.15,0.79,29,29,2.93,
AGO,23,13,45.88,25.21,51.11,0.82,53,25,2.88,
AGO,23,14,51.97,28.89,51.44,0.86,59,19,NA,
AGO,23,15,53.43,34.38,52.46,0.86,38,20,1.96,
AGO,23,16,52.67,40.05,52.48,0.85,33,22,NA,
AGO,23,17,47.92,45.03,52.23,0.86,25,18,NA,
AGO,23,18,50.68,48.03,52.18,0.82,22,19,NA,
AGO,23,19,47.59,49.39,53.63,0.81,16,16,NA,
AGO,23,20,43.21,49.17,53.63,0.76,17,15,1.56,
AGO,23,21,41.53,48.62,53.63,0.72,15,16,1.1,
AGO,23,22,39.42,47.05,55.48,0.67,15,12,1.06,
AGO,23,23,38.18,45.15,55.53,0.64,15,10,0.55,
AGO,24,0,36.09,43.08,53.83,0.62,18,10,NA,
AGO,24,1,35.97,41.58,NA,0.57,16,11,NA,
AGO,24,2,24.52,38.31,NA,0.60,14,10,3.59,
AGO,24,3,15.4,34.29,NA,0.60,16,13,3.29,
AGO,24,4,21.24,31.54,NA,0.62,19,19,2.56,
AGO,24,5,32.64,30.43,NA,0.62,15,17,0.47,
AGO,24,6,11.14,26.9,NA,0.68,18,16,9.67,
AGO,24,7,8.68,23.21,NA,0.72,26,20,15.24,
AGO,24,8,6.56,19.52,NA,0.76,37,25,12.16,
AGO,24,9,8.96,16.14,NA,0.83,40,35,6.06,
AGO,24,10,21.56,15.77,NA,0.82,31,28,NA,
AGO,24,11,29.02,17.47,NA,0.86,22,22,1.49,
AGO,24,12,37.06,19.45,NA,0.89,21,21,NA,
AGO,24,13,39.5,20.31,NA,0.95,18,20,NA,
AGO,24,14,42.13,24.18,NA,0.94,17,16,NA,
AGO,24,15,44.41,28.65,NA,0.92,17,16,NA,
AGO,24,16,44.7,33.42,NA,0.93,16,15,2.58,
AGO,24,17,38.58,37.12,NA,0.86,17,15,NA,
AGO,24,18,32.94,38.54,NA,0.85,22,14,0.84,
AGO,24,19,29.84,38.65,60.69,0.82,24,15,1.5,
AGO,24,20,28.08,37.52,60.69,0.75,25,14,1.03,
AGO,24,21,26.83,35.94,60.69,0.71,21,15,NA,
AGO,24,22,26.24,33.95,60.69,0.66,19,13,NA,
AGO,24,23,25.7,31.62,60.69,0.63,16,16,NA,
AGO,25,0,25.57,29.23,60.69,0.59,14,15,NA,
AGO,25,1,21.06,27.04,59.93,0.74,16,13,2.17,
AGO,25,2,22.13,25.68,59.34,0.82,15,11,NA,
AGO,25,3,15.58,23.9,61.23,0.84,12,9,8.49,
AGO,25,4,16.03,22.4,62.1,0.85,18,19,5.18,
AGO,25,5,8.05,20.05,65.71,0.84,22,16,8.34,
AGO,25,6,8.16,17.79,63.85,0.84,24,24,10.36,
AGO,25,7,5.49,15.26,67.36,0.86,32,25,13.41,
AGO,25,8,5.56,12.76,64.97,0.89,44,43,11.67,
AGO,25,9,14.35,11.92,58.91,0.76,36,36,6.43,
AGO,25,10,15.26,11.06,56.18,0.69,33,24,8.29,
AGO,25,11,25.74,12.33,55.31,0.69,34,27,6,
AGO,25,12,38.46,15.13,53.32,0.75,25,21,NA,
AGO,25,13,39.74,19.1,52.91,0.79,19,16,NA,
AGO,25,14,38.21,22.85,54.19,0.83,16,12,NA,
AGO,25,15,36.6,26.74,53.61,0.87,15,11,NA,
AGO,25,16,34.21,30.32,55.26,0.89,16,10,NA,
AGO,25,17,33.6,32.73,56.36,0.90,13,9,NA,
AGO,25,18,32.67,34.9,57,0.90,17,9,NA,
AGO,25,19,28.76,35.28,57,0.87,54,10,NA,
AGO,25,20,22.9,33.34,54.75,0.82,61,12,2.42,
AGO,25,21,24.49,31.43,52.71,0.79,70,9,0.93,
AGO,25,22,24.26,29.69,50.85,0.74,42,5,0.62,
AGO,25,23,23.99,28.11,50.85,0.69,23,5,NA,
AGO,26,0,23.78,26.81,50.85,0.65,14,6,NA,
AGO,26,1,14.56,24.43,58.49,0.68,9,5,4.79,
AGO,26,2,8.92,21.46,63.11,0.67,12,6,10.04,
AGO,26,3,4.53,18.43,63.62,0.66,28,23,8.09,
AGO,26,4,4.07,16.07,62.89,0.66,21,24,5.52,
AGO,26,5,4.66,13.6,61.72,0.65,18,20,6.46,
AGO,26,6,4.36,11.11,63.78,0.69,18,20,4.89,
AGO,26,7,5.99,8.86,59.79,0.72,11,15,6.15,
AGO,26,8,10.05,7.14,57.25,0.75,9,11,4.95,
AGO,26,9,10.71,6.66,56.02,0.75,9,9,2.94,
AGO,26,10,11.28,6.95,55.29,0.76,11,9,1.7,
AGO,26,11,20.18,8.91,54.3,0.82,10,9,0.98,
AGO,26,12,20.52,10.97,55.3,0.86,7,9,NA,
AGO,26,13,23.48,13.32,56.49,0.91,11,9,NA,
AGO,26,14,30.2,16.55,55.68,0.91,11,8,NA,
AGO,26,15,31.28,19.71,55.94,0.98,14,8,NA,
AGO,26,16,30.29,22.24,54.11,0.97,10,8,NA,
AGO,26,17,26.89,24.27,53.22,0.91,12,9,NA,
AGO,26,18,18.86,25.21,53.1,0.90,15,8,NA,
AGO,26,19,19.22,25.09,53.28,0.85,19,13,NA,
AGO,26,20,16.84,24.63,55.24,0.81,19,11,NA,
AGO,26,21,15.72,23.66,57.41,0.76,17,10,NA,
AGO,26,22,13.6,21.59,59.82,0.73,14,7,1.66,
AGO,26,23,8.28,18.71,68.73,0.65,16,5,6.9,
AGO,27,0,8.47,15.98,73.19,0.64,14,11,5.83,
AGO,27,1,5.29,13.28,66.02,0.63,12,10,5.46,
AGO,27,2,5.72,11.64,61.07,0.62,15,11,4.5,
AGO,27,3,7.7,10.2,57.41,0.61,16,12,3.44,
AGO,27,4,5.04,8.73,56.14,0.61,16,11,2.72,
AGO,27,5,2.45,7.07,55.77,0.61,15,10,3.2,
AGO,27,6,2.22,5.65,53.63,0.61,18,14,6.87,
AGO,27,7,3.34,5.03,56.31,0.62,23,16,9.68,
AGO,27,8,2.08,4.23,57.34,0.62,20,15,5.71,
AGO,27,9,3.02,3.95,56.1,0.65,22,18,8.15,
AGO,27,10,6.32,4.02,55.4,0.70,27,15,7.41,
AGO,27,11,6.86,3.92,54.89,0.76,27,16,8.23,
AGO,27,12,6.41,4.09,53.37,0.81,20,18,8.15,
AGO,27,13,16.67,5.86,51.67,0.87,17,21,3.33,
AGO,27,14,26.13,8.85,52.84,1.06,21,14,5.23,
AGO,27,15,13.35,10.1,52.64,1.10,29,17,9.39,
AGO,27,16,4.42,10.4,57.33,1.12,32,22,9.56,
AGO,27,17,7.09,10.91,57.95,1.14,31,45,7.46,
AGO,27,18,6.83,10.97,57.64,1.15,20,29,5.44,
AGO,27,19,5.96,10.86,57.51,1.12,13,18,7.14,
AGO,27,20,3.35,10.47,55.48,1.13,9,13,10.57,
AGO,27,21,2.35,8.68,53.61,1.12,9,10,9.64,
AGO,27,22,4.26,5.95,51.87,0.94,8,9,5.81,
AGO,27,23,5.2,4.93,42.44,0.89,6,10,6.19,
AGO,28,0,5.86,5.11,37.23,0.88,6,9,3.22,
AGO,28,1,7.15,5.12,36.02,0.83,4,8,NA,
AGO,28,2,5.75,4.98,36.21,0.78,6,5,0.79,
AGO,28,3,6.98,5.11,36.55,0.74,5,5,NA,
AGO,28,4,9.85,5.93,36.93,0.68,4,5,NA,
AGO,28,5,7.33,6.55,36.27,0.64,3,3,NA,
AGO,28,6,4.83,6.62,NA,0.63,2,3,4.55,
AGO,28,7,1.92,6.21,NA,0.65,4,3,7.28,
AGO,28,8,3.06,5.86,NA,0.70,3,5,9.3,
AGO,28,9,6.29,5.75,NA,0.76,2,5,5.52,
AGO,28,10,7.71,6,NA,0.80,3,5,3.15,
AGO,28,11,8.27,6.16,NA,0.84,8,4,2.72,
AGO,28,12,11.65,6.38,NA,0.88,10,3,5.15,
AGO,28,13,NA,6.25,NA,0.91,17,5,NA,
AGO,28,14,12.44,7.33,NA,0.94,15,7,12.07,
AGO,28,15,15.76,9.31,NA,0.95,17,7,11.92,
AGO,28,16,18.5,11.52,NA,0.92,14,16,8.49,
AGO,28,17,25.54,14.27,NA,0.88,18,15,4.84,
AGO,28,18,22.61,16.4,NA,0.87,31,13,4.92,
AGO,28,19,16.64,17.59,NA,0.88,24,10,6.72,
AGO,28,20,8.99,17.21,NA,0.89,26,9,10.47,
AGO,28,21,7.48,16,NA,0.91,26,11,8.31,
AGO,28,22,9.22,15.59,NA,0.90,20,12,6.42,
AGO,28,23,10.01,14.87,NA,0.86,17,11,6.47,
AGO,29,0,19.81,15.04,NA,0.83,14,11,NA,
AGO,29,1,26.83,15.2,NA,0.81,12,10,NA,
AGO,29,2,27.19,15.77,NA,0.77,9,8,NA,
AGO,29,3,27.01,17.07,NA,0.73,8,8,NA,
AGO,29,4,28.28,19.48,NA,0.67,5,7,1.95,
AGO,29,5,22.77,21.39,NA,0.63,5,7,3.12,
AGO,29,6,9.28,21.4,NA,0.63,5,7,10.28,
AGO,29,7,8.32,21.19,NA,0.68,6,7,15.92,
AGO,29,8,8.45,19.77,NA,0.76,6,6,16.25,
AGO,29,9,8.17,17.43,NA,0.83,8,7,14.01,
AGO,29,10,17.48,16.22,NA,0.88,9,9,7.92,
AGO,29,11,21.72,15.56,0.84,0.91,10,8,5.63,
AGO,29,12,29.6,15.72,0.86,0.94,14,8,4.58,
AGO,29,13,33.17,17.02,0.99,0.98,18,9,7.6,
AGO,29,14,40.1,20.88,1.32,1.01,22,15,8.45,
AGO,29,15,50.69,26.17,2,1.00,29,23,7.89,
AGO,29,16,48.22,31.14,2.64,0.96,38,30,7.77,
AGO,29,17,43.65,35.58,2.95,0.92,38,34,6.05,
AGO,29,18,38.64,38.22,3.07,0.90,33,30,5.37,
AGO,29,19,27.59,38.96,3.16,0.92,30,25,11.58,
AGO,29,20,18.96,37.63,3.21,0.97,33,21,17.54,
AGO,29,21,20.45,36.04,3.24,0.99,32,19,14.36,
AGO,29,22,21.73,33.74,3.27,0.95,31,19,5.09,
AGO,29,23,22.48,30.21,3.28,0.90,25,20,2.02,
AGO,30,0,23.19,27.09,3.29,0.86,19,13,2.24,
AGO,30,1,22.94,24.5,3.3,0.83,14,11,1.31,
AGO,30,2,16.23,21.7,3.31,0.81,13,15,3.16,
AGO,30,3,6.44,19.05,3.3,0.76,13,16,2.62,
AGO,30,4,9.59,17.88,3.3,0.68,13,14,2.44,
AGO,30,5,14.43,17.13,3.31,0.62,12,13,2.31,
AGO,30,6,18.29,16.7,3.32,0.61,10,12,2.42,
AGO,30,7,11.13,15.28,3.32,0.62,11,10,5.52,
AGO,30,8,5.79,13.11,3.31,0.66,11,9,9.02,
AGO,30,9,4.32,10.78,3.32,0.70,14,9,8.88,
AGO,30,10,8.11,9.76,3.34,0.73,12,10,5.33,
AGO,30,11,21.71,11.67,3.35,0.76,10,10,3.35,
AGO,30,12,24.08,13.48,3.35,0.78,16,14,3.14,
AGO,30,13,20.42,14.23,3.25,0.80,13,14,2.51,
AGO,30,14,21.38,14.62,2.96,0.81,11,12,1.52,
AGO,30,15,20.68,15.81,2.32,0.81,9,11,1.81,
AGO,30,16,23.05,17.97,1.65,0.78,9,11,1.27,
AGO,30,17,24.24,20.46,1.27,0.75,10,14,1.7,
AGO,30,18,21.21,22.09,1.13,0.73,12,12,2.18,
AGO,30,19,14.39,21.18,1.04,0.72,20,11,3.82,
AGO,30,20,10.65,19.5,0.99,0.73,18,10,5.51,
AGO,30,21,10.35,18.24,0.96,0.75,15,10,5.94,
AGO,30,22,10.52,16.89,0.97,0.76,15,9,7.55,
AGO,30,23,11.12,15.69,0.98,0.75,14,8,4.13,
AGO,31,0,12.55,14.38,0.97,0.74,11,9,2.68,
AGO,31,1,8.51,12.41,0.97,0.73,10,10,4.5,
AGO,31,2,6.96,10.63,0.97,0.72,9,11,6.18,
AGO,31,3,2.06,9.09,0.97,0.70,7,10,9.41,
AGO,31,4,2.75,8.1,0.97,0.67,9,9,8.19,
AGO,31,5,1.92,7.05,0.97,0.64,8,10,9.37,
AGO,31,6,2.58,6.06,0.97,0.63,10,11,6.15,
AGO,31,7,1.86,4.9,0.97,0.66,12,11,7.74,
AGO,31,8,2.58,3.65,0.98,0.71,17,11,6.77,
AGO,31,9,4.64,3.17,0.97,0.74,15,11,5.44,
AGO,31,10,NA,2.63,0.96,0.76,19,10,NA,
AGO,31,11,NA,2.72,0.94,0.76,16,10,NA,
AGO,31,12,NA,NA,0.92,0.75,11,11,6.75,
AGO,31,13,NA,NA,0.92,0.76,14,10,NA,
AGO,31,14,NA,NA,0.95,0.77,11,10,NA,
AGO,31,15,NA,NA,0.97,NA,14,10,NA,
AGO,31,16,NA,NA,0.98,NA,11,9,NA,
AGO,31,17,20.59,NA,0.97,NA,11,10,7.85,
AGO,31,18,18.85,NA,0.96,NA,13,10,10.4,
AGO,31,19,17.71,NA,0.94,NA,14,9,12.98,
AGO,31,20,13.37,NA,0.93,NA,19,8,15.17,
AGO,31,21,19.41,NA,0.92,NA,27,8,9.29,
AGO,31,22,15.71,17.61,0.9,0.33,23,8,9.64,
AGO,31,23,9.8,16.49,0.86,0.33,20,7,6.89,
