DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs.[ µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
OCT,18,2,0.024,0.03,0.0126,0.81,NA,12,0.008
OCT,18,3,0.022,0.027,0.0149,0.79,NA,9,0.009
OCT,18,4,0.022,0.026,0.0161,0.77,NA,14,0.008
OCT,18,5,0.022,0.024,0.0165,0.76,NA,13,0.006
OCT,18,6,0.023,0.023,0.0165,0.76,NA,8,0.006
OCT,18,7,0.02,0.023,0.0174,0.75,NA,7,0.009
OCT,18,8,0.02,0.022,0.018,0.76,NA,13,0.01
OCT,18,9,0.023,0.022,0.0183,0.78,NA,10,0.01
OCT,18,10,0.031,0.023,0.0192,0.78,NA,9,0.007
OCT,18,11,0.036,0.025,0.0202,0.8,NA,11,0.01
OCT,18,12,0.043,0.027,0.0202,0.83,NA,14,0.01
OCT,18,13,0.046,0.03,0.0196,0.84,NA,13,0.009
OCT,18,14,0.045,0.033,0.0193,0.86,NA,13,0.007
OCT,18,15,0.045,0.036,0.0192,0.86,NA,10,0.005
OCT,18,16,0.045,0.039,0.0193,0.85,NA,8,0.005
OCT,18,17,0.046,0.042,0.0193,0.84,NA,7,0.007
OCT,18,18,0.048,0.044,0.0193,0.83,NA,7,0.006
OCT,18,19,0.041,0.045,0.0193,0.82,NA,11,0.008
OCT,18,20,0.038,0.044,0.0192,0.79,NA,8,0.008
OCT,18,21,0.038,0.043,0.0192,0.77,NA,6,0.006
OCT,18,22,0.032,0.042,0.0186,0.75,NA,4,0.006
OCT,18,23,0.029,0.04,0.0175,0.74,NA,4,0.008
OCT,19,0,0.025,0.037,0.0178,0.74,NA,3,0.01
OCT,19,1,0.021,0.034,0.0171,0.73,34,3,0.008
OCT,19,2,0.022,0.031,0.0167,0.72,28,NA,0.008
OCT,19,3,0.02,0.028,0.0157,0.72,26,NA,0.009
OCT,19,4,0.02,0.026,0.0154,0.72,21,6,0.008
OCT,19,5,0.021,0.024,0.0171,0.72,18,4,0.008
OCT,19,6,0.015,0.022,0.018,0.73,11,9,0.012
OCT,19,7,0.01,0.019,0.017,0.76,9,6,0.017
OCT,19,8,0.013,0.018,0.0167,0.8,10,11,0.014
OCT,19,9,0.015,0.017,0.017,0.84,17,14,0.016
OCT,19,10,0.033,0.018,0.017,0.98,23,15,0.018
OCT,19,11,0.035,0.02,0.0163,0.98,21,16,0.007
OCT,19,12,0.037,0.022,0.0166,0.99,19,14,0.008
OCT,19,13,0.046,0.026,0.0171,0.99,19,14,0.008
OCT,19,14,0.045,0.029,0.0171,0.99,15,12,0.007
OCT,19,15,0.044,0.034,0.017,0.97,18,9,0.006
OCT,19,16,0.045,0.038,0.017,0.95,18,7,0.008
OCT,19,17,0.046,0.042,0.017,0.91,21,5,0.007
OCT,19,18,0.043,0.043,0.017,0.78,19,9,0.008
OCT,19,19,0.037,0.043,0.017,0.78,16,6,0.009
OCT,19,20,0.034,0.043,0.017,0.77,12,5,0.007
OCT,19,21,0.035,0.041,0.017,0.76,16,5,0.005
OCT,19,22,0.034,0.04,0.0168,0.75,17,4,0.005
OCT,19,23,0.029,0.038,0.0168,0.74,19,4,0.007
OCT,20,0,0.026,0.035,0.0164,0.73,26,4,0.008
OCT,20,1,0.025,0.033,0.0178,0.73,19,4,0.008
OCT,20,2,0.023,0.03,0.0185,0.73,18,5,0.008
OCT,20,3,0.021,0.028,0.0179,0.72,16,8,0.009
OCT,20,4,0.026,0.027,0.0168,0.72,16,8,0.006
OCT,20,5,0.024,0.026,0.0147,0.72,14,7,0.007
OCT,20,6,0.015,0.024,0.0134,0.75,11,7,0.013
OCT,20,7,0.011,0.021,0.0125,0.77,10,6,0.016
OCT,20,8,0.013,0.02,0.0124,0.82,11,6,0.016
OCT,20,9,0.02,0.019,0.0123,0.83,14,6,0.009
OCT,20,10,0.035,0.021,0.012,0.83,21,NA,0.006
OCT,20,11,0.039,0.023,0.012,0.84,24,NA,0.006
OCT,20,12,0.042,0.025,0.0112,0.85,20,10,0.007
OCT,20,13,0.047,0.028,0.0107,0.86,20,13,0.005
OCT,20,14,0.045,0.031,0.0112,0.86,23,10,0.008
OCT,20,15,0.045,0.036,0.0112,0.84,22,12,0.008
OCT,20,16,0.046,0.04,0.0112,0.8,21,8,0.007
OCT,20,17,0.046,0.043,0.0112,0.8,19,6,0.009
OCT,20,18,0.045,0.044,0.0112,0.8,16,4,0.008
OCT,20,19,0.035,0.044,0.0112,0.81,15,2,0.012
OCT,20,20,0.036,0.043,0.0112,0.8,14,2,0.009
OCT,20,21,0.038,0.042,0.0113,0.79,18,4,0.007
OCT,20,22,0.035,0.041,0.0119,0.78,23,5,0.007
OCT,20,23,0.03,0.039,0.0129,0.77,23,5,0.008
OCT,21,0,0.028,0.037,0.0133,0.76,23,7,0.008
OCT,21,1,0.025,0.034,0.0126,0.74,29,8,0.009
OCT,21,2,0.03,0.032,0.0112,0.74,30,12,0.005
OCT,21,3,0.028,0.031,0.0106,0.73,58,10,0.005
OCT,21,4,0.026,0.03,0.0107,0.73,47,9,0.007
OCT,21,5,0.025,0.028,0.0108,0.73,31,7,0.007
OCT,21,6,0.017,0.026,0.0118,0.74,17,6,0.012
OCT,21,7,0.013,0.024,0.0132,0.76,15,8,0.013
OCT,21,8,0.016,0.022,0.0133,0.78,16,14,0.013
OCT,21,9,0.026,0.023,0.0124,0.81,20,17,0.015
OCT,21,10,0.029,0.022,0.0121,0.84,26,17,0.012
OCT,21,11,0.039,0.024,0.0117,0.85,24,11,0.006
OCT,21,12,0.043,0.026,0.0114,0.86,23,10,0.007
OCT,21,13,0.048,0.029,0.0116,0.87,23,10,0.009
OCT,21,14,0.046,0.032,0.011,0.87,26,12,0.006
OCT,21,15,0.047,0.037,0.011,0.87,28,10,0.007
OCT,21,16,0.052,0.041,0.0112,0.87,27,7,0.008
OCT,21,17,0.052,0.044,0.0114,0.84,27,6,0.01
OCT,21,18,0.049,0.047,0.0117,0.84,20,7,0.014
OCT,21,19,0.041,0.047,0.0118,0.85,17,8,0.013
OCT,21,20,0.039,0.047,0.0118,0.85,15,7,0.008
OCT,21,21,0.039,0.046,0.0118,0.83,20,6,0.006
OCT,21,22,0.035,0.044,0.0114,0.82,27,5,0.007
OCT,21,23,0.032,0.042,0.011,0.82,35,6,0.009
OCT,22,0,0.028,0.039,0.0118,0.81,45,10,0.008
OCT,22,1,0.026,0.036,0.0118,0.79,48,15,0.009
OCT,22,2,0.026,0.033,0.0129,0.76,44,13,0.01
OCT,22,3,0.024,0.031,0.0139,0.74,39,12,0.01
OCT,22,4,0.027,0.03,0.0139,0.74,33,10,0.007
OCT,22,5,0.024,0.028,0.0144,0.74,29,8,0.009
OCT,22,6,0.016,0.025,0.0149,0.75,23,7,0.015
OCT,22,7,0.009,0.022,0.0156,0.77,24,12,0.02
OCT,22,8,0.011,0.02,0.0164,0.82,21,19,0.018
OCT,22,9,0.017,0.019,0.0192,0.86,28,18,0.016
OCT,22,10,0.03,0.02,0.0205,0.88,32,27,0.013
OCT,22,11,0.039,0.021,0.0213,0.9,37,27,0.011
OCT,22,12,0.052,0.025,0.0232,0.97,33,26,0.012
OCT,22,13,0.058,0.029,0.023,1.01,35,27,0.009
OCT,22,14,0.061,0.034,0.023,1.03,45,18,0.008
OCT,22,15,0.06,0.041,0.0235,1.03,46,15,0.009
OCT,22,16,0.057,0.047,0.0242,1.03,45,11,0.009
OCT,22,17,0.048,0.05,0.0242,1.02,46,12,0.007
OCT,22,18,0.046,0.052,0.0239,1.02,42,8,0.008
OCT,22,19,0.038,0.052,0.0238,1.04,37,7,0.016
OCT,22,20,0.027,0.049,0.0239,1,35,6,0.021
OCT,22,21,0.029,0.046,0.0243,0.98,37,6,0.014
OCT,22,22,0.026,0.041,0.0254,0.96,63,6,0.014
OCT,22,23,0.014,0.036,0.0252,0.95,58,11,0.024
OCT,23,0,0.011,0.03,0.0238,0.94,53,18,0.026
OCT,23,1,0.013,0.026,0.0231,0.93,53,18,0.023
OCT,23,2,0.01,0.021,0.0226,0.94,50,15,0.024
OCT,23,3,0.007,0.017,0.0218,0.92,48,15,0.024
OCT,23,4,0.007,0.015,0.0218,0.91,44,9,0.023
OCT,23,5,0.008,0.012,0.0211,0.91,50,7,0.023
OCT,23,6,0.01,0.01,0.0198,0.96,48,7,0.025
OCT,23,7,0.008,0.009,0.0177,0.98,41,21,0.024
OCT,23,8,0.01,0.009,0.0173,1.02,31,17,0.025
OCT,23,9,0.018,0.01,0.0167,1.04,29,17,0.019
OCT,23,10,0.032,0.012,0.0161,1.06,33,23,0.017
OCT,23,11,0.047,0.017,0.0155,1.09,29,23,0.018
OCT,23,12,0.069,0.025,0.0152,1.15,32,23,0.014
OCT,23,13,0.075,0.034,0.0172,1.25,32,26,0.02
OCT,23,14,0.08,0.042,0.0201,1.29,29,26,0.021
OCT,23,15,0.072,0.05,0.0212,1.3,NA,33,0.016
OCT,23,16,0.05,0.055,0.0203,1.25,NA,31,0.007
OCT,23,17,0.052,0.06,0.0202,1.22,NA,18,0.01
OCT,23,18,0.049,0.062,0.0202,1.2,NA,13,0.011
OCT,23,19,0.035,0.06,0.0202,1.16,NA,10,0.015
OCT,23,20,0.034,0.056,0.0201,1.09,NA,7,0.011
OCT,23,21,0.034,0.051,0.0214,0.99,NA,5,0.011
OCT,23,22,0.031,0.045,0.0207,0.9,NA,12,0.013
OCT,23,23,0.028,0.039,0.0216,0.84,NA,11,0.015
OCT,24,0,0.031,0.037,0.022,0.83,28,12,0.012
OCT,24,1,0.028,0.034,0.023,0.82,30,12,0.012
OCT,24,2,0.026,0.031,0.0231,0.82,26,12,0.013
OCT,24,3,0.019,0.029,0.0238,0.82,40,14,0.017
OCT,24,4,0.022,0.027,0.0252,0.82,34,17,0.014
OCT,24,5,0.021,0.026,0.0297,0.81,32,16,0.015
OCT,24,6,0.019,0.024,0.0317,0.82,39,25,0.016
OCT,24,7,0.011,0.022,0.0335,0.86,42,18,0.025
OCT,24,8,0.01,0.019,0.0336,0.94,56,19,0.029
OCT,24,9,0.02,0.018,0.0327,0.99,69,28,0.023
OCT,24,10,0.032,0.019,0.0329,1.01,64,27,0.015
OCT,24,11,0.045,0.022,0.0354,1.01,55,24,0.01
OCT,24,12,0.055,0.027,0.0345,1.03,48,27,0.007
OCT,24,13,0.059,0.031,0.0343,1.04,38,20,0.008
OCT,24,14,0.057,0.036,0.0324,1.05,35,18,0.008
OCT,24,15,0.054,0.041,0.0312,1.04,28,16,0.008
OCT,24,16,0.053,0.047,0.0321,1,27,13,0.008
OCT,24,17,0.049,0.05,0.0324,0.98,24,12,0.006
OCT,24,18,0.045,0.052,0.0324,0.94,23,10,0.007
OCT,24,19,0.037,0.051,0.0325,0.95,25,8,0.011
OCT,24,20,0.032,0.048,0.0335,1.06,27,7,0.015
OCT,24,21,0.034,0.045,0.0323,1.07,26,9,0.01
OCT,24,22,0.028,0.041,0.0322,1.09,25,6,0.012
OCT,24,23,0.028,0.038,0.0327,1.05,29,5,0.009
OCT,25,0,0.027,0.035,0.0334,1.01,32,11,0.01
OCT,25,1,0.025,0.032,0.0339,0.99,36,12,0.011
OCT,25,2,0.019,0.029,0.0351,0.99,34,16,0.016
OCT,25,3,0.02,0.027,0.0373,0.98,28,11,0.015
OCT,25,4,0.019,0.025,0.0376,0.85,31,12,0.013
OCT,25,5,0.02,0.023,0.0344,0.83,36,17,0.01
OCT,25,6,0.016,0.022,0.0346,0.81,42,17,0.014
OCT,25,7,0.015,0.02,0.0341,0.82,41,21,0.013
OCT,25,8,0.012,0.018,0.0355,0.86,39,17,0.015
OCT,25,9,0.023,0.018,0.0393,0.88,39,21,0.013
OCT,25,10,0.038,0.02,0.045,0.9,41,27,0.012
OCT,25,11,0.041,0.023,0.0452,0.93,35,26,0.011
OCT,25,12,0.043,0.026,0.0448,0.93,29,26,0.007
OCT,25,13,0.05,0.03,0.0441,0.95,25,18,0.008
OCT,25,14,0.05,0.034,0.0434,0.99,23,15,0.009
OCT,25,15,0.049,0.038,0.043,0.98,16,13,0.006
OCT,25,16,0.052,0.043,0.0424,1,14,10,0.006
OCT,25,17,0.051,0.047,0.0423,0.99,22,8,0.007
OCT,25,18,0.056,0.049,0.0424,1,27,7,0.013
OCT,25,19,0.041,0.049,0.0427,1.02,41,9,0.025
OCT,25,20,0.036,0.048,0.0421,1.05,52,19,0.018
OCT,25,21,0.033,0.046,0.0415,1.02,43,28,0.009
OCT,25,22,0.029,0.043,0.0421,0.99,31,16,0.012
OCT,25,23,0.025,0.04,0.0466,0.98,32,11,0.017
OCT,26,0,0.012,0.035,0.0475,0.96,37,13,0.025
OCT,26,1,0.016,0.031,0.0476,0.96,41,16,0.021
OCT,26,2,0.013,0.026,0.0468,0.96,43,19,0.021
OCT,26,3,0.015,0.022,0.0449,0.93,43,16,0.02
OCT,26,4,0.013,0.019,0.0438,0.91,42,16,0.02
OCT,26,5,0.012,0.017,0.0433,0.92,36,15,0.02
OCT,26,6,0.009,0.014,0.042,0.93,41,13,0.022
OCT,26,7,0.009,0.012,0.0424,0.95,53,18,0.024
OCT,26,8,0.016,0.013,0.0421,0.95,52,20,0.019
OCT,26,9,0.019,0.013,0.0398,0.97,49,23,0.018
OCT,26,10,0.028,0.015,0.033,0.98,48,27,0.015
OCT,26,11,0.043,0.019,0.0306,0.99,39,20,0.015
OCT,26,12,0.058,0.024,0.0313,1.03,42,19,0.017
OCT,26,13,0.079,0.033,0.0337,1.17,49,22,0.018
OCT,26,14,0.082,0.042,0.0358,1.25,49,28,0.018
OCT,26,15,0.085,0.051,0.0373,1.28,47,26,0.015
OCT,26,16,0.077,0.059,0.0377,1.3,44,26,0.014
OCT,26,17,0.05,0.063,0.0376,1.29,38,23,0.015
OCT,26,18,0.036,0.064,0.0375,1.33,39,16,0.029
OCT,26,19,0.011,0.06,0.0373,1.55,54,12,0.05
OCT,26,20,0.008,0.053,0.0369,1.69,66,18,0.048
OCT,26,21,0.007,0.044,0.0369,1.69,74,19,0.043
OCT,26,22,0.008,0.035,0.0361,1.76,78,19,0.039
OCT,26,23,0.016,0.027,0.0299,1.76,92,20,0.036
OCT,27,0,0.015,0.019,0.0283,1.76,86,26,0.032
OCT,27,1,0.012,0.014,0.0271,1.79,76,25,0.033
OCT,27,2,0.008,0.01,0.0264,1.75,69,24,0.032
OCT,27,3,0.007,0.01,0.0253,1.54,56,20,0.03
OCT,27,4,0.007,0.01,0.0247,1.38,50,17,0.03
OCT,27,5,0.008,0.01,0.0242,1.26,56,17,0.029
OCT,27,6,0.009,0.01,0.0238,1.13,56,18,0.026
OCT,27,7,0.012,0.01,0.0228,1.13,56,19,0.027
OCT,27,8,0.013,0.009,0.0212,1.16,59,17,0.024
OCT,27,9,0.019,0.01,0.0188,1.16,55,18,0.021
OCT,27,10,0.034,0.014,0.0191,1.17,59,17,0.019
OCT,27,11,0.046,0.018,0.0189,1.18,61,24,0.016
OCT,27,12,0.059,0.025,0.0175,1.17,53,24,0.012
OCT,27,13,0.058,0.031,0.014,1.16,40,21,0.011
OCT,27,14,0.062,0.038,0.0114,1.15,35,15,0.009
OCT,27,15,0.062,0.044,0.0099,1.12,29,15,0.012
OCT,27,16,0.064,0.051,0.0092,1.07,30,14,0.01
OCT,27,17,0.057,0.055,0.0092,1.04,30,15,0.013
OCT,27,18,0.047,0.057,0.0092,1.05,32,17,0.022
OCT,27,19,0.021,0.054,0.0092,1.22,44,18,0.042
OCT,27,20,0.016,0.049,0.0091,1.31,61,20,0.038
OCT,27,21,0.027,0.045,0.0091,1.34,66,21,0.026
OCT,27,22,0.033,0.041,0.0089,1.36,61,20,0.017
OCT,27,23,0.03,0.037,0.0088,1.35,48,18,0.016
OCT,28,0,0.029,0.033,0.008,1.36,44,16,0.016
OCT,28,1,0.016,0.028,0.0072,1.35,44,18,0.026
OCT,28,2,0.011,0.023,0.007,1.32,46,17,0.031
OCT,28,3,0.011,0.022,0.007,1.13,43,19,0.03
OCT,28,4,0.01,0.021,0.0069,1.04,41,18,0.028
OCT,28,5,0.013,0.019,0.0066,0.99,38,19,0.025
OCT,28,6,0.01,0.016,0.0059,0.99,37,19,0.027
OCT,28,7,0.011,0.014,0.0049,1.03,42,17,0.028
OCT,28,8,0.01,0.012,0.0044,1.14,50,20,0.028
OCT,28,9,0.015,0.011,0.0038,1.21,56,25,0.025
OCT,28,10,0.029,0.014,0.0033,1.23,50,27,0.015
OCT,28,11,0.041,0.017,0.0031,1.25,42,24,0.014
OCT,28,12,0.046,0.022,0.003,1.26,39,21,0.013
OCT,28,13,0.048,0.026,0.003,1.28,31,15,0.011
OCT,28,14,0.047,0.031,0.003,1.28,31,14,0.013
OCT,28,15,0.046,0.035,0.003,1.26,29,15,0.012
OCT,28,16,0.049,0.04,0.0029,1.15,29,14,0.011
OCT,28,17,0.048,0.044,0.0029,1.09,27,14,0.013
OCT,28,18,0.042,0.046,0.0029,1.11,32,16,0.02
OCT,28,19,0.025,0.044,0.0029,1.18,42,15,0.031
OCT,28,20,0.015,0.04,0.0029,1.25,52,18,0.034
OCT,28,21,0.018,0.036,0.0029,1.29,56,19,0.03
OCT,28,22,0.021,0.033,0.0029,1.31,59,19,0.027
OCT,28,23,0.027,0.031,0.0029,1.31,52,14,0.016
OCT,29,0,0.019,0.027,0.0029,1.31,44,14,0.018
OCT,29,1,0.008,0.022,0.0029,1.3,38,11,0.029
OCT,29,2,0.008,0.017,0.0028,1.28,44,12,0.03
OCT,29,3,0.008,0.015,0.0028,1.2,47,17,0.027
OCT,29,4,0.011,0.015,0.0028,1.12,46,16,0.024
OCT,29,5,0.008,0.014,0.0028,1.08,42,15,0.024
OCT,29,6,0.009,0.012,0.0028,1.05,42,17,0.024
OCT,29,7,0.015,0.011,0.0028,1.07,47,18,0.025
OCT,29,8,0.012,0.01,0.0027,1.13,58,22,0.028
OCT,29,9,0.016,0.011,0.0029,1.19,65,27,0.029
OCT,29,10,0.027,0.013,0.0031,1.21,61,30,0.022
OCT,29,11,0.042,0.018,0.0031,1.22,57,32,0.021
OCT,29,12,0.075,0.026,0.0033,1.22,49,28,0.014
OCT,29,13,0.086,0.035,0.0038,1.22,46,24,0.013
OCT,29,14,0.064,0.042,0.004,1.2,39,24,0.009
OCT,29,15,0.063,0.048,0.0041,1.17,32,19,0.01
OCT,29,16,0.063,0.055,0.0042,1.1,31,17,0.012
OCT,29,17,0.064,0.061,0.0042,1.04,33,14,0.01
OCT,29,18,0.055,0.064,0.0043,1,39,14,0.01
OCT,29,19,0.045,0.064,0.0043,0.97,47,13,0.014
OCT,29,20,0.049,0.061,0.0043,0.96,49,14,0.009
OCT,29,21,0.047,0.056,0.0043,0.94,46,12,0.008
OCT,29,22,0.049,0.055,0.0043,0.93,46,13,0.006
OCT,29,23,0.04,0.052,0.0052,0.92,41,11,0.009
OCT,30,0,0.038,0.049,0.0059,0.9,39,13,0.009
OCT,30,1,0.04,0.046,0.0068,0.89,33,11,0.007
OCT,30,2,0.041,0.044,0.0075,0.88,29,10,0.006
OCT,30,3,0.039,0.043,0.0075,0.87,23,9,0.006
OCT,30,4,0.039,0.042,0.0075,0.87,16,6,0.005
OCT,30,5,0.039,0.041,0.0076,0.86,15,4,0.006
OCT,30,6,0.039,0.039,0.0076,0.86,13,4,0.006
OCT,30,7,0.037,0.039,0.0075,0.86,12,5,0.008
OCT,30,8,0.03,0.038,0.0075,0.88,11,5,0.013
OCT,30,9,0.041,0.038,0.0072,0.89,11,5,0.007
OCT,30,10,0.048,0.039,0.0073,0.89,15,6,0.006
OCT,30,11,0.051,0.04,0.0073,0.89,16,9,0.006
OCT,30,12,0.055,0.042,0.0072,0.91,19,10,0.007
OCT,30,13,0.06,0.045,0.0068,0.92,22,9,0.006
OCT,30,14,0.061,0.048,0.0068,0.93,23,9,0.006
OCT,30,15,0.062,0.051,0.0067,0.93,24,11,0.006
OCT,30,16,0.061,0.055,0.0067,0.92,29,11,0.006
OCT,30,17,0.059,0.057,0.0067,0.93,29,9,0.007
OCT,30,18,0.05,0.057,0.0067,0.94,49,8,0.009
OCT,30,19,0.042,0.056,0.0066,0.95,45,7,0.011
OCT,30,20,0.041,0.054,0.0066,0.93,40,7,0.008
OCT,30,21,0.039,0.052,0.0066,0.92,35,7,0.008
OCT,30,22,0.039,0.049,0.0066,0.92,30,6,0.007
OCT,30,23,0.039,0.046,0.0056,0.91,24,5,0.007
OCT,31,0,0.04,0.044,0.0049,0.9,20,5,0.006
OCT,31,1,0.032,0.04,0.0043,0.89,15,5,0.01
OCT,31,2,0.034,0.038,0.004,0.87,17,5,0.01
OCT,31,3,0.037,0.038,0.0046,0.86,18,5,0.009
OCT,31,4,0.033,0.037,0.0051,0.85,18,6,0.01
OCT,31,5,0.033,0.036,0.0055,0.84,16,6,0.01
OCT,31,6,0.031,0.035,0.0058,0.84,15,7,0.01
OCT,31,7,0.026,0.033,0.0062,0.85,17,7,0.014
OCT,31,8,0.027,0.032,0.0067,0.86,18,6,0.014
OCT,31,9,0.035,0.032,0.0073,0.88,25,10,0.018
OCT,31,10,0.049,0.034,0.0074,0.92,46,15,0.024
OCT,31,11,0.044,0.035,0.0078,0.94,48,23,0.013
OCT,31,12,0.051,0.037,0.0084,0.96,41,16,0.012
OCT,31,13,0.058,0.04,0.0092,1,37,15,0.016
OCT,31,14,0.065,0.044,0.0102,1.04,41,19,0.015
OCT,31,15,0.062,0.049,0.0105,1.08,40,21,0.015
OCT,31,16,0.061,0.053,0.0112,1.1,40,19,0.015
OCT,31,17,0.062,0.056,0.0117,1.13,42,18,0.017
OCT,31,18,0.063,0.058,0.0121,1.13,49,23,0.02
OCT,31,19,0.038,0.057,0.0124,1.23,49,22,0.038
OCT,31,20,0.027,0.055,0.0127,1.29,62,22,0.03
OCT,31,21,0.034,0.052,0.0129,1.26,48,22,0.008
OCT,31,22,0.034,0.048,0.0132,1.22,37,14,0.007
OCT,31,23,0.033,0.044,0.0137,1.18,31,9,0.009
