DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,4,22,0.0291,0.0312,0.0473,NA,8,7,NA
SEP,4,23,0.0292,0.0298,0.0395,NA,7,5,NA
SEP,5,0,0.0295,0.0286,0.0337,NA,8,6,NA
SEP,5,1,0.0297,0.0279,0.0288,NA,8,8,0.0033
SEP,5,2,0.0312,0.029,0.0251,NA,7,9,NA
SEP,5,3,0.0243,0.0287,0.0265,NA,12,8,0.0079
SEP,5,4,0.024,0.0282,0.0293,NA,12,16,0.0064
SEP,5,5,0.0208,0.0272,0.0312,NA,12,10,0.0087
SEP,5,6,0.0196,0.026,0.0326,NA,18,13,0.0093
SEP,5,7,0.0208,0.025,0.0308,NA,14,11,0.0066
SEP,5,8,0.0168,0.0234,0.0292,NA,14,10,0.0105
SEP,5,9,0.0222,0.0225,0.0283,NA,17,16,0.0072
SEP,5,10,0.029,0.0222,0.0279,NA,11,15,0.0045
SEP,5,11,0.0344,0.0235,0.0281,NA,11,14,0.0043
SEP,5,12,0.0378,0.0252,0.0287,NA,13,12,0.005
SEP,5,13,0.0354,0.027,0.0299,NA,22,12,0.0103
SEP,5,14,0.0383,0.0293,0.0294,NA,27,20,0.0088
SEP,5,15,0.0368,0.0313,0.03,NA,24,21,0.0053
SEP,5,16,0.0358,0.0337,0.03,NA,18,16,0.0043
SEP,5,17,0.0364,0.0355,0.0311,NA,14,12,0.0054
SEP,5,18,0.0329,0.036,0.0317,NA,14,11,NA
SEP,5,19,0.0255,0.0349,0.0325,NA,35,13,0.0088
SEP,5,20,0.0222,0.0329,0.0342,NA,28,15,0.0087
SEP,5,21,0.024,0.0315,0.0383,NA,30,19,0.0067
SEP,5,22,0.0226,0.0295,0.0404,NA,27,22,NA
SEP,5,23,0.0214,0.0276,0.0439,NA,25,18,0.0058
SEP,6,0,0.0216,0.0258,0.0482,NA,18,16,NA
SEP,6,1,0.0197,0.0238,0.0565,NA,19,14,NA
SEP,6,2,0.0231,0.0225,0.063,NA,15,13,0.0049
SEP,6,3,0.0155,0.0213,0.0651,NA,12,11,0.0123
SEP,6,4,0.0154,0.0204,0.0661,NA,13,14,0.0119
SEP,6,5,0.02,0.0199,0.072,NA,12,15,NA
SEP,6,6,0.0148,0.0189,0.0712,NA,11,14,0.0099
SEP,6,7,0.0195,0.0187,0.0702,NA,14,16,NA
SEP,6,8,0.0223,0.0188,0.068,NA,10,14,0.0046
SEP,6,9,0.0271,0.0197,0.066,NA,6,13,0.003
SEP,6,10,0.0296,0.0205,0.0654,NA,9,11,0.003
SEP,6,11,0.03,0.0223,0.0661,NA,9,9,0.0047
SEP,6,12,0.0307,0.0243,0.0667,NA,14,9,0.0068
SEP,6,13,0.0348,0.0261,0.0658,NA,16,14,0.0049
SEP,6,14,0.0368,0.0289,0.0654,NA,14,14,0.0036
SEP,6,15,0.0352,0.0308,0.0643,NA,10,14,0.0033
SEP,6,16,0.0308,0.0319,0.0629,NA,12,11,0.0043
SEP,6,17,0.0334,0.0327,0.0618,NA,7,7,NA
SEP,6,18,0.0328,0.0331,0.0605,NA,10,6,0.003
SEP,6,19,0.0285,0.0329,0.0595,NA,8,6,0.0035
