DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5
ENE,11,2,19.41,14.58,4.83,2.83,75.48,46.35
ENE,11,3,18.88,14.13,4.69,2.80,73.25,44.29
ENE,11,4,19.49,14.53,4.81,2.67,71.05,42.60
ENE,11,5,19.39,15.68,4.76,2.39,68.52,40.36
ENE,11,6,18.29,16.18,4.51,2.29,67.12,38.09
ENE,11,7,18.07,16.69,4.47,2.19,64.95,36.59
ENE,11,8,19.15,17.38,4.85,2.07,64.40,34.93
ENE,11,9,19.79,18.25,5.78,2.12,62.99,34.18
ENE,11,10,22.52,19.25,6.54,2.12,61.67,33.65
ENE,11,11,23.32,21.29,6.82,2.09,61.83,33.24
ENE,11,12,20.58,25.29,7.32,2.09,62.71,33.17
ENE,11,13,18.40,29.48,8.56,2.08,63.31,33.65
ENE,11,14,16.91,34.24,9.80,2.05,63.86,34.20
ENE,11,15,16.34,41.36,11.07,2.00,64.29,34.50
ENE,11,16,21.50,48.06,12.00,1.98,64.46,34.72
ENE,11,17,14.14,55.52,12.30,1.89,63.76,34.74
ENE,11,18,19.61,61.45,12.51,1.84,63.58,34.75
ENE,11,19,35.14,61.15,13.30,2.14,63.16,35.03
ENE,11,20,40.07,57.45,13.53,2.79,64.25,34.90
ENE,11,21,31.62,53.35,13.78,3.06,66.91,36.09
ENE,11,22,19.03,50.27,14.98,3.08,65.86,35.81
ENE,11,23,17.59,44.57,16.51,3.06,65.50,35.40
ENE,12,0,21.16,38.60,19.37,2.98,64.20,35.10
ENE,12,1,14.47,32.56,21.38,2.95,63.29,34.81
ENE,12,2,9.21,28.27,22.66,2.90,61.85,34.30
ENE,12,3,11.57,29.08,23.96,2.52,60.19,33.86
ENE,12,4,11.02,30.98,25.19,1.81,58.75,32.69
ENE,12,5,7.38,33.13,26.08,1.50,57.24,32.00
ENE,12,6,10.38,33.43,27.28,1.47,55.72,31.42
ENE,12,7,12.87,33.48,28.44,1.46,54.93,31.01
ENE,12,8,12.94,34.22,29.21,1.47,52.36,30.64
ENE,12,9,11.78,34.58,29.39,1.48,50.56,30.06
ENE,12,10,12.90,34.73,31.75,1.50,49.70,29.00
ENE,12,11,15.07,34.95,34.36,1.53,48.78,28.77
ENE,12,12,16.34,35.59,37.86,1.55,48.07,28.83
ENE,12,13,15.41,37.20,40.18,1.58,47.99,28.96
ENE,12,14,16.40,41.08,40.51,1.63,48.38,28.99
ENE,12,15,14.84,47.95,39.92,1.70,48.70,29.33
ENE,12,16,15.42,56.29,39.36,1.75,49.23,29.64
ENE,12,17,12.73,63.54,39.14,1.78,49.76,30.24
ENE,12,18,12.47,69.49,38.99,1.79,49.57,30.20
ENE,12,19,23.05,72.33,38.23,1.88,49.88,30.18
ENE,12,20,38.78,70.22,38.07,2.17,48.84,30.60
ENE,12,21,34.32,66.50,37.83,2.38,45.81,29.81
ENE,12,22,34.18,61.07,36.90,2.80,46.61,29.62
ENE,12,23,20.23,54.74,35.99,2.77,47.56,30.14
ENE,13,0,21.44,46.45,34.05,2.74,47.44,29.88
ENE,13,1,25.51,37.71,32.65,2.79,47.80,29.23
ENE,13,2,21.52,30.37,31.62,2.84,48.73,29.33
ENE,13,3,16.60,26.91,30.31,2.75,49.23,29.62
ENE,13,4,15.37,27.62,28.92,2.46,50.28,29.86
ENE,13,5,22.44,27.84,28.00,2.27,51.58,30.29
ENE,13,6,21.85,27.85,26.75,1.88,52.86,30.74
ENE,13,7,23.01,26.25,25.58,2.00,53.97,30.98
ENE,13,8,22.98,25.56,24.28,2.14,56.13,31.43
ENE,13,9,26.63,25.82,23.38,2.22,57.45,32.02
ENE,13,10,24.58,26.19,21.28,2.24,58.66,32.21
ENE,13,11,26.25,25.16,20.65,2.29,60.28,32.34
ENE,13,12,27.73,25.47,18.64,2.37,62.07,32.93
ENE,13,13,25.74,30.12,18.06,2.47,63.44,33.26
ENE,13,14,19.63,36.29,17.42,2.47,64.34,34.09
ENE,13,15,17.89,44.64,17.36,2.41,64.22,33.90
ENE,13,16,16.92,53.00,17.25,2.31,64.05,34.03
ENE,13,17,15.14,60.66,17.79,2.19,63.98,33.49
ENE,13,18,26.83,64.24,18.38,2.19,64.54,33.93
ENE,13,19,39.76,64.08,19.05,2.40,65.18,34.16
