DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MARZO,4,23,0.0331,0.0449,0.0084,1.038,82
MARZO,5,0,0.0258,0.0402,0.0079,1.09,85
MARZO,5,1,0.017,0.0347,0.0072,1.133,83
MARZO,5,2,0.0112,0.0288,0.0066,1.176,93
MARZO,5,3,0.0352,0.027,0.0065,1.162,88
MARZO,5,4,0.0325,0.0275,0.0064,1.09,70
MARZO,5,5,0.028,0.0276,0.0064,1.035,61
MARZO,5,6,0.0231,0.0257,0.0064,1.011,56
MARZO,5,7,0.0099,0.0228,0.0064,1.027,55
MARZO,5,8,0.0048,0.0202,0.0064,1.09,70
MARZO,5,9,0.0086,0.0192,0.0065,1.125,101
MARZO,5,10,0.0319,0.0217,0.0065,1.101,95
MARZO,5,11,0.0439,0.0228,0.0066,1.102,73
MARZO,5,12,0.0499,0.025,0.0066,1.101,58
MARZO,5,13,0.0533,0.0282,0.0067,1.101,50
MARZO,5,14,0.0516,0.0317,0.0067,1.093,44
MARZO,5,15,0.0505,0.0368,0.0067,1.037,39
MARZO,5,16,0.056,0.0432,0.0068,0.92,40
MARZO,5,17,0.0562,0.0492,0.0068,0.838,41
MARZO,5,18,0.0503,0.0515,0.0069,0.817,41
MARZO,5,19,0.0412,0.0511,0.0069,0.83,43
MARZO,5,20,0.0116,0.0463,0.0069,1.007,72
MARZO,5,21,0.0029,0.04,0.007,1.189,119
MARZO,5,22,0.0159,0.0356,0.0071,1.258,121
MARZO,5,23,0.0162,0.0313,0.0072,1.329,102
MARZO,6,0,0.0117,0.0257,0.0073,1.384,90
MARZO,6,1,0.0203,0.0213,0.0074,1.402,90
MARZO,6,2,0.0282,0.0185,0.0075,1.406,90
MARZO,6,3,0.0235,0.0163,0.0094,1.386,84
MARZO,6,4,0.0233,0.0177,0.0119,1.209,78
MARZO,6,5,0.0291,0.021,0.0129,1.025,69
MARZO,6,6,0.0286,0.0226,0.0138,0.958,65
MARZO,6,7,0.025,0.0237,0.0151,0.896,63
MARZO,6,8,0.0222,0.025,0.0167,0.857,56
MARZO,6,9,0.0193,0.0249,0.02,0.86,60
MARZO,6,10,0.0256,0.0246,0.0213,0.878,75
MARZO,6,11,0.0335,0.0258,0.0215,0.891,84
MARZO,6,12,0.0392,0.0278,0.0216,0.902,89
MARZO,6,13,0.0449,0.0298,0.0219,0.912,90
MARZO,6,14,0.051,0.0326,0.0221,0.916,80
MARZO,6,15,0.0532,0.0361,0.0225,0.913,70
MARZO,6,16,0.0538,0.0401,0.0229,0.905,65
MARZO,6,17,0.0517,0.0441,0.0248,0.915,62
MARZO,6,18,0.0515,0.0474,0.026,0.933,60
MARZO,6,19,0.0421,0.0484,0.0264,0.947,60
MARZO,6,20,0.0361,0.048,0.0283,0.962,64
MARZO,6,21,0.0307,0.0463,0.029,0.963,68
MARZO,6,22,0.0259,0.0431,0.0297,0.968,70
MARZO,6,23,0.0219,0.0392,0.0327,0.971,73
MARZO,7,0,0.0295,0.0362,0.0327,0.97,66
MARZO,7,1,0.0311,0.0336,0.0326,0.945,53
MARZO,7,2,0.0311,0.031,0.0325,0.907,42
MARZO,7,3,0.0304,0.0296,0.0305,0.878,38
MARZO,7,4,0.0301,0.0288,0.0279,0.849,35
MARZO,7,5,0.0295,0.0287,0.0269,0.836,33
MARZO,7,6,0.0272,0.0288,0.026,0.825,31
MARZO,7,7,0.024,0.0291,0.0246,0.826,32
MARZO,7,8,0.0174,0.0276,0.023,0.842,38
MARZO,7,9,0.0222,0.0265,0.0197,0.861,46
MARZO,7,10,0.0301,0.0264,0.0183,0.881,47
MARZO,7,11,0.0368,0.0272,0.0181,0.898,46
MARZO,7,12,0.0461,0.0292,0.0182,0.92,52
MARZO,7,13,0.0521,0.032,0.0179,0.942,55
MARZO,7,14,0.0491,0.0347,0.0178,0.957,56
MARZO,7,15,0.049,0.0378,0.0176,0.969,52
MARZO,7,16,0.0441,0.0412,0.0172,0.964,43
MARZO,7,17,0.0451,0.0441,0.0153,0.952,39
MARZO,7,18,0.0433,0.0457,0.0141,0.942,35
MARZO,7,19,0.0403,0.0461,0.0137,0.942,38
MARZO,7,20,0.0275,0.0438,0.0118,0.945,50
MARZO,7,21,0.0212,0.04,0.011,0.964,54
MARZO,7,22,0.0154,0.0357,0.0102,1.005,56
MARZO,7,23,0.0066,0.0305,0.0072,1.085,61
MARZO,8,0,0.0193,0.0273,0.0071,1.083,69
MARZO,8,1,0.0258,0.0249,0.0071,1.078,67
MARZO,8,2,0.0289,0.0231,0.0073,1.07,59
MARZO,8,3,0.0283,0.0216,0.0079,1.111,57
MARZO,8,4,0.0289,0.0218,0.008,1.09,58
MARZO,8,5,0.0279,0.0226,0.008,1.051,44
MARZO,8,6,0.0257,0.0239,0.008,1,40
MARZO,8,7,0.0245,0.0262,0.008,0.911,38
MARZO,8,8,0.021,0.0264,0.008,0.916,38
MARZO,8,9,0.0239,0.0261,0.0079,0.933,45
MARZO,8,10,0.03,0.0263,0.0079,0.949,50
MARZO,8,11,0.0351,0.0271,0.0079,0.908,51
MARZO,8,12,0.0412,0.0287,0.0081,0.916,53
MARZO,8,13,0.0447,0.0308,0.0099,0.93,60
MARZO,8,14,0.0511,0.0339,0.0126,0.951,64
MARZO,8,15,0.0618,0.0386,0.0138,0.975,61
MARZO,8,16,0.0632,0.0439,0.0143,0.98,57
MARZO,8,17,0.0594,0.0483,0.0145,0.974,48
