DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
AGOSTO,6,13,0.054,0.0351,0.0036,0.7142,39
AGOSTO,6,14,0.0634,0.0393,0.0037,0.7109,34
AGOSTO,6,15,0.0727,0.0454,0.0039,0.6824,33
AGOSTO,6,16,0.0787,0.0525,0.0042,0.6653,30
AGOSTO,6,17,0.0675,0.0567,0.0044,0.6515,27
AGOSTO,6,18,0.0408,0.0567,0.0042,0.6960,28
AGOSTO,6,19,0.0483,0.0584,0.0042,0.6965,31
AGOSTO,6,20,0.0402,0.0582,0.0041,0.7094,24
AGOSTO,6,21,0.0368,0.0561,0.0042,0.7372,17
AGOSTO,6,22,0.0257,0.0513,0.0044,0.7606,20
AGOSTO,6,23,0.0247,0.0453,0.0046,0.7704,19
AGOSTO,7,0,0.0124,0.0371,0.0047,0.7833,23
AGOSTO,7,1,0.0111,0.0300,0.0049,0.7786,22
AGOSTO,7,2,0.0176,0.0271,0.0050,0.7351,22
AGOSTO,7,3,0.0117,0.0225,0.0050,0.7279,20
AGOSTO,7,4,0.006,0.0183,0.0051,0.7106,20
AGOSTO,7,5,0.0066,0.0145,0.0051,0.6760,20
AGOSTO,7,6,0.0067,0.0121,0.0051,0.6506,21
AGOSTO,7,7,0.0032,0.0094,0.0052,0.6582,22
AGOSTO,7,8,0.0045,0.0084,0.0053,0.6744,28
AGOSTO,7,9,0.0152,0.0089,0.0054,0.6812,29
AGOSTO,7,10,0.0268,0.0101,0.0054,0.6832,27
AGOSTO,7,11,0.0358,0.0131,0.0050,0.6920,25
AGOSTO,7,12,0.0437,0.0178,0.0048,0.7047,25
AGOSTO,7,13,0.0512,0.0234,0.0047,0.7204,24
AGOSTO,7,14,0.0555,0.0295,0.0046,0.7258,26
AGOSTO,7,15,0.0577,0.0363,0.0043,0.7103,24
AGOSTO,7,16,0.0563,0.0428,0.0042,0.7163,20
AGOSTO,7,17,0.055,0.0478,0.0044,0.7342,19
AGOSTO,7,18,0.0526,0.0510,0.0046,0.7480,20
AGOSTO,7,19,0.0388,0.0514,0.0048,0.7910,25
AGOSTO,7,20,0.044,0.0514,0.0050,0.7858,28
AGOSTO,7,21,0.0373,0.0497,0.0049,0.7977,23
AGOSTO,7,22,0.0353,0.0471,0.0047,0.8174,21
AGOSTO,7,23,0.0352,0.0443,0.0046,0.8248,18
AGOSTO,8,0,0.0336,0.0415,0.0045,0.8012,17
AGOSTO,8,1,0.0273,0.0380,0.0043,0.7906,15
AGOSTO,8,2,0.0216,0.0341,0.0043,0.7823,15
AGOSTO,8,3,0.0221,0.0321,0.0043,0.7432,16
AGOSTO,8,4,0.0137,0.0283,0.0043,0.7548,21
AGOSTO,8,5,0.0059,0.0243,0.0044,0.7445,25
AGOSTO,8,6,0.0027,0.0203,0.0045,0.7260,25
AGOSTO,8,7,0.0039,0.0164,0.0047,0.7308,29
AGOSTO,8,8,0.0095,0.0133,0.0047,0.7226,28
AGOSTO,8,9,0.0185,0.0122,0.0047,0.7131,23
AGOSTO,8,10,0.0293,0.0132,0.0047,0.7053,18
AGOSTO,8,11,0.0357,0.0149,0.0047,0.6988,15
AGOSTO,8,12,0.041,0.0183,0.0047,0.6799,13
AGOSTO,8,13,0.0462,0.0234,0.0047,0.6679,12
AGOSTO,8,14,0.0507,0.0294,0.0047,0.6560,12
AGOSTO,8,15,0.0509,0.0352,0.0047,0.6482,12
AGOSTO,8,16,0.0518,0.0405,0.0046,0.6429,10
AGOSTO,8,17,0.0449,0.0438,0.0041,0.6483,20
AGOSTO,8,18,0.0409,0.0453,0.0039,0.6614,17
AGOSTO,8,19,0.0365,0.0454,0.0036,0.7007,19
AGOSTO,8,20,0.03,0.0440,0.0035,0.7603,18
AGOSTO,8,21,0.0331,0.0424,0.0036,0.7858,17
AGOSTO,8,22,0.0284,0.0396,0.0036,0.8124,13
AGOSTO,8,23,0.0197,0.0357,0.0036,0.8194,25
AGOSTO,9,0,0.0247,0.0323,0.0036,0.8222,18
AGOSTO,9,1,0.0269,0.0300,0.0036,0.8076,17
AGOSTO,9,2,0.0204,0.0275,0.0037,0.7887,19
AGOSTO,9,3,0.0277,0.0264,0.0036,0.7401,18
AGOSTO,9,4,0.0245,0.0257,0.0036,0.6781,13
AGOSTO,9,5,0.0179,0.0238,0.0034,0.6497,12
AGOSTO,9,6,0.0148,0.0221,0.0034,0.6293,11
AGOSTO,9,7,0.0095,0.0208,0.0031,0.6219,12
AGOSTO,9,8,0.0119,0.0192,0.0030,0.6356,14
AGOSTO,9,9,0.0163,0.0179,0.0029,0.6708,22
AGOSTO,9,10,0.0259,0.0186,0.0029,0.6846,27
AGOSTO,9,11,0.0331,0.0192,0.0029,0.6989,25
AGOSTO,9,12,0.045,0.0218,0.0029,0.7060,22
AGOSTO,9,13,0.0546,0.0264,0.0029,0.7121,20
AGOSTO,9,14,0.0573,0.0317,0.0029,0.7120,19
AGOSTO,9,15,0.0604,0.0381,0.0029,0.7048,19
AGOSTO,9,16,0.0645,0.0446,0.0028,0.6908,16
AGOSTO,9,17,0.0675,0.0510,0.0028,0.6580,15
AGOSTO,9,18,0.0711,0.0567,0.0028,0.6475,17
AGOSTO,9,19,0.0457,0.0583,0.0028,0.6598,31
AGOSTO,9,20,0.0416,0.0578,0.0028,0.6618,28
AGOSTO,9,21,0.0329,0.0551,0.0026,0.6798,19
AGOSTO,9,22,0.0346,0.0523,0.0025,0.6874,15
AGOSTO,9,23,0.0301,0.0485,0.0025,0.6936,13
AGOSTO,10,0,0.0238,0.0434,0.0024,0.6971,12
AGOSTO,10,1,0.0208,0.0376,0.0024,0.6995,10
AGOSTO,10,2,0.0241,0.0317,0.0024,0.6975,9
AGOSTO,10,3,0.0207,0.0286,0.0024,0.6737,11
AGOSTO,10,4,0.0195,0.0258,0.0024,0.6652,10
AGOSTO,10,5,0.0177,0.0239,0.0023,0.6422,11
AGOSTO,10,6,0.0026,0.0199,0.0024,0.6535,15
AGOSTO,10,7,0.002,0.0164,0.0024,0.6828,20
AGOSTO,10,8,0.0093,0.0146,0.0024,0.7094,21
AGOSTO,10,9,0.0178,0.0142,0.0024,0.7316,22
AGOSTO,10,10,0.023,0.0141,0.0024,0.7401,25
AGOSTO,10,11,0.0325,0.0156,0.0024,0.7449,23
AGOSTO,10,12,0.0438,0.0186,0.0024,0.7503,18
AGOSTO,10,13,0.0521,0.0229,0.0024,0.7508,18
AGOSTO,10,14,0.0521,0.0291,0.0024,0.7285,21
AGOSTO,10,15,0.0504,0.0351,0.0024,0.6936,16
AGOSTO,10,16,0.0488,0.0401,0.0023,0.6620,15
AGOSTO,10,17,0.0478,0.0438,0.0023,0.6424,14
AGOSTO,10,18,0.04,0.0459,0.0025,0.6587,18
AGOSTO,10,19,0.0311,0.0458,0.0027,0.6650,29
AGOSTO,10,20,0.0291,0.0439,0.0028,0.6659,42
AGOSTO,10,21,0.0287,0.0410,0.0028,0.6666,30
AGOSTO,10,22,0.0282,0.0380,0.0030,0.6746,24
AGOSTO,10,23,0.0194,0.0341,0.0032,0.6716,23
AGOSTO,11,0,0.0184,0.0303,0.0032,0.6665,22
AGOSTO,11,1,0.0207,0.0270,0.0032,0.6528,20
AGOSTO,11,2,0.0191,0.0243,0.0032,0.6202,17
AGOSTO,11,3,0.0188,0.0228,0.0032,0.6020,17
AGOSTO,11,4,0.0176,0.0214,0.0032,0.5912,16
AGOSTO,11,5,0.0188,0.0201,0.0032,0.5827,17
AGOSTO,11,6,0.0131,0.0182,0.0032,0.5815,17
AGOSTO,11,7,0.0109,0.0172,0.0032,0.6005,23
AGOSTO,11,8,0.014,0.0166,0.0032,0.6177,30
AGOSTO,11,9,0.0164,0.0161,0.0032,0.6362,29
AGOSTO,11,10,0.0321,0.0177,0.0032,0.6441,26
AGOSTO,11,11,0.0371,0.0200,0.0032,0.6498,23
AGOSTO,11,12,0.0424,0.0231,0.0032,0.6578,19
AGOSTO,11,13,0.0479,0.0267,0.0032,0.6661,17
AGOSTO,11,14,0.0542,0.0319,0.0032,0.6569,18
AGOSTO,11,15,0.0557,0.0375,0.0032,0.6409,15
AGOSTO,11,16,0.0548,0.0426,0.0032,0.6284,16
AGOSTO,11,17,0.0524,0.0471,0.0033,0.6195,18
AGOSTO,11,18,0.0452,0.0487,0.0032,0.6290,20
