DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MAYO,12,14,0.0503,0.0350,0.0089,1.410,29
MAYO,12,15,0.0521,0.0398,0.0088,1.401,27
MAYO,12,16,0.0558,0.0447,0.0088,1.399,29
MAYO,12,17,0.0379,0.0464,0.0089,1.392,42
MAYO,12,18,0.0325,0.0463,0.0094,1.388,54
MAYO,12,19,0.0320,0.0448,0.0098,1.383,49
MAYO,12,20,0.0268,0.0422,0.0099,1.380,46
MAYO,12,21,0.0271,0.0393,0.0101,1.375,35
MAYO,12,22,0.0267,0.0364,0.0103,1.367,28
MAYO,12,23,0.0265,0.0332,0.0105,1.354,20
MAYO,13,0,0.0268,0.0295,0.0106,1.332,15
MAYO,13,1,0.0249,0.0279,0.0108,1.310,11
MAYO,13,2,0.0250,0.0270,0.0115,1.283,17
MAYO,13,3,0.0300,0.0267,0.0121,1.257,16
MAYO,13,4,0.0293,0.0270,0.0125,1.240,16
MAYO,13,5,0.0242,0.0267,0.0126,1.227,13
MAYO,13,6,0.0182,0.0256,0.0127,1.234,13
MAYO,13,7,0.0168,0.0244,0.0128,1.249,18
MAYO,13,8,0.0173,0.0232,0.0128,1.273,19
MAYO,13,9,0.0222,0.0229,0.0129,1.294,23
MAYO,13,10,0.0293,0.0234,0.0128,1.309,20
MAYO,13,11,0.0306,0.0235,0.0125,1.328,20
MAYO,13,12,0.0336,0.0240,0.0123,1.343,19
MAYO,13,13,0.0369,0.0256,0.0122,1.356,20
MAYO,13,14,0.0381,0.0281,0.0122,1.355,17
MAYO,13,15,0.0360,0.0305,0.0122,1.352,16
MAYO,13,16,0.0359,0.0328,0.0122,1.340,17
MAYO,13,17,0.0363,0.0346,0.0120,1.331,18
MAYO,13,18,0.0349,0.0353,0.0115,1.333,24
MAYO,13,19,0.0313,0.0354,0.0113,1.331,26
MAYO,13,20,0.0256,0.0344,0.0114,1.330,23
MAYO,13,21,0.0230,0.0326,0.0113,1.327,19
MAYO,13,22,0.0220,0.0306,0.0111,1.320,19
MAYO,13,23,0.0211,0.0288,0.0109,1.309,17
MAYO,14,0,0.0217,0.0270,0.0107,1.294,14
MAYO,14,1,0.0218,0.0252,0.0106,1.280,10
MAYO,14,2,0.0209,0.0234,0.0098,1.264,9
MAYO,14,3,0.0214,0.0222,0.0092,1.247,9
MAYO,14,4,0.0207,0.0216,0.0089,1.232,9
MAYO,14,5,0.0212,0.0213,0.0088,1.223,8
MAYO,14,6,0.0162,0.0206,0.0087,1.227,10
MAYO,14,7,0.0114,0.0194,0.0086,1.256,15
MAYO,14,8,0.0127,0.0183,0.0084,1.280,28
MAYO,14,9,0.0203,0.0181,0.0082,1.301,27
MAYO,14,10,0.0242,0.0185,0.0081,1.317,23
MAYO,14,11,0.0264,0.0191,0.0081,1.336,20
MAYO,14,12,0.0315,0.0205,0.0080,1.349,19
MAYO,14,13,0.0360,0.0223,0.0079,1.362,20
MAYO,14,14,0.0404,0.0254,0.0078,1.367,21
MAYO,14,15,0.0439,0.0294,0.0078,1.342,23
MAYO,14,16,0.0465,0.0337,0.0077,1.327,22
MAYO,14,17,0.0478,0.0371,0.0077,1.315,23
MAYO,14,18,0.0395,0.0390,0.0078,1.337,23
MAYO,14,19,0.0357,0.0402,0.0078,1.345,22
MAYO,14,20,0.0266,0.0395,0.0076,1.353,21
MAYO,14,21,0.0239,0.0380,0.0075,1.353,22
MAYO,14,22,0.0212,0.0356,0.0075,1.347,23
MAYO,14,23,0.0188,0.0325,0.0074,1.346,20
MAYO,15,0,0.0184,0.0290,0.0074,1.339,19
MAYO,15,1,0.0179,0.0252,0.0073,1.332,14
MAYO,15,2,0.0172,0.0224,0.0073,1.296,11
MAYO,15,3,0.0154,0.0199,0.0072,1.272,11
MAYO,15,4,0.0156,0.0185,0.0072,1.258,14
MAYO,15,5,0.0131,0.0172,0.0071,1.248,15
MAYO,15,6,0.0124,0.0161,0.0071,1.254,15
MAYO,15,7,0.0102,0.0150,0.0070,1.271,19
MAYO,15,8,0.0118,0.0142,0.0070,1.294,25
MAYO,15,9,0.0173,0.0141,0.0070,1.315,24
MAYO,15,10,0.0210,0.0146,0.0070,1.328,24
MAYO,15,11,0.0289,0.0163,0.0070,1.344,23
MAYO,15,12,0.0408,0.0194,0.0071,1.359,24
MAYO,15,13,0.0490,0.0239,0.0072,1.380,29
MAYO,15,14,0.0523,0.0289,0.0072,1.388,31
MAYO,15,15,0.0541,0.0344,0.0073,1.381,34
MAYO,15,16,0.0536,0.0396,0.0073,1.373,25
MAYO,15,17,0.0516,0.0439,0.0072,1.362,26
MAYO,15,18,0.0484,0.0473,0.0071,1.367,27
MAYO,15,19,0.0386,0.0486,0.0069,1.395,31
MAYO,15,20,0.0398,0.0484,0.0068,1.399,41
MAYO,15,21,0.0385,0.0471,0.0067,1.404,46
MAYO,15,22,0.0331,0.0447,0.0066,1.414,38
MAYO,15,23,0.0250,0.0411,0.0066,1.431,34
MAYO,16,0,0.0302,0.0382,0.0066,1.430,38
MAYO,16,1,0.0388,0.0366,0.0066,1.426,29
MAYO,16,2,0.0416,0.0357,0.0066,1.413,20
MAYO,16,3,0.0384,0.0357,0.0066,1.371,16
MAYO,16,4,0.0373,0.0354,0.0066,1.350,13
MAYO,16,5,0.0335,0.0347,0.0066,1.326,14
MAYO,16,6,0.0318,0.0346,0.0066,1.305,15
MAYO,16,7,0.0301,0.0352,0.0066,1.288,16
MAYO,16,8,0.0300,0.0352,0.0066,1.292,16
MAYO,16,9,0.0320,0.0343,0.0067,1.307,16
MAYO,16,10,0.0351,0.0335,0.0067,1.322,21
MAYO,16,11,0.0378,0.0335,0.0067,1.336,22
MAYO,16,12,0.0374,0.0335,0.0067,1.341,24
MAYO,16,13,0.0450,0.0349,0.0066,1.356,21
MAYO,16,14,0.0507,0.0373,0.0066,1.359,21
MAYO,16,15,0.0535,0.0402,0.0065,1.351,23
MAYO,16,16,0.0522,0.0430,0.0065,1.337,23
MAYO,16,17,0.0525,0.0455,0.0065,1.317,21
MAYO,16,18,0.0517,0.0476,0.0065,1.303,22
MAYO,16,19,0.0505,0.0492,0.0065,1.297,25
MAYO,16,20,0.0421,0.0498,0.0065,1.340,31
MAYO,16,21,0.0251,0.0473,0.0066,1.438,46
MAYO,16,22,0.0326,0.0451,0.0066,1.472,53
MAYO,16,23,0.0347,0.0427,0.0067,1.487,48
MAYO,17,0,0.0303,0.0400,0.0067,1.498,46
MAYO,17,1,0.0282,0.0369,0.0067,1.516,40
MAYO,17,2,0.0223,0.0332,0.0067,1.534,51
MAYO,17,3,0.0147,0.0288,0.0067,1.556,52
MAYO,17,4,0.0145,0.0253,0.0067,1.529,47
MAYO,17,5,0.0223,0.0249,0.0067,1.425,42
MAYO,17,6,0.0108,0.0222,0.0067,1.416,42
MAYO,17,7,0.0030,0.0183,0.0067,1.453,48
MAYO,17,8,0.0093,0.0156,0.0068,1.509,62
MAYO,17,9,0.0216,0.0148,0.0068,1.535,60
MAYO,17,10,0.0367,0.0166,0.0068,1.532,48
MAYO,17,11,0.0443,0.0203,0.0069,1.520,45
MAYO,17,12,0.0488,0.0246,0.0069,1.514,43
MAYO,17,13,0.0527,0.0284,0.0069,1.515,41
MAYO,17,14,0.0538,0.0338,0.0068,1.493,37
MAYO,17,15,0.0559,0.0404,0.0068,1.442,32
MAYO,17,16,0.0569,0.0463,0.0068,1.376,30
MAYO,17,17,0.0564,0.0507,0.0067,1.340,32
MAYO,17,18,0.0558,0.0531,0.0067,1.330,35
