DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,10,9,0.0076,0.0087,0.0087,0.8644,57,0.0198
NOVIEMBRE,10,10,0.0186,0.0091,0.0089,0.8874,55,0.0136
NOVIEMBRE,10,11,0.033,0.012,0.009,0.8971,43,0.0108
NOVIEMBRE,10,12,0.0491,0.0167,0.0091,0.9094,42,0.0101
NOVIEMBRE,10,13,0.0608,0.0225,0.0092,0.9363,42,0.0109
NOVIEMBRE,10,14,0.0715,0.031,0.0089,0.9428,39,0.0073
NOVIEMBRE,10,15,0.0718,0.0394,0.0078,0.9183,35,0.0053
NOVIEMBRE,10,16,0.0718,0.048,0.0071,0.8877,31,0.0064
NOVIEMBRE,10,17,0.0711,0.056,0.0063,0.8546,37,0.0066
NOVIEMBRE,10,18,0.0496,0.0598,0.0058,0.8706,40,0.0156
NOVIEMBRE,10,19,0.012,0.0572,0.0056,1.0095,64,0.0414
NOVIEMBRE,10,20,0.0118,0.0526,0.0054,1.1873,104,0.0478
NOVIEMBRE,10,21,0.0082,0.046,0.0051,1.4596,138,0.0483
NOVIEMBRE,10,22,0.0042,0.0376,0.0044,1.6769,134,0.0423
NOVIEMBRE,10,23,0.0054,0.0293,0.0044,1.8137,118,0.0386
NOVIEMBRE,11,0,0.0224,0.0231,0.0044,1.8702,96,0.0249
NOVIEMBRE,11,1,0.0206,0.0168,0.0044,1.9062,75,0.022
NOVIEMBRE,11,2,0.0083,0.0116,0.0045,1.92,69,0.0303
NOVIEMBRE,11,3,0.0024,0.0104,0.0045,1.8188,67,0.0291
NOVIEMBRE,11,4,0.0026,0.0093,0.0045,1.673,70,0.0338
NOVIEMBRE,11,5,0.0039,0.0087,0.0046,1.4076,71,0.0329
NOVIEMBRE,11,6,0.0032,0.0086,0.0047,1.2135,77,0.0283
NOVIEMBRE,11,7,0.0041,0.0084,0.0047,1.1227,84,0.0398
NOVIEMBRE,11,8,0.0054,0.0063,0.0048,1.1389,113,0.0362
NOVIEMBRE,11,9,0.0156,0.0057,0.0049,1.1475,102,0.0261
NOVIEMBRE,11,10,0.0281,0.0082,0.0048,1.1309,95,0.0232
NOVIEMBRE,11,11,0.0416,0.0131,0.0049,1.1199,92,0.0219
NOVIEMBRE,11,12,0.0611,0.0204,0.005,1.1073,79,0.0141
NOVIEMBRE,11,13,0.0804,0.0299,0.0051,1.118,59,0.0104
NOVIEMBRE,11,14,0.0985,0.0418,0.0054,1.156,53,0.0101
NOVIEMBRE,11,15,0.0863,0.0521,0.0065,1.1426,51,0.0084
NOVIEMBRE,11,16,0.0561,0.0585,0.0071,1.0754,42,0.0082
NOVIEMBRE,11,17,0.0583,0.0638,0.0075,1.0615,36,0.0095
NOVIEMBRE,11,18,0.0652,0.0684,0.0084,1.0593,33,0.0132
NOVIEMBRE,11,19,0.0815,0.0734,0.0087,1.0664,46,0.0171
NOVIEMBRE,11,20,0.0281,0.0693,0.0088,1.0801,46,0.0168
NOVIEMBRE,11,21,0.0284,0.0628,0.0096,1.0547,45,0.0114
NOVIEMBRE,11,22,0.0303,0.0543,0.0097,0.9886,42,0.0074
NOVIEMBRE,11,23,0.0319,0.0475,0.0097,0.9552,42,0.0059
NOVIEMBRE,12,0,0.0301,0.0443,0.0097,0.943,28,0.0057
NOVIEMBRE,12,1,0.0259,0.0402,0.0097,0.9047,26,0.0077
NOVIEMBRE,12,2,0.0412,0.0372,0.0098,0.8744,22,0.0125
NOVIEMBRE,12,3,0.043,0.0324,0.0098,0.8338,27,0.0117
NOVIEMBRE,12,4,0.0222,0.0316,0.0099,0.7874,20,0.0072
