DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MAY,6,11,18.53,8.5,0.86,18.12,84.88,1.76,161.03,24.6,40.24,624.04,30.82
MAY,6,12,23.68,6.51,0.85,15.9,71.99,2.26,237.82,26.38,36,623.41,32.12
MAY,6,13,22.4,5.22,0.89,15.57,55.27,2.67,228.41,27.86,31.51,622.71,33.1
MAY,6,14,21.93,4.58,0.94,16.63,56.6,3.03,237.12,28.98,27.38,622.02,39.75
MAY,6,15,25.69,4.22,0.93,17.31,56.66,3.03,246.14,30.03,24.26,621.03,35.87
MAY,6,16,27.13,3.61,0.87,15.02,59.72,3.26,253.63,30.81,19.69,620.21,34.57
MAY,6,17,27.07,3.33,0.87,15.58,51.15,4.7,256.87,29.74,24.34,620.18,NA
MAY,6,18,20.54,3.55,0.88,16.63,97.41,5.84,232.83,26.23,34.43,620.72,NA
MAY,6,19,19.72,3.64,0.9,18.9,94.95,3.42,205.13,26.6,26.78,620.78,51.21
MAY,6,20,18.97,3.74,0.99,20.81,67.38,2.52,163.34,26.71,28.66,621.09,30.95
MAY,6,21,15.89,3.78,0.9,18.04,63.34,2.93,123.2,24.87,39.04,621.76,35.89
MAY,6,22,11.98,7.49,0.89,18.49,67.94,2.81,107.09,23.92,43.18,622.32,29.44
MAY,6,23,9.39,25.55,0.78,18.46,74.54,3.44,80.52,22.53,49.84,622.82,44.69
MAY,7,0,15.76,50.62,0.83,15.26,68.29,2.55,75.55,22.17,49.46,623.01,40.9
MAY,7,1,12.47,24.81,0.85,17.68,48.08,1.83,114.19,21.67,50.49,623.04,44.73
MAY,7,2,12.43,8.8,0.94,20.26,59.62,1.18,173.15,20.83,53.47,622.87,36.46
MAY,7,3,9.66,8.42,0.92,22.32,57.94,1.66,233.27,19.68,56.26,622.79,38.24
MAY,7,4,6.82,7.47,0.92,22.83,71.34,1.38,284.82,18.18,59.84,622.61,43.52
MAY,7,5,8.91,6.74,0.82,16.96,80.78,1.03,297.88,17.47,61.07,622.63,41.8
MAY,7,6,7.97,6.18,0.85,17.42,78.79,1.04,273.6,17.6,60.51,622.9,42.75
MAY,7,7,6.46,5.46,0.96,19.43,68.03,0.97,229.6,18.08,58.91,623.4,47.03
MAY,7,8,8.77,5.52,0.96,17.42,74.32,1.66,256.16,19.38,55.31,623.85,33
MAY,7,9,10.62,5.17,0.92,16.92,67.43,1.22,263.69,20.95,51.78,624.15,43.52
MAY,7,10,15.78,4.61,0.86,15.49,60.09,1.73,249.08,23.14,45.22,624.16,38.94
MAY,7,11,18.95,4.38,0.81,14.17,62.23,2.38,272.89,24.22,41.29,624.02,41.96
MAY,7,12,22.33,3.97,0.78,13.32,54.98,2.37,249.46,26.18,33.23,623.47,42.85
MAY,7,13,25.61,3.87,0.8,12.42,54.52,2.62,268.25,27.53,27.81,622.65,43.56
MAY,7,14,22.5,3.61,0.89,16.09,46.26,3.28,239.42,28.66,24.44,621.79,34.2
MAY,7,15,27.69,3.51,0.84,13.55,44.82,3.01,267.09,29.75,23.74,621.16,40.48
MAY,7,16,27.87,3.3,0.76,12.04,49.2,2.9,243.69,30.42,20.48,620.42,NA
MAY,7,17,27.4,3.48,0.8,13.98,55.44,3.39,261.9,30.96,18.91,619.9,53.72
MAY,7,18,27.96,3.2,0.8,13.57,46.29,3.23,247.23,30.54,20.2,619.68,NA
MAY,7,19,20.44,3.39,0.9,18.12,46.41,3.98,200.63,29.4,24.53,619.88,NA
MAY,7,20,18.96,3.32,0.94,17.92,66.43,3.45,192.49,28.68,26.42,620.29,45.43
