DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,9,9,5.36,29.2,0.65,NA,92.33,2.83,104.6,15.47,51.22,626.15,34.04
FEB,9,10,6.03,55.65,0.45,NA,109.19,2.6,96.41,19.04,43.9,626.51,44.58
FEB,9,11,9.76,43.23,0.31,NA,107.14,3.34,92.97,21.02,35.66,626.54,42.57
FEB,9,12,22.57,39.77,0.31,NA,98.82,3.75,87.12,22.96,28.08,626.24,39.75
FEB,9,13,NA,41.39,0.31,NA,79.13,4.58,87.63,24.44,24.26,625.7,31.52
FEB,9,14,16.58,45.76,0.22,NA,135.87,4.45,90.95,25.37,23.45,624.91,35.24
FEB,9,15,14.71,42.89,0.21,NA,101.69,4.78,90.61,26.3,22.87,624.19,32.65
FEB,9,16,14.76,45.32,0.22,NA,81.3,4.51,90.67,26.92,21.32,623.77,29.09
FEB,9,17,13.79,45.05,0.2,NA,87.91,4.31,94.26,27.13,21.58,623.61,31.09
FEB,9,18,10.4,56.29,0.23,NA,107.08,3.61,93.54,26.65,23.55,623.78,41.2
FEB,9,19,7.07,71.07,0.3,NA,121.24,3.38,82.38,25.02,25.21,624.05,43.95
FEB,9,20,10.58,33.8,0.44,NA,96.15,2.46,52.62,23.39,32.16,624.7,29.35
FEB,9,21,12.93,9.94,0.35,NA,56.94,3,63.27,21.17,44.04,625.53,20.76
FEB,9,22,13.01,10.58,0.26,NA,57.54,3.51,56.63,19.88,48.51,626.13,16.29
FEB,9,23,12.55,29.65,0.36,NA,49.62,3.75,55.3,18.98,51.97,626.67,15.65
FEB,10,0,9.12,68.76,1.17,NA,49.8,2.82,58.73,18.07,55.11,627.13,27.97
FEB,10,1,7.33,83.88,1.8,NA,59.22,2.84,62.11,17.36,55.67,627.16,32.71
FEB,10,2,7.79,117.11,1.49,NA,63.58,2.77,66.33,16.81,56.56,627.13,36.41
FEB,10,3,6.08,103.56,1.67,NA,57.58,3.56,63.33,16.35,56.98,626.93,48.62
FEB,10,4,7.45,92.5,1.94,NA,62.79,2.64,63.66,15.94,57.33,626.86,40.26
FEB,10,5,9.45,64.04,0.62,NA,49.55,1.77,50.48,14.9,60.31,626.91,32.19
FEB,10,6,11.36,23.34,0.25,NA,43.45,1.59,53.87,14.07,62.86,626.97,27.8
FEB,10,7,7.48,34.2,0.3,NA,33.08,1.68,93.83,13.07,68.9,627.29,21.74
FEB,10,8,4.09,39.3,0.5,NA,43.87,1.96,99.32,12.45,71.8,627.68,32.36
FEB,10,9,4.45,37.82,0.62,NA,58.1,2.59,106.4,13.37,68.93,628.06,23.6
FEB,10,10,4.47,38,0.51,NA,72.77,2.92,106.99,15.98,61.36,628.37,29.31
FEB,10,11,7.4,34.4,0.37,NA,78.53,3.54,109.49,18,54.9,628.35,34.81
FEB,10,12,11.52,42.53,0.25,NA,73.69,2.89,103.06,20.29,46.56,628.09,37.43
FEB,10,13,14.63,51.16,0.33,NA,72.33,2.16,110.24,22.33,37.38,627.36,32.11
FEB,10,14,23.87,35.43,0.53,NA,71.09,2.06,156.05,24.15,30.82,626.37,31.13
FEB,10,15,28.39,45.71,0.91,NA,74.41,1.93,245.76,25.63,25.03,625.35,35.32
FEB,10,16,35.05,24.21,0.6,NA,90.54,1.66,215.99,27.46,17.36,624.65,35.82
FEB,10,17,33.82,14.32,0.47,NA,69.79,1.62,193.75,27.72,17.23,624.17,28.02
FEB,10,18,32.9,13.83,0.53,NA,72.62,1.91,207.36,27.53,18.03,624.22,27.32
FEB,10,19,19.12,8.13,1.03,NA,68.71,2.15,245.45,26,21.03,624.43,33.7
FEB,10,20,7.56,6.76,1.6,NA,86.85,1.84,245.02,24.08,24.67,624.62,22.03
FEB,10,21,8.93,7.11,1.05,NA,104.26,2.29,37.49,22.31,28.57,625.24,28.02
FEB,10,22,11.15,5.07,0.43,NA,113.39,2.66,52.95,21.43,29.61,625.61,23.78
FEB,10,23,10.68,7.42,0.27,NA,49.17,2.43,59.66,20.34,32.42,625.92,11.04
FEB,11,0,6.33,40.43,0.26,NA,39.86,2.44,91.38,18.93,37.11,626.12,13.56
FEB,11,1,6,47.49,0.22,NA,52.82,3.34,81.59,17.83,40.46,626.05,27.27
FEB,11,2,6.22,45.26,0.17,NA,47.16,2.49,93.1,17.21,41.93,626.08,25.27
FEB,11,3,5.33,21.36,0.18,NA,44.6,2.66,109.89,15.63,46.56,625.93,22.93
FEB,11,4,5.04,14.72,0.18,NA,41.42,1.88,121.33,13.96,52.47,625.76,23.55
