DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,6,4,9.96,59,0.54,16.44,20.93,2.52,78.75,17.92,48.58,623.39,11.78
MZO,6,5,6.06,23.83,0.35,19.13,26.1,1.32,123.45,15.59,55.92,623.54,19.36
MZO,6,6,6,54.09,0.32,22.86,27.96,2.55,83.49,15.77,56.64,623.67,18.85
MZO,6,7,5.05,127.59,0.45,25.07,41.16,1.85,95.64,14.96,61.37,624.03,NA
MZO,6,8,4.92,79.75,0.76,24.26,101.59,1.54,96.46,15.2,59.68,624.38,48.61
MZO,6,9,4.68,60.96,0.7,23.86,66.52,1.97,100.93,16.73,55.5,624.7,25.5
MZO,6,10,4.8,69.41,0.64,24.52,74.25,2.11,109.99,18.88,49.09,624.82,36.1
MZO,6,11,7.93,29.73,0.51,24.33,98.95,2.26,118.08,21.1,39.76,624.77,26.14
MZO,6,12,15.55,13.01,0.49,19.52,60.12,1.5,146.42,23.25,36.88,624.39,16.86
MZO,6,13,24.55,8.33,0.35,13.76,43.81,1.57,99.53,25.28,30.59,623.61,13.9
MZO,6,14,23.71,11.97,0.43,17.45,30.89,1.81,144.47,26.38,25.58,622.84,11.79
MZO,6,15,28.68,8.19,0.33,13.32,36.49,1.78,75.81,27.12,23.73,622.22,13.73
MZO,6,16,27.01,6.01,0.39,17.07,28.98,2.27,295.66,27.66,22.6,621.55,10.39
MZO,6,17,25.39,5.02,0.43,17.16,42.56,2.41,287.8,27.94,21.28,621.23,13.48
MZO,6,18,26.51,4.37,0.42,16.5,39.95,2.39,290.59,27.66,21.2,621.12,16.42
MZO,6,19,23.08,3.77,0.65,22.04,36.98,1.53,291.58,26.8,22.87,621.22,19.27
MZO,6,20,9.3,3.98,1.12,38.94,52.48,1.22,279.95,25.61,24.28,621.47,20.5
MZO,6,21,6.09,4.63,1.54,41.42,88.18,1.03,249.28,24.43,27.49,621.91,21.64
MZO,6,22,4.39,5.65,1.28,39.92,105.52,0.81,324.22,22.57,33.05,622.31,29.84
MZO,6,23,6.02,5.42,1.3,35.14,113.2,1.43,233.94,21.74,35.72,622.71,33.24
MZO,7,0,11.3,7.41,0.64,25.86,114.41,1.66,292.11,20.41,40.29,623.01,30.58
MZO,7,1,4.68,59.51,0.73,33.7,68.95,1.07,91.4,20.33,39.78,623.28,41.05
MZO,7,2,3.63,24.31,0.69,31.57,92.71,0.85,221.17,19.26,42.46,623.18,39.45
MZO,7,3,4.35,12.17,0.7,29.78,88.16,0.89,226.31,18.67,45.37,623.27,36.3
MZO,7,4,4.04,10.63,0.64,27.65,90.34,0.84,318.62,17.24,48.9,623.3,31.5
MZO,7,5,4.41,10.24,0.57,26.49,79.09,0.58,257.89,16.14,51.64,623.21,33.88
MZO,7,6,4.04,8.54,0.63,26.33,77.53,0.68,121.18,16.67,51.41,623.38,30.98
MZO,7,7,4.06,11.53,0.99,25.93,81.08,0.5,349.66,15.16,54.87,623.85,33.89
MZO,7,8,3.91,9.83,1.83,26.49,88.46,0.62,85.13,16.24,53.31,624.38,33.26
MZO,7,9,5.26,7.36,1.75,29.72,134.77,0.84,172.45,18.96,49.07,624.74,28.25
MZO,7,10,10.94,6.69,1.39,28.11,97.43,1.24,211.99,19.67,46.11,623.05,20.86
MZO,7,11,17.15,6.06,0.7,21.66,89.18,1.28,189.49,22.43,40.07,625.85,17.59
MZO,7,12,21.2,4.89,0.6,18.17,52.13,1.41,222.15,24.38,33.7,625.6,15.29
MZO,7,13,25.98,8.35,0.56,16.75,35.4,1.53,243.76,25.76,28.57,624.94,11.26
MZO,7,14,30.7,12.49,0.59,18.97,46.56,1.54,234.08,27.5,24.78,624.1,20.96
MZO,7,15,34.4,28.43,0.9,20.56,55.86,1.79,261.71,28.31,20.63,623.37,21.66
MZO,7,16,37.3,11.19,0.64,15.28,54.54,1.72,338.2,29.2,19.49,622.82,24.65
MZO,7,17,34.15,5,0.47,14.03,49.53,1.48,295.44,28.99,18.2,622.61,30.45
