DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
NOV,6,22,16.64,40.44,1.06,18.83,32.62,2.49,87.92,22.07,23.43,624.13,5.47
NOV,6,23,11.61,83.37,0.96,23.47,50.38,2.42,84.62,20.54,29.04,624.5,8.05
NOV,7,0,12.67,123.98,0.88,21.63,61.73,3.31,85.68,19.75,28.57,624.74,26.79
NOV,7,1,15.6,38.96,0.86,13.21,42.77,2.25,92.88,18.16,29.35,624.77,NA
NOV,7,2,12.28,32.62,0.88,16.04,30.5,1.91,104.18,16.84,31.55,624.82,16.69
NOV,7,3,11.34,24.87,0.88,18.38,30.41,1.71,102.45,15.43,35.41,624.7,7.94
NOV,7,4,11.81,47.87,0.87,17.28,25,1.64,81.1,14.76,38.47,624.61,15.18
NOV,7,5,9.69,32.8,0.93,22.44,36.56,1.75,100.64,13.66,41.91,624.59,17.35
NOV,7,6,9.78,48.08,0.96,22.43,38.6,1.73,100.25,13.19,43.89,624.77,15.76
NOV,7,7,9.31,14.41,1.26,21.29,40.39,0.91,105.08,11.67,48.95,625.02,25.45
NOV,7,8,10.08,45.46,1.48,22.48,50.92,1.82,79.75,12.91,47.49,625.49,15.35
NOV,7,9,14.01,124.33,1.17,22.21,62.06,2.04,78.33,15.01,42.07,625.87,22.73
NOV,7,10,17.64,105.03,1.16,24.88,68.26,2.26,103.18,18.04,33.49,626.05,32.37
NOV,7,11,19.52,62.61,1.35,26.89,79.53,1.6,151.48,21.51,26.46,625.79,43.16
NOV,7,12,31.11,89.8,1.57,28.43,75.74,1.37,247.31,24.61,18.81,624.99,32.58
NOV,7,13,43.08,69.05,2.15,19.97,58.25,1.46,198.49,27.32,12.3,624.02,34.14
NOV,7,14,28.12,13.89,1.34,8.38,37.13,2.42,102.05,29.33,4.88,622.97,16.05
NOV,7,15,33.36,9.95,1.17,7.87,19.29,2.73,80.95,29.83,5.93,622.25,5.52
NOV,7,16,38.05,6.12,1.04,7.08,25.89,2.89,73.47,30.47,6.79,621.7,3.78
NOV,7,17,35.12,14.82,1.21,9.16,32.56,3.15,69.81,30.86,5.2,621.48,1.14
NOV,7,18,32.18,14.03,1.13,11.49,30.15,2.44,56.03,30.15,5.89,621.64,0.1
NOV,7,19,21,5.31,1.21,21.29,44.44,2.68,48.96,27.36,8.59,622.03,NA
NOV,7,20,19.46,4.16,1.09,16.34,43.23,3.16,58.15,24.78,15.94,622.44,1.99
NOV,7,21,18.34,4.35,1.03,11.79,29.7,2.91,55.72,22.61,23.26,622.9,NA
NOV,7,22,12.18,22.85,1.27,22.24,42.89,2.23,107.19,20.65,28.41,623.53,NA
NOV,7,23,11.45,17.99,1.14,20.27,63.23,2,110.66,18.89,35.14,623.83,22.73
NOV,8,0,12.76,50.85,1,17.11,39.58,2.63,94.78,18.29,38.4,623.87,NA
NOV,8,1,13.77,42.41,0.93,15.11,40.88,2.97,69.69,17.63,38.52,623.8,NA
NOV,8,2,15.46,23.61,0.9,11.11,37.57,2.2,61.09,17.09,38.43,623.57,NA
NOV,8,3,16.79,17.05,0.88,9.56,28.39,2.5,73.81,16.36,36.98,623.43,NA
NOV,8,4,13.06,56.66,0.88,18.48,32,2.36,90.31,15.05,39.69,623.3,6.81
NOV,8,5,13.38,37.08,0.96,17.74,29.56,2.37,80.53,14.51,38.99,623.24,18.9
NOV,8,6,9.59,19.49,1.04,22.33,29.59,2.31,108.51,12.83,47.56,623.38,NA
NOV,8,7,9.86,68.97,1.23,23.69,42,2.46,96.94,12.72,53.09,623.83,9.42
NOV,8,8,11.41,151.82,1.19,22.49,65.59,2.87,80.5,13.77,48.08,624.29,40.2
NOV,8,9,15.61,209.27,1.19,21.17,61.34,2.52,81.58,16.61,39.52,624.53,43.44
NOV,8,10,22.94,114.62,1.02,15.42,53.64,3.68,75.62,19.88,29.76,624.49,37.6
NOV,8,11,27.23,66.67,1.46,9.77,31.62,3.04,74.55,22.74,22.32,624.17,12.9
NOV,8,12,26.88,62.66,1.34,12.31,33.55,2.46,92.94,25.75,16.61,623.46,13.82
NOV,8,13,27.47,30.37,1.01,9.47,30.14,3.52,96.68,27.43,12.73,622.56,13.48
NOV,8,14,27.25,35.57,1.05,11.72,43.03,3.56,104.86,28.69,12.19,621.7,6.94
NOV,8,15,31.77,27.87,1.13,10.08,14.05,3.23,96.14,29.51,11.99,621.09,NA
NOV,8,16,36.46,25.83,1.35,9.99,30.21,1.97,97.39,30.54,10.77,620.58,3.02
NOV,8,17,39.89,18.77,1.47,6.83,32.79,2.23,65.11,30.73,10.62,620.4,13.25
NOV,8,18,37.27,15.56,1.51,13.73,28.09,1.76,61.17,30.23,12.13,620.52,3.53
NOV,8,19,16.64,5.24,1.67,38.25,46.45,1.94,35.67,27.79,16.28,620.86,4.19
NOV,8,20,20.25,4.84,1.11,13.53,50.06,3.19,52.48,24.87,22.53,621.43,16.92
NOV,8,21,19.31,33.73,2.18,9.66,35.1,3.56,58.1,23.72,27.9,622.02,2.81
NOV,8,22,14.78,18.25,1.35,18.08,38.65,2.73,97.17,21.34,34.7,622.55,6.08
NOV,8,23,14.01,23.58,1.11,15.44,45.78,3.26,100.2,19.53,40.29,623.02,6.68
NOV,9,0,14.07,59.74,1.04,15.02,41.11,3.47,101.24,18.43,43.37,623.29,5.24
NOV,9,1,14.96,88.65,0.97,15.44,40.71,3.62,90.33,17.2,46.03,623.31,27.87
NOV,9,2,14.42,121.6,0.95,18.92,57.19,4.68,87.57,16.5,44.75,623.26,41.23
NOV,9,3,15.88,159.65,1.2,18.86,45.12,4.74,80.52,15.78,46.72,623.24,35.51
NOV,9,4,17.58,108.59,2.38,10.35,31.6,4.5,62.24,15.49,59.17,623.32,22.65
NOV,9,5,17.39,72.58,2.89,8.35,29.24,3.65,56.53,14.9,62.29,623.58,11.59
NOV,9,6,17.24,61.67,1.17,9.35,27.11,2.47,64.51,13.82,66.51,623.94,16.4
NOV,9,7,16.88,26.05,1.14,10.75,30.54,2.92,57.77,13.79,67.63,624.41,11.66
NOV,9,8,15.77,80.83,1.48,14.35,31.76,3.77,69.63,14.35,67.53,624.87,11.94
NOV,9,9,18.28,137.84,1.08,7.54,36.96,5.94,75.24,15.78,63.59,625,22.14
NOV,9,10,22.32,49.93,1.07,5.49,33.46,6.41,72.45,17.19,58.95,625.07,16.3
NOV,9,11,23.43,65.88,1.43,6.19,28.21,5.4,71.55,19.01,53.41,624.83,11.37
NOV,9,12,27.15,51.85,1.46,7.27,35.03,4.33,76.12,20.91,48.08,624.34,14.97
NOV,9,13,32.34,36.92,1.43,6.93,34.77,3.56,71.45,22.97,41.74,623.53,11.33
NOV,9,14,34.95,40.53,1.41,8.43,34.41,3.18,80.34,24.87,35.91,622.67,19.65
NOV,9,15,35.18,41.92,1.36,9.32,35.92,2.77,88.42,26.35,30.22,622.07,10.79
NOV,9,16,29.53,37.15,1.25,13.65,33.75,2.65,111.24,27.35,27,621.62,9.79
NOV,9,17,29.04,27.85,1.16,14.13,36.58,2.92,109.88,27.8,25.07,621.37,8.28
NOV,9,18,25.25,16.21,1.31,21.93,44.61,2.55,114.07,27.26,26.04,621.51,15.77
NOV,9,19,19.11,32.05,1.36,26.07,57.07,1.71,74.15,25.48,28.25,621.84,11.28
NOV,9,20,12.59,20.39,1.82,29.59,63.98,1.76,71.85,23.77,32.05,622.39,13.47
NOV,9,21,16.65,26.25,1.54,15.19,64.05,2.21,68.73,21.92,45.13,622.92,18
NOV,9,22,12.4,120.38,1.31,16.98,58.98,2.61,85.55,20.7,52.36,623.38,23.67
NOV,9,23,10.55,116.99,1.11,16.94,43.91,4.06,81.86,18.85,59.64,623.6,13.87
NOV,10,0,12.14,128.84,1.54,9.36,33.35,5.53,77.82,18.73,60.16,623.66,20.84
NOV,10,1,11.37,141.49,1.04,12.14,33.48,4.57,80.88,17.24,65.94,623.73,7.45
NOV,10,2,10.87,97.73,1.06,12.19,34.6,3.77,76.25,16.48,68.81,623.68,20.11
NOV,10,3,10.34,116.5,1.08,12.69,31.67,3.86,84.96,15.68,71.45,623.57,18.69
NOV,10,4,10.16,93.58,2.34,12.99,23.13,3.37,60.76,15.72,71.61,623.58,22.9
NOV,10,5,10.71,170.71,2.13,11.94,23.35,3.58,68.62,15.31,71.98,623.73,12.18
NOV,10,6,12.03,49.76,1.19,7.12,20.99,2.89,62.37,14.8,72.66,623.98,11.55
NOV,10,7,11.11,172.01,1.58,13.2,23.11,2.44,79.06,14.77,71.69,624.28,9.22
NOV,10,8,9.72,72.69,1.38,16.87,32.29,1.84,93.9,14.59,71.98,624.69,11.71
NOV,10,9,11.39,131.74,1.26,11.11,40.39,3.33,77.66,16.43,65.53,625.03,28.7
NOV,10,10,17.59,71.93,1.06,6.62,25.94,4.68,71.88,17.97,59.53,625.17,22.07
NOV,10,11,19.59,58.95,1.15,8.28,27.68,3.74,86.78,19.81,54.82,624.97,6.74
NOV,10,12,23.18,47.6,1.45,9.85,23.61,3.21,91.01,21.53,50.42,624.36,7.38
NOV,10,13,27.32,68.28,1.41,10.37,37.27,2.53,98.36,23.34,44.72,623.45,6.23
NOV,10,14,28.03,47.7,1.22,12.21,38.6,2.42,124.09,24.86,39.34,622.61,12.05
NOV,10,15,30.25,32.54,1.34,14.02,43.41,2.05,170.27,26.1,34.26,622.04,20.76
NOV,10,16,28.06,19.54,1.22,12.31,41.07,1.97,164.15,27.21,26.38,621.55,15.39
NOV,10,17,31.87,12.16,1.13,9.32,34.43,2.51,21.42,27.57,21.89,621.48,6.5
NOV,10,18,32.58,4.52,1.06,8.74,34.77,3.04,50.45,26.6,20.36,621.67,11.8
NOV,10,19,18.04,4.14,1.34,26.07,40.8,1.99,40.32,24.63,25.44,621.99,2.59
NOV,10,20,14.89,4.88,1.37,24.64,60.03,2.73,47.98,23.24,31.52,622.39,3.69
NOV,10,21,18.09,23.79,1.42,11.87,41.72,4.45,69.49,21.38,43.11,622.89,4.45
NOV,10,22,12.41,73.1,1.12,18.53,36.86,3.87,86.32,19.87,50.89,623.34,2.81
NOV,10,23,12.29,106.62,1.07,16.62,44.37,5.05,78.86,18.09,59.06,623.57,14.05
NOV,11,0,13.07,90.56,1.07,10.95,28.68,4.85,81.85,17.48,62.53,623.83,14.21
NOV,11,1,11.68,80.74,2.99,9.47,26.1,3.8,61.56,16.88,67.22,623.93,13.74
NOV,11,2,15.71,19.09,1.43,4.14,20.05,4.4,46.02,16.35,68.17,623.95,NA
NOV,11,3,17.03,20.33,1.7,5,13.2,4.59,56.63,16.5,66.4,623.71,NA
NOV,11,4,12.89,54.76,2.38,9.69,15.16,4.69,52.54,16.12,67.37,623.65,NA
NOV,11,5,15.38,34.44,1.34,8.03,17.13,3.76,54.39,15.61,68.64,623.69,NA
NOV,11,6,16.96,9.74,1.03,4.71,14.18,2.62,59.77,14.99,70.14,623.84,NA
NOV,11,7,13.82,6.31,1.11,10,8.1,1.35,46.61,14.44,71.41,624.2,NA
NOV,11,8,11.39,5.62,1.27,13.33,21.33,1.71,93.52,14.38,71.47,624.63,NA
NOV,11,9,15.42,5.73,1.17,8.54,23.81,2.55,68.61,16.64,64.8,624.82,NA
NOV,11,10,18.93,39.68,1.14,6.36,18.96,3.67,69.86,18.78,58.55,624.94,NA
NOV,11,11,20.6,47.03,1.2,8.01,19.46,3.11,88.62,20.56,53.02,624.84,NA
NOV,11,12,24.49,36.82,1.73,6.35,19.44,2.41,76.87,22.31,46.75,624.25,NA
NOV,11,13,25.61,31.43,1.98,10.08,19.77,1.87,174.09,24.42,40.05,623.38,NA
NOV,11,14,30.43,38.51,1.85,11.64,31.95,1.65,267.26,25.86,35.37,622.39,NA
NOV,11,15,32.59,23.99,1.52,10.05,33.23,1.94,302.05,26.87,30.92,621.67,NA
NOV,11,16,30.87,4.64,1.11,6.03,26.25,3.47,83.67,27.62,22.3,621.33,NA
NOV,11,17,31.18,4.16,1.1,7.29,27.81,3.15,64.55,27.47,24.18,621.25,NA
NOV,11,18,28.13,4.16,1.16,9.23,27.75,2.97,75.71,26.98,26.48,621.45,NA
NOV,11,19,19.81,3.9,1.21,15.13,41.89,2.56,95.15,24.59,29.68,621.82,NA
NOV,11,20,24.44,3.82,1.06,7.74,42.54,3.23,58.29,23.08,30.58,622.32,NA
NOV,11,21,21.92,38.75,1.97,9.98,31.22,2.77,69.34,22,34.35,622.76,NA
NOV,11,22,12.71,77.62,1.46,13.58,38.55,3.13,81.43,19.98,53.62,623.41,NA
NOV,11,23,12.32,177.57,2.09,14.14,30.64,2.68,64.23,19.3,57.75,623.9,NA
