DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,18,20,0.0216,0.0327,0.0123,2.849,30,NA
SEP,18,21,0.0166,0.0308,0.0141,2.843,33,NA
SEP,18,22,0.0142,0.0281,0.0154,2.834,34,NA
SEP,18,23,0.0169,0.0256,0.0165,2.824,35,NA
SEP,19,0,0.0131,0.0224,0.0178,2.816,34,NA
SEP,19,1,0.0192,0.0204,0.0179,2.806,25,NA
SEP,19,2,0.0184,0.0185,0.0178,2.792,20,NA
SEP,19,3,0.021,0.0176,0.0174,2.764,18,NA
SEP,19,4,0.0235,0.0179,0.0168,2.738,15,NA
SEP,19,5,0.0183,0.0181,0.0173,2.725,20,NA
SEP,19,6,0.0164,0.0183,0.0175,2.732,22,NA
SEP,19,7,0.0156,0.0182,0.0173,2.747,24,NA
SEP,19,8,0.0172,0.0187,0.0171,2.765,27,NA
SEP,19,9,0.0212,0.0189,0.0165,2.782,31,NA
SEP,19,10,0.0237,0.0196,0.0163,2.803,28,NA
SEP,19,11,0.0296,0.0207,0.0157,2.823,24,NA
SEP,19,12,0.0311,0.0216,0.0151,2.847,26,NA
SEP,19,13,0.033,0.0235,0.0146,2.867,24,NA
SEP,19,14,0.0315,0.0254,0.0145,2.877,24,NA
SEP,19,15,0.0318,0.0274,0.0146,2.884,23,NA
SEP,19,16,0.0326,0.0293,0.0145,2.887,22,NA
SEP,19,17,0.032,0.0307,0.0144,2.89,19,NA
SEP,19,18,0.0308,0.0316,0.0142,2.883,20,NA
SEP,19,19,0.028,0.0314,0.0143,2.882,24,NA
SEP,19,20,0.0268,0.0308,0.0139,2.883,23,NA
SEP,19,21,0.0234,0.0296,0.0122,2.889,25,NA
SEP,19,22,0.0231,0.0286,0.0103,2.881,23,NA
SEP,19,23,0.0233,0.0275,0.0091,2.867,22,NA
SEP,20,0,0.0258,0.0267,0.0077,2.849,19,NA
SEP,20,1,0.0236,0.0256,0.0079,2.829,19,NA
SEP,20,2,0.0175,0.0239,0.0081,2.818,17,NA
SEP,20,3,0.0193,0.0229,0.0085,2.801,19,NA
SEP,20,4,0.0234,0.0224,0.0086,2.778,18,NA
SEP,20,5,0.0211,0.0221,0.0087,2.753,21,NA
SEP,20,6,0.0186,0.0216,0.0087,2.744,21,NA
SEP,20,7,0.0173,0.0208,0.0089,2.743,21,NA
SEP,20,8,0.0175,0.0198,0.0093,2.769,40,NA
SEP,20,9,0.0241,0.0198,0.0102,2.788,39,NA
SEP,20,10,0.0289,0.0213,0.011,2.801,36,NA
SEP,20,11,0.0321,0.0228,0.0115,2.82,30,NA
SEP,20,12,0.0373,0.0246,0.0117,2.841,32,NA
SEP,20,13,0.0381,0.0267,0.0122,2.858,27,NA
SEP,20,14,0.0376,0.0291,0.0125,2.87,25,NA
SEP,20,15,0.0373,0.0316,0.0127,2.883,22,NA
SEP,20,16,0.0377,0.0341,0.0129,2.874,20,NA
SEP,20,17,0.0383,0.0359,0.0129,2.87,19,NA
SEP,20,18,0.0355,0.0367,0.0141,2.885,21,NA
SEP,20,19,0.032,0.0367,0.0152,2.887,24,NA
SEP,20,20,0.0307,0.0359,0.0171,2.889,27,NA
SEP,20,21,0.0283,0.0347,0.017,2.889,26,NA
SEP,20,22,0.0259,0.0332,0.0177,2.881,29,NA
SEP,20,23,0.0262,0.0318,0.0183,2.865,28,NA
SEP,21,0,0.0236,0.0301,0.0185,2.852,28,NA
SEP,21,1,0.0182,0.0275,0.0182,2.847,24,NA
SEP,21,2,0.0189,0.0255,0.0176,2.825,22,NA
SEP,21,3,0.0173,0.0236,0.0169,2.81,22,NA
SEP,21,4,0.0109,0.0211,0.0165,2.799,24,NA
SEP,21,5,0.0035,0.018,0.0156,2.795,28,NA
SEP,21,6,0.0049,0.0154,0.0154,2.805,43,NA
SEP,21,7,0.0025,0.0125,0.0153,2.848,40,NA
SEP,21,8,0.0039,0.01,0.0149,2.89,40,NA
SEP,21,9,0.0083,0.0088,0.0139,2.916,40,NA
SEP,21,10,0.0197,0.0089,0.013,2.934,35,NA
SEP,21,11,0.0309,0.0106,0.0125,2.943,30,NA
SEP,21,12,0.0358,0.0137,0.0127,2.947,29,NA
SEP,21,13,0.0453,0.0189,0.0135,2.946,34,NA
SEP,21,14,0.0566,0.0254,0.0148,2.936,36,NA
SEP,21,15,0.061,0.0327,0.0157,2.901,35,NA
SEP,21,16,0.0634,0.0401,0.016,2.869,33,NA
SEP,21,17,0.0647,0.0472,0.0165,2.849,35,NA
SEP,21,18,0.0623,0.0525,0.0156,2.842,38,NA
SEP,21,19,0.0533,0.0553,0.0143,2.863,39,NA
SEP,21,20,0.0388,0.0557,0.0124,2.885,46,NA
SEP,21,21,0.0331,0.0542,0.0122,2.899,41,NA
SEP,21,22,0.0348,0.0514,0.0115,2.9,35,NA
SEP,21,23,0.0321,0.0478,0.0108,2.898,26,NA
SEP,22,0,0.0308,0.0437,0.0107,2.888,21,NA
SEP,22,1,0.0316,0.0396,0.0106,2.879,15,NA
SEP,22,2,0.0276,0.0353,0.0105,2.867,14,NA
SEP,22,3,0.0214,0.0313,0.0105,2.842,20,NA
SEP,22,4,0.0256,0.0296,0.0105,2.816,22,NA
SEP,22,5,0.0253,0.0287,0.0105,2.8,21,NA
SEP,22,6,0.0152,0.0262,0.0104,2.809,23,NA
SEP,22,7,0.0126,0.0238,0.0104,2.836,24,NA
SEP,22,8,0.0133,0.0216,0.0104,2.876,27,NA
SEP,22,9,0.0143,0.0194,0.0104,2.932,32,NA
SEP,22,10,0.0326,0.02,0.0105,2.949,33,NA
SEP,22,11,0.0448,0.023,0.0105,2.959,27,NA
SEP,22,12,0.0526,0.0263,0.01,2.967,22,NA
SEP,22,13,0.0534,0.0298,0.0088,2.972,23,NA
SEP,22,14,0.0612,0.0356,0.0071,2.965,22,NA
SEP,22,15,0.0641,0.042,0.0058,2.938,23,NA
SEP,22,16,0.0674,0.0488,0.0052,2.902,25,NA
SEP,22,17,0.0671,0.0554,0.0047,2.853,28,NA
SEP,22,18,0.0376,0.056,0.0042,2.871,38,NA
SEP,22,19,0.0276,0.0539,0.0039,2.889,36,NA
SEP,22,20,0.0286,0.0509,0.0043,2.896,31,NA
SEP,22,21,0.0308,0.0481,0.0045,2.903,31,NA
SEP,22,22,0.0292,0.0441,0.0045,2.912,30,NA
SEP,22,23,0.0286,0.0396,0.0046,2.914,32,NA
SEP,23,0,0.0198,0.0337,0.0049,2.923,30,NA
SEP,23,1,0.0071,0.0262,0.0052,2.937,31,NA
SEP,23,2,0.0067,0.0223,0.0053,2.917,33,NA
SEP,23,3,0.0011,0.019,0.0054,2.895,37,NA
SEP,23,4,0.0015,0.0156,0.0056,2.895,38,NA
SEP,23,5,0.0097,0.013,0.006,2.89,38,NA
SEP,23,6,0.0071,0.0102,0.0062,2.891,35,NA
SEP,23,7,0.0021,0.0069,0.0062,2.919,34,NA
SEP,23,8,0.0031,0.0048,0.0064,2.959,36,NA
SEP,23,9,0.0177,0.0061,0.0065,2.958,37,NA
SEP,23,10,0.029,0.0089,0.0065,2.972,35,NA
SEP,23,11,0.038,0.0135,0.0066,2.985,33,NA
SEP,23,12,0.0457,0.0191,0.0067,2.974,31,NA
SEP,23,13,0.0491,0.024,0.0067,2.969,23,NA
SEP,23,14,0.052,0.0296,0.0066,2.951,19,NA
SEP,23,15,0.0538,0.0361,0.0065,2.919,18,NA
SEP,23,16,0.0575,0.0428,0.0063,2.87,18,NA
SEP,23,17,0.0517,0.0471,0.0078,2.862,28,NA
SEP,23,18,0.0457,0.0492,0.0078,2.858,28,NA
SEP,23,19,0.0383,0.0492,0.0078,2.888,27,NA
SEP,23,20,0.0231,0.0464,0.0074,2.966,34,NA
SEP,23,21,0.0161,0.0423,0.0072,3.019,50,NA
SEP,23,22,0.0335,0.04,0.0072,3.035,41,NA
SEP,23,23,0.0237,0.0362,0.0072,3.044,35,NA
SEP,24,0,0.0138,0.0307,0.0075,3.059,37,NA
SEP,24,1,0.0085,0.0253,0.0076,3.065,41,NA
SEP,24,2,0.0098,0.0208,0.0078,3.056,43,NA
SEP,24,3,0.005,0.0167,0.0078,3.02,39,NA
SEP,24,4,0.0034,0.0142,0.0076,2.947,27,NA
SEP,24,5,0.003,0.0126,0.0071,2.906,29,NA
SEP,24,6,0.0003,0.0084,0.0073,2.941,42,NA
SEP,24,7,0.0008,0.0056,0.0074,2.977,46,NA
SEP,24,8,0.0009,0.004,0.0074,3.028,48,NA
SEP,24,9,0.0069,0.0038,0.0076,3.052,56,NA
SEP,24,10,0.0215,0.0052,0.0081,3.049,52,NA
SEP,24,11,0.0371,0.0093,0.0083,3.044,43,NA
SEP,24,12,0.046,0.0146,0.0084,3.037,36,NA
SEP,24,13,0.0487,0.0203,0.0085,3.025,29,NA
SEP,24,14,0.0474,0.0262,0.0087,2.976,25,NA
SEP,24,15,0.0454,0.0317,0.009,2.935,25,NA
SEP,24,16,0.0476,0.0376,0.0094,2.871,24,NA
SEP,24,17,0.0477,0.0427,0.008,2.834,26,NA
SEP,24,18,0.0438,0.0455,0.0079,2.848,27,NA
SEP,24,19,0.0306,0.0446,0.0078,2.903,29,NA
SEP,24,20,0.0177,0.0411,0.0079,2.974,50,NA
SEP,24,21,0.0272,0.0384,0.0084,3.003,56,NA
SEP,24,22,0.0231,0.0354,0.0086,3.017,44,NA
SEP,24,23,0.0233,0.0326,0.009,3.017,38,NA
SEP,25,0,0.031,0.0306,0.0085,3.02,33,NA
SEP,25,1,0.0213,0.0273,0.0087,3.019,29,NA
SEP,25,2,0.0198,0.0243,0.0087,2.993,32,NA
SEP,25,3,0.0206,0.023,0.0089,2.931,32,NA
SEP,25,4,0.017,0.0229,0.009,2.857,30,NA
SEP,25,5,0.0144,0.0213,0.009,2.831,29,NA
SEP,25,6,0.0116,0.0199,0.0091,2.831,33,NA
SEP,25,7,0.0086,0.018,0.0101,2.853,56,NA
SEP,25,8,0.0088,0.0153,0.0104,2.88,61,NA
SEP,25,9,0.0131,0.0142,0.0105,2.905,58,NA
SEP,25,10,0.0241,0.0148,0.01,2.925,51,NA
SEP,25,11,0.032,0.0162,0.0099,2.943,51,NA
SEP,25,12,0.045,0.0197,0.0099,2.955,45,NA
SEP,25,13,0.0534,0.0246,0.0099,2.962,42,NA
SEP,25,14,0.0543,0.0299,0.0101,2.954,40,NA
SEP,25,15,0.0597,0.0363,0.0099,2.93,36,NA
SEP,25,16,0.058,0.0425,0.0101,2.901,31,NA
SEP,25,17,NA,0.0466,0.0102,2.885,31,NA
SEP,25,18,0.0487,0.0502,0.0106,2.887,31,NA
SEP,25,19,0.0253,0.0492,0.0108,2.913,23,NA
SEP,25,20,0.0291,0.0469,0.0106,2.94,34,NA
SEP,25,21,0.0185,0.0419,0.0104,2.971,50,NA
SEP,25,22,0.0176,0.0367,0.0103,2.992,56,NA
SEP,25,23,0.0192,0.0309,0.0099,3.008,48,NA
SEP,26,0,0.0193,0.0254,0.0099,3.012,44,NA
SEP,26,1,0.0151,0.0241,0.0093,2.993,41,NA
SEP,26,2,0.0133,0.0197,0.009,2.977,37,NA
SEP,26,3,0.0079,0.0175,0.0091,2.947,40,NA
SEP,26,4,0.0049,0.0145,0.0092,2.923,41,NA
SEP,26,5,0.0046,0.0127,0.0093,2.902,39,NA
SEP,26,6,0.0006,0.0106,0.0089,2.904,38,NA
SEP,26,7,0.0004,0.0083,0.0078,2.93,42,NA
SEP,26,8,0.0037,0.0063,0.0074,2.968,46,NA
SEP,26,9,0.0079,0.0054,0.0074,3.011,59,NA
SEP,26,10,0.0211,0.0064,0.0075,3.025,80,NA
SEP,26,11,0.0366,0.01,0.0076,3.032,61,NA
SEP,26,12,0.0525,0.0159,0.0076,3.036,53,NA
SEP,26,13,0.0579,0.0226,0.0077,3.039,46,NA
SEP,26,14,0.0646,0.0306,0.0074,3.031,43,NA
SEP,26,15,0.0624,0.0383,0.0074,3.002,39,NA
SEP,26,16,0.0517,0.0443,0.0071,2.964,32,NA
SEP,26,17,0.0472,0.0493,0.0075,2.921,27,NA
SEP,26,18,0.0493,0.0528,0.0075,2.914,48,NA
SEP,26,19,0.0429,0.0536,0.0074,2.922,43,NA
SEP,26,20,0.0331,0.0512,0.0075,2.94,45,NA
SEP,26,21,0.0315,0.0478,0.0072,2.946,42,NA
SEP,26,22,0.0297,0.0435,0.0072,2.947,38,NA
SEP,26,23,0.026,0.0389,0.0073,2.95,40,NA
SEP,27,0,0.0198,0.0349,0.0077,2.957,43,NA
SEP,27,1,0.0169,0.0312,0.008,2.967,35,NA
SEP,27,2,0.015,0.0269,0.008,2.974,32,NA
SEP,27,3,0.0089,0.0226,0.0078,2.967,36,NA
SEP,27,4,0.0083,0.0195,0.0078,2.949,36,NA
SEP,27,5,0.0056,0.0163,0.0079,2.939,40,NA
SEP,27,6,0.0038,0.013,0.0081,2.939,43,NA
SEP,27,7,0.0017,0.01,0.0084,2.956,43,NA
SEP,27,8,0.005,0.0082,0.0089,2.979,59,NA
SEP,27,9,0.017,0.0082,0.0086,2.99,52,NA
SEP,27,10,0.0278,0.0098,0.0085,2.999,38,NA
SEP,27,11,0.0415,0.0139,0.0084,2.994,39,NA
SEP,27,12,0.0495,0.019,0.0082,2.983,33,NA
SEP,27,13,0.0528,0.0249,0.0081,2.972,31,NA
SEP,27,14,0.0515,0.0309,0.0081,2.966,26,NA
SEP,27,15,0.0529,0.0373,0.0081,2.94,27,NA
SEP,27,16,0.0515,0.0431,0.0082,2.911,29,NA
SEP,27,17,0.0528,0.0475,0.0076,2.894,23,NA
SEP,27,18,0.0512,0.0505,0.0077,2.888,23,NA
SEP,27,19,0.0408,0.0504,0.0078,2.9,23,NA
SEP,27,20,0.0338,0.0484,0.0078,2.937,39,NA
SEP,27,21,0.0308,0.0457,0.0081,2.969,51,NA
SEP,27,22,0.0247,0.0423,0.0083,2.994,52,NA
SEP,27,23,0.0197,0.0382,0.0083,3.005,50,NA
SEP,28,0,0.022,0.0345,0.008,3.012,47,NA
SEP,28,1,0.0188,0.0302,0.0078,3.023,44,NA
SEP,28,2,0.0067,0.0247,0.0078,3.024,48,NA
SEP,28,3,0.0014,0.0197,0.008,3.019,55,NA
SEP,28,4,0.002,0.0158,0.008,2.996,58,NA
SEP,28,5,NA,0.0136,0.008,2.988,57,NA
SEP,28,6,NA,0.0117,0.008,2.977,56,NA
SEP,28,7,NA,NA,0.0078,3,61,NA
SEP,28,8,0.0028,NA,0.0075,3.036,74,NA
SEP,28,9,0.0105,NA,0.0075,3.048,64,NA
SEP,28,10,0.0273,NA,0.0076,3.044,53,NA
SEP,28,11,0.0439,NA,0.008,3.04,50,NA
SEP,28,12,0.0523,NA,0.0083,3.035,45,NA
SEP,28,13,0.0558,0.0321,0.0084,3.012,39,NA
SEP,28,14,0.0554,0.0354,0.0083,2.99,36,NA
SEP,28,15,0.0482,0.037,0.0087,2.958,40,NA
SEP,28,16,0.0433,0.0421,0.0094,2.904,40,NA
SEP,28,17,0.0424,0.0461,0.0103,2.875,35,NA
SEP,28,18,0.0379,0.0474,0.0128,2.865,34,NA
SEP,28,19,0.0306,0.0457,0.0129,2.855,41,NA
SEP,28,20,0.0261,0.0425,0.0137,2.847,35,NA
SEP,28,21,0.0307,0.0393,0.0136,2.839,32,NA
SEP,28,22,0.0349,0.0368,0.0135,2.834,35,NA
SEP,28,23,0.0336,0.0349,0.0137,2.824,34,NA
SEP,29,0,0.0334,0.0337,0.0138,2.819,32,NA
SEP,29,1,0.0291,0.032,0.0137,2.811,28,NA
SEP,29,2,0.0272,0.0307,0.0136,2.796,24,NA
SEP,29,3,0.0251,0.03,0.0133,2.786,23,NA
SEP,29,4,0.0238,0.0297,0.0129,2.777,22,NA
SEP,29,5,0.018,0.0281,0.0126,2.779,20,NA
SEP,29,6,0.0116,0.0252,0.0124,2.801,24,NA
SEP,29,7,0.0064,0.0218,0.0123,2.817,28,NA
SEP,29,8,0.0068,0.0185,0.012,2.849,34,NA
SEP,29,9,0.0091,0.016,0.012,2.887,44,NA
SEP,29,10,0.018,0.0148,0.0116,2.914,39,NA
SEP,29,11,0.0292,0.0154,0.0109,2.927,39,NA
SEP,29,12,0.0344,0.0167,0.0106,2.942,43,NA
SEP,29,13,0.0377,0.0191,0.0103,2.952,53,NA
SEP,29,14,0.0384,0.0225,0.0101,2.946,56,NA
SEP,29,15,0.0382,0.0265,0.0096,2.945,51,NA
SEP,29,16,0.0394,0.0305,0.0086,2.926,43,NA
SEP,29,17,0.0371,0.034,0.0075,2.903,45,NA
SEP,29,18,0.0317,0.0358,0.0045,2.902,42,NA
SEP,29,19,0.0305,0.0359,0.0044,2.909,40,NA
SEP,29,20,0.0273,0.0351,0.0035,2.912,35,NA
SEP,29,21,0.0282,0.0339,0.0031,2.914,31,NA
SEP,29,22,0.026,0.0323,0.0029,2.905,30,NA
SEP,29,23,0.0259,0.0308,0.0024,2.894,30,NA
SEP,30,0,0.027,0.0292,0.0019,2.886,28,NA
SEP,30,1,0.0268,0.0279,0.0019,2.883,22,NA
SEP,30,2,0.0263,0.0272,0.002,2.858,20,NA
SEP,30,3,0.0234,0.0264,0.0023,2.836,20,NA
SEP,30,4,0.0242,0.026,0.0024,2.816,20,NA
SEP,30,5,0.0208,0.025,0.0024,2.802,19,NA
SEP,30,6,0.0172,0.0239,0.0025,2.806,20,NA
SEP,30,7,0.0103,0.022,0.0026,2.818,25,NA
SEP,30,8,0.009,0.0197,0.0034,2.842,39,NA
SEP,30,9,0.023,0.0193,0.0034,2.849,40,NA
SEP,30,10,0.033,0.0201,0.0034,2.857,35,NA
SEP,30,11,0.039,0.0221,0.0035,2.865,31,NA
SEP,30,12,0.0437,0.0245,0.0035,2.875,28,NA
SEP,30,13,0.0477,0.0279,0.0036,2.889,25,NA
SEP,30,14,0.0499,0.032,0.0037,2.887,27,NA
SEP,30,15,0.0501,0.0369,0.0037,2.879,26,NA
SEP,30,16,0.0521,0.0423,0.0038,2.856,25,NA
SEP,30,17,0.0532,0.0461,0.004,2.846,26,NA
SEP,30,18,0.0529,0.0486,0.0041,2.853,25,NA
SEP,30,19,0.0385,0.0485,0.0042,2.894,31,NA
SEP,30,20,0.0358,0.0475,0.0051,2.912,34,NA
SEP,30,21,0.0334,0.0457,0.006,2.913,33,NA
SEP,30,22,0.0283,0.043,0.007,2.923,33,NA
SEP,30,23,0.0242,0.0398,0.0072,2.926,33,NA
