DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.
ABRIL,6,17,57.587833,43.735612,5.542472,0.789113,4.5136
ABRIL,6,18,52.478983,49.034676,5.628554,0.74745,10.1439
ABRIL,6,19,41.793467,49.734149,5.588233,0.726992,24.3692
ABRIL,6,20,29.44665,48.524464,5.500836,0.721802,29.4316
ABRIL,6,21,27.62625,45.539005,5.572083,0.71658,29.8107
ABRIL,6,22,28.36795,43.392623,5.622235,0.713076,26.0223
ABRIL,6,23,22.274317,39.5725,5.683319,0.680369,23.8808
ABRIL,7,0,21.12815,35.08795,5.721717,0.673205,19.2935
ABRIL,7,1,29.202783,31.539819,5.72174,0.676837,22.9605
ABRIL,7,2,29.779733,28.702413,5.682028,0.685023,25.0071
ABRIL,7,3,27.6418,26.933454,5.621873,0.690908,22.2219
ABRIL,7,4,25.059117,26.385013,5.553065,0.702067,20.223
ABRIL,7,5,15.567178,24.877629,5.470873,0.709846,19.8662
ABRIL,7,6,16.392278,23.38067,5.40616,0.726676,24.3447
ABRIL,7,7,6.411403,21.397805,5.303859,0.770887,36.9473
ABRIL,7,8,12.131922,20.273277,5.133728,0.826331,38.5654
ABRIL,7,9,20.758678,19.217764,4.770507,0.871567,NA
ABRIL,7,10,NA,NA,NA,NA,NA
ABRIL,7,11,NA,NA,NA,NA,NA
ABRIL,7,12,NA,NA,4.402784,NA,NA
ABRIL,7,13,38.886933,NA,4.409549,NA,1.7687
ABRIL,7,14,44.749617,NA,4.449205,NA,0.9058
ABRIL,7,15,46.118567,NA,4.442864,NA,4.5846
ABRIL,7,16,50.814383,NA,4.427937,NA,6.1903
ABRIL,7,17,47.326917,NA,4.416999,NA,16.9481
ABRIL,7,18,41.21525,44.851945,4.403487,0.79792,34.1301
ABRIL,7,19,35.7786,43.555752,4.374222,0.782119,42.9596
ABRIL,7,20,31.80215,42.086552,4.379322,0.774862,42.0692
ABRIL,7,21,28.656517,40.80775,4.363644,0.733797,39.3344
ABRIL,7,22,27.125283,38.604708,4.36149,0.724543,38.8876
ABRIL,7,23,25.707567,36.053333,4.358411,0.727142,32.0541
ABRIL,8,0,26.34915,32.995179,4.378487,0.728802,33.0563
ABRIL,8,1,24.630817,30.158167,4.361062,0.733173,31.0157
ABRIL,8,2,20.34725,27.549667,4.34856,0.746903,29.2417
ABRIL,8,3,19.111967,25.466338,4.375198,0.764076,30.5745
ABRIL,8,4,22.364783,24.286667,4.387558,0.780309,30.3565
ABRIL,8,5,18.077417,22.964279,4.429484,0.795152,27.7308
ABRIL,8,6,11.948912,21.067233,4.445567,0.812321,39.1764
ABRIL,8,7,32.901928,21.966528,4.506869,0.86293,58.837
ABRIL,8,8,13.53317,20.364531,4.673907,0.964182,66.8176
ABRIL,8,9,9.490773,18.472025,5.006061,1.048248,80.2847
ABRIL,8,10,23.620033,18.881123,5.095582,1.096831,60.6986
ABRIL,8,11,37.202367,21.142423,5.083729,1.111376,38.201
ABRIL,8,12,42.683517,23.682265,5.041224,1.110309,28.9834
ABRIL,8,13,49.0968,27.559688,5.023241,1.110314,21.1279
ABRIL,8,14,53.8625,32.798886,4.950559,1.102592,15.8229
ABRIL,8,15,51.639383,35.141068,4.878131,1.054059,12.7498
ABRIL,8,16,50.6966,39.786497,4.794749,0.951947,16.7691
ABRIL,8,17,49.611183,44.801548,4.720248,0.868842,18.0305
ABRIL,8,18,48.306667,47.887377,4.626387,0.816823,24.9437
ABRIL,8,19,43.854,48.718831,4.549639,0.798717,32.7468
ABRIL,8,20,30.77245,47.229948,4.480332,0.80926,40.3109
ABRIL,8,21,26.512617,44.406925,4.413164,0.808107,40.1236
ABRIL,8,22,25.887517,40.910052,4.360976,0.808764,45.5807
ABRIL,8,23,27.95715,37.949773,4.293194,0.804611,41.1376
ABRIL,9,0,24.56845,34.683754,4.220118,0.809563,34.5602
ABRIL,9,1,19.691267,30.943765,4.189642,0.81692,35.8551
ABRIL,9,2,23.84975,27.88665,4.194302,0.820463,31.0564
ABRIL,9,3,25.571383,25.601323,4.186481,0.82365,28.6035
ABRIL,9,4,22.949433,24.623446,4.185173,0.81321,31.7188
ABRIL,9,5,15.925487,23.300055,4.178354,0.818554,32.5634
ABRIL,9,6,5.962398,20.809415,4.188653,0.83752,40.9085
ABRIL,9,7,3.325177,17.730418,4.17364,0.880359,41.0965
ABRIL,9,8,5.408837,15.335467,4.047699,0.946214,48.1652
ABRIL,9,9,17.483202,15.059458,3.768065,0.994635,47.934
ABRIL,9,10,40.7896,17.17694,3.645505,1.024769,41.7939
ABRIL,9,11,43.815083,19.457402,3.58913,1.036205,31.8078
ABRIL,9,12,47.6132,22.540373,3.552994,1.041752,28.4817
ABRIL,9,13,47.014333,26.426479,3.502269,1.04096,24.912
ABRIL,9,14,51.523483,32.121614,3.480246,1.023718,19.5669
ABRIL,9,15,53.58985,38.404699,3.468221,0.995221,19.3264
ABRIL,9,16,54.506583,44.541917,3.473073,0.934843,26.9837
ABRIL,9,17,52.798183,48.956289,3.452601,0.883388,32.024
ABRIL,9,18,51.9556,50.352039,3.448571,0.856898,29.457
ABRIL,9,19,48.417967,50.9274,3.427306,0.845124,32.6029
ABRIL,9,20,34.38665,49.274081,3.408011,0.857838,42.6356
ABRIL,9,21,30.3048,47.18539,3.418327,0.860226,44.6441
ABRIL,9,22,35.006617,45.120781,3.407596,0.854808,51.3285
ABRIL,9,23,37.443083,43.102435,3.380084,0.847034,46.1446
ABRIL,10,0,33.543533,40.482054,3.37056,0.846762,42.0899
ABRIL,10,1,30.195667,37.65674,3.376758,0.850698,35.7036
ABRIL,10,2,30.788883,35.0109,3.378628,0.853319,34.2493
ABRIL,10,3,27.275517,32.368094,3.37772,0.858069,32.6072
ABRIL,10,4,27.5913,31.518675,3.39432,0.84181,29.6128
ABRIL,10,5,24.014933,30.732442,3.409966,0.840365,31.8062
ABRIL,10,6,19.8054,28.83229,3.415815,0.856427,37.8171
ABRIL,10,7,12.526233,25.717683,3.405545,0.896087,39.6448
ABRIL,10,8,16.13705,23.541873,3.385451,0.929886,36.3086
ABRIL,10,9,18.794383,22.116712,3.366233,0.973499,32.5584
ABRIL,10,10,31.76715,22.238996,3.350425,0.985539,25.9806
ABRIL,10,11,41.590483,24.028367,3.359201,0.98854,20.871
ABRIL,10,12,43.261717,25.987169,3.354727,0.993594,17.8258
ABRIL,10,13,45.7225,28.700615,3.349332,0.9924,12.2743
ABRIL,10,14,46.891417,32.086367,3.351282,0.988388,15.2737
ABRIL,10,15,50.691967,36.857083,3.373977,0.956447,22.5531
ABRIL,10,16,48.974917,40.961817,3.378662,0.922236,22.1038
ABRIL,10,17,48.500017,44.675021,3.393611,0.874348,28.6007
ABRIL,10,18,51.15685,47.098734,3.403754,0.858074,32.1496
ABRIL,10,19,46.320433,47.689977,3.416577,0.853239,39.7792
ABRIL,10,20,38.859967,47.139759,3.420741,0.850701,44.4787
ABRIL,10,21,35.27425,45.833727,3.401985,0.854286,48.5878
ABRIL,10,22,34.519517,44.28724,3.390386,0.849548,46.2881
ABRIL,10,23,34.952283,42.319779,3.400781,0.848739,34.7813
ABRIL,11,0,29.920283,39.93795,3.402717,0.855947,26.7676
ABRIL,11,1,28.71015,37.464217,3.4245,0.865908,30.9057
ABRIL,11,2,31.106217,34.957888,3.454837,0.872782,29.7835
ABRIL,11,3,28.822667,32.770667,3.497888,0.878042,29.6229
ABRIL,11,4,24.70365,31.001127,3.542269,0.882628,30.6394
ABRIL,11,5,22.66505,29.424977,3.581269,0.887282,36.9302
ABRIL,11,6,14.070927,26.868903,3.636274,0.913286,43.7223
ABRIL,11,7,5.118618,23.139695,3.797641,0.95976,50.227
ABRIL,11,8,7.442783,20.330008,3.990584,1.004707,50.2712
ABRIL,11,9,19.90605,19.229495,4.202202,1.046579,48.8182
ABRIL,11,10,36.30905,19.879849,4.349467,1.075885,37.7673
ABRIL,11,11,43.428433,21.70557,4.452742,1.089588,27.255
ABRIL,11,12,41.814667,23.844447,4.537976,1.089331,28.6508
ABRIL,11,13,41.59635,26.21086,4.621152,1.087213,32.064
ABRIL,11,14,44.40215,30.002263,4.686932,1.064449,51.5316
ABRIL,11,15,45.5531,35.056573,4.720723,1.024345,53.0947
ABRIL,11,16,44.584817,39.699327,4.757445,0.976021,70.4313
ABRIL,11,17,42.979317,42.583486,4.793988,0.930598,71.837
ABRIL,11,18,39.7329,43.011467,4.819465,0.89389,56.9849
ABRIL,11,19,38.069333,42.341579,4.840957,0.874915,48.9848
ABRIL,11,20,32.86695,41.223115,4.87941,0.872144,49.3581
ABRIL,11,21,31.217583,39.925769,4.90835,0.871639,57.4357
ABRIL,11,22,27.49885,37.812856,4.978183,0.893402,82.5169
ABRIL,11,23,27.327183,35.534617,5.078841,0.91394,77.4459
ABRIL,12,0,26.394483,33.260825,5.164305,0.92827,55.7687
ABRIL,12,1,27.766367,31.359206,5.169572,0.939991,43.0137
ABRIL,12,2,26.8033,29.743006,5.153076,0.959769,37.8297
ABRIL,12,3,26.994533,28.358656,5.138757,0.97704,32.5068
ABRIL,12,4,25.158383,27.395085,5.109461,0.991017,32.1783
ABRIL,12,5,24.205367,26.518558,5.070087,0.999123,29.1739
ABRIL,12,6,23.89195,26.067696,5.007969,0.989473,30.4318
ABRIL,12,7,22.78135,25.499467,4.837302,0.982322,24.1545
