DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MZO,20,5,28.19,26.58,4.85,NA,32
MZO,20,6,12.01,24.31,4.81,NA,32
MZO,20,7,12.33,21.94,4.76,NA,30
MZO,20,8,6.08,19.31,4.68,NA,35
MZO,20,9,9.92,16.83,4.62,NA,38
MZO,20,10,24.66,16.6,4.5,NA,35
MZO,20,11,35.05,18.33,3.7,NA,30
MZO,20,12,44.28,21.56,3.08,NA,25
MZO,20,13,49.77,24.26,2.79,NA,23
MZO,20,14,53.95,29.5,2.69,NA,21
MZO,20,15,59.36,35.38,2.62,NA,18
MZO,20,16,70.93,43.49,2.91,NA,21
MZO,20,17,66.23,50.53,2.85,NA,25
MZO,20,18,67.85,55.93,2.8,NA,32
MZO,20,19,66.71,59.89,2.8,NA,36
MZO,20,20,36.08,58.86,2.75,NA,44
MZO,20,21,25.47,55.82,2.82,NA,59
MZO,20,22,27.66,52.54,2.92,NA,61
MZO,20,23,15.81,47.09,3.7,NA,63
MZO,21,0,20.30,40.76,4.57,NA,75
MZO,21,1,20.33,35.03,5.29,NA,67
MZO,21,2,18.79,28.9,6.36,NA,62
MZO,21,3,25.32,23.72,6.9,NA,52
MZO,21,4,24.20,22.24,7.31,NA,45
MZO,21,5,28.78,22.65,7.56,NA,41
MZO,21,6,29.25,22.85,7.64,NA,38
MZO,21,7,21.71,23.59,7.75,NA,40
MZO,21,8,16.36,23.09,7.88,NA,48
MZO,21,9,19.71,23.02,8.24,NA,43
MZO,21,10,28.76,24.26,8.55,NA,44
MZO,21,11,37.50,25.79,8.66,NA,42
MZO,21,12,45.96,28.51,8.72,NA,39
MZO,21,13,53.17,31.56,8.84,NA,38
MZO,21,14,61.85,35.63,8.95,NA,33
MZO,21,15,61.46,40.6,8.98,NA,27
MZO,21,16,59.80,46.03,8.62,NA,26
MZO,21,17,61.15,51.21,8.56,NA,26
MZO,21,18,61.49,55.3,8.53,NA,31
MZO,21,19,56.33,57.65,8.45,NA,42
