DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,4,3,NA,7.40,4.79,2.60,34,19.84
AGO,4,4,NA,4.80,4.76,2.55,35,19.47
AGO,4,5,NA,NA,4.73,2.52,37,19.08
AGO,4,6,NA,NA,4.72,2.52,46,17.80
AGO,4,7,NA,NA,4.70,2.52,90,18.31
AGO,4,8,0.70,NA,4.64,2.53,100,17.60
AGO,4,9,4.47,NA,4.59,2.54,110,14.90
AGO,4,10,14.03,NA,4.55,2.54,84,11.35
AGO,4,11,26.56,NA,4.50,2.54,57,12.39
AGO,4,12,41.83,NA,4.44,2.55,45,13.19
AGO,4,13,51.90,23.25,4.41,2.55,43,11.54
AGO,4,14,60.39,28.56,4.34,2.52,36,10.75
AGO,4,15,61.95,32.73,4.28,2.49,31,10.34
AGO,4,16,64.86,40.75,4.25,2.46,28,9.07
AGO,4,17,65.39,48.37,4.24,2.45,29,9.85
AGO,4,18,47.18,52.51,4.24,2.45,35,11.57
AGO,4,19,47.94,55.18,4.23,2.46,46,14.70
AGO,4,20,28.28,53.49,4.21,2.47,46,22.63
AGO,4,21,24.50,50.06,4.16,2.49,45,17.99
AGO,4,22,27.79,45.99,4.10,2.50,38,NA
AGO,4,23,25.85,41.47,4.02,2.50,30,NA
AGO,5,0,18.39,35.67,3.95,2.51,30,NA
AGO,5,1,15.48,29.43,3.90,2.51,34,15.01
AGO,5,2,23.93,26.52,3.89,2.50,30,7.94
AGO,5,3,20.97,23.15,3.87,2.48,27,9.48
AGO,5,4,8.37,20.66,3.85,2.46,33,16.49
AGO,5,5,3.53,18.04,3.84,2.43,31,15.81
AGO,5,6,4.63,15.14,3.85,2.43,29,16.85
AGO,5,7,1.39,12.08,3.87,2.47,33,16.62
AGO,5,8,2.38,10.08,3.90,2.49,38,14.46
AGO,5,9,7.93,9.14,3.91,2.50,36,14.41
AGO,5,10,17.66,8.36,3.91,2.51,31,10.14
AGO,5,11,22.60,8.56,3.90,2.52,25,12.09
AGO,5,12,26.66,10.85,3.90,2.52,26,10.03
AGO,5,13,32.10,14.42,3.87,2.53,27,10.21
AGO,5,14,36.32,18.38,3.86,2.52,27,9.45
AGO,5,15,41.04,23.34,3.83,2.48,26,9.47
AGO,5,16,39.91,28.03,3.80,2.46,25,10.07
AGO,5,17,41.71,32.25,3.77,2.45,27,10.30
AGO,5,18,38.37,34.84,3.75,2.44,27,11.64
AGO,5,19,38.04,36.77,3.77,2.45,29,13.41
AGO,5,20,26.98,36.81,3.77,2.47,33,22.04
AGO,5,21,10.43,34.10,3.87,2.54,47,28.81
AGO,5,22,15.99,31.56,4.36,2.55,40,15.26
AGO,5,23,7.99,27.43,4.51,2.54,31,16.20
AGO,6,0,13.37,24.11,4.58,2.53,27,11.52
AGO,6,1,8.95,20.02,4.69,2.53,29,13.89
AGO,6,2,5.81,15.95,4.92,2.51,35,15.27
AGO,6,3,10.29,12.48,5.11,2.50,32,12.43
AGO,6,4,8.50,10.17,5.23,2.47,32,13.53
AGO,6,5,4.46,9.42,5.31,2.40,49,16.68
AGO,6,6,1.12,7.56,5.34,2.40,54,17.47
AGO,6,7,1.44,6.74,5.38,2.42,50,16.87
AGO,6,8,4.44,5.63,5.41,2.45,48,13.83
AGO,6,9,12.33,6.05,5.46,2.46,43,11.19
AGO,6,10,21.59,8.02,5.51,2.47,35,9.86
AGO,6,11,28.48,10.29,5.55,2.48,31,10.25
AGO,6,12,34.65,13.56,5.59,2.49,29,11.17
AGO,6,13,41.82,18.23,5.64,2.50,26,9.48
AGO,6,14,42.72,23.43,5.68,2.48,26,8.80
AGO,6,15,44.09,28.76,5.70,2.46,22,8.12
AGO,6,16,45.39,33.88,5.73,2.43,25,8.19
AGO,6,17,47.26,38.25,5.77,2.41,27,8.20
AGO,6,18,44.70,41.14,5.97,2.43,25,11.11
AGO,6,19,24.11,40.59,6.73,2.49,31,17.73
AGO,6,20,22.03,39.01,7.60,2.51,33,14.03
AGO,6,21,21.60,36.49,7.77,2.51,32,10.48
AGO,6,22,17.58,33.35,7.47,2.51,32,11.75
AGO,6,23,14.28,29.62,7.44,2.51,30,11.72
AGO,7,0,11.68,25.41,7.44,2.51,23,12.54
AGO,7,1,10.70,20.84,7.41,2.51,25,11.94
AGO,7,2,11.06,16.63,7.30,2.48,21,11.56
AGO,7,3,5.92,14.36,7.25,2.40,20,15.07
AGO,7,4,7.23,12.51,7.29,2.37,23,14.00
AGO,7,5,5.37,10.48,7.36,2.36,26,16.82
AGO,7,6,5.21,8.93,7.46,2.37,25,17.80
AGO,7,7,3.34,7.56,7.55,2.38,27,16.19
AGO,7,8,5.02,6.73,7.70,2.41,37,16.19
AGO,7,9,13.30,7.06,7.81,2.43,39,12.33
AGO,7,10,23.35,8.59,7.89,2.44,33,10.05
AGO,7,11,28.59,11.43,7.96,2.46,28,9.46
AGO,7,12,33.12,14.66,8.03,2.47,27,10.00
AGO,7,13,35.06,18.37,8.10,2.48,28,10.20
AGO,7,14,35.10,22.11,8.18,2.48,25,9.91
AGO,7,15,39.98,26.69,8.27,2.47,23,9.30
AGO,7,16,41.35,31.23,8.37,2.45,23,9.96
AGO,7,17,36.21,34.10,8.44,2.45,24,11.61
AGO,7,18,30.10,34.94,8.37,2.46,25,12.20
AGO,7,19,21.23,34.02,7.72,2.48,27,15.87
AGO,7,20,18.60,32.20,7.03,2.49,30,14.40
AGO,7,21,15.21,29.72,6.96,2.50,29,13.64
AGO,7,22,18.22,27.61,7.00,2.49,26,11.95
AGO,7,23,18.68,24.95,7.42,2.48,22,9.80
AGO,8,0,19.53,22.22,7.64,2.47,21,9.11
AGO,8,1,17.16,19.84,7.68,2.45,15,11.39
AGO,8,2,16.82,18.18,7.59,2.43,11,10.53
AGO,8,3,15.38,17.45,7.44,2.39,12,11.15
AGO,8,4,17.70,17.34,7.26,2.37,12,10.44
AGO,8,5,11.45,16.87,7.04,2.35,13,15.13
AGO,8,6,8.28,15.62,6.83,2.35,17,15.45
AGO,8,7,8.45,14.35,6.62,2.36,20,13.55
AGO,8,8,10.56,13.23,6.34,2.39,24,11.90
AGO,8,9,14.47,12.89,6.10,2.41,26,11.61
AGO,8,10,20.04,13.29,5.89,2.42,23,9.96
AGO,8,11,22.93,14.24,5.67,2.44,22,9.30
AGO,8,12,26.78,15.37,5.48,2.46,21,10.34
AGO,8,13,29.03,17.57,5.29,2.48,20,9.23
