DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
DIC,10,8,0.0002,0.0071,0.0131,3.322,61,NA
DIC,10,9,0.0017,0.0055,0.0131,3.382,64,NA
DIC,10,10,0.0096,0.0049,0.0134,3.430,75,NA
DIC,10,11,0.0240,0.0063,0.0147,3.469,111,NA
DIC,10,12,0.0386,0.0100,0.0156,3.518,100,NA
DIC,10,13,0.0356,0.0139,0.0157,3.522,68,NA
DIC,10,14,0.0478,0.0198,0.0157,3.535,51,NA
DIC,10,15,0.0494,0.0259,0.0156,3.499,46,NA
DIC,10,16,0.0475,0.0318,0.0153,3.476,44,NA
DIC,10,17,0.0421,0.0368,0.0133,3.464,44,NA
DIC,10,18,0.0329,0.0397,0.0115,3.488,47,NA
DIC,10,19,0.0179,0.0390,0.0104,3.575,55,NA
DIC,10,20,0.0051,0.0348,0.0097,3.644,84,NA
DIC,10,21,0.0112,0.0317,0.0092,3.672,85,NA
DIC,10,22,0.0163,0.0278,0.0090,3.673,67,NA
DIC,10,23,0.0183,0.0239,0.0088,3.678,53,NA
DIC,11,0,0.0165,0.0200,0.0087,3.679,44,NA
DIC,11,1,0.0158,0.0167,0.0087,3.650,39,NA
DIC,11,2,0.0169,0.0148,0.0087,3.595,33,NA
DIC,11,3,0.0143,0.0143,0.0087,3.487,29,NA
DIC,11,4,0.0087,0.0147,0.0083,3.387,30,NA
DIC,11,5,0.0034,0.0138,0.0078,3.363,35,NA
DIC,11,6,0.0011,0.0119,0.0078,3.369,41,NA
DIC,11,7,0.0009,0.0097,0.0077,3.406,43,NA
DIC,11,8,0.0008,0.0077,0.0077,3.517,57,NA
DIC,11,9,0.0011,0.0059,0.0077,3.656,80,NA
DIC,11,10,0.0085,0.0048,0.0068,3.737,94,NA
DIC,11,11,0.0219,0.0058,0.0071,3.771,81,NA
DIC,11,12,0.0317,0.0087,0.0064,3.782,62,NA
DIC,11,13,0.0391,0.0131,0.0063,3.768,46,NA
DIC,11,14,0.0396,0.0179,0.0062,3.749,36,NA
DIC,11,15,0.0395,0.0228,0.0061,3.705,31,NA
DIC,11,16,0.0386,0.0275,0.0060,3.590,30,NA
DIC,11,17,0.0389,0.0322,0.0060,3.448,29,NA
DIC,11,18,0.0368,0.0357,0.0060,3.378,34,NA
DIC,11,19,0.0247,0.0361,0.0059,3.395,40,NA
DIC,11,20,0.0102,0.0334,0.0058,3.492,53,NA
DIC,11,21,0.0056,0.0292,0.0059,3.590,84,NA
DIC,11,22,0.0090,0.0254,0.0060,3.677,125,NA
DIC,11,23,0.0118,0.0219,0.0060,3.723,107,NA
DIC,12,0,0.0037,0.0176,0.0060,3.776,103,NA
DIC,12,1,0.0026,0.0131,0.0061,3.849,101,NA
DIC,12,2,0.0003,0.0085,0.0061,3.932,105,NA
DIC,12,3,0.0003,0.0054,0.0062,3.949,104,NA
DIC,12,4,0.0011,0.0043,0.0064,3.893,98,NA
DIC,12,5,0.0019,0.0038,0.0065,3.825,85,NA
DIC,12,6,0.0016,0.0029,0.0066,3.783,73,NA
DIC,12,7,0.0006,0.0015,0.0068,3.773,70,NA
DIC,12,8,0.0002,0.0011,0.0072,3.771,79,NA
DIC,12,9,0.0018,0.0010,0.0075,3.785,107,NA
DIC,12,10,0.0076,0.0019,0.0073,3.747,104,NA
DIC,12,11,0.0240,0.0049,0.0061,3.699,83,NA
DIC,12,12,0.0366,0.0093,0.0061,3.663,65,NA
DIC,12,13,0.0467,0.0149,0.0062,3.641,50,NA
DIC,12,14,0.0506,0.0210,0.0063,3.598,42,NA
DIC,12,15,0.0442,0.0265,0.0063,3.553,37,NA
DIC,12,16,0.0457,0.0321,0.0063,3.508,32,NA
DIC,12,17,0.0433,0.0373,0.0064,3.436,32,NA
DIC,12,18,0.0367,0.0410,0.0064,3.408,49,NA
DIC,12,19,0.0265,0.0413,0.0064,3.417,59,NA
DIC,12,20,0.0216,0.0394,0.0064,3.411,60,NA
DIC,12,21,0.0152,0.0355,0.0064,3.448,73,NA
DIC,12,22,0.0188,0.0315,0.0064,3.491,89,NA
DIC,12,23,0.0150,0.0278,0.0064,3.545,79,NA
DIC,13,0,0.0073,0.0230,0.0064,3.602,73,NA
DIC,13,1,0.0021,0.0179,0.0064,3.662,64,NA
DIC,13,2,0.0003,0.0133,0.0064,3.710,71,NA
DIC,13,3,0.0006,0.0101,0.0064,3.728,66,NA
DIC,13,4,0.0019,0.0076,0.0064,3.736,52,NA
DIC,13,5,0.0006,0.0058,0.0063,3.731,49,NA
DIC,13,6,0.0002,0.0035,0.0063,3.720,49,NA
DIC,13,7,0.0004,0.0017,0.0060,3.715,50,NA
DIC,13,8,0.0016,0.0010,0.0056,3.703,52,NA
DIC,13,9,0.0029,0.0011,0.0053,3.719,62,NA
DIC,13,10,0.0158,0.0030,0.0051,3.677,70,NA
DIC,13,11,0.0269,0.0063,0.0047,3.645,50,NA
DIC,13,12,0.0335,0.0103,0.0045,3.632,38,NA
DIC,13,13,0.0331,0.0143,0.0044,3.590,29,NA
DIC,13,14,0.0329,0.0184,0.0043,3.554,25,NA
DIC,13,15,0.0331,0.0225,0.0043,3.504,23,NA
DIC,13,16,0.0301,0.0260,0.0042,3.447,25,NA
DIC,13,17,0.0287,0.0293,0.0042,3.364,25,NA
DIC,13,18,0.0282,0.0308,0.0041,3.340,25,NA
DIC,13,19,0.0188,0.0298,0.0041,3.363,32,NA
DIC,13,20,0.0084,0.0267,0.0040,3.453,40,NA
