DATOS MÓVILES 2020_NATIVITAS,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,,
ENE,5,21,33.23,8.97,2.33,28.61,,
ENE,5,22,29.92,8.87,2.36,29.48,,
ENE,5,23,26.32,8.93,2.38,30.99,,
ENE,6,0,22.73,8.99,2.38,31.46,,
ENE,6,1,19.36,9.05,2.39,32.34,,
ENE,6,2,15.89,9.06,2.38,32.82,,
ENE,6,3,15.11,9.08,2.26,33.35,,
ENE,6,4,16.62,9.11,1.95,33.87,,
ENE,6,5,15.77,9.13,1.94,34.48,,
ENE,6,6,15.01,9.18,1.93,34.90,,
ENE,6,7,14.27,9.22,1.95,35.06,,
ENE,6,8,12.88,9.25,1.97,35.24,,
ENE,6,9,11.62,9.29,2.02,35.79,,
ENE,6,10,11.16,9.45,2.06,36.70,,
ENE,6,11,11.11,9.43,2.08,37.75,,
ENE,6,12,12.59,9.24,2.09,38.59,,
ENE,6,13,16.02,9.34,2.08,39.08,,
ENE,6,14,20.87,9.21,2.06,39.13,,
ENE,6,15,26.39,9.01,2.04,40.23,,
ENE,6,16,32.53,8.89,2.01,41.00,,
ENE,6,17,38.42,8.60,1.98,41.81,,
ENE,6,18,43.37,8.55,1.97,42.56,,
ENE,6,19,43.76,8.48,2.14,43.90,,
ENE,6,20,40.61,8.26,2.53,42.83,,
ENE,6,21,36.21,8.08,2.82,49.64,,
ENE,6,22,31.07,7.97,2.98,54.42,,
ENE,6,23,25.37,8.04,3.11,56.47,,
ENE,7,0,19.91,8.14,3.18,59.53,,
ENE,7,1,14.80,8.23,3.20,60.81,,
ENE,7,2,8.99,8.29,3.21,62.83,,
ENE,7,3,6.93,8.40,3.06,64.79,,
ENE,7,4,6.80,8.55,2.73,67.45,,
ENE,7,5,6.79,8.70,2.49,71.08,,
ENE,7,6,6.55,8.79,2.37,73.56,,
ENE,7,7,6.31,8.89,2.28,75.09,,
ENE,7,8,5.52,9.02,2.28,76.35,,
ENE,7,9,5.12,9.07,2.28,77.57,,
ENE,7,10,7.00,8.96,2.25,77.47,,
ENE,7,11,9.87,9.23,2.21,78.49,,
ENE,7,12,13.34,9.33,2.16,79.82,,
ENE,7,13,17.18,9.12,2.11,82.61,,
ENE,7,14,21.38,9.08,2.08,84.66,,
ENE,7,15,25.40,9.25,2.04,84.75,,
ENE,7,16,29.53,9.36,1.98,84.47,,
ENE,7,17,32.60,9.49,1.95,84.74,,
ENE,7,18,33.86,9.91,1.96,84.72,,
ENE,7,19,33.39,10.93,1.97,83.55,,
ENE,7,20,32.61,11.28,1.99,78.55,,
ENE,7,21,31.44,11.76,2.00,69.42,,
ENE,7,22,29.56,12.25,2.00,64.33,,
ENE,7,23,28.03,12.96,2.00,60.90,,
ENE,8,0,26.64,13.50,2.00,58.14,,
ENE,8,1,25.86,13.80,1.99,55.99,,
ENE,8,2,25.18,13.92,1.97,53.80,,
ENE,8,3,25.23,13.96,1.95,51.55,,
ENE,8,4,25.53,13.98,1.93,48.45,,
ENE,8,5,25.67,14.21,1.92,44.49,,
ENE,8,6,25.84,14.76,1.91,41.53,,
ENE,8,7,25.38,14.67,1.92,39.54,,
ENE,8,8,24.05,14.46,1.95,37.57,,
ENE,8,9,22.65,14.33,1.98,35.82,,
ENE,8,10,22.55,14.27,2.01,35.06,,
ENE,8,11,23.04,13.91,2.03,34.05,,
ENE,8,12,23.65,13.76,2.05,32.75,,
ENE,8,13,24.68,13.77,2.07,30.82,,
ENE,8,14,27.27,13.78,2.10,29.70,,
ENE,8,15,31.40,13.57,2.10,29.97,,
ENE,8,16,36.90,13.39,2.09,30.36,,
ENE,8,17,41.80,13.17,2.08,30.33,,
ENE,8,18,44.42,12.68,2.12,30.25,,
ENE,8,19,44.01,11.72,2.28,31.20,,
ENE,8,20,40.52,11.38,2.65,34.12,,
ENE,8,21,36.58,10.99,3.24,40.84,,
ENE,8,22,31.40,10.74,3.73,49.16,,
ENE,8,23,25.18,10.27,4.08,60.48,,
ENE,9,0,18.46,9.96,4.25,68.05,,
ENE,9,1,11.79,9.78,4.32,74.50,,
ENE,9,2,6.44,9.58,4.32,78.20,,
ENE,9,3,3.53,9.39,4.20,80.87,,
ENE,9,4,3.33,9.18,3.88,84.77,,
ENE,9,5,3.42,8.78,3.33,88.38,,
ENE,9,6,3.41,8.11,2.86,90.79,,
ENE,9,7,3.36,8.14,2.60,93.28,,
