DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,
FEB,12,1,26.83,7.58,2.51,38.59,
FEB,12,2,23.5,7.57,2.49,37.52,
FEB,12,3,21.12,7.59,2.48,36.84,
FEB,12,4,19.71,7.61,2.46,36.62,
FEB,12,5,18.39,7.65,2.45,36.81,
FEB,12,6,16.54,7.64,2.45,36.63,
FEB,12,7,14.98,7.59,2.46,35.21,
FEB,12,8,13.38,7.5,2.5,32.85,
FEB,12,9,11.93,7.44,2.54,28.48,
FEB,12,10,11.59,7.37,2.56,25.44,
FEB,12,11,12.02,7.35,2.56,23.49,
FEB,12,12,13.45,7.34,2.57,22.43,
FEB,12,13,15.41,7.37,2.57,22.61,
FEB,12,14,17.71,7.38,2.57,24.01,
FEB,12,15,20.83,7.36,2.55,24.59,
FEB,12,16,24.44,7.34,2.51,24.83,
FEB,12,17,27.89,7.31,2.48,25.02,
FEB,12,18,29.54,7.32,2.47,25.2,
FEB,12,19,29.32,7.31,2.48,24.74,
FEB,12,20,28.16,7.31,2.51,24.56,
FEB,12,21,27.29,7.34,2.52,24.06,
FEB,12,22,25.92,7.39,2.53,23.91,
FEB,12,23,23.45,7.42,2.54,23.74,
FEB,13,0,20.53,7.47,2.55,24.11,
FEB,13,1,17.02,7.62,2.57,24.62,
FEB,13,2,13.99,7.69,2.58,25.7,
FEB,13,3,11.96,7.69,2.59,26.28,
FEB,13,4,10.25,7.69,2.58,26.92,
FEB,13,5,8.05,7.91,2.59,27.67,
FEB,13,6,6.6,7.97,2.6,28.57,
FEB,13,7,5.55,8.01,2.63,30.09,
FEB,13,8,4.71,8.04,2.66,31.45,
FEB,13,9,4.53,8.05,2.7,32.72,
FEB,13,10,5.41,8.1,2.71,33.55,
FEB,13,11,7.73,8.15,2.71,34.81,
FEB,13,12,10.26,8.15,2.69,35.34,
FEB,13,13,13.81,8.07,2.69,35.43,
FEB,13,14,17.38,8,2.67,34.16,
FEB,13,15,21.77,7.97,2.64,33.78,
FEB,13,16,26.28,7.95,2.61,33.15,
FEB,13,17,31.01,7.93,2.56,33.2,
FEB,13,18,34.99,7.91,2.54,33.39,
FEB,13,19,36.62,7.87,2.56,33.54,
FEB,13,20,36.58,7.82,2.6,33.35,
FEB,13,21,34.19,7.79,2.64,34.32,
FEB,13,22,31.43,7.76,2.68,35.41,
FEB,13,23,28.65,7.74,2.69,35.83,
FEB,14,0,25.57,7.7,2.7,35.99,
FEB,14,1,21.97,7.55,2.7,35.83,
FEB,14,2,18.49,7.45,2.7,34.99,
FEB,14,3,16.15,7.43,2.68,34.58,
FEB,14,4,15.16,7.43,2.63,33.93,
FEB,14,5,15.39,7.18,2.6,33.13,
FEB,14,6,15.73,7.09,2.56,31.84,
FEB,14,7,15.25,7.01,2.56,30.32,
FEB,14,8,14.9,6.92,2.57,28.96,
FEB,14,9,14.68,6.85,2.59,27.63,
FEB,14,10,14.9,6.74,2.61,27.03,
FEB,14,11,15.24,6.65,2.62,26.6,
FEB,14,12,16.25,6.6,2.64,26.6,
FEB,14,13,18.6,6.68,2.66,26.99,
FEB,14,14,21.44,6.98,2.66,27.6,
FEB,14,15,24.34,7.44,2.65,27.32,
FEB,14,16,27.66,7.77,2.64,27.29,
FEB,14,17,31.68,8.26,2.62,27.23,
FEB,14,18,35.47,8.61,2.63,27.17,
FEB,14,19,37.56,8.76,2.67,27.73,
FEB,14,20,35.76,8.91,2.82,29.1,
FEB,14,21,32.01,9.14,2.99,31.26,
FEB,14,22,29.32,9.44,3.01,32.19,
FEB,14,23,26.94,9.58,3.02,32.58,
FEB,15,0,24.02,10.19,3.03,32.74,
FEB,15,1,20.34,11.2,3.03,32.88,
FEB,15,2,16.91,11.26,3,32.78,
FEB,15,3,14.89,11.27,2.95,32.75,
FEB,15,4,15.8,11.23,2.79,33,
FEB,15,5,17.41,11.21,2.61,33.18,
FEB,15,6,17.55,11.18,2.59,33.41,
FEB,15,7,17.18,11.14,2.58,33.47,
FEB,15,8,16.72,11.11,2.6,33.35,
FEB,15,9,16.12,11.13,2.63,33.7,
FEB,15,10,15.76,11.11,2.66,33.62,
FEB,15,11,16.13,11.07,2.68,33.9,
FEB,15,12,17.67,11.06,2.69,35.89,
FEB,15,13,20.25,11.28,2.69,35.92,
FEB,15,14,24.05,11.27,2.7,36.06,
