DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
DICIEMBRE,4,9,0.009,0.006,1.68,0.012,25,NA,15.65,1.67,133.04,73.29,627.17,0.39
DICIEMBRE,4,10,0.016,0.006,1.72,0.011,32,NA,17.77,3.55,93.96,64.77,627.27,1.40
DICIEMBRE,4,11,0.021,0.006,1.64,0.009,30,NA,19.69,3.87,81.68,53.44,626.99,2.42
DICIEMBRE,4,12,0.026,0.008,1.70,0.009,21,NA,21.40,3.96,86.10,38.99,626.30,3.12
DICIEMBRE,4,13,0.031,0.006,1.66,0.009,27,NA,22.83,4.20,80.90,27.14,625.38,3.37
DICIEMBRE,4,14,0.035,0.006,1.64,0.008,31,NA,24.12,4.56,77.54,25.75,624.29,3.16
DICIEMBRE,4,15,0.037,0.006,1.65,0.009,44,NA,24.94,4.94,89.94,23.16,623.36,2.47
DICIEMBRE,4,16,0.036,0.006,1.72,0.010,47,NA,25.65,4.59,100.55,20.25,622.78,1.55
DICIEMBRE,4,17,0.036,0.006,1.71,0.010,50,NA,25.70,4.29,105.73,19.16,622.62,0.63
DICIEMBRE,4,18,0.028,0.006,1.83,0.014,46,NA,24.79,3.40,101.15,19.69,622.63,NA
DICIEMBRE,4,19,0.015,0.007,2.13,0.018,81,NA,22.72,2.54,81.70,24.20,622.78,NA
DICIEMBRE,4,20,0.013,0.023,2.10,0.012,104,NA,21.31,3.14,45.08,36.45,623.29,NA
DICIEMBRE,4,21,0.015,0.009,1.69,0.009,32,NA,19.62,3.75,40.17,44.20,623.66,NA
DICIEMBRE,4,22,0.015,0.012,1.75,0.009,27,NA,18.18,3.07,58.76,50.22,624.02,NA
DICIEMBRE,4,23,0.009,0.010,1.78,0.013,38,NA,16.31,2.00,117.35,56.85,624.33,NA
DICIEMBRE,5,0,0.009,0.009,1.59,0.010,41,NA,14.73,1.84,94.90,62.25,624.16,NA
DICIEMBRE,5,1,0.008,0.007,1.49,0.010,36,NA,13.89,1.60,88.95,64.78,623.88,NA
