DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JUNIO,6,23,0.035,0.043,0.35,0.009,33,20,26.12,2.36,88.83,41.77,622.13
JUNIO,7,0,0.034,0.169,0.35,0.009,43,36,25.16,4.11,72.33,47.39,622.31
JUNIO,7,1,0.035,0.119,0.51,0.007,29,23,24.41,3.02,78.90,50.99,622.44
JUNIO,7,2,0.029,0.075,0.39,0.008,36,19,23.66,3.08,77.66,56.86,622.32
JUNIO,7,3,0.027,0.032,0.38,0.006,28,36,22.64,1.13,104.60,61.51,622.16
JUNIO,7,4,0.025,0.014,0.40,0.007,28,28,21.90,0.50,99.97,64.49,622.17
JUNIO,7,5,0.026,0.012,0.44,0.010,28,25,21.28,0.45,116.15,65.86,622.48
JUNIO,7,6,0.035,0.007,0.47,0.008,25,25,20.88,0.45,121.96,64.79,622.75
JUNIO,7,7,0.027,0.005,0.65,0.012,29,23,20.84,0.45,132.76,65.01,623.05
JUNIO,7,8,0.025,0.004,0.83,0.016,27,24,22.47,0.45,151.80,59.99,623.52
JUNIO,7,9,0.034,0.004,0.73,0.010,33,27,23.66,0.45,253.38,56.45,623.88
JUNIO,7,10,0.040,0.003,0.70,0.010,33,24,24.55,0.63,251.68,54.96,623.57
JUNIO,7,11,0.045,0.003,0.70,0.009,31,30,25.79,1.60,247.82,51.32,623.47
JUNIO,7,12,0.050,0.003,0.65,0.007,32,28,27.04,2.93,256.92,45.44,623.00
JUNIO,7,13,0.059,0.002,0.65,0.006,31,26,28.44,1.24,249.67,40.84,622.45
JUNIO,7,14,0.064,0.002,0.66,0.006,29,31,29.91,2.09,267.72,35.37,621.68
JUNIO,7,15,0.065,0.001,0.62,0.008,27,27,31.26,1.84,260.19,29.75,621.07
JUNIO,7,16,0.065,0.001,0.59,0.007,26,26,32.71,0.89,239.46,23.73,620.43
JUNIO,7,17,0.063,0.001,0.64,0.008,27,27,32.94,2.06,244.97,22.95,619.71
JUNIO,7,18,0.058,0.001,0.71,0.010,35,25,33.01,3.03,247.66,21.19,619.23
JUNIO,7,19,0.051,0.001,0.73,0.013,33,29,32.65,2.71,237.29,19.89,619.34
JUNIO,7,20,0.041,0.001,0.83,0.016,47,22,31.42,1.59,224.17,20.31,619.83
JUNIO,7,21,0.038,0.001,0.69,0.012,34,23,30.03,1.50,217.84,19.35,620.40
JUNIO,7,22,0.036,0.001,0.60,0.011,30,24,28.92,0.59,206.15,19.08,621.05
JUNIO,7,23,0.032,0.026,0.55,0.011,37,19,27.35,2.02,110.46,30.93,622.10
JUNIO,8,0,0.034,0.087,0.38,0.009,45,30,25.39,2.21,73.61,47.06,622.67
JUNIO,8,1,0.032,0.064,0.34,0.010,43,35,24.47,2.33,86.41,47.09,622.72
JUNIO,8,2,0.031,0.049,0.32,0.010,34,33,23.45,1.41,112.02,48.23,622.54
JUNIO,8,3,0.028,0.029,0.33,0.010,28,32,22.87,0.45,137.53,50.26,622.50
JUNIO,8,4,0.025,0.007,0.36,0.010,21,24,22.43,0.45,153.11,51.41,622.66
JUNIO,8,5,0.019,0.006,0.40,0.014,26,21,21.76,0.45,276.11,54.60,622.84
JUNIO,8,6,0.024,0.004,0.42,0.011,30,20,20.96,0.45,246.07,61.17,623.08
JUNIO,8,7,0.018,0.004,0.65,0.013,31,24,20.75,0.45,215.32,61.18,623.45
JUNIO,8,8,0.020,0.003,0.81,0.013,34,26,21.30,1.29,251.35,60.87,623.78
JUNIO,8,9,0.029,0.003,0.69,0.009,36,29,23.33,2.93,252.61,57.86,624.04
JUNIO,8,10,0.037,0.003,0.64,0.008,32,28,25.23,3.07,252.69,48.20,624.16
JUNIO,8,11,0.043,0.002,0.61,0.007,25,25,26.42,2.66,250.68,40.51,624.02
JUNIO,8,12,0.047,0.001,0.62,0.009,27,18,27.74,1.96,233.14,37.56,623.65
JUNIO,8,13,0.051,0.001,0.54,0.007,24,21,29.41,1.46,245.19,28.67,623.01
JUNIO,8,14,0.048,0.001,0.51,0.007,19,22,31.13,1.92,238.18,19.46,622.45
JUNIO,8,15,0.043,0.001,0.53,0.008,16,21,32.61,1.90,231.83,12.56,621.79
JUNIO,8,16,0.044,0.001,0.53,0.008,20,20,33.22,2.15,230.01,10.18,621.24
JUNIO,8,17,0.045,0.001,0.53,0.009,21,17,33.95,2.82,236.98,8.45,620.65
JUNIO,8,18,0.046,0.001,0.56,0.010,33,18,34.03,2.47,247.00,6.70,620.46
JUNIO,8,19,0.046,0.001,0.62,0.014,78,18,33.30,3.17,236.27,7.54,620.58
JUNIO,8,20,0.040,0.001,0.80,0.019,40,26,31.16,0.88,231.93,11.44,620.96
JUNIO,8,21,0.042,0.001,0.70,0.016,43,24,29.35,0.54,217.54,12.91,621.45
JUNIO,8,22,0.037,0.001,0.72,0.017,42,24,27.88,0.46,215.35,13.66,621.94
JUNIO,8,23,0.030,0.001,0.66,0.020,44,18,26.44,0.45,284.68,15.17,622.42
JUNIO,9,0,0.023,0.002,0.48,0.024,49,26,24.67,0.45,282.40,19.40,622.78
JUNIO,9,1,0.028,0.002,0.45,0.014,46,26,24.84,0.49,240.02,29.34,623.03
JUNIO,9,2,0.032,0.001,0.36,0.007,30,17,23.92,0.55,250.32,37.83,622.74
JUNIO,9,3,0.020,0.001,0.39,0.015,32,20,22.37,0.45,274.27,39.80,622.74
JUNIO,9,4,0.012,0.002,0.46,0.023,40,22,21.60,0.45,260.17,39.15,623.00
JUNIO,9,5,0.021,0.001,0.43,0.012,42,26,21.85,0.45,219.73,42.18,623.13
JUNIO,9,6,0.021,0.001,0.46,0.012,71,33,21.23,0.45,251.73,45.38,623.51
JUNIO,9,7,0.007,0.004,0.82,0.022,46,24,19.43,0.45,257.55,43.44,623.96
JUNIO,9,8,0.012,0.004,1.06,0.029,57,33,21.74,0.45,257.89,36.85,623.95
JUNIO,9,9,0.028,0.002,0.85,0.022,57,40,24.71,0.45,194.88,33.09,624.11
JUNIO,9,10,0.043,0.001,0.62,0.011,50,32,25.99,0.73,260.16,38.25,623.88
JUNIO,9,11,0.043,0.001,0.58,0.008,26,27,27.88,0.88,252.17,25.76,623.79
JUNIO,9,12,0.052,0.001,0.55,0.008,29,18,29.57,0.76,266.14,21.89,623.48
JUNIO,9,13,0.057,0.000,0.48,0.005,21,23,31.29,0.86,276.24,13.88,622.99
JUNIO,9,14,0.061,0.001,0.47,0.006,19,13,32.73,0.49,256.86,11.10,622.42
JUNIO,9,15,0.055,0.000,0.57,0.009,21,19,34.22,0.50,221.05,8.68,621.69
JUNIO,9,16,0.059,0.001,0.50,0.009,24,24,34.63,0.56,202.00,8.01,621.05
JUNIO,9,17,0.063,0.000,0.49,0.009,25,30,35.34,0.51,229.62,7.70,620.59
JUNIO,9,18,0.057,0.001,0.60,0.013,27,23,35.10,0.79,187.89,7.50,620.25
JUNIO,9,19,0.053,0.001,0.64,0.015,33,13,34.53,0.96,181.56,8.00,620.33
JUNIO,9,20,0.037,0.001,0.97,0.025,35,21,33.51,0.46,163.98,9.41,620.58
