DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JULIO,5,10,0.033,0.011,0.520,0.014,24,24,22.32,0.98,138.44,66.04,624.25
JULIO,5,11,0.036,0.024,0.450,0.012,33,24,23.77,2.06,105.91,60.74,624.19
JULIO,5,12,0.042,0.025,0.428,0.007,39,26,24.90,1.89,112.51,56.04,624.08
JULIO,5,13,0.051,0.010,0.486,0.007,23,37,26.33,1.61,151.76,50.36,623.49
JULIO,5,14,0.062,0.007,0.580,0.010,19,22,27.72,1.16,167.86,46.74,622.85
JULIO,5,15,0.064,0.007,0.577,0.010,14,13,29.18,1.51,160.73,42.15,622.00
JULIO,5,16,0.067,0.020,0.544,0.009,21,16,30.18,1.19,129.17,38.28,621.31
JULIO,5,17,0.069,0.009,0.504,0.007,70,29,30.51,1.71,156.08,37.06,620.81
JULIO,5,18,0.069,0.008,0.601,0.008,164,19,30.08,3.18,114.85,37.34,620.49
JULIO,5,19,0.047,0.011,0.786,0.009,63,20,28.24,1.77,112.94,36.79,620.59
JULIO,5,20,0.037,0.010,0.750,0.017,25,13,26.19,0.63,269.25,54.03,620.93
JULIO,5,21,0.037,0.006,0.664,0.014,25,25,26.10,0.58,95.46,54.55,621.55
JULIO,5,22,0.022,0.015,0.647,0.019,33,30,26.32,1.01,76.77,50.06,622.60
JULIO,5,23,0.025,0.125,0.752,0.011,16,32,25.74,3.08,73.99,40.94,623.17
JULIO,6,0,0.026,0.251,0.408,0.008,21,23,24.31,4.21,74.55,52.53,623.65
JULIO,6,1,0.023,0.311,0.352,0.008,28,5,23.31,3.95,81.49,56.52,623.55
JULIO,6,2,0.024,0.106,0.506,0.008,25,20,22.83,3.03,58.20,54.15,623.43
JULIO,6,3,0.024,0.016,0.253,0.006,15,26,21.83,1.64,55.59,55.89,623.15
JULIO,6,4,0.020,0.012,0.307,0.009,14,17,21.04,1.88,63.92,59.09,622.93
JULIO,6,5,0.022,0.009,0.229,0.007,15,12,20.24,2.56,46.22,64.67,622.84
JULIO,6,6,0.023,0.007,0.225,0.004,12,20,19.73,1.93,59.31,67.74,623.02
JULIO,6,7,0.020,0.006,0.270,0.006,12,18,19.71,1.34,67.61,68.01,623.41
JULIO,6,8,0.022,0.006,0.349,0.007,13,12,20.61,1.81,59.93,65.85,623.70
JULIO,6,9,0.030,0.075,0.435,0.006,21,17,22.43,3.48,76.88,59.82,623.70
JULIO,6,10,0.036,0.063,0.420,0.003,21,26,23.49,4.31,76.07,56.63,623.48
JULIO,6,11,0.040,0.037,0.324,0.005,47,26,24.90,3.87,97.16,53.02,623.27
JULIO,6,12,0.046,0.026,0.352,0.007,182,35,25.95,3.28,101.57,49.32,623.00
JULIO,6,13,0.052,0.022,0.346,0.006,120,34,27.22,3.15,115.12,43.97,622.62
JULIO,6,14,0.058,0.014,0.257,0.005,41,28,28.46,2.95,103.41,38.43,621.92
JULIO,6,15,0.060,0.009,0.294,0.006,20,32,29.63,2.42,127.25,35.00,621.28
JULIO,6,16,0.060,0.018,0.370,0.007,30,30,30.75,2.08,122.98,31.43,620.49
JULIO,6,17,0.063,0.017,0.491,0.007,30,40,31.35,1.90,128.47,30.08,619.81
JULIO,6,18,0.064,0.014,0.596,0.009,26,28,31.93,1.02,141.27,29.14,619.41
JULIO,6,19,0.062,0.005,0.575,0.010,23,17,31.33,0.94,128.56,30.12,619.43
JULIO,6,20,0.050,0.017,0.666,0.015,30,19,29.98,1.40,170.32,34.31,619.90
JULIO,6,21,0.037,0.045,0.976,0.007,32,17,27.56,3.97,98.70,45.83,621.05
JULIO,6,22,0.038,0.008,0.456,0.005,38,29,22.80,4.50,134.89,64.84,622.37
JULIO,6,23,0.039,0.005,0.405,0.004,18,21,19.98,3.26,128.96,72.78,623.21
JULIO,7,0,0.041,0.004,0.400,0.003,14,13,20.10,1.93,137.34,74.84,623.61
JULIO,7,1,0.039,0.004,0.310,0.003,13,13,20.19,1.98,112.58,76.75,623.53
JULIO,7,2,0.038,0.003,0.293,0.003,11,16,19.63,1.89,107.31,77.14,623.06
JULIO,7,3,0.038,0.003,0.286,0.003,11,12,19.55,1.28,116.18,75.42,622.61
JULIO,7,4,0.035,0.003,0.295,0.006,4,13,19.48,1.50,100.18,74.60,622.54
JULIO,7,5,0.027,0.003,0.303,0.007,9,12,19.33,0.55,83.59,74.84,622.45
JULIO,7,6,0.026,0.004,0.316,0.009,8,8,19.12,1.29,113.06,74.69,622.41
JULIO,7,7,0.023,0.003,0.421,0.010,9,19,18.90,0.45,101.83,75.45,622.58
JULIO,7,8,0.016,0.003,0.662,0.018,21,6,19.61,0.49,115.12,74.68,622.80
JULIO,7,9,0.020,0.004,0.609,0.014,24,27,21.55,1.58,134.42,68.09,622.80
JULIO,7,10,0.034,0.003,0.437,0.005,12,21,23.22,2.77,131.03,59.42,622.92
JULIO,7,11,0.033,0.003,0.456,0.005,67,7,24.34,2.69,147.60,55.81,622.72
JULIO,7,12,0.034,0.002,0.430,0.004,170,10,25.55,2.42,137.10,51.36,622.50
JULIO,7,13,0.037,0.002,0.412,0.004,61,18,26.90,2.44,140.38,41.39,621.93
JULIO,7,14,0.038,0.002,0.414,0.004,17,10,28.03,3.31,143.70,39.51,621.48
JULIO,7,15,0.039,0.001,0.398,0.006,16,12,28.90,3.49,147.44,34.76,620.86
JULIO,7,16,0.037,0.001,0.379,0.005,25,20,29.41,4.06,141.19,31.64,620.34
JULIO,7,17,0.037,0.001,0.371,0.005,25,17,29.18,4.63,137.80,28.78,619.95
JULIO,7,18,0.037,0.001,0.428,0.006,16,20,28.97,3.84,147.63,29.51,619.76
JULIO,7,19,0.038,0.001,0.441,0.008,15,23,28.60,3.14,148.58,32.01,619.79
JULIO,7,20,0.027,0.002,0.531,0.012,41,15,27.31,3.37,150.66,42.73,620.38
JULIO,7,21,0.021,0.001,0.485,0.010,48,15,25.67,3.10,139.40,47.29,621.24
JULIO,7,22,0.018,0.010,0.417,0.010,17,11,25.04,3.00,106.93,48.33,621.76
JULIO,7,23,0.026,0.038,0.323,0.010,21,9,23.23,4.05,95.08,59.57,622.53
JULIO,8,0,0.025,0.037,0.360,0.010,31,20,21.86,4.49,95.09,67.89,622.82
JULIO,8,1,0.024,0.027,0.309,0.008,22,23,21.17,4.58,94.58,72.22,622.75
JULIO,8,2,0.020,0.057,0.327,0.011,27,20,20.92,3.59,97.81,72.65,622.49
JULIO,8,3,0.023,0.065,0.301,0.010,29,29,20.59,2.98,86.53,70.49,622.39
JULIO,8,4,0.024,0.042,0.279,0.008,16,23,20.68,2.27,95.67,70.33,622.41
JULIO,8,5,0.026,0.027,0.275,0.006,11,6,20.67,2.47,88.18,69.30,622.52
JULIO,8,6,0.024,0.029,0.341,0.007,8,19,20.89,1.17,150.31,68.88,622.71
JULIO,8,7,0.015,0.010,0.401,0.013,12,8,20.61,0.74,206.51,70.63,622.94
JULIO,8,8,0.018,0.010,0.473,0.012,20,9,20.77,1.81,109.14,72.00,623.25
JULIO,8,9,0.020,0.013,0.461,0.011,24,25,22.12,1.62,129.23,68.11,623.37
JULIO,8,10,0.024,0.033,0.454,0.011,28,23,22.99,1.53,105.79,63.80,623.33
JULIO,8,11,0.034,0.024,0.447,0.009,21,36,24.95,1.19,145.95,55.24,623.03
JULIO,8,12,0.041,0.015,0.508,0.008,22,29,26.37,0.62,175.36,49.69,622.87
JULIO,8,13,0.045,0.007,0.422,0.006,17,31,27.39,1.85,155.27,44.71,622.13
JULIO,8,14,0.046,0.007,0.457,0.007,16,22,28.08,2.68,128.37,43.73,621.64
JULIO,8,15,0.045,0.007,0.435,0.007,20,29,28.06,2.32,118.12,42.31,621.12
JULIO,8,16,0.046,0.004,0.521,0.005,14,23,28.05,2.58,99.02,43.58,620.80
JULIO,8,17,0.047,0.005,0.301,0.004,31,22,24.38,5.00,52.16,55.95,620.94
JULIO,8,18,0.044,0.004,0.281,0.004,20,25,24.14,4.28,50.31,56.99,620.57
JULIO,8,19,0.042,0.033,0.644,0.005,17,24,24.92,2.89,60.36,54.28,620.85
JULIO,8,20,0.035,0.042,0.490,0.009,26,28,24.83,2.09,122.00,52.12,621.62
