DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
MARZO,4,0,0.019,0.002,0.55,0.014,26,21,21.32,179.82,0.46,38.77,620.07
MARZO,4,1,0.012,0.002,0.54,0.017,34,21,20.34,84.25,0.45,41.43,620.11
MARZO,4,2,0.016,0.003,0.56,0.013,41,20,19.61,226.69,0.45,44.38,620.05
MARZO,4,3,0.008,0.003,0.60,0.019,48,31,18.51,280.82,0.45,46.92,619.96
MARZO,4,4,0.008,0.003,0.48,0.020,34,30,17.48,253.53,0.45,51.79,619.95
MARZO,4,5,0.008,0.003,0.53,0.019,32,23,17.03,247.23,0.45,54.62,620.05
MARZO,4,6,0.009,0.002,0.51,0.018,28,24,15.91,275.68,0.45,58.07,620.26
MARZO,4,7,0.008,0.003,0.63,0.018,36,24,14.32,278.08,0.45,61.92,620.69
MARZO,4,8,0.008,0.003,1.16,0.020,34,24,14.93,300.26,0.45,61.46,621.35
MARZO,4,9,0.011,0.003,0.90,0.019,42,31,16.69,286.55,0.45,60.39,622.04
MARZO,4,10,0.020,0.003,0.85,0.017,40,33,19.52,238.21,0.45,55.55,622.30
MARZO,4,11,0.037,0.002,0.70,0.011,38,30,21.82,261.48,0.56,47.39,622.23
MARZO,4,12,0.044,0.002,0.58,0.006,35,27,23.57,204.99,0.59,42.58,621.98
MARZO,4,13,0.045,0.001,0.60,0.009,26,22,25.62,245.06,1.93,31.52,621.25
MARZO,4,14,0.047,0.001,0.64,0.009,30,19,26.92,250.40,2.54,25.54,620.63
MARZO,4,15,0.051,0.001,0.56,0.007,22,21,28.12,271.93,2.42,18.56,620.16
MARZO,4,16,0.055,0.001,0.41,0.004,20,21,28.89,285.97,2.82,14.17,619.65
MARZO,4,17,0.057,0.001,0.46,0.006,29,20,29.67,279.09,3.28,14.34,619.39
MARZO,4,18,0.054,0.001,0.41,0.006,26,21,29.37,280.65,2.48,14.93,619.50
MARZO,4,19,0.038,0.001,0.62,0.017,27,18,28.51,278.54,0.53,16.08,619.76
MARZO,4,20,0.012,0.002,1.62,0.032,37,17,27.01,225.32,0.46,16.28,620.21
MARZO,4,21,0.018,0.001,0.98,0.022,46,20,24.59,219.35,0.60,19.29,620.87
MARZO,4,22,0.016,0.002,1.03,0.025,48,22,22.99,227.20,0.45,20.97,621.42
MARZO,4,23,0.011,0.002,1.06,0.028,48,26,21.57,241.54,0.45,24.54,621.93
MARZO,5,0,0.012,0.002,1.04,0.027,56,31,20.78,232.33,0.45,29.53,622.25
MARZO,5,1,0.016,0.004,0.79,0.026,55,33,19.88,80.40,0.45,33.33,622.49
MARZO,5,2,0.027,0.007,0.68,0.024,59,31,19.00,123.26,0.45,33.76,622.38
MARZO,5,3,0.009,0.007,0.73,0.023,46,30,17.98,113.89,0.45,35.17,622.29
MARZO,5,4,0.023,0.008,0.60,0.021,48,27,17.55,150.49,0.45,35.40,622.04
MARZO,5,5,0.014,0.003,0.56,0.018,46,27,17.30,132.41,0.45,35.82,622.31
MARZO,5,6,0.012,0.004,0.54,0.018,48,26,16.49,92.55,0.45,39.56,622.44
MARZO,5,7,0.014,0.024,0.57,0.019,48,24,16.17,140.53,0.45,40.98,622.51
MARZO,5,8,0.011,0.013,0.88,0.019,50,26,15.09,147.03,0.45,41.78,623.06
MARZO,5,9,0.019,0.023,0.83,0.019,51,31,17.43,162.63,0.52,38.30,623.70
MARZO,5,10,0.029,0.118,0.56,0.023,60,37,20.45,102.53,1.20,32.90,623.86
MARZO,5,11,0.040,0.045,0.56,0.015,64,45,22.81,151.04,0.78,31.37,623.97
MARZO,5,12,0.051,0.040,0.56,0.014,50,43,25.33,171.20,0.49,26.31,623.66
MARZO,5,13,0.068,0.011,0.54,0.008,35,30,27.53,229.48,0.57,19.97,622.90
MARZO,5,14,0.065,0.003,0.47,0.005,29,27,28.39,247.37,1.37,18.22,622.19
MARZO,5,15,0.062,0.002,0.43,0.004,26,25,29.49,201.11,0.64,16.69,621.36
MARZO,5,16,0.058,0.002,0.45,0.006,26,23,29.99,237.58,1.83,17.36,620.79
MARZO,5,17,0.063,0.002,0.40,0.005,25,23,30.67,251.91,1.05,15.76,620.68
MARZO,5,18,0.065,0.002,0.38,0.004,28,26,30.69,285.58,1.04,13.74,620.72
MARZO,5,19,0.051,0.001,0.51,0.011,27,25,30.17,300.72,0.49,13.49,620.89
MARZO,5,20,0.017,0.002,1.28,0.032,32,19,27.98,301.85,0.45,16.66,621.14
MARZO,5,21,0.008,0.004,1.97,0.036,42,20,26.47,264.93,0.47,19.26,621.55
MARZO,5,22,0.021,0.002,0.83,0.018,61,25,24.09,218.81,1.08,24.14,622.27
MARZO,5,23,0.017,0.002,0.74,0.017,44,26,22.85,264.30,0.45,24.75,622.78
MARZO,6,0,0.008,0.002,0.70,0.023,40,25,21.28,190.50,0.45,28.02,622.98
MARZO,6,1,0.007,0.002,0.79,0.022,52,26,20.74,107.85,0.45,29.22,623.27
MARZO,6,2,0.020,0.019,0.59,0.025,50,23,19.70,113.78,0.45,33.18,623.39
MARZO,6,3,0.031,0.016,0.60,0.026,44,26,18.82,208.92,0.45,35.55,623.33
MARZO,6,4,0.011,0.006,0.67,0.020,44,30,17.95,230.67,0.45,36.50,623.28
MARZO,6,5,0.008,0.004,0.48,0.019,39,26,16.81,177.73,0.45,35.76,623.29
MARZO,6,6,0.025,0.006,0.54,0.020,36,21,16.71,101.27,0.45,39.03,623.60
MARZO,6,7,0.021,0.008,1.20,0.019,41,23,15.35,234.15,0.45,41.22,623.92
MARZO,6,8,0.010,0.008,2.22,0.021,85,29,16.39,116.70,0.45,39.28,624.16
MARZO,6,9,0.010,0.009,1.28,0.025,70,31,18.62,117.64,0.45,35.15,624.69
