DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
DIC,10,11,13.39,13.6,0.24,3.97,17.19,6.81,6.48,74.82,16.38,63.59,626.38
DIC,10,12,15.24,16.98,0.1,3.32,18.76,5.9,5.07,79.61,17.7,59.69,626.01
DIC,10,13,17.94,17.46,0.21,4.03,17.41,7.55,4.61,73.38,18.64,56.58,625.47
DIC,10,14,18.1,21.43,0.21,5.77,20.05,10.46,4.38,73.36,19.73,53.32,624.7
DIC,10,15,22.51,21.64,0.13,4.2,21.5,16.02,3.98,77.74,21,49.81,624.03
DIC,10,16,24.4,14.11,0.14,3.34,20.4,16.27,3.78,75.58,21.99,46.65,623.68
DIC,10,17,24.89,8.2,0.33,2.84,22.27,10.73,3.43,49.3,22.15,44.89,623.59
DIC,10,18,22.38,11.62,0.59,5.22,26.35,9.51,3.53,51.95,21.52,46.47,623.75
DIC,10,19,18.06,3.3,0.25,7.7,29.71,15.04,3.24,55.23,19.7,51.59,624.11
DIC,10,20,18.03,2.51,0.19,5.64,24.78,9.76,4.08,45.73,18.13,55.88,624.51
DIC,10,21,14.44,6.3,0.16,5.19,20.74,7.29,3.72,61.12,16.97,58.86,625.08
DIC,10,22,4.05,33.71,0.17,9.32,23.31,7.28,3.77,88.18,15.03,64.98,625.44
DIC,10,23,2.21,55.46,0.14,11.58,33.68,24.47,3.81,82.29,13.84,67.54,625.69
DIC,11,0,1.27,47.82,0.11,10.23,34.86,23.82,2.6,88.16,12.62,70.78,625.79
DIC,11,1,0.8,65.82,0.07,10.76,26.42,15.85,4.02,83.42,11.7,73.84,625.91
DIC,11,2,0.8,70.89,0.05,11.46,28.65,36.8,2.63,82.56,11.45,74.78,626
DIC,11,3,0.8,56.51,0.03,9.25,36.76,34.23,2.21,85.78,10.84,76.45,625.95
DIC,11,4,0.8,54.63,0.01,10.04,31.83,21.41,4.27,86.7,10.57,76.89,625.98
DIC,11,5,2.54,38.31,0.01,5.67,14.89,27.75,5.13,73.1,10.62,75.69,626.2
DIC,11,6,4.63,59.87,0.01,4.11,12.91,4.13,4.57,71.96,10.81,75.43,626.31
DIC,11,7,7.89,30.73,0.01,2.7,10.31,8.52,4.62,67.24,10.67,75.16,626.76
DIC,11,8,7.61,33.55,0.13,2.7,11.07,9.98,5.19,71.21,10.55,75.17,627.19
DIC,11,9,3.15,36.16,0.01,2.7,16.09,6.61,4.3,89.05,10.61,75.34,627.54
DIC,11,10,4.6,35.94,0.01,3.13,30.09,27.45,4.29,82.58,11.1,74.21,627.95
DIC,11,11,5.72,29.03,0.02,2.7,18.78,18.53,3.68,88.29,12.64,69.54,627.71
DIC,11,12,8.04,28.42,0.04,2.7,34.08,22.58,3.38,94.86,15.09,62.57,627.2
