DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MAY,5,16,7.44,45.82,0.14,8.3,20.67,18.59,4.5,74.22,27.36,43.39,622.86
MAY,5,17,8.24,17.68,0.16,4.36,13.33,NA,5.19,62.3,27.16,45.01,622.47
MAY,5,18,8.06,10.6,0.09,4.08,17.15,13.21,5.68,62.38,25.89,48.23,622.62
MAY,5,19,6.29,9.7,0.1,4.35,20.41,8.9,6.3,52.74,23.28,54.94,623.41
MAY,5,20,4.64,9.47,0.09,4.36,17.96,4.99,6.06,49.79,21.33,60.57,623.75
MAY,5,21,3.73,9.14,0.08,4.37,5.76,NA,5.34,50,20.67,61.2,624.66
MAY,5,22,3.4,8.52,0.07,4.41,12.47,NA,4.06,52.21,20.01,62.64,625.77
MAY,5,23,3.61,8.58,0.06,4.2,6.31,NA,3.09,47.62,19.57,62.38,626.06
MAY,6,0,2.42,38.25,0.58,6.33,11.35,NA,5.11,55.23,19.71,61.31,626.06
MAY,6,1,2.83,15.27,0.13,4.39,18.76,NA,3.24,305.61,19.37,62.06,626.5
MAY,6,2,4.21,9.61,0.08,3.53,15.89,13.24,2.55,103.8,19.04,62.68,626.52
MAY,6,3,5.03,9.35,0.05,2.94,9.1,NA,2.08,65.42,19.08,62.38,626.38
MAY,6,4,6.9,8.7,0.05,2.7,12.55,NA,1.97,89.28,18.73,64.32,626.39
MAY,6,5,6.92,8.47,0.06,2.7,10.4,NA,1.54,265.98,18.46,66.21,626.51
MAY,6,6,6.7,8.87,0.06,3.09,15.59,14.19,1.76,55.35,18.56,66.36,626.55
MAY,6,7,6.29,12.18,0.08,3.58,12.91,NA,1.85,58.88,18.64,66.72,626.82
MAY,6,8,2.93,28.66,0.27,7.78,8.55,NA,1.98,76.56,18.9,66.88,627.08
MAY,6,9,3.12,39.74,0.72,5.98,15.75,NA,3.81,66.51,20.1,62.4,627.26
MAY,6,10,4.88,37.75,0.19,6.23,9.26,NA,4.63,76.14,21.2,57.99,627.24
MAY,6,11,5.27,40.36,0.15,7.31,19.6,16.55,4.16,83.06,22.61,52.36,627.07
MAY,6,12,8.21,33.32,0.14,7.99,20.37,NA,4.4,88.42,24.06,43.59,626.6
MAY,6,13,10.43,34.55,0.22,8.04,17.2,NA,4.26,85.64,25.42,37.27,625.97
MAY,6,14,12.14,39.82,0.1,7.72,16.3,NA,3.83,96.71,26.78,33.52,625.26
MAY,6,15,13.2,30.45,0.31,5.84,19.64,NA,3.25,83.84,27.65,32.27,624.62
MAY,6,16,12.99,9.8,0.09,3.35,14.87,NA,3.77,74.21,27.62,34.43,624.15
MAY,6,17,13.08,9.16,0.06,2.78,14.31,7.36,4.61,56.52,27.16,36.55,623.93
MAY,6,18,12.22,8.97,0.05,2.78,8.73,NA,5,60.62,26.83,37.68,623.75
MAY,6,19,10.99,8.69,0.05,2.81,16.27,10.71,5.71,62.59,24.98,42.18,624.14
MAY,6,20,8.83,8.81,0.07,3.8,22.56,13.64,6.01,58.2,22.93,48.97,625.04
MAY,6,21,7.29,8.82,0.07,3.55,18.72,14.14,5.23,60.46,21.69,52.67,625.77
MAY,6,22,6.73,9.03,0.04,3.36,10.13,NA,5.16,47.48,21.09,54.36,626.32
MAY,6,23,6.2,10.47,0.03,3.48,9.18,NA,4.12,50.78,20.45,57.26,626.68
MAY,7,0,6.37,8.82,0.01,2.7,7.09,NA,4.42,51.25,19.83,58.9,626.92
MAY,7,1,5.81,12.05,0.01,2.7,7.94,NA,3.61,51.73,19.19,61.21,626.76
MAY,7,2,1.27,87.1,0.01,13.42,17.7,10.05,2.81,84.2,18.85,63.47,626.4
MAY,7,3,0.8,49.81,0.14,8.66,23.23,NA,2.52,75.23,18.15,66.51,626.11
MAY,7,4,0.86,92.17,1.01,9.15,26.14,13.22,2.78,54.84,18.1,65.82,626.23
MAY,7,5,0.8,88.52,1.3,8.48,26.9,NA,2.58,67.37,17.67,68,626.28
MAY,7,6,1.04,16.45,0.16,4.69,20.18,NA,1.59,53.39,17.47,67.76,626.84
MAY,7,7,0.86,28.1,0.41,7.72,12.11,NA,2.16,54.32,17.87,65.23,626.86
MAY,7,8,0.8,41.04,0.89,7.11,17.91,NA,3.78,64.2,19.16,60.48,627.36
MAY,7,9,3.74,40.86,0.78,6.56,16.63,NA,5.3,67.54,20.09,57.01,627.54
MAY,7,10,5.81,35.89,0.64,6.71,22.56,20.05,5.47,69.57,21.34,52.86,627.54
MAY,7,11,7.88,42.07,0.54,7.07,18.67,18.14,4.95,67.1,22.6,48.79,627.39
MAY,7,12,8.04,57.03,0.19,9.97,25.39,18.11,4.53,81.66,24.08,44.22,626.89
MAY,7,13,9.3,39.82,0.51,7.16,26.83,20.99,4.06,64.21,25.36,39.85,626.29
MAY,7,14,10.1,18.74,0.29,5.12,30.98,18.61,3.41,72.57,26.39,36.1,625.68
MAY,7,15,10.25,21.94,0.15,5.13,12.5,NA,3.02,69.48,27.11,33.77,624.93
MAY,7,16,10.93,13.66,0.09,4.17,15.82,12.97,3.54,55.39,27.36,32.96,624.26
MAY,7,17,10.73,23.71,0.42,3.83,13.92,NA,3.75,56,27.32,33.46,623.87
MAY,7,18,9.2,40.61,0.85,5.2,19.1,13.49,4.65,52.87,26.7,36.35,623.77
MAY,7,19,9.15,27.99,0.26,5.35,31.57,14.39,4.76,49.42,26.11,37.58,623.92
MAY,7,20,9.41,13.26,0.12,5.23,21.96,13.92,4.63,50.01,24.87,40.27,624.12
MAY,7,21,9.23,9.65,0.09,4.08,16.38,12.93,5.01,48.1,23.8,41.61,624.51
MAY,7,22,9.28,9.63,0.05,2.73,18.65,9.82,5.44,52.94,22.65,45.8,625.13
MAY,7,23,8.62,13.59,0.04,3.02,17.5,10.77,5,55.22,21.5,51.26,625.75
MAY,8,0,7.07,24.68,0.04,4.11,16.3,13.39,3.55,55.42,20.59,56.47,626.08
MAY,8,1,7.43,10.16,0.01,2.7,21.03,11.84,1.65,280.85,17.58,69.84,626.62
MAY,8,2,6.59,9.41,0.01,2.7,16.8,12.62,1.32,290.78,15.25,80.32,626.58
MAY,8,3,4.89,8.97,0.03,4.2,14.63,13.66,1.48,282.99,14.56,83.53,626.56
MAY,8,4,4.72,8.6,0.01,3.11,11.04,NA,1.72,273.63,14.33,85.21,626.59
MAY,8,5,6.04,8.17,0.01,2.7,11.88,NA,1.45,248.87,13.64,84.91,626.66
MAY,8,6,4,8.04,0.11,2.7,8.69,NA,0.98,236.71,13.51,85.75,626.56
MAY,8,7,1.36,8.13,0.43,10.18,7.92,NA,0.78,262.11,13.67,85.12,626.85
MAY,8,8,1.29,8.56,0.69,14.18,7.64,NA,0.61,280.44,14.65,82.28,626.94
