MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR,UV
MARZO,5.0,22.0,0.024,0.007,0.54,0.01,65.0,10.0,22.058305,2.767528,242.4615,24.943817,623.262833,0.008266
MARZO,5.0,23.0,0.02,0.006,0.54,0.011,58.0,13.0,20.091909,2.590788,231.8185,28.762483,623.549667,0.008057
MARZO,6.0,0.0,0.021,0.006,0.5,0.009,48.0,18.0,18.857167,1.773987,234.502,32.218617,623.687167,0.007848
MARZO,6.0,1.0,0.019,0.006,0.55,0.011,51.0,14.0,17.840893,0.843695,251.21455,35.5922,623.794,0.008739
MARZO,6.0,2.0,0.013,0.006,0.62,0.022,52.0,18.0,17.184423,1.376688,280.720167,37.643567,623.972,0.00831
MARZO,6.0,3.0,0.009,0.006,0.65,0.03,51.0,15.0,16.465,1.159782,182.328,38.46325,623.798833,0.008632
MARZO,6.0,4.0,0.015,0.006,0.52,0.014,42.0,12.0,15.676667,1.104998,229.087333,41.746283,623.680667,0.008626
MARZO,6.0,5.0,0.014,0.006,0.53,0.014,35.0,10.0,14.73125,1.30737,302.563,45.263717,623.724167,0.008385
MARZO,6.0,6.0,0.01,0.006,0.54,0.019,44.0,12.0,14.401667,1.374328,242.970167,47.09155,623.847833,0.008214
MARZO,6.0,7.0,0.013,0.006,0.53,0.014,44.0,14.0,13.266491,1.306008,279.648833,52.177567,624.252667,0.010273
MARZO,6.0,8.0,0.01,0.006,0.66,0.023,48.0,17.0,13.727222,1.408455,282.510833,50.911017,624.875833,0.173432
MARZO,6.0,9.0,0.02,0.007,0.64,0.014,59.0,15.0,15.963,1.813888,275.338833,45.299733,625.259833,0.813543
MARZO,6.0,10.0,0.037,0.007,0.62,0.008,49.0,20.0,19.549667,1.67989,275.059833,36.694933,625.486833,1.886652
MARZO,6.0,11.0,0.044,0.007,0.54,0.003,47.0,25.0,21.907,2.58783,278.4905,34.448383,625.522333,3.13441
MARZO,6.0,12.0,0.045,0.007,0.49,0.002,27.0,13.0,23.204667,3.076583,270.0155,33.148533,625.173833,4.093845
MARZO,6.0,19.0,0.041,0.007,0.45,0.004,32.0,8.0,26.661207,2.165232,298.122167,18.543783,621.684667,0.134143
MARZO,6.0,20.0,0.017,0.007,0.98,0.037,69.0,11.0,24.851271,1.067953,296.1605,21.478817,621.946167,0.008686
MARZO,6.0,22.0,0.016,0.007,0.72,0.023,102.0,25.0,21.393679,2.275083,233.835,27.685183,623.166833,0.008488
MARZO,6.0,23.0,0.022,0.007,0.63,0.019,66.0,13.0,20.206111,1.729012,277.661833,28.551533,623.353667,0.009224
MARZO,7.0,0.0,0.013,0.007,0.69,0.029,76.0,13.0,18.9578,1.773048,283.185,30.959217,623.664167,0.008519
MARZO,7.0,1.0,0.02,0.006,0.46,0.005,46.0,13.0,18.3525,1.995727,245.971167,29.533683,623.594833,0.008655
MARZO,7.0,2.0,0.018,0.006,0.45,0.008,31.0,12.0,17.442727,1.336793,212.171,31.339383,623.582167,0.00832
MARZO,7.0,3.0,0.009,0.006,0.49,0.02,27.0,10.0,16.518304,0.80049,195.381833,32.613433,623.406,0.00887
MARZO,7.0,4.0,0.01,0.006,0.46,0.014,31.0,12.0,15.244151,0.997242,277.023,35.9991,623.331667,0.008042
MARZO,7.0,5.0,0.004,0.006,0.53,0.026,31.0,12.0,14.3365,1.305335,256.407,40.655967,623.2695,0.008527
MARZO,7.0,6.0,0.005,0.006,0.55,0.026,37.0,16.0,13.839583,1.090088,295.943,43.844967,623.457333,0.009559
MARZO,7.0,7.0,0.0,0.007,0.81,0.032,57.0,16.0,13.236667,1.19106,272.669167,46.50095,623.796833,0.010255
MARZO,7.0,8.0,0.001,0.007,1.18,0.032,87.0,21.0,13.66375,1.033265,285.784667,45.6805,624.287833,0.177293
MARZO,7.0,9.0,0.004,0.007,1.18,0.037,104.0,22.0,17.604068,0.95617,277.450833,35.819567,624.611667,0.809098
MARZO,7.0,10.0,0.02,0.007,0.77,0.02,102.0,31.0,20.640088,1.155377,215.110183,30.79125,624.938833,1.840215
MARZO,7.0,11.0,0.036,0.007,0.56,0.006,37.0,22.0,22.523534,1.746292,232.475267,28.4093,624.991,3.051653
MARZO,7.0,12.0,0.039,0.007,0.53,0.004,26.0,15.0,23.792614,2.380678,248.8075,25.9932,624.579667,4.014265
MARZO,7.0,13.0,0.043,0.007,0.55,0.005,21.0,13.0,24.875088,2.699542,247.488167,24.822767,623.826,4.663815
MARZO,7.0,16.0,0.047,0.007,0.49,0.003,25.0,10.0,28.315333,2.815877,205.200517,19.938517,621.113333,2.981417
MARZO,7.0,17.0,0.049,0.007,0.46,0.003,21.0,11.0,28.453667,2.596617,263.220833,19.65725,620.697167,1.74577
MARZO,7.0,18.0,0.05,0.007,0.45,0.003,32.0,10.0,28.18275,2.40781,268.647667,20.171683,620.563167,0.706188
MARZO,7.0,19.0,0.045,0.007,0.51,0.008,47.0,10.0,26.590117,2.084915,283.345833,21.920883,620.587833,0.120603
MARZO,7.0,20.0,0.015,0.007,0.82,0.049,93.0,13.0,25.032879,1.731762,271.019833,25.049533,620.802833,0.008154
