DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
OCTUBRE,2,15,NA,NA,0.039,0.738,20,0.003
OCTUBRE,2,16,NA,NA,0.039,0.733,25,0.003
OCTUBRE,2,17,NA,NA,0.04,0.726,23,0.004
OCTUBRE,2,18,NA,NA,0.04,0.733,25,0.005
OCTUBRE,2,19,NA,NA,0.041,0.747,35,0.006
OCTUBRE,2,20,NA,NA,0.041,0.752,41,0.004
OCTUBRE,2,21,NA,NA,0.041,0.761,36,0.005
OCTUBRE,2,22,NA,NA,0.042,0.763,32,0.004
OCTUBRE,2,23,NA,NA,0.042,0.757,27,0.003
OCTUBRE,3,0,NA,NA,0.042,0.747,24,0.002
OCTUBRE,3,1,NA,NA,0.042,0.734,25,0.002
OCTUBRE,3,2,NA,NA,0.042,0.716,24,0.002
OCTUBRE,3,3,NA,NA,0.042,0.688,21,0.002
OCTUBRE,3,4,NA,NA,0.042,0.666,21,0.002
OCTUBRE,3,5,NA,NA,0.042,0.647,18,0.003
OCTUBRE,3,6,NA,NA,0.042,0.647,20,0.005
OCTUBRE,3,7,NA,NA,0.042,0.661,22,0.007
OCTUBRE,3,8,NA,NA,0.042,0.688,28,0.008
OCTUBRE,3,9,NA,NA,0.042,0.701,30,0.004
OCTUBRE,3,10,NA,NA,0.042,0.716,34,0.004
OCTUBRE,3,11,NA,NA,0.042,0.732,31,0.005
OCTUBRE,3,12,NA,NA,0.042,0.752,29,0.004
OCTUBRE,3,13,NA,NA,0.042,0.769,31,0.003
OCTUBRE,3,14,NA,NA,0.042,0.765,26,0.003
OCTUBRE,3,15,NA,NA,0.042,0.779,28,0.004
OCTUBRE,3,16,NA,NA,0.043,0.83,31,0.005
OCTUBRE,3,17,NA,NA,0.043,0.865,35,0.006
OCTUBRE,3,18,NA,NA,0.043,0.907,42,0.008
OCTUBRE,3,19,NA,NA,0.043,0.936,43,0.008
OCTUBRE,3,20,NA,NA,0.043,0.944,44,0.004
OCTUBRE,3,21,NA,NA,0.043,0.949,39,0.004
OCTUBRE,3,22,NA,NA,0.043,0.957,30,0.004
OCTUBRE,3,23,NA,NA,0.043,0.933,25,0.003
OCTUBRE,4,0,NA,NA,0.043,0.87,23,0.004
OCTUBRE,4,1,NA,NA,0.042,0.83,28,0.004
OCTUBRE,4,2,NA,NA,0.042,0.778,24,0.004
OCTUBRE,4,3,NA,NA,0.041,0.74,24,0.004
OCTUBRE,4,4,NA,NA,0.04,0.717,21,0.005
OCTUBRE,4,5,NA,NA,0.039,0.701,22,0.005
OCTUBRE,4,6,NA,NA,0.038,0.712,22,0.007
OCTUBRE,4,7,NA,NA,0.037,0.744,31,0.008
OCTUBRE,4,8,NA,NA,0.036,0.76,30,0.008
OCTUBRE,4,9,NA,NA,0.035,0.775,26,0.006
OCTUBRE,4,10,NA,NA,0.035,0.785,26,0.004
OCTUBRE,4,11,NA,NA,0.035,0.794,23,0.005
OCTUBRE,4,12,NA,NA,0.035,0.807,18,0.004
OCTUBRE,4,13,NA,NA,0.035,0.815,18,0.004
OCTUBRE,4,14,NA,NA,0.035,0.818,NA,0.005
OCTUBRE,4,15,NA,NA,0.035,0.809,NA,0.006
OCTUBRE,4,16,NA,NA,0.035,0.795,32,0.004
OCTUBRE,4,17,NA,NA,0.035,0.801,29,0.006
OCTUBRE,4,18,NA,NA,0.034,0.8,33,0.004
OCTUBRE,4,19,NA,NA,0.033,0.8,36,0.004
OCTUBRE,4,20,NA,NA,0.032,0.803,27,0.005
OCTUBRE,4,21,NA,NA,0.032,0.805,22,0.004
OCTUBRE,4,22,NA,NA,0.032,0.783,17,0.003
OCTUBRE,4,23,NA,NA,0.032,0.755,14,0.002
OCTUBRE,5,0,NA,NA,0.032,0.746,12,0.007
OCTUBRE,5,1,NA,NA,0.031,0.723,13,0.006
OCTUBRE,5,2,NA,NA,0.031,0.712,15,0.005
OCTUBRE,5,3,NA,NA,0.031,0.701,13,0.006
OCTUBRE,5,4,NA,NA,0.031,0.688,15,0.007
OCTUBRE,5,5,NA,NA,0.031,0.682,20,0.008
OCTUBRE,5,6,NA,NA,0.03,0.697,23,0.009
OCTUBRE,5,7,NA,NA,0.03,0.742,27,0.009
OCTUBRE,5,8,NA,NA,0.03,0.78,28,0.009
OCTUBRE,5,9,NA,NA,0.03,0.802,30,0.007
OCTUBRE,5,10,NA,NA,0.029,0.819,29,0.006
OCTUBRE,5,11,NA,NA,0.029,0.828,26,0.005
OCTUBRE,5,12,NA,NA,0.029,0.833,22,0.003
OCTUBRE,5,13,NA,NA,0.028,0.833,18,0.003
OCTUBRE,5,14,NA,NA,0.027,0.812,18,0.003
OCTUBRE,5,15,NA,NA,0.027,0.764,NA,0.002
OCTUBRE,5,16,NA,NA,0.026,0.716,NA,0.003
OCTUBRE,5,17,NA,NA,0.025,0.694,19,0.004
OCTUBRE,5,18,NA,NA,0.025,0.682,25,0.003
OCTUBRE,5,19,NA,NA,0.025,0.684,28,0.005
