DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
MAYO,11,16,0.039,0.046,0.021,1.19,38,0.008
MAYO,11,17,0.039,0.046,0.021,1.20,47,0.009
MAYO,11,18,0.038,0.046,0.021,1.21,55,0.008
MAYO,11,19,0.037,0.045,0.021,1.21,56,0.008
MAYO,11,20,0.034,0.042,0.020,1.21,60,0.014
MAYO,11,21,0.037,0.040,0.016,1.22,49,0.010
MAYO,11,22,0.036,0.038,0.014,1.22,41,0.006
MAYO,11,23,0.029,0.036,0.014,1.21,38,0.010
MAYO,12,0,0.028,0.035,0.015,1.21,42,0.008
MAYO,12,1,0.029,0.033,0.015,1.20,40,0.007
MAYO,12,2,0.028,0.032,0.015,1.18,39,0.006
MAYO,12,3,0.031,0.031,0.015,1.17,32,0.006
MAYO,12,4,0.026,0.031,0.014,1.16,32,0.007
MAYO,12,5,0.027,0.029,0.014,1.15,31,0.007
MAYO,12,6,0.023,0.028,0.014,1.17,31,0.011
MAYO,12,7,0.021,0.027,0.013,1.20,36,0.018
MAYO,12,8,0.022,0.026,0.013,1.22,41,0.014
MAYO,12,9,0.030,0.026,0.013,1.23,45,0.010
MAYO,12,10,0.038,0.027,0.013,1.23,41,0.010
MAYO,12,11,0.048,0.029,0.013,1.24,40,0.010
MAYO,12,12,0.062,0.034,0.013,1.25,42,0.010
MAYO,12,13,0.065,0.039,0.013,1.25,85,0.009
MAYO,12,14,0.068,0.044,0.013,1.23,64,0.006
MAYO,12,15,0.070,0.050,0.013,1.19,42,0.006
MAYO,12,16,0.066,0.056,0.013,1.17,35,0.006
MAYO,12,17,0.057,0.059,0.013,1.17,32,0.010
MAYO,12,18,0.053,0.061,0.015,1.24,42,0.009
MAYO,12,19,0.050,0.061,0.017,1.26,46,0.010
MAYO,12,20,0.046,0.059,0.017,1.25,51,0.010
MAYO,12,21,0.047,0.057,0.017,1.25,47,0.007
MAYO,12,22,0.044,0.054,0.017,1.25,39,0.008
MAYO,12,23,0.043,0.051,0.017,1.24,33,0.008
MAYO,13,0,0.037,0.047,0.017,1.23,27,0.009
MAYO,13,1,0.028,0.044,0.019,1.21,34,0.023
MAYO,13,2,0.029,0.041,0.019,1.12,29,0.012
MAYO,13,3,0.025,0.037,0.020,1.09,33,0.015
MAYO,13,4,0.026,0.035,0.021,1.08,30,0.014
MAYO,13,5,0.019,0.031,0.021,1.08,33,0.013
MAYO,13,6,0.018,0.028,0.022,1.10,39,0.018
MAYO,13,7,0.013,0.024,0.022,1.17,47,0.026
MAYO,13,8,0.025,0.023,0.022,1.21,55,0.023
MAYO,13,9,0.032,0.023,0.021,1.24,65,0.013
MAYO,13,10,0.043,0.025,0.021,1.26,57,0.011
MAYO,13,11,0.054,0.029,0.020,1.28,59,0.009
MAYO,13,12,0.070,0.034,0.020,1.30,73,0.007
MAYO,13,13,0.070,0.040,0.019,1.31,56,0.007
MAYO,13,14,0.072,0.047,0.019,1.30,46,0.006
MAYO,13,15,0.075,0.055,0.019,1.25,36,0.005
MAYO,13,16,0.078,0.062,0.019,1.21,30,0.006
MAYO,13,17,0.075,0.067,0.018,1.19,34,0.006
MAYO,13,18,0.077,0.071,0.017,1.18,35,0.006
MAYO,13,19,0.076,0.074,0.015,1.16,38,0.005
MAYO,13,20,0.057,0.072,0.014,1.18,51,0.016
MAYO,13,21,0.031,0.067,0.015,1.21,68,0.025
MAYO,13,22,0.026,0.062,0.015,1.21,66,0.020
MAYO,13,23,0.026,0.056,0.015,1.22,60,0.015
MAYO,14,0,0.024,0.049,0.015,1.23,63,0.015
MAYO,14,1,0.028,0.043,0.013,1.23,60,0.015
MAYO,14,2,0.026,0.037,0.013,1.23,51,0.016
MAYO,14,3,0.026,0.030,0.012,1.23,45,0.013
MAYO,14,4,0.030,0.027,0.011,1.20,37,0.009
MAYO,14,5,0.022,0.026,0.011,1.16,47,0.014
MAYO,14,6,0.024,0.026,0.011,1.15,51,0.014
MAYO,14,7,0.013,0.024,0.011,1.17,51,0.021
MAYO,14,8,0.016,0.023,0.011,1.19,59,0.021
MAYO,14,9,0.031,0.023,0.011,1.21,65,0.016
MAYO,14,10,0.045,0.026,0.010,1.22,66,0.012
MAYO,14,11,0.062,0.030,0.010,1.24,62,0.008
MAYO,14,12,0.072,0.036,0.010,1.26,57,0.007
MAYO,14,13,0.078,0.043,0.010,1.27,55,0.006
MAYO,14,14,0.081,0.050,0.011,1.28,47,0.006
MAYO,14,15,0.090,0.059,0.012,1.28,43,0.008
MAYO,14,16,0.086,0.068,0.012,1.28,77,0.008
MAYO,14,17,0.074,0.074,0.012,1.27,90,0.006
