DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,8,22,0.036,0.051,0.009,1.10,49,0.011
ABRIL,8,23,0.040,0.048,0.007,1.09,56,0.008
ABRIL,9,0,0.040,0.046,0.006,1.08,54,0.005
ABRIL,9,1,0.038,0.044,0.005,1.07,45,0.007
ABRIL,9,2,0.037,0.040,0.005,1.05,41,0.005
ABRIL,9,3,0.035,0.038,0.004,1.04,39,0.005
ABRIL,9,4,0.033,0.037,0.004,1.02,38,0.007
ABRIL,9,5,0.031,0.036,0.004,0.99,36,0.008
ABRIL,9,6,0.024,0.035,0.004,0.98,37,0.015
ABRIL,9,7,0.024,0.033,0.004,1.00,41,0.019
ABRIL,9,8,0.028,0.031,0.004,1.02,50,0.014
ABRIL,9,9,0.035,0.031,0.004,1.04,51,0.011
ABRIL,9,10,0.042,0.031,0.004,1.05,54,0.009
ABRIL,9,11,0.049,0.033,0.004,1.07,55,0.008
ABRIL,9,12,0.058,0.036,0.004,1.08,59,0.007
ABRIL,9,13,0.063,0.040,0.004,1.09,52,0.006
ABRIL,9,14,0.066,0.046,0.004,1.09,45,0.007
ABRIL,9,15,0.063,0.051,0.004,1.09,42,0.007
ABRIL,9,16,0.070,0.056,0.004,1.10,44,0.009
ABRIL,9,17,0.056,0.058,0.005,1.09,44,0.006
ABRIL,9,18,0.053,0.060,0.004,1.08,36,0.005
ABRIL,9,19,0.045,0.059,0.004,1.07,46,0.005
ABRIL,9,20,0.042,0.057,0.004,1.07,58,0.008
ABRIL,9,21,0.043,0.055,0.004,1.08,68,0.007
ABRIL,9,22,0.042,0.052,0.004,1.07,59,0.005
ABRIL,9,23,0.036,0.048,0.004,1.06,45,0.006
ABRIL,10,0,0.022,0.042,0.004,1.07,43,0.017
ABRIL,10,1,0.018,0.038,0.004,1.10,41,0.016
ABRIL,10,2,0.017,0.033,0.004,1.13,43,0.016
ABRIL,10,3,0.027,0.031,0.004,1.13,39,0.006
ABRIL,10,4,0.025,0.029,0.004,1.12,36,0.006
ABRIL,10,5,0.019,0.026,0.004,1.11,34,0.008
ABRIL,10,6,0.015,0.023,0.004,1.12,36,0.011
ABRIL,10,7,0.016,0.020,0.004,1.14,38,0.011
ABRIL,10,8,0.012,0.019,0.004,1.16,41,0.017
ABRIL,10,9,0.026,0.020,0.004,1.15,41,0.011
ABRIL,10,10,0.034,0.022,0.004,1.14,40,0.006
ABRIL,10,11,0.038,0.023,0.004,1.15,38,0.005
ABRIL,10,12,0.043,0.026,0.004,1.17,37,0.005
ABRIL,10,13,0.045,0.029,0.004,1.17,33,0.004
ABRIL,10,14,0.046,0.033,0.004,1.16,61,0.005
ABRIL,10,15,0.048,0.037,0.004,1.15,54,0.005
ABRIL,10,16,0.048,0.041,0.003,1.10,46,0.005
ABRIL,10,17,0.045,0.044,0.003,1.08,48,0.004
ABRIL,10,18,0.037,0.044,0.003,1.07,60,0.006
ABRIL,10,19,0.032,0.043,0.003,1.07,52,0.007
ABRIL,10,20,0.029,0.041,0.003,1.06,41,0.008
ABRIL,10,21,0.026,0.039,0.003,1.07,34,0.010
ABRIL,10,22,0.027,0.037,0.003,1.07,29,0.008
ABRIL,10,23,0.029,0.034,0.003,1.07,27,0.007
ABRIL,11,0,0.020,0.031,0.003,1.07,25,0.011
ABRIL,11,1,0.033,0.029,0.003,1.08,25,0.012
ABRIL,11,2,0.009,0.026,0.003,1.08,27,0.019
ABRIL,11,3,0.005,0.022,0.003,1.08,27,0.021
ABRIL,11,4,0.007,0.020,0.003,1.09,29,0.018
