DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],TEMP,WS,WD,HR
SEPTIEMBRE,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
