DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,10,15,0.057,0.022,0.004,1.66,140,28.02,2.000625,251.05,NA
ABRIL,10,16,0.058,0.015,0.004,1.56,118,28.62,2.028272,223.38,NA
ABRIL,10,17,0.053,0.007,0.003,1.37,50,29.01,2.219447,253.63,NA
ABRIL,10,18,0.047,0.028,0.005,1.83,48,27.55,2.55119,182.04,NA
ABRIL,10,19,0.046,0.030,0.007,2.04,63,25.87,1.847308,159.61,NA
ABRIL,10,20,0.041,0.013,0.008,1.56,80,23.23,3.455085,72.55,NA
ABRIL,10,21,0.033,0.014,0.006,1.40,72,21.07,4.856872,77.06,NA
ABRIL,10,22,0.026,0.013,0.005,1.35,60,19.77,4.860052,75.93,NA
ABRIL,10,23,0.025,0.028,0.006,1.31,58,18.47,5.217005,74.46,NA
ABRIL,11,0,0.025,0.033,0.005,1.29,52,17.62,5.411025,67.61,NA
ABRIL,11,1,0.025,0.017,0.004,1.29,47,16.84,5.141102,62.29,NA
ABRIL,11,2,0.024,0.038,0.004,1.30,26,16.59,4.354813,58.28,NA
ABRIL,11,3,0.026,0.010,0.004,1.30,16,16.36,3.505498,65.94,NA
ABRIL,11,4,0.024,0.015,0.004,1.31,15,15.48,2.484635,70.18,NA
ABRIL,11,5,0.020,0.009,0.004,1.31,19,14.44,2.1064,108.23,NA
ABRIL,11,6,0.020,0.010,0.005,1.32,14,14.07,1.890668,124.15,NA
ABRIL,11,7,0.009,0.007,0.009,1.48,28,13.32,1.731813,115.53,NA
ABRIL,11,8,0.015,0.007,0.008,1.48,52,16.64,2.196903,118.64,NA
ABRIL,11,9,0.026,0.012,0.005,1.42,50,18.86,4.736342,87.06,NA
ABRIL,11,10,0.029,0.023,0.005,1.43,55,19.87,5.666158,75.03,NA
ABRIL,11,11,0.032,0.018,0.005,1.40,50,21.32,5.090912,78.63,NA
ABRIL,11,12,0.035,0.015,0.004,1.43,40,22.74,4.651028,70.84,NA
