DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
NOVIEMBRE,3,4,0.018,0.008,0.005,0.88,12,1.97,88.64,11.43,69.57
NOVIEMBRE,3,5,0.013,0.008,0.007,0.92,16,1.63,85.68,10.81,72.03
NOVIEMBRE,3,6,0.014,0.008,0.006,0.96,21,2.64,87.01,9.97,76.45
NOVIEMBRE,3,7,0.008,0.009,0.008,1.13,41,2.79,79.22,9.66,82.63
NOVIEMBRE,3,8,0.010,0.008,0.008,1.12,49,4.20,107.40,10.70,82.30
NOVIEMBRE,3,9,0.017,0.008,0.005,1.03,45,3.71,107.55,13.76,70.04
NOVIEMBRE,3,10,0.023,0.009,0.005,1.05,43,2.83,92.05,17.33,54.74
NOVIEMBRE,3,11,0.029,0.009,0.005,1.03,44,2.50,90.15,20.52,45.21
NOVIEMBRE,3,12,0.035,0.009,0.004,0.97,48,2.65,92.06,23.46,36.07
NOVIEMBRE,3,13,0.039,0.008,0.003,0.94,40,2.90,101.73,25.44,30.33
NOVIEMBRE,3,14,0.042,0.008,0.003,0.94,43,2.42,97.76,26.94,25.81
NOVIEMBRE,3,15,0.042,0.009,0.003,0.92,37,2.60,90.99,28.14,21.46
NOVIEMBRE,3,16,0.041,0.017,0.005,0.98,37,2.37,76.18,27.80,19.89
NOVIEMBRE,3,17,0.041,0.013,0.006,0.96,39,1.72,80.51,27.78,20.46
NOVIEMBRE,3,18,0.036,0.019,0.007,1.02,49,3.01,90.94,26.20,23.20
NOVIEMBRE,3,19,0.030,0.011,0.008,1.04,53,3.94,53.24,23.43,28.30
NOVIEMBRE,3,20,0.024,0.009,0.007,1.02,56,4.00,65.40,21.34,32.64
NOVIEMBRE,3,21,0.021,0.008,0.008,1.07,53,2.26,80.10,19.56,35.61
NOVIEMBRE,3,22,0.021,0.008,0.007,0.98,46,2.67,83.84,17.76,40.59
NOVIEMBRE,3,23,0.020,0.009,0.006,0.96,31,2.90,88.17,16.68,44.97
NOVIEMBRE,4,0,0.018,0.008,0.005,0.91,25,3.68,93.24,15.17,51.63
NOVIEMBRE,4,1,0.016,0.008,0.005,0.92,28,3.31,108.90,13.94,58.34
NOVIEMBRE,4,2,0.015,0.008,0.005,0.88,20,3.16,99.33,12.73,64.72
NOVIEMBRE,4,3,0.014,0.008,0.005,0.87,15,1.88,115.28,11.47,70.61
NOVIEMBRE,4,4,0.016,0.008,0.004,0.88,18,2.06,98.27,10.87,73.99
NOVIEMBRE,4,5,0.017,0.008,0.003,0.87,18,3.18,89.99,10.39,75.77
NOVIEMBRE,4,6,0.015,0.008,0.004,0.90,17,3.60,94.70,10.09,76.53
NOVIEMBRE,4,7,0.009,0.008,0.008,1.05,28,2.28,92.53,9.46,81.43
NOVIEMBRE,4,8,0.011,0.008,0.008,1.11,61,2.78,98.37,10.78,79.27
NOVIEMBRE,4,9,0.016,0.009,0.006,1.07,60,2.97,91.06,13.68,67.21
NOVIEMBRE,4,10,0.021,0.009,0.005,1.03,49,2.36,89.32,17.60,48.45
NOVIEMBRE,4,11,0.027,0.009,0.004,0.99,45,2.77,98.36,20.47,37.48
NOVIEMBRE,4,12,0.033,0.009,0.003,0.96,40,2.45,88.03,23.04,28.96
NOVIEMBRE,4,13,0.036,0.009,0.004,0.94,45,3.06,93.06,24.78,22.68
NOVIEMBRE,4,14,0.036,0.018,0.004,0.91,36,3.32,76.51,26.20,19.11
NOVIEMBRE,4,15,0.038,0.019,0.004,0.95,35,3.75,97.60,27.21,16.47
NOVIEMBRE,4,16,0.037,0.025,0.004,0.90,34,4.44,60.62,27.17,14.95
NOVIEMBRE,4,17,0.036,0.046,0.006,0.91,44,4.69,80.24,26.37,13.59
NOVIEMBRE,4,18,0.034,0.067,0.007,0.93,48,4.23,74.08,24.55,12.91
NOVIEMBRE,4,19,0.033,0.034,0.006,0.89,50,4.31,56.32,21.33,14.96
NOVIEMBRE,4,20,0.030,0.012,0.006,0.98,38,3.73,59.90,19.82,18.60
NOVIEMBRE,4,21,0.025,0.008,0.008,1.04,38,2.56,90.34,17.72,24.26
NOVIEMBRE,4,22,0.024,0.011,0.006,0.98,30,2.47,95.58,16.38,31.31
NOVIEMBRE,4,23,0.022,0.008,0.006,1.01,37,2.47,91.25,14.67,41.86
NOVIEMBRE,5,0,0.022,0.008,0.005,0.92,29,2.55,96.53,13.17,49.70
NOVIEMBRE,5,1,0.025,0.008,0.003,0.92,33,2.04,95.21,12.34,51.10
NOVIEMBRE,5,2,0.021,0.008,0.004,0.85,19,2.52,96.84,11.13,54.16
NOVIEMBRE,5,3,0.023,0.008,0.003,0.84,8,1.86,86.87,10.65,57.42
NOVIEMBRE,5,4,0.019,0.008,0.004,0.85,16,1.21,116.00,9.43,62.63
NOVIEMBRE,5,5,0.015,0.008,0.005,0.86,18,2.31,122.47,8.31,67.77
NOVIEMBRE,5,6,0.015,0.008,0.005,0.91,16,2.71,106.30,8.48,69.55
NOVIEMBRE,5,7,0.014,0.008,0.005,0.95,30,2.43,106.49,7.92,73.53
NOVIEMBRE,5,8,0.011,0.008,0.008,1.14,38,1.14,78.20,9.78,69.81
NOVIEMBRE,5,9,0.019,0.008,0.006,1.04,52,2.22,91.10,13.01,59.13
NOVIEMBRE,5,10,0.025,0.008,0.004,0.97,37,2.49,98.96,16.79,43.99
NOVIEMBRE,5,11,0.032,0.008,0.003,0.94,33,3.33,98.26,20.32,27.53
NOVIEMBRE,5,12,0.038,0.008,0.003,0.91,24,4.15,98.22,22.50,18.66
NOVIEMBRE,5,13,0.040,0.008,0.003,0.91,24,3.01,85.73,24.57,15.02
NOVIEMBRE,5,14,0.043,0.008,0.003,0.88,24,2.20,85.46,25.82,14.89
NOVIEMBRE,5,15,0.045,0.008,0.003,0.89,21,1.87,101.23,27.03,15.59
NOVIEMBRE,5,16,0.047,0.009,0.003,0.90,26,1.86,112.65,27.37,15.13
NOVIEMBRE,5,17,0.046,0.010,0.004,0.91,24,1.47,117.29,27.34,14.09
NOVIEMBRE,5,18,0.038,0.025,0.007,1.00,27,1.40,127.06,25.71,13.69
NOVIEMBRE,5,19,0.032,0.015,0.009,1.11,36,2.22,72.81,22.37,16.19
NOVIEMBRE,5,20,0.033,0.009,0.005,0.91,47,4.50,47.38,20.23,21.82
NOVIEMBRE,5,21,0.028,0.012,0.006,0.96,40,2.81,75.46,18.42,28.10
NOVIEMBRE,5,22,0.025,0.008,0.006,0.99,46,2.88,99.29,16.40,33.25
NOVIEMBRE,5,23,0.028,0.008,0.004,0.88,37,3.01,81.92,15.38,36.83
NOVIEMBRE,6,0,0.029,0.008,0.003,0.84,27,2.73,80.54,14.46,43.38
NOVIEMBRE,6,1,0.030,0.008,0.002,0.82,37,3.13,85.00,14.02,46.55
NOVIEMBRE,6,2,0.026,0.008,0.003,0.82,25,2.38,92.29,12.85,51.65
NOVIEMBRE,6,3,0.024,0.008,0.003,0.82,8,2.33,100.95,11.92,58.08
NOVIEMBRE,6,4,0.023,0.008,0.003,0.82,18,2.27,101.84,11.08,62.11
NOVIEMBRE,6,5,0.019,0.008,0.005,0.88,16,1.91,97.90,10.14,66.91
NOVIEMBRE,6,6,0.016,0.008,0.006,0.89,24,1.33,86.69,9.24,71.55
NOVIEMBRE,6,7,0.012,0.008,0.008,1.10,29,1.40,92.23,8.82,73.98
NOVIEMBRE,6,8,0.013,0.010,0.009,1.25,64,1.54,100.80,10.64,70.60
NOVIEMBRE,6,9,0.017,0.009,0.007,1.09,71,2.27,102.03,14.18,60.01
NOVIEMBRE,6,10,0.027,0.010,0.004,0.99,58,2.75,99.32,17.51,49.75
NOVIEMBRE,6,11,0.033,0.009,0.004,0.95,47,2.18,97.75,20.41,42.26
NOVIEMBRE,6,12,0.039,0.009,0.004,0.95,50,1.21,126.77,23.76,33.59
NOVIEMBRE,6,13,0.044,0.009,0.004,0.94,52,1.19,166.00,26.44,27.86
NOVIEMBRE,6,14,0.054,0.046,0.004,0.96,64,1.22,181.51,27.76,21.37
NOVIEMBRE,6,15,0.060,0.035,0.004,0.95,55,1.26,205.72,29.11,18.06
NOVIEMBRE,6,16,0.054,0.009,0.004,0.93,39,1.61,250.68,29.27,17.53
NOVIEMBRE,6,17,0.055,0.009,0.004,0.94,6,1.28,229.42,28.96,17.95
NOVIEMBRE,6,18,0.046,0.009,0.008,1.14,33,1.47,280.44,26.96,20.09
NOVIEMBRE,6,19,0.020,0.009,0.023,2.22,109,0.94,256.90,23.64,24.02
NOVIEMBRE,6,20,0.008,0.012,0.031,3.32,193,0.93,203.93,21.92,27.00
NOVIEMBRE,6,21,0.010,0.014,0.028,2.57,224,0.94,217.17,20.67,29.83
NOVIEMBRE,6,22,0.016,0.019,0.017,2.25,282,2.10,112.33,19.69,31.95
NOVIEMBRE,6,23,0.013,0.010,0.014,1.21,116,1.14,96.86,18.07,36.41
NOVIEMBRE,7,0,0.015,0.009,0.010,1.04,67,1.87,113.59,17.04,43.02
NOVIEMBRE,7,1,0.021,0.009,0.006,0.91,46,1.60,93.82,15.95,46.57
NOVIEMBRE,7,2,0.020,0.008,0.006,0.87,20,1.79,89.72,14.99,49.77
NOVIEMBRE,7,3,0.012,0.009,0.010,0.92,27,1.12,112.61,13.73,54.97
NOVIEMBRE,7,4,0.018,0.009,0.006,0.89,32,1.13,94.65,13.01,57.97
NOVIEMBRE,7,5,0.011,0.008,0.008,0.93,37,1.68,103.65,12.85,61.89
NOVIEMBRE,7,6,0.006,0.008,0.012,0.97,43,1.10,88.20,12.13,65.40
NOVIEMBRE,7,7,0.004,0.008,0.012,1.15,42,0.96,73.05,10.90,67.68
NOVIEMBRE,7,8,0.006,0.009,0.012,1.29,52,1.07,95.64,12.35,65.27
NOVIEMBRE,7,9,0.012,0.009,0.011,1.22,86,2.28,102.18,16.13,56.85
NOVIEMBRE,7,10,0.022,0.010,0.011,1.18,107,0.94,166.39,21.10,44.25
NOVIEMBRE,7,11,0.037,0.035,0.009,1.12,97,1.00,217.94,24.51,33.15
NOVIEMBRE,7,12,0.058,0.073,0.010,1.08,98,1.04,203.45,27.27,26.57
NOVIEMBRE,7,13,0.063,0.039,0.007,1.06,94,1.08,242.58,28.77,21.43
NOVIEMBRE,7,14,NA,NA,NA,1.14,66,1.08,193.87,29.96,17.89
NOVIEMBRE,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,7,16,0.057,0.018,0.005,1.04,NA,1.21,257.74,30.74,16.43
NOVIEMBRE,7,17,0.058,0.018,0.004,0.97,46,0.97,243.11,30.44,16.66
NOVIEMBRE,7,18,0.052,0.016,0.007,1.15,65,0.92,268.94,28.40,18.37
NOVIEMBRE,7,19,0.020,0.010,0.024,1.97,96,0.93,242.42,24.61,22.07
NOVIEMBRE,7,20,0.006,0.010,0.032,3.84,217,0.94,252.60,22.36,24.38
NOVIEMBRE,7,21,0.009,0.013,0.032,3.23,240,0.94,227.11,20.99,31.65
NOVIEMBRE,7,22,0.018,0.019,0.023,1.98,264,0.98,86.38,19.81,33.68
NOVIEMBRE,7,23,0.008,0.009,0.018,1.22,158,1.07,167.46,18.41,33.64
NOVIEMBRE,8,0,0.007,0.010,0.017,1.18,140,1.09,146.52,17.25,36.43
NOVIEMBRE,8,1,0.008,0.009,0.015,1.09,87,1.27,118.30,15.96,39.61
NOVIEMBRE,8,2,0.011,0.008,0.011,0.99,58,0.95,125.35,14.87,42.40
NOVIEMBRE,8,3,0.011,0.009,0.011,0.99,43,0.95,64.40,14.58,43.19
NOVIEMBRE,8,4,0.005,0.009,0.014,1.00,56,0.95,89.88,13.95,46.94
NOVIEMBRE,8,5,0.004,0.009,0.015,1.04,62,0.96,99.83,13.10,50.11
NOVIEMBRE,8,6,0.004,0.009,0.015,1.04,61,0.96,113.46,12.92,53.94
NOVIEMBRE,8,7,0.004,0.009,0.014,1.19,72,0.96,124.17,12.05,58.44
NOVIEMBRE,8,8,0.007,0.009,0.014,1.53,113,0.96,103.21,13.01,56.07
NOVIEMBRE,8,9,0.008,0.009,0.014,1.31,145,0.94,120.38,18.16,42.53
NOVIEMBRE,8,10,0.026,0.010,0.009,1.08,121,0.93,154.27,21.79,35.38
NOVIEMBRE,8,11,0.035,0.009,0.009,1.15,82,0.93,225.57,24.74,36.90
NOVIEMBRE,8,12,0.053,0.010,0.007,1.09,73,0.92,225.37,26.53,31.44
NOVIEMBRE,8,13,0.068,0.013,0.005,1.05,63,0.91,209.79,28.19,26.01
NOVIEMBRE,8,14,0.068,0.019,0.004,1.04,56,0.90,196.88,29.76,21.37
NOVIEMBRE,8,15,0.074,0.048,0.005,1.03,52,0.90,245.20,30.73,18.92
NOVIEMBRE,8,16,0.076,0.037,0.006,1.06,85,0.90,253.71,31.27,17.99
NOVIEMBRE,8,17,0.071,0.025,0.005,1.01,69,0.90,210.69,30.53,18.06
NOVIEMBRE,8,18,0.066,0.025,0.008,1.18,76,0.92,234.38,28.51,20.00
NOVIEMBRE,8,19,0.022,0.014,0.027,2.30,110,0.93,251.35,24.91,24.29
NOVIEMBRE,8,20,0.021,0.012,0.031,2.83,217,0.93,130.38,22.64,27.15
NOVIEMBRE,8,21,0.030,0.018,0.022,2.24,357,1.06,79.19,22.02,25.59
NOVIEMBRE,8,22,0.020,0.019,0.015,1.50,131,0.94,189.98,21.33,24.13
NOVIEMBRE,8,23,0.025,0.011,0.013,1.24,119,0.94,133.08,19.33,41.91
NOVIEMBRE,9,0,0.030,0.013,0.017,1.42,93,0.94,81.14,17.93,44.83
NOVIEMBRE,9,1,0.007,0.010,0.017,1.10,98,0.95,122.33,16.47,38.91
NOVIEMBRE,9,2,0.003,0.009,0.016,1.01,69,0.95,135.48,15.46,37.29
NOVIEMBRE,9,3,0.003,0.008,0.015,0.97,60,0.95,132.18,14.63,36.88
NOVIEMBRE,9,4,0.009,0.010,0.014,0.99,77,0.96,141.30,13.87,37.86
NOVIEMBRE,9,5,0.007,0.010,0.014,1.05,74,0.96,188.77,13.85,39.93
NOVIEMBRE,9,6,0.027,0.010,0.013,1.15,76,0.96,101.95,13.08,44.43
NOVIEMBRE,9,7,0.004,0.009,0.013,1.45,91,0.96,90.17,12.22,48.00
NOVIEMBRE,9,8,0.007,0.010,0.013,1.63,158,0.96,123.31,13.53,46.36
NOVIEMBRE,9,9,0.007,0.010,0.014,1.30,155,0.95,149.81,17.01,43.75
NOVIEMBRE,9,10,0.021,0.010,0.013,1.34,128,0.93,214.39,22.91,47.28
NOVIEMBRE,9,11,0.034,0.009,0.008,1.21,76,0.93,263.84,24.37,48.99
NOVIEMBRE,9,12,0.046,0.009,0.005,1.11,54,0.98,244.02,26.01,45.13
NOVIEMBRE,9,13,0.057,0.009,0.005,1.13,62,1.22,273.67,27.15,38.72
NOVIEMBRE,9,14,0.058,0.009,0.005,1.13,71,1.28,267.49,27.88,35.39
NOVIEMBRE,9,15,0.058,0.009,0.005,1.10,54,1.39,272.97,28.85,31.09
NOVIEMBRE,9,16,0.061,0.009,0.005,1.09,60,1.41,270.90,28.77,29.89
NOVIEMBRE,9,17,0.056,0.009,0.006,1.13,66,0.95,258.23,26.55,32.10
NOVIEMBRE,9,18,0.043,0.008,0.008,1.20,100,1.71,192.24,23.42,47.93
NOVIEMBRE,9,19,0.034,0.008,0.007,1.20,84,1.63,198.60,18.46,78.18
NOVIEMBRE,9,20,0.024,0.009,0.013,1.56,53,0.95,83.98,17.08,88.40
NOVIEMBRE,9,21,0.025,0.009,0.008,1.15,47,0.96,144.98,17.12,89.64
NOVIEMBRE,9,22,0.024,0.009,0.008,1.13,30,0.95,116.40,16.56,88.28
NOVIEMBRE,9,23,0.021,0.009,0.007,1.08,22,0.95,110.97,15.92,88.79
NOVIEMBRE,10,0,0.019,0.009,0.006,1.03,29,0.95,132.35,15.34,91.04
NOVIEMBRE,10,1,0.015,0.008,0.010,1.08,23,0.95,132.47,15.05,92.85
NOVIEMBRE,10,2,0.012,0.008,0.011,1.06,30,0.95,120.23,14.88,91.78
NOVIEMBRE,10,3,0.005,0.008,0.016,1.13,40,0.95,101.21,14.39,94.55
NOVIEMBRE,10,4,0.006,0.009,0.015,1.14,51,0.95,125.65,14.84,92.22
NOVIEMBRE,10,5,0.004,0.008,0.014,1.10,36,0.96,131.38,13.62,95.67
NOVIEMBRE,10,6,0.005,0.008,0.014,1.15,40,0.96,101.05,13.39,97.40
NOVIEMBRE,10,7,0.006,0.008,0.013,1.31,53,0.96,112.06,13.02,97.58
NOVIEMBRE,10,8,0.006,0.008,0.012,1.49,56,0.96,117.97,14.00,95.31
NOVIEMBRE,10,9,0.010,0.008,0.013,1.48,61,0.97,98.96,17.51,82.23
NOVIEMBRE,10,10,0.022,0.009,0.009,1.20,60,1.32,97.84,20.34,67.50
NOVIEMBRE,10,11,0.037,0.009,0.006,1.11,57,1.99,92.23,22.21,56.63
NOVIEMBRE,10,12,0.044,0.009,0.005,1.07,42,1.17,98.35,24.51,46.93
NOVIEMBRE,10,13,0.053,0.009,0.004,1.05,41,0.92,136.20,26.75,40.50
NOVIEMBRE,10,14,0.057,0.009,0.004,1.04,40,0.90,160.62,27.96,36.36
NOVIEMBRE,10,15,0.057,0.009,0.004,1.04,40,1.02,180.64,28.99,33.10
NOVIEMBRE,10,16,0.056,0.009,0.004,1.06,53,1.06,130.75,25.88,38.17
NOVIEMBRE,10,17,0.046,0.008,0.007,1.18,55,1.52,202.05,23.71,45.86
NOVIEMBRE,10,18,0.023,0.008,0.006,1.13,63,1.89,233.94,18.23,70.55
NOVIEMBRE,10,19,0.016,0.008,0.009,1.34,34,1.64,281.32,17.92,70.59
NOVIEMBRE,10,20,0.016,0.008,0.012,1.40,59,1.86,308.53,18.13,70.33
NOVIEMBRE,10,21,0.015,0.008,0.012,1.50,62,0.94,220.87,18.19,71.62
NOVIEMBRE,10,22,0.009,0.009,0.014,1.31,37,0.95,114.92,17.15,80.72
NOVIEMBRE,10,23,0.010,0.008,0.010,1.12,40,1.02,117.31,16.76,86.36
NOVIEMBRE,11,0,0.019,0.008,0.004,1.02,24,1.32,79.75,16.62,86.31
NOVIEMBRE,11,1,0.020,0.008,0.005,0.99,13,1.03,89.89,16.53,83.92
NOVIEMBRE,11,2,0.010,0.008,0.007,1.00,20,0.95,145.86,15.40,87.36
NOVIEMBRE,11,3,0.014,0.008,0.005,0.97,22,1.08,86.77,14.96,91.02
NOVIEMBRE,11,4,0.013,0.008,0.005,0.97,53,0.98,86.22,14.69,91.96
NOVIEMBRE,11,5,0.010,0.008,0.006,0.98,35,0.96,108.54,14.23,95.15
NOVIEMBRE,11,6,0.005,0.008,0.009,1.02,26,0.96,118.00,13.86,96.30
NOVIEMBRE,11,7,0.006,0.008,0.009,1.17,35,0.95,87.30,13.89,96.08
NOVIEMBRE,11,8,0.006,0.008,0.010,1.38,48,0.95,99.52,15.60,91.65
NOVIEMBRE,11,9,0.013,0.008,0.009,1.26,52,1.30,102.93,18.53,79.08
NOVIEMBRE,11,10,0.025,0.009,0.006,1.12,57,2.76,84.40,20.89,67.72
NOVIEMBRE,11,11,0.030,0.009,0.006,1.14,53,3.87,83.03,21.76,62.11
NOVIEMBRE,11,12,0.037,0.009,0.006,1.15,50,3.39,86.45,23.87,51.90
NOVIEMBRE,11,13,NA,NA,NA,1.60,156,2.32,94.66,25.88,44.77
NOVIEMBRE,11,14,0.042,0.010,0.004,1.15,35,2.20,84.52,26.63,40.97
NOVIEMBRE,11,15,0.041,0.009,0.005,1.11,NA,2.28,84.85,26.86,39.27
NOVIEMBRE,11,16,0.039,0.009,0.005,1.11,23,3.26,82.62,26.47,39.93
NOVIEMBRE,11,17,0.035,0.010,0.006,1.10,55,3.03,77.46,24.38,47.12
NOVIEMBRE,11,18,0.029,0.009,0.006,1.13,46,2.28,61.90,23.52,50.49
NOVIEMBRE,11,19,0.025,0.009,0.007,1.17,53,1.99,66.49,22.33,54.64
NOVIEMBRE,11,20,0.024,0.009,0.006,1.14,42,3.04,91.73,20.96,59.41
NOVIEMBRE,11,21,0.021,0.008,0.005,1.09,52,4.07,80.42,17.26,81.27
NOVIEMBRE,11,22,0.015,0.008,0.005,1.09,29,3.55,97.02,16.96,85.15
NOVIEMBRE,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,12,0,0.011,0.008,0.004,1.09,22,2.09,72.45,16.70,83.37
NOVIEMBRE,12,1,0.013,0.008,0.004,1.02,17,1.88,80.73,16.37,82.42
NOVIEMBRE,12,2,0.013,0.008,0.003,0.97,9,1.77,85.58,15.88,82.69
NOVIEMBRE,12,3,0.011,0.008,0.003,1.01,13,1.63,93.80,15.31,84.55
NOVIEMBRE,12,4,0.008,0.008,0.004,0.98,14,2.08,98.89,14.62,87.78
NOVIEMBRE,12,5,0.009,0.008,0.004,0.96,10,1.88,91.36,14.26,89.77
NOVIEMBRE,12,6,0.007,0.008,0.003,0.97,10,2.09,97.56,14.09,90.36
NOVIEMBRE,12,7,0.007,0.008,0.004,1.02,15,1.78,96.28,14.04,90.44
NOVIEMBRE,12,8,0.007,0.008,0.005,1.11,17,1.59,90.22,14.75,87.84
NOVIEMBRE,12,9,0.011,0.009,0.004,1.07,24,3.19,85.69,15.87,81.93
NOVIEMBRE,12,10,0.017,0.011,0.004,1.05,30,4.51,87.82,19.16,63.19
NOVIEMBRE,12,11,0.020,0.011,0.004,1.08,41,4.26,88.13,20.88,55.54
NOVIEMBRE,12,12,0.027,0.010,0.004,1.09,30,3.88,94.18,22.56,50.08
NOVIEMBRE,12,13,0.035,0.010,0.004,1.07,27,2.78,95.16,24.44,44.10
NOVIEMBRE,12,14,0.039,0.009,0.004,1.05,27,1.52,100.40,25.79,39.34
NOVIEMBRE,12,15,0.038,0.009,0.004,1.04,22,1.73,88.15,26.74,34.86
NOVIEMBRE,12,16,0.038,0.009,0.004,1.06,29,2.06,73.68,25.90,36.83
NOVIEMBRE,12,17,0.036,0.008,0.004,1.04,25,1.30,111.90,25.48,36.67
NOVIEMBRE,12,18,0.033,0.009,0.006,1.14,34,1.52,126.84,23.63,44.07
NOVIEMBRE,12,19,0.025,0.013,0.007,1.30,49,1.83,146.45,18.94,73.73
NOVIEMBRE,12,20,0.020,0.011,0.006,1.15,20,1.73,59.06,20.59,61.80
