DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
OCTUBRE,7,11,0.029,0.010,0.002,0.87,32,6.060,60.970,20.750,56.740
OCTUBRE,7,12,0.032,0.014,0.002,0.86,40,6.210,67.780,22.480,50.490
OCTUBRE,7,13,0.034,0.013,0.001,0.87,44,5.590,65.770,23.120,47.740
OCTUBRE,7,14,0.039,0.013,0.002,0.88,61,6.440,86.270,24.580,43.780
OCTUBRE,7,15,0.040,0.010,0.003,0.88,102,6.320,87.440,25.030,41.790
OCTUBRE,7,16,0.035,0.009,0.005,0.86,105,6.650,96.830,24.290,42.220
OCTUBRE,7,17,0.037,0.008,0.003,0.86,55,6.420,98.180,23.590,43.460
OCTUBRE,7,18,0.031,0.015,0.002,0.85,47,5.450,72.320,21.970,47.350
OCTUBRE,7,19,0.029,0.012,0.002,0.83,41,6.380,56.970,19.330,54.550
OCTUBRE,7,20,0.032,0.008,0.002,0.84,36,5.970,62.970,17.160,59.180
OCTUBRE,7,21,0.032,0.008,0.001,0.80,29,4.730,66.280,16.620,59.570
OCTUBRE,7,22,0.031,0.010,0.001,0.81,20,4.170,68.640,16.150,61.590
OCTUBRE,7,23,0.027,0.018,0.002,0.80,27,3.890,68.950,15.600,62.970
OCTUBRE,8,0,0.029,0.015,0.002,0.79,26,3.700,74.070,14.840,64.830
OCTUBRE,8,1,0.030,0.011,0.002,0.81,19,3.130,68.860,14.380,68.250
OCTUBRE,8,2,0.028,0.013,0.002,0.82,19,2.760,82.130,14.430,70.960
OCTUBRE,8,3,0.030,0.009,0.002,0.80,19,2.670,87.260,14.910,70.820
OCTUBRE,8,4,0.032,0.009,0.002,0.79,15,3.780,87.170,15.220,72.840
OCTUBRE,8,5,0.031,0.008,0.002,0.79,15,2.970,91.180,15.110,73.470
