DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MARZO,6,15,0.068,0.006,0.005,0.80,55,30,3.11,234.05,14.86
MARZO,6,16,0.068,0.006,0.004,0.77,61,31,2.98,231.29,13.80
MARZO,6,17,0.065,0.006,0.005,0.78,62,30,2.80,237.43,13.64
MARZO,6,18,0.062,0.006,0.005,0.77,55,30,3.05,255.43,13.57
MARZO,6,19,0.051,0.006,0.010,0.97,59,27,2.11,253.28,14.97
MARZO,6,20,0.018,0.006,0.029,1.77,121,24,1.32,255.79,17.78
MARZO,6,21,0.019,0.006,0.025,1.43,110,23,1.68,271.94,20.41
MARZO,6,22,0.026,0.009,0.023,1.28,100,23,1.93,243.70,22.58
MARZO,6,23,0.034,0.017,0.017,0.96,93,22,3.77,86.75,24.80
MARZO,7,0,0.048,0.006,0.009,0.76,92,21,4.40,90.90,27.99
MARZO,7,1,0.032,0.006,0.011,0.76,77,20,3.31,98.45,30.16
MARZO,7,2,0.022,0.006,0.016,0.77,65,18,2.38,128.06,32.25
MARZO,7,3,0.024,0.006,0.012,0.79,63,17,1.41,161.74,33.76
MARZO,7,4,0.021,0.006,0.015,0.86,67,17,1.42,115.23,35.04
MARZO,7,5,0.013,0.007,0.021,0.91,78,16,1.69,128.03,37.91
MARZO,7,6,0.008,0.007,0.023,0.92,81,14,1.62,148.05,41.12
MARZO,7,7,0.010,0.006,0.021,0.97,73,14,2.06,128.60,42.19
MARZO,7,8,0.008,0.007,0.023,1.09,81,14,1.68,123.24,42.03
MARZO,7,9,0.010,0.007,0.024,1.24,163,15,1.76,123.75,40.13
MARZO,7,10,0.018,0.007,0.023,1.15,192,18,2.13,114.71,31.86
MARZO,7,11,0.035,0.007,0.014,0.97,156,24,1.53,191.43,28.90
MARZO,7,12,0.049,0.006,0.010,0.95,82,27,2.10,255.89,24.81
MARZO,7,13,0.059,0.006,0.005,0.88,64,28,2.10,248.41,23.74
MARZO,7,14,0.061,0.006,0.005,0.89,54,29,2.37,258.17,19.36
MARZO,7,15,0.062,0.006,0.004,0.80,47,30,2.57,239.99,14.62
MARZO,7,16,0.066,0.015,0.006,0.89,31,30,2.76,246.01,12.68
MARZO,7,17,0.071,0.015,0.005,0.85,50,30,2.04,196.48,13.56
MARZO,7,18,0.063,0.009,0.008,0.90,61,29,2.52,288.52,13.60
MARZO,7,19,0.048,0.007,0.015,1.22,70,27,1.17,256.74,14.48
MARZO,7,20,0.012,0.007,0.041,2.47,134,24,0.95,233.27,15.67
MARZO,7,21,0.012,0.008,0.040,2.87,219,23,1.49,246.90,19.62
MARZO,7,22,0.022,0.007,0.026,1.23,150,21,2.00,196.39,24.14
MARZO,7,23,0.035,0.013,0.016,1.01,138,21,2.30,181.00,24.53
MARZO,8,0,0.032,0.009,0.019,1.06,89,19,1.25,157.56,25.23
MARZO,8,1,0.019,0.007,0.023,1.00,100,17,0.96,157.53,27.83
MARZO,8,2,0.015,0.006,0.023,1.07,97,17,1.14,165.30,28.64
MARZO,8,3,0.024,0.006,0.014,0.88,84,17,1.27,157.15,29.83
MARZO,8,4,0.021,0.006,0.011,0.83,65,16,1.06,145.56,31.81
MARZO,8,5,0.022,0.007,0.022,0.99,78,15,1.11,130.66,36.79
MARZO,8,6,0.006,0.006,0.021,0.90,81,14,1.44,149.36,42.00
