DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
JUNIO,8,17,0.051,0.049,0.008,0.313,83,9,0.008
JUNIO,8,18,0.054,0.050,0.008,0.300,58,11,0.007
JUNIO,8,19,0.056,0.052,0.008,0.294,44,14,0.009
JUNIO,8,20,0.049,0.052,0.008,0.299,44,25,0.012
JUNIO,8,21,0.046,0.051,0.008,0.316,71,29,0.015
JUNIO,8,22,0.045,0.050,0.008,0.324,60,31,0.013
JUNIO,8,23,0.039,0.049,0.008,0.337,52,33,0.014
JUNIO,9,0,0.033,0.047,0.008,0.355,58,38,0.015
JUNIO,9,1,0.029,0.044,0.008,0.365,55,51,0.013
JUNIO,9,2,0.032,0.041,0.008,0.368,54,105,0.009
JUNIO,9,3,0.027,0.038,0.008,0.366,44,77,0.011
JUNIO,9,4,0.022,0.034,0.008,0.360,41,56,0.013
JUNIO,9,5,0.020,0.031,0.008,0.342,42,45,0.014
JUNIO,9,6,0.026,0.029,0.008,0.332,40,37,0.012
JUNIO,9,7,0.012,0.025,0.008,0.345,41,36,0.020
JUNIO,9,8,0.011,0.022,0.008,0.377,53,38,0.023
JUNIO,9,9,0.030,0.023,0.008,0.403,64,38,0.017
JUNIO,9,10,0.044,0.024,0.008,0.417,62,35,0.010
JUNIO,9,11,0.048,0.027,0.008,0.419,54,27,0.008
JUNIO,9,12,0.054,0.031,0.008,0.408,45,18,0.008
JUNIO,9,13,0.058,0.035,0.008,0.399,52,16,0.008
JUNIO,9,14,0.059,0.040,0.008,0.395,38,14,0.008
JUNIO,9,15,0.059,0.045,0.008,0.366,35,12,0.008
JUNIO,9,16,0.064,0.052,0.008,0.319,34,10,0.008
JUNIO,9,17,0.067,0.057,0.008,0.278,34,13,0.007
JUNIO,9,18,0.060,0.059,0.008,0.275,30,15,0.011
JUNIO,9,19,0.060,0.060,0.008,0.280,31,19,0.011
JUNIO,9,20,0.035,0.058,0.008,0.346,33,23,0.026
JUNIO,9,21,0.012,0.052,0.008,0.476,44,27,0.039
JUNIO,9,22,0.007,0.046,0.008,0.601,50,32,0.040
JUNIO,9,23,0.019,0.041,0.008,0.636,61,43,0.027
JUNIO,10,0,0.015,0.035,0.009,0.683,68,44,0.024
JUNIO,10,1,0.017,0.028,0.009,0.712,70,43,0.020
JUNIO,10,2,0.014,0.022,0.009,0.717,63,43,0.018
JUNIO,10,3,0.020,0.017,0.009,0.719,56,40,0.015
JUNIO,10,4,0.019,0.015,0.009,0.668,49,37,0.016
JUNIO,10,5,0.019,0.016,0.009,0.553,47,38,0.019
JUNIO,10,6,0.022,0.018,0.009,0.438,51,40,0.016
JUNIO,10,7,0.018,0.018,0.009,0.450,51,38,0.019
JUNIO,10,8,0.021,0.019,0.009,0.449,52,32,0.020
JUNIO,10,9,0.039,0.021,0.009,0.465,60,34,0.010
JUNIO,10,10,0.044,0.025,0.009,0.470,62,31,0.009
JUNIO,10,11,0.050,0.029,0.009,0.480,93,31,0.009
JUNIO,10,12,0.057,0.034,0.009,0.478,69,54,0.008
JUNIO,10,13,0.062,0.039,0.009,0.474,55,44,0.008
JUNIO,10,14,0.066,0.044,0.009,0.465,48,27,0.008
JUNIO,10,15,0.066,0.050,0.009,0.418,50,19,0.007
JUNIO,10,16,0.064,0.056,0.009,0.378,51,15,0.009
JUNIO,10,17,0.066,0.059,0.009,0.337,110,18,0.008
JUNIO,10,18,0.067,0.062,0.009,0.308,71,18,0.007
JUNIO,10,19,0.064,0.064,0.009,0.285,54,23,0.009
JUNIO,10,20,0.052,0.063,0.009,0.288,47,43,0.013
JUNIO,10,21,0.054,0.062,0.009,0.290,49,58,0.012
JUNIO,10,22,0.057,0.061,0.009,0.298,45,47,0.012
JUNIO,10,23,0.043,0.058,0.008,0.309,44,45,0.011
JUNIO,11,0,0.033,0.054,0.008,0.310,48,42,0.011
JUNIO,11,1,0.031,0.050,0.008,0.321,48,43,0.012
JUNIO,11,2,0.033,0.046,0.008,0.334,49,38,0.010
JUNIO,11,3,0.030,0.042,0.008,0.345,48,35,0.010
JUNIO,11,4,0.031,0.039,0.008,0.340,49,32,0.009
JUNIO,11,5,0.028,0.036,0.008,0.337,42,33,0.011
