DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
JUL,7,12,20.00,29.58,NA,2.23,37,20
JUL,7,13,24.49,28.74,NA,1.52,52,20
JUL,7,14,29.99,28.36,NA,3.31,65,20
JUL,7,15,35.31,27.82,NA,3.03,71,20
JUL,7,16,39.29,26.94,NA,1.62,71,20
JUL,7,17,42.35,26.73,NA,1.40,71,19
JUL,7,18,44.11,27.14,NA,2.57,71,19
JUL,7,19,44.39,27.34,NA,4.28,70,19
JUL,7,20,43.46,28.67,NA,7.31,71,19
JUL,7,21,43.07,30.32,NA,6.17,71,20
JUL,7,22,41.72,30.39,NA,4.29,71,21
JUL,7,23,39.99,29.08,NA,5.04,71,21
JUL,8,0,36.68,26.90,NA,4.77,70,20
JUL,8,1,32.82,25.83,NA,9.79,70,20
JUL,8,2,28.70,27.57,NA,12.46,70,20
JUL,8,3,25.17,27.19,NA,11.04,70,20
JUL,8,4,22.58,25.58,NA,12.69,70,20
JUL,8,5,18.16,25.80,NA,8.64,70,21
JUL,8,6,14.01,23.76,NA,13.61,70,21
JUL,8,7,9.92,22.25,NA,13.92,70,20
JUL,8,8,7.92,19.83,NA,12.70,69,20
JUL,8,9,9.12,18.07,NA,10.98,70,20
JUL,8,10,13.02,18.13,0.388,4.19,70,20
JUL,8,11,17.60,17.18,0.384,1.99,70,20
JUL,8,12,22.28,16.65,0.384,0.20,63,20
JUL,8,13,28.87,16.11,0.419,0.37,48,20
JUL,8,14,32.70,15.66,NA,NA,33,20
JUL,8,15,38.62,15.80,NA,NA,27,20
JUL,8,16,45.58,15.84,NA,NA,27,20
JUL,8,17,50.36,15.87,NA,NA,27,21
JUL,8,18,50.90,15.87,NA,1.05,27,21
JUL,8,19,50.82,17.72,NA,NA,28,22
JUL,8,20,50.64,16.44,NA,NA,29,22
JUL,8,21,48.50,14.73,NA,NA,29,22
JUL,8,22,46.96,14.71,0.344,NA,29,22
JUL,8,23,45.26,14.73,0.323,NA,29,22
JUL,9,0,42.45,14.75,0.292,NA,29,22
JUL,9,1,39.46,14.26,NA,NA,29,23
JUL,9,2,35.54,12.34,NA,NA,29,22
JUL,9,3,32.06,12.03,NA,NA,29,22
JUL,9,4,26.46,11.74,NA,NA,28,22
JUL,9,5,21.92,11.22,NA,16.54,28,21
JUL,9,6,17.67,11.23,NA,15.03,27,21
JUL,9,7,14.46,11.56,NA,15.53,27,21
JUL,9,8,11.51,13.04,NA,14.55,28,21
JUL,9,9,9.87,17.91,NA,10.71,29,22
JUL,9,10,12.01,18.65,0.232,7.30,30,23
JUL,9,11,15.56,19.77,0.247,6.54,31,23
JUL,9,12,23.76,22.33,0.262,5.37,33,24
JUL,9,13,32.88,26.41,0.378,7.08,38,25
JUL,9,14,41.45,29.36,0.448,5.33,44,27
JUL,9,15,48.29,29.87,0.467,NA,44,28
JUL,9,16,54.41,30.36,0.453,1.75,45,29
JUL,9,17,58.03,31.52,0.462,2.02,45,29
JUL,9,18,59.94,32.45,0.465,3.53,45,29
JUL,9,19,59.70,31.69,0.461,6.74,45,29
JUL,9,20,55.36,33.11,0.461,12.91,44,29
JUL,9,21,47.93,34.78,0.368,12.84,45,29
JUL,9,22,40.34,37.61,0.325,8.27,46,29
JUL,9,23,34.46,43.48,0.297,11.83,47,30
JUL,10,0,29.43,48.35,0.369,NA,48,31
JUL,10,1,25.88,56.60,0.365,NA,49,31
JUL,10,2,22.96,57.60,0.394,NA,49,31
JUL,10,3,20.00,57.58,0.387,NA,49,31
JUL,10,4,18.23,57.58,0.367,NA,49,32
JUL,10,5,16.44,57.89,0.372,NA,50,32
JUL,10,6,15.45,57.75,0.374,10.62,50,32
JUL,10,7,14.62,57.56,0.428,12.95,50,32
JUL,10,8,14.10,54.85,0.406,11.38,50,32
JUL,10,9,14.31,46.80,0.440,7.83,48,31
JUL,10,10,15.59,44.47,0.437,4.37,47,30
JUL,10,11,17.60,43.84,0.488,0.84,45,29
JUL,10,12,19.91,42.37,0.510,2.34,45,29
JUL,10,13,25.14,38.88,0.479,2.31,41,28
JUL,10,14,31.54,36.80,0.459,2.15,36,26
JUL,10,15,37.05,35.43,0.411,2.05,35,25
JUL,10,16,41.08,35.29,0.367,1.85,35,25
JUL,10,17,42.83,35.29,0.328,1.06,35,24
JUL,10,18,41.93,35.29,0.294,0.20,34,24
JUL,10,19,40.52,36.00,0.256,NA,34,23
JUL,10,20,39.25,35.62,0.237,1.98,35,24
JUL,10,21,36.08,35.62,0.238,2.02,38,23
JUL,10,22,32.46,34.92,0.235,4.90,37,23
JUL,10,23,28.72,29.78,0.233,NA,36,23
JUL,11,0,24.92,26.59,0.220,NA,35,21
JUL,11,1,20.84,19.35,0.215,NA,34,21
JUL,11,2,18.03,21.35,0.217,6.42,35,21
JUL,11,3,15.09,22.01,0.208,8.01,35,22
JUL,11,4,11.86,24.35,0.203,7.42,35,22
JUL,11,5,9.85,27.03,0.195,6.20,37,23
JUL,11,6,7.07,28.13,0.197,3.94,36,24
JUL,11,7,5.14,29.55,0.222,8.09,36,24
JUL,11,8,4.59,31.17,0.256,6.36,36,24
JUL,11,9,4.59,32.64,0.300,4.72,36,24
JUL,11,10,4.66,32.28,0.330,3.45,36,24
JUL,11,11,10.23,33.37,0.361,1.63,37,24
JUL,11,12,15.86,33.22,0.399,1.96,35,25
JUL,11,13,21.85,33.20,0.431,0.49,34,24
JUL,11,14,28.07,32.73,0.463,NA,34,24
JUL,11,15,34.38,33.48,0.482,0.91,33,23
JUL,11,16,39.08,33.53,0.487,0.20,32,23
JUL,11,17,39.79,32.29,0.487,4.59,32,23
JUL,11,18,39.94,30.78,0.478,3.10,33,23
JUL,11,19,40.33,28.45,0.476,3.14,33,22
JUL,11,20,39.97,28.47,0.449,2.11,35,22
JUL,11,21,37.03,28.47,0.427,2.69,31,22
JUL,11,22,34.79,30.84,0.401,6.49,31,22
JUL,11,23,31.88,32.71,0.363,2.81,32,22
JUL,12,0,29.86,38.48,0.331,4.17,32,22
JUL,12,1,26.79,40.60,0.287,1.77,33,22
JUL,12,2,24.09,43.17,0.265,4.46,32,22
JUL,12,3,22.57,46.05,0.268,2.32,32,21
JUL,12,4,19.44,44.25,0.248,0.62,31,21
JUL,12,5,17.68,46.24,0.233,8.99,30,20
JUL,12,6,15.25,45.69,0.245,8.72,30,20
JUL,12,7,13.11,44.16,0.295,11.12,30,20
JUL,12,8,10.44,43.02,0.356,10.79,29,20
