DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
OCT,8,19,34.70,14.62,0.226,1.46,16,12
OCT,8,20,32.72,14.79,0.232,2.62,13,12
OCT,8,21,30.43,14.79,0.238,2.24,13,12
OCT,8,22,27.88,14.82,0.237,2.56,13,12
OCT,8,23,25.26,15.57,0.242,2.18,13,12
OCT,9,0,22.53,15.83,0.250,2.90,14,12
OCT,9,1,20.31,15.35,0.251,2.84,14,12
OCT,9,2,19.14,14.16,0.242,2.37,14,12
OCT,9,3,18.45,13.76,0.233,1.12,14,12
OCT,9,4,18.15,13.24,0.225,0.91,14,12
OCT,9,5,17.97,12.62,0.215,1.44,14,12
OCT,9,6,16.13,11.73,0.227,2.23,14,11
OCT,9,7,15.53,11.72,0.246,6.18,14,11
OCT,9,8,15.26,12.17,0.253,5.45,14,11
OCT,9,9,16.81,12.32,0.278,5.15,14,11
OCT,9,10,19.01,12.50,0.280,0.60,14,11
OCT,9,11,21.88,13.01,0.278,0.20,14,11
OCT,9,12,25.18,13.70,0.277,0.24,14,11
OCT,9,13,28.94,14.08,0.282,0.20,15,12
OCT,9,14,35.25,14.36,0.269,0.20,15,11
OCT,9,15,40.64,14.22,0.247,0.20,15,11
OCT,9,16,44.47,14.12,0.235,0.91,15,12
OCT,9,17,44.76,13.60,0.225,2.65,15,12
OCT,9,18,41.99,13.12,0.283,7.33,15,12
OCT,9,19,37.54,11.85,0.401,15.75,15,12
OCT,9,20,32.40,11.75,0.507,17.42,16,12
OCT,9,21,29.26,11.77,0.586,13.57,17,12
OCT,9,22,25.21,11.83,0.587,3.31,18,13
OCT,9,23,19.67,11.14,0.588,3.38,18,13
OCT,10,0,15.58,12.07,0.586,4.74,18,13
OCT,10,1,13.89,12.21,0.572,5.41,19,14
OCT,10,2,14.38,12.89,0.511,3.72,19,14
OCT,10,3,14.58,12.97,0.395,2.04,19,13
OCT,10,4,14.53,12.88,0.289,5.23,19,14
OCT,10,5,11.85,12.56,0.213,6.78,20,14
OCT,10,6,9.58,12.46,0.252,7.99,20,14
OCT,10,7,8.81,11.57,0.323,11.68,21,14
OCT,10,8,8.66,10.73,0.365,7.56,21,14
OCT,10,9,9.87,10.49,0.391,4.13,22,15
OCT,10,10,11.57,10.40,0.402,1.58,22,14
OCT,10,11,15.23,10.20,0.415,2.17,22,15
OCT,10,12,20.36,9.88,0.421,1.28,22,15
OCT,10,13,25.30,9.77,0.422,1.26,22,14
OCT,10,14,30.23,9.29,0.378,0.54,22,14
OCT,10,15,35.19,9.03,0.301,0.35,22,15
OCT,10,16,39.34,8.90,0.254,0.20,21,14
OCT,10,17,40.33,8.85,0.219,0.26,21,14
OCT,10,18,39.37,8.89,0.227,3.89,21,14
OCT,10,19,36.81,8.85,0.273,7.12,22,14
OCT,10,20,33.62,8.81,0.302,5.01,21,14
OCT,10,21,31.22,8.80,0.314,3.00,21,14
OCT,10,22,28.71,8.80,0.322,2.67,21,14
OCT,10,23,26.19,8.57,0.329,2.43,21,14
OCT,11,0,23.54,6.50,0.331,1.10,20,14
OCT,11,1,21.49,5.77,0.331,0.61,20,14
OCT,11,2,20.30,4.98,0.311,0.20,19,13
OCT,11,3,20.22,4.65,0.252,0.20,19,14
OCT,11,4,20.58,4.46,0.213,0.69,19,13
OCT,11,5,19.11,4.31,0.193,0.20,19,14
OCT,11,6,16.69,4.18,0.222,4.52,19,14
OCT,11,7,14.25,4.03,0.324,7.78,18,14
OCT,11,8,11.79,3.45,0.435,6.66,18,13
OCT,11,9,9.63,2.75,0.481,4.31,18,13
OCT,11,10,7.93,2.38,0.509,3.87,18,13
OCT,11,11,5.93,1.91,0.519,1.16,19,13
OCT,11,12,6.89,1.47,0.523,0.20,19,13
OCT,11,13,6.35,1.11,0.534,1.54,19,13
OCT,11,14,7.06,1.04,0.541,NA,19,12
OCT,11,15,NA,0.93,0.454,NA,20,12
OCT,11,16,NA,0.93,NA,NA,20,13
OCT,11,17,NA,0.94,NA,NA,21,13
OCT,11,18,NA,0.89,NA,NA,21,13
OCT,11,19,NA,0.87,NA,NA,20,NA
OCT,11,20,NA,NA,NA,NA,NA,NA
OCT,11,21,NA,NA,NA,NA,NA,NA
OCT,11,22,NA,NA,NA,NA,NA,NA
OCT,11,23,NA,NA,NA,NA,NA,NA
OCT,12,0,NA,NA,NA,NA,NA,NA
OCT,12,1,NA,NA,NA,NA,NA,NA
OCT,12,2,NA,NA,NA,NA,NA,NA
OCT,12,3,NA,NA,NA,NA,NA,NA
OCT,12,4,NA,NA,NA,NA,NA,NA
OCT,12,5,NA,NA,NA,NA,NA,NA
OCT,12,6,NA,NA,NA,NA,NA,NA
OCT,12,7,NA,NA,NA,NA,NA,NA
OCT,12,8,NA,NA,NA,NA,NA,NA
OCT,12,9,NA,NA,NA,NA,NA,NA
OCT,12,10,NA,NA,NA,NA,NA,NA
OCT,12,11,NA,NA,NA,1.42,NA,NA
OCT,12,12,NA,NA,NA,1.93,NA,NA
OCT,12,13,NA,NA,NA,1.73,NA,NA
OCT,12,14,NA,NA,NA,0.77,NA,NA
OCT,12,15,34.13,NA,NA,1.24,NA,NA
OCT,12,16,34.46,NA,0.240,1.38,NA,NA
OCT,12,17,34.37,NA,0.241,1.32,NA,NA
OCT,12,18,34.19,NA,0.239,0.97,NA,NA
OCT,12,19,32.35,NA,0.241,1.30,NA,NA
OCT,12,20,29.94,NA,0.245,1.82,NA,NA
OCT,12,21,27.43,NA,0.239,0.50,NA,NA
OCT,12,22,24.60,NA,0.240,0.31,NA,NA
OCT,12,23,21.31,NA,0.238,0.20,NA,NA
OCT,13,0,18.34,NA,0.228,0.34,NA,NA
OCT,13,1,15.75,NA,0.218,0.20,NA,NA
OCT,13,2,13.80,NA,0.212,0.23,NA,NA
OCT,13,3,13.21,NA,0.201,0.20,NA,NA
OCT,13,4,12.08,12.90,0.190,0.94,16,NA
OCT,13,5,10.73,13.66,0.184,0.83,16,NA
OCT,13,6,9.09,13.74,0.190,1.60,16,NA
OCT,13,7,7.99,14.41,0.193,2.66,16,NA
OCT,13,8,7.66,15.10,0.202,2.27,16,NA
OCT,13,9,8.23,15.52,0.218,1.28,16,14
OCT,13,10,10.29,15.70,0.228,0.20,16,15
OCT,13,11,13.25,15.87,0.242,0.35,15,14
OCT,13,12,18.06,16.11,0.263,1.94,15,14
OCT,13,13,23.52,15.72,0.296,2.00,16,14
OCT,13,14,29.29,15.05,0.320,3.78,16,15
OCT,13,15,34.38,14.14,0.331,1.74,16,14
OCT,13,16,38.74,13.76,0.335,2.23,15,14
OCT,13,17,42.73,13.13,0.335,2.31,15,14
OCT,13,18,43.43,13.00,0.335,1.29,15,14
OCT,13,19,40.24,12.95,0.387,9.41,15,14
OCT,13,20,37.28,12.94,0.488,17.76,16,15
OCT,13,21,33.54,12.81,0.497,7.72,17,15
OCT,13,22,30.33,12.66,0.509,6.28,19,16
OCT,13,23,27.27,12.52,0.513,3.31,19,17
OCT,14,0,23.58,12.33,0.512,3.59,20,17
OCT,14,1,18.83,12.16,0.509,4.41,21,16
OCT,14,2,16.78,11.89,0.508,3.88,21,16
OCT,14,3,17.23,12.06,0.444,2.17,22,16
OCT,14,4,15.43,11.57,0.322,1.66,22,16
OCT,14,5,13.46,11.20,0.287,4.15,22,15
OCT,14,6,10.90,11.67,0.260,5.51,22,16
OCT,14,7,8.45,11.21,0.284,5.93,23,16
OCT,14,8,6.77,11.43,0.300,4.60,23,16
OCT,14,9,7.23,12.29,0.312,3.97,24,16
OCT,14,10,8.05,11.87,0.317,1.10,24,17
OCT,14,11,10.15,11.16,0.331,1.21,25,17
OCT,14,12,13.59,9.89,0.338,0.20,24,17
OCT,14,13,17.92,9.62,0.344,0.94,24,16
OCT,14,14,22.18,9.86,0.336,1.22,23,16
OCT,14,15,26.12,9.79,0.297,0.62,23,16
OCT,14,16,30.13,9.62,0.273,0.62,22,16
OCT,14,17,31.58,9.54,0.252,0.20,22,15
OCT,14,18,30.87,9.38,0.257,1.68,22,15
OCT,14,19,29.37,9.37,0.283,5.14,22,15
OCT,14,20,27.37,9.32,0.286,2.88,21,15
OCT,14,21,24.61,9.29,0.277,0.58,20,14
OCT,14,22,22.21,9.67,0.268,1.63,19,14
OCT,14,23,19.85,9.77,0.262,0.21,19,14
OCT,15,0,16.51,9.78,0.254,1.09,18,13
OCT,15,1,14.27,9.73,0.256,6.67,18,13
OCT,15,2,13.47,9.70,0.239,2.77,18,13
OCT,15,3,12.02,9.54,0.196,1.67,18,13
OCT,15,4,10.27,9.52,0.186,2.78,18,13
OCT,15,5,8.90,9.17,0.186,3.77,17,13
OCT,15,6,7.20,8.37,0.213,4.44,17,12
OCT,15,7,5.62,7.77,0.313,7.58,17,12
OCT,15,8,5.19,6.42,0.383,7.14,17,12
OCT,15,9,5.92,4.82,0.413,5.07,16,12
OCT,15,10,7.77,4.84,0.430,2.83,16,11
OCT,15,11,10.54,4.58,0.440,1.24,16,11
OCT,15,12,13.62,4.54,0.443,0.88,16,11
OCT,15,13,16.98,4.61,0.453,2.82,15,11
OCT,15,14,20.71,4.43,0.430,2.16,15,11
OCT,15,15,24.52,4.46,0.343,2.67,15,11
OCT,15,16,28.27,4.37,0.283,2.37,15,11
OCT,15,17,30.62,4.33,0.253,2.11,15,11
OCT,15,18,28.97,4.32,0.249,4.56,15,11
OCT,15,19,27.00,4.33,0.355,15.83,15,11
OCT,15,20,26.03,4.35,0.393,10.35,16,11
OCT,15,21,24.82,4.35,0.384,1.21,16,11
OCT,15,22,22.14,3.98,0.380,0.20,16,11
OCT,15,23,19.27,4.59,0.372,4.77,16,11
OCT,16,0,16.70,4.61,0.369,4.41,17,11
OCT,16,1,14.18,4.62,0.366,1.86,17,12
OCT,16,2,14.72,4.62,0.351,1.45,16,11
OCT,16,3,14.54,4.36,0.237,0.96,16,12
OCT,16,4,12.83,4.25,0.195,1.86,16,12
OCT,16,5,10.40,3.87,0.197,3.77,16,12
OCT,16,6,9.19,3.62,0.221,6.55,17,12
OCT,16,7,8.25,3.66,0.261,7.14,16,12
OCT,16,8,6.84,3.71,0.293,5.21,16,12
OCT,16,9,6.58,3.65,0.327,4.89,16,11
