DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,13,6,18.25,6.80,0.198,4.46,24,11
SEP,13,7,16.06,7.27,0.258,8.45,24,11
SEP,13,8,13.45,7.17,0.447,9.99,23,11
SEP,13,9,12.46,7.32,0.478,4.30,23,11
SEP,13,10,12.58,7.32,0.487,0.45,23,11
SEP,13,11,12.72,7.39,0.498,0.80,23,10
SEP,13,12,13.37,7.79,0.513,1.65,23,10
SEP,13,13,14.38,7.82,0.531,0.90,24,11
SEP,13,14,16.40,7.82,0.543,0.85,24,10
SEP,13,15,19.29,7.79,0.493,0.60,23,10
SEP,13,16,21.62,7.84,0.315,0.35,18,10
SEP,13,17,22.26,7.95,0.299,0.75,13,10
SEP,13,18,21.61,8.00,0.307,0.66,13,10
SEP,13,19,20.33,8.01,0.330,2.67,13,10
SEP,13,20,18.75,8.01,0.337,2.68,13,10
SEP,13,21,17.28,8.01,0.333,0.78,13,10
SEP,13,22,15.58,7.78,0.325,0.84,13,10
SEP,13,23,13.40,7.59,0.313,1.38,13,10
SEP,14,0,11.80,7.42,0.303,2.60,13,10
SEP,14,1,10.44,7.85,0.290,1.60,13,10
SEP,14,2,9.72,8.14,0.274,1.62,13,10
SEP,14,3,9.40,7.75,0.243,2.48,13,10
SEP,14,4,8.97,8.21,0.220,2.38,13,10
SEP,14,5,8.26,7.86,0.206,0.96,13,10
SEP,14,6,7.39,7.38,0.195,1.45,13,10
SEP,14,7,7.25,7.04,0.195,2.66,12,10
SEP,14,8,8.74,6.92,0.208,2.27,11,10
SEP,14,9,10.83,6.36,0.220,1.19,10,10
SEP,14,10,13.42,6.17,0.229,0.31,10,9
SEP,14,11,16.10,6.00,0.244,0.66,10,9
SEP,14,12,18.89,5.50,0.260,0.60,10,9
SEP,14,13,22.51,5.33,0.277,0.74,10,9
SEP,14,14,26.64,5.42,0.292,0.29,10,9
SEP,14,15,30.40,5.47,0.301,0.32,10,9
SEP,14,16,32.55,5.52,0.297,0.42,10,9
SEP,14,17,33.39,5.51,0.302,0.62,9,9
SEP,14,18,33.36,5.47,0.310,0.64,9,9
SEP,14,19,32.72,5.46,0.310,0.57,9,9
SEP,14,20,31.77,5.47,0.316,1.10,9,10
SEP,14,21,30.33,5.50,0.319,1.09,9,10
SEP,14,22,28.97,5.50,0.319,0.85,10,10
SEP,14,23,26.87,5.38,0.312,0.38,9,10
SEP,15,0,24.19,5.44,0.306,1.71,9,10
SEP,15,1,21.68,5.36,0.307,3.31,9,9
SEP,15,2,20.01,5.23,0.307,4.85,9,9
SEP,15,3,18.69,4.97,0.300,3.02,10,9
SEP,15,4,18.11,5.85,0.283,1.82,10,9
SEP,15,5,16.46,6.54,0.263,1.73,10,9
SEP,15,6,13.56,6.33,0.258,4.04,10,9
SEP,15,7,11.33,6.16,0.273,8.78,10,10
SEP,15,8,9.97,7.44,0.275,5.78,11,10
SEP,15,9,10.41,8.58,0.261,2.95,11,10
SEP,15,10,11.40,9.31,0.249,0.78,11,10
SEP,15,11,12.90,9.60,0.249,0.86,11,10
SEP,15,12,14.17,9.73,0.257,1.14,11,11
SEP,15,13,16.56,9.94,0.276,1.43,11,11
SEP,15,14,19.73,9.97,0.286,1.74,11,11
SEP,15,15,23.25,10.09,0.284,2.84,11,11
SEP,15,16,26.06,10.04,0.293,1.44,11,11
SEP,15,17,27.21,9.99,0.300,1.41,11,11
SEP,15,18,27.52,10.00,0.308,1.41,11,11
SEP,15,19,26.45,10.00,0.311,1.19,11,11
SEP,15,20,24.94,9.99,0.316,2.87,11,11
SEP,15,21,23.02,10.26,0.311,2.37,11,11
