DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
ENE,12,17,17.55,2.69,0.430,5.44,35,14
ENE,12,18,17.13,2.66,0.406,6.95,33,14
ENE,12,19,17.32,2.61,0.442,17.63,32,13
ENE,12,20,16.64,2.60,0.598,24.51,32,12
ENE,12,21,14.76,2.60,0.763,22.09,35,12
ENE,12,22,12.66,2.57,0.773,10.04,36,13
ENE,12,23,9.71,2.56,0.782,11.48,35,12
ENE,13,0,6.78,2.59,0.792,11.64,35,12
ENE,13,1,4.47,2.61,0.784,6.11,34,12
ENE,13,2,4.26,2.63,0.772,3.23,34,12
ENE,13,3,4.03,2.63,0.699,2.56,34,12
ENE,13,4,4.12,2.62,0.519,4.14,34,12
ENE,13,5,3.61,2.64,0.326,4.18,33,12
ENE,13,6,3.47,2.66,0.289,3.77,33,12
ENE,13,7,3.22,2.67,0.258,4.45,32,12
ENE,13,8,2.93,2.67,0.231,5.26,32,12
ENE,13,9,3.27,2.65,0.222,4.09,30,12
ENE,13,10,4.11,2.62,0.212,2.92,29,11
ENE,13,11,5.47,2.25,0.210,1.94,28,10
ENE,13,12,7.15,1.52,0.210,NA,27,9
ENE,13,13,9.53,1.39,0.215,1.78,26,8
ENE,13,14,11.90,1.37,0.222,1.39,26,7
ENE,13,15,14.10,1.38,0.226,2.47,26,7
ENE,13,16,16.47,1.38,0.229,2.47,26,7
ENE,13,17,18.18,1.38,0.228,1.27,26,7
ENE,13,18,18.74,1.44,0.230,NA,26,7
ENE,13,19,18.14,1.47,0.232,2.98,26,7
ENE,13,20,16.38,1.46,0.236,3.86,25,7
ENE,13,21,13.78,1.52,0.241,4.72,23,6
ENE,13,22,11.48,1.52,0.243,3.61,21,6
ENE,13,23,9.78,1.53,0.238,NA,20,5
ENE,14,0,8.22,1.48,0.230,NA,19,5
ENE,14,1,6.95,1.48,0.232,NA,18,5
ENE,14,2,6.05,1.48,0.231,0.20,17,5
ENE,14,3,5.72,1.51,NA,NA,17,5
ENE,14,4,6.15,1.55,NA,1.62,16,5
ENE,14,5,6.55,1.57,NA,NA,16,NA
ENE,14,6,6.36,NA,NA,NA,16,NA
ENE,14,7,5.85,NA,NA,5.22,16,5
ENE,14,8,5.41,NA,NA,5.47,16,NA
ENE,14,9,6.16,NA,NA,5.90,16,NA
ENE,14,10,7.43,NA,NA,2.64,16,NA
ENE,14,11,9.01,NA,0.234,2.05,16,NA
ENE,14,12,10.75,NA,0.236,2.23,16,NA
ENE,14,13,12.95,NA,0.238,1.72,16,NA
ENE,14,14,16.10,NA,0.248,2.06,16,NA
ENE,14,15,19.38,NA,0.251,1.89,15,NA
ENE,14,16,22.19,NA,0.249,1.34,15,NA
ENE,14,17,23.03,NA,0.243,2.68,15,NA
ENE,14,18,23.43,NA,0.245,3.72,15,NA
ENE,14,19,23.28,NA,0.250,4.07,16,NA
ENE,14,20,22.44,NA,0.254,3.45,16,NA
ENE,14,21,21.34,NA,0.252,2.41,15,NA
ENE,14,22,20.18,NA,0.248,1.61,15,NA
ENE,14,23,18.55,NA,0.242,NA,15,NA
ENE,15,0,17.04,NA,0.237,NA,15,NA
ENE,15,1,16.61,NA,0.228,2.30,16,NA
ENE,15,2,16.25,NA,0.222,0.20,16,NA
ENE,15,3,16.02,NA,0.215,NA,16,NA
ENE,15,4,16.11,NA,NA,NA,17,NA
ENE,15,5,16.21,NA,NA,0.20,17,NA
ENE,15,6,15.16,NA,NA,NA,16,NA
ENE,15,7,14.19,NA,NA,0.20,16,NA
ENE,15,8,13.21,NA,NA,1.64,16,NA
ENE,15,9,12.32,NA,NA,2.23,16,NA
ENE,15,10,11.27,NA,NA,0.45,16,NA
ENE,15,11,11.10,NA,NA,1.22,16,NA
ENE,15,12,11.64,NA,NA,0.32,16,NA
ENE,15,13,13.42,NA,0.230,0.20,16,NA
ENE,15,14,15.47,NA,0.249,1.51,16,NA
ENE,15,15,18.47,NA,0.271,4.02,17,NA
ENE,15,16,21.64,NA,0.290,0.20,17,NA
ENE,15,17,23.90,NA,0.309,2.02,17,NA
ENE,15,18,25.72,NA,0.341,6.86,17,NA
ENE,15,19,25.30,NA,0.377,10.21,17,NA
ENE,15,20,23.20,0.81,0.446,17.30,19,NA
ENE,15,21,19.91,0.88,0.562,23.89,20,NA
ENE,15,22,16.89,0.89,0.599,18.92,23,NA
ENE,15,23,13.36,0.90,0.631,18.75,25,NA
ENE,16,0,9.59,0.94,0.693,16.62,28,NA
ENE,16,1,6.38,0.96,0.730,14.59,31,NA
ENE,16,2,3.86,1.01,0.744,16.44,34,NA
ENE,16,3,3.22,1.01,0.717,10.90,35,NA
ENE,16,4,3.81,1.03,0.648,6.11,36,NA
ENE,16,5,4.20,1.02,0.522,0.56,36,NA
ENE,16,6,4.68,1.01,0.459,2.43,37,NA
ENE,16,7,4.60,1.02,0.397,1.01,37,16
ENE,16,8,4.85,1.03,0.322,3.28,38,16
ENE,16,9,5.23,1.03,0.275,3.33,38,16
ENE,16,10,6.43,1.04,0.245,3.68,39,16
ENE,16,11,8.20,1.05,0.237,0.89,39,16
ENE,16,12,10.49,1.05,0.241,0.22,40,15
ENE,16,13,13.74,1.14,0.263,3.41,41,14
ENE,16,14,17.22,1.22,0.304,7.99,42,15
ENE,16,15,21.52,1.26,0.348,8.90,43,15
ENE,16,16,26.10,1.29,0.373,7.16,44,16
ENE,16,17,30.37,1.31,0.391,4.44,44,16
ENE,16,18,31.34,1.33,0.402,4.50,44,16
ENE,16,19,29.32,1.33,0.491,21.47,44,17
ENE,16,20,26.35,1.38,0.735,32.34,45,17
ENE,16,21,24.13,1.34,0.855,27.17,46,18
ENE,16,22,22.02,1.33,0.852,11.21,45,18
ENE,16,23,18.74,1.31,0.818,4.62,44,17
ENE,17,0,15.26,1.27,0.799,7.61,42,16
ENE,17,1,12.01,1.25,0.776,5.12,40,14
ENE,17,2,11.20,1.21,0.746,NA,38,14
ENE,17,3,11.58,1.19,0.642,2.38,36,13
ENE,17,4,12.42,1.18,0.389,8.52,35,13
ENE,17,5,10.92,1.17,0.250,6.89,36,13
ENE,17,6,9.10,1.17,0.235,13.06,37,13
ENE,17,7,8.00,1.16,0.248,12.51,37,14
ENE,17,8,6.82,1.23,0.339,14.07,38,14
ENE,17,9,6.45,1.26,0.406,11.35,40,15
ENE,17,10,6.74,1.25,0.443,7.77,40,15
ENE,17,11,8.92,1.24,0.471,6.47,40,14
ENE,17,12,11.27,1.22,0.498,3.76,40,15
ENE,17,13,15.15,1.16,0.516,5.22,39,15
ENE,17,14,19.33,1.13,0.511,5.64,39,14
ENE,17,15,23.26,1.10,0.501,3.67,38,14
ENE,17,16,27.96,1.10,0.410,5.25,37,13
ENE,17,17,30.87,1.11,0.346,2.17,37,13
ENE,17,18,30.94,1.13,0.350,11.76,37,13
ENE,17,19,29.63,1.15,0.417,24.78,38,12
ENE,17,20,29.11,1.12,0.458,19.40,37,12
ENE,17,21,27.52,1.10,0.477,8.64,36,12
ENE,17,22,25.72,1.11,0.484,6.67,36,12
ENE,17,23,24.04,1.12,0.491,4.05,36,12
ENE,18,0,21.09,1.14,0.488,3.87,35,12
ENE,18,1,19.06,1.16,0.484,3.68,35,12
ENE,18,2,19.48,1.19,0.445,2.57,35,11
ENE,18,3,20.73,1.21,0.353,NA,35,11
ENE,18,4,19.25,1.23,0.283,0.20,35,11
ENE,18,5,17.22,NA,0.243,0.60,35,11
ENE,18,6,14.95,NA,0.217,7.98,34,10
ENE,18,7,12.80,NA,0.197,7.54,34,10
ENE,18,8,11.39,NA,0.206,7.23,33,10
ENE,18,9,10.07,NA,0.226,5.19,32,9
ENE,18,10,9.41,NA,0.230,3.99,32,9
ENE,18,11,9.37,NA,0.228,0.43,33,9
ENE,18,12,11.78,NA,0.250,3.85,33,9
ENE,18,13,14.85,NA,0.266,2.57,34,10
ENE,18,14,18.15,NA,0.295,2.16,34,11
ENE,18,15,22.50,NA,0.308,1.18,34,11
ENE,18,16,25.04,NA,0.303,3.18,34,11
ENE,18,17,26.45,NA,0.304,8.31,35,11
ENE,18,18,26.58,NA,0.341,12.80,34,11
ENE,18,19,25.26,NA,0.377,11.83,34,11
ENE,18,20,22.21,NA,0.385,8.63,33,11
ENE,18,21,19.30,NA,0.423,13.69,31,11
ENE,18,22,16.29,NA,0.473,17.03,32,11
ENE,18,23,13.09,NA,0.512,11.68,33,11
ENE,19,0,11.28,NA,0.511,6.46,34,11
ENE,19,1,9.39,0.86,0.511,7.01,35,12
ENE,19,2,7.91,0.88,0.528,11.86,36,12
ENE,19,3,6.66,0.87,0.511,11.68,36,13
ENE,19,4,6.09,0.86,0.501,16.07,37,13
ENE,19,5,5.67,0.85,0.476,14.43,38,14
ENE,19,6,5.25,0.87,0.444,15.54,38,14
ENE,19,7,4.07,0.92,0.452,16.35,40,15
ENE,19,8,2.77,0.95,0.511,15.63,41,16
ENE,19,9,2.81,1.02,0.569,17.99,43,16
ENE,19,10,4.46,1.16,0.582,21.29,44,18
ENE,19,11,7.41,1.22,0.628,20.89,46,19
ENE,19,12,11.16,1.19,0.669,19.04,46,20
ENE,19,13,15.59,1.17,0.672,10.60,45,19
ENE,19,14,20.67,1.15,0.643,7.42,44,19
ENE,19,15,26.15,1.15,0.603,6.85,44,18
ENE,19,16,30.55,1.16,0.552,7.21,44,18
ENE,19,17,34.51,1.16,0.495,10.72,43,19
ENE,19,18,35.24,1.14,0.448,10.02,43,18
ENE,19,19,32.39,1.14,0.443,20.89,42,18
ENE,19,20,28.64,1.16,0.550,33.83,43,18
ENE,19,21,24.22,1.23,0.757,33.78,45,18
ENE,19,22,19.68,1.27,0.832,24.13,46,19
