DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
AGO,5,4,13.36,2.23,0.032,8.8,17.1,1.65,268.11,15.07,84.65,625.6,2.75
AGO,5,5,4.15,1.88,0.072,16.05,24.5,1.78,168.15,14.94,87.04,625.55,2.71
AGO,5,6,7.32,1.28,0.102,16.76,18.27,1.5,213.81,14.85,85.73,625.68,10.2
AGO,5,7,5.25,1.43,0.242,19.06,26.9,1.53,111.14,14.63,88.25,626.07,20.07
AGO,5,8,5.8,2.16,0.252,16.95,38.5,1.71,137.64,15.86,86.16,626.39,85.8
AGO,5,9,9.81,2.93,0.192,17.35,35.99,2.1,141.51,18.27,80.94,626.65,273.54
AGO,5,10,18.92,6.59,0.132,8.43,49.75,2.74,111.01,21.67,66.58,626.47,573.46
AGO,5,11,24.98,4.34,0.132,5.47,26.9,3.02,96.43,22.98,57,626.21,700.69
AGO,5,12,36.89,2.99,0.152,4.76,36.18,3.15,105.6,23.98,52.99,625.76,834.28
AGO,5,13,44.7,3.01,0.092,1.7,31.34,3.25,125.16,25.54,44.66,625.17,1011.1
AGO,5,14,51.08,6.46,0.042,2,16.72,2.63,145.66,26.93,38.88,624.55,1010.51
AGO,5,15,54.88,10.79,0.022,2.13,19.53,2.5,167.42,27.86,35.73,623.78,951.7
AGO,5,16,48.13,11.67,0.012,4.34,25.96,2.78,120.35,28.24,33.86,622.88,772.39
AGO,5,17,47.64,12.71,0.022,5.25,22.69,2.6,142.78,27.88,35.81,622.34,462.67
AGO,5,18,48.1,11.52,0.052,3.62,26.08,2.64,140.36,27.83,37.05,622.29,276.35
AGO,5,19,51.87,8.13,0.202,6.91,45.54,4.01,248.55,24.58,48.11,622.6,27.46
AGO,5,20,44.36,3.81,0.172,7.29,86.32,5.59,302.47,17.02,77.98,623.88,6.42
AGO,5,21,32.68,2.1,0.302,14.06,36.69,4.41,0.02,16.41,90.56,625.07,11.18
AGO,5,22,34.03,5.25,0.182,5.8,35.27,3.41,177.32,15.3,94.08,625.78,6.21
AGO,5,23,28.08,3.83,0.352,12.8,8.97,2.07,287.21,15.3,94.67,625.97,6.21
AGO,6,0,16.04,3.48,0.272,20.89,25.64,2.29,117.84,15.46,96.23,626.31,6.16
AGO,6,1,2.94,3.67,0.222,35.08,41.48,2.03,122.52,14.9,96.68,625.96,9.99
AGO,6,2,6.39,2.6,0.172,25.37,41.43,2.28,113.15,14.61,96.44,625.42,9.32
AGO,6,3,5.9,4.09,0.192,23.82,29.46,1.65,30.28,14.5,96.33,624.79,12.3
AGO,6,4,7.13,8.03,0.182,18.95,24.57,1.24,201.51,14.28,97.17,624.7,4.44
AGO,6,5,5.53,7.8,0.242,18.07,22.68,1.98,290.65,14.12,97.39,624.58,5.56
AGO,6,6,2,6.29,0.272,21.53,33,1.65,131.41,13.9,97.9,624.71,2.73
AGO,6,7,2,7.2,0.332,20.31,38.07,1.66,134.51,13.52,98.18,624.76,11.65
AGO,6,8,2,7.51,0.342,15.81,37.45,2.03,138.08,14.58,98.44,624.95,121.13
AGO,6,9,3.93,7.8,0.362,19.1,46.38,2.7,121.56,18.32,90.83,625.19,374.69
AGO,6,10,11.44,5.79,0.292,12.38,34.98,2.51,138.69,21.13,83.79,625.22,588.1
AGO,6,11,19.65,6.33,0.252,13.93,32.03,2.55,117.87,23.23,72.34,625.08,795.8
AGO,6,12,31.35,5.38,0.192,6.29,33.62,2.18,126.42,24.93,59.62,624.83,938.8
AGO,6,13,37.91,4.75,0.162,4.16,19.9,2.28,129.12,26.11,49.94,624.36,1000.52
AGO,6,14,39.47,2.95,0.082,1.7,13.16,2.11,173.57,27.27,43.35,623.76,1001.29
AGO,6,15,42.65,8.82,0.062,1.93,15.03,2.02,141.6,28.22,36.01,623.04,949.1
