DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
AGOSTO,4,20,0.027,0.002,0.84,0.027,31,32,23.36,0.77,291.02,69.05,621.89
AGOSTO,4,21,0.03,0.002,0.77,0.025,21,30,22.73,0.47,294.5,69.19,622.43
AGOSTO,4,22,0.035,0.002,0.54,0.021,13,17,22.5,2.08,185.3,66.23,623.26
AGOSTO,4,23,0.039,0.002,0.49,0.021,12,15,21.43,1.02,163.51,61.42,623.64
AGOSTO,5,0,0.031,0.003,0.39,0.02,17,16,20.03,1.15,97.53,65.97,623.81
AGOSTO,5,1,0.033,0.004,0.3,0.018,18,9,19.49,1.35,108.73,68.99,623.8
AGOSTO,5,2,0.031,0.003,0.3,0.019,16,11,19.16,0.85,97.49,71.13,623.43
AGOSTO,5,3,0.023,0.003,0.28,0.021,22,13,18.51,1.88,99.78,75.66,623.2
AGOSTO,5,4,0.019,0.003,0.27,0.023,30,14,18.26,0.45,198.05,76.68,623.18
AGOSTO,5,5,0.01,0.004,0.29,0.03,26,21,18.27,0.83,149.24,76.66,623.5
AGOSTO,5,6,0.011,0.007,0.47,0.029,23,20,18.34,1.11,153.84,75.38,623.6
AGOSTO,5,7,0.009,0.011,0.61,0.027,36,9,17.85,1.03,114.99,76.38,623.64
AGOSTO,5,8,0.013,0.011,0.56,0.023,33,22,18.6,1.34,117.32,73.75,623.79
AGOSTO,5,9,0.02,0.032,0.44,0.021,34,26,21.13,1.21,95.85,65.42,623.85
AGOSTO,5,10,0.033,0.032,0.37,0.016,36,24,22.34,2.6,91.15,59.6,624.02
AGOSTO,5,11,0.043,0.015,0.38,0.014,33,23,23.04,3.43,109.9,55.88,624.12
AGOSTO,5,12,0.051,0.008,0.36,0.012,24,17,24.54,2.28,111.57,50.9,623.82
AGOSTO,5,13,0.053,0.01,0.38,0.013,23,17,26.31,2.38,110.37,44,623.14
AGOSTO,5,14,0.057,0.012,0.35,0.013,23,13,27.41,2.35,109.23,38.21,622.49
AGOSTO,5,15,0.062,0.015,0.46,0.014,22,18,28.37,1.93,133.2,35.02,621.9
AGOSTO,5,16,0.066,0.008,0.38,0.014,25,22,29.49,1.87,113.64,31.67,621.14
AGOSTO,5,17,0.062,0.014,0.35,0.014,27,21,29.14,4.13,109.15,31.08,620.55
AGOSTO,5,18,0.052,0.06,0.58,0.012,29,24,28.47,2.72,62.32,26.1,620.47
AGOSTO,5,19,0.046,0.008,0.33,0.015,13,8,28.44,2.01,48.25,28.61,620.52
AGOSTO,5,20,0.042,0.027,0.87,0.014,27,10,27.66,3.96,58.36,31.44,621.07
AGOSTO,5,21,0.033,0.004,0.32,0.014,24,17,25.7,3.9,49.29,40.25,621.58
AGOSTO,5,22,0.03,0.009,0.31,0.013,28,16,24.12,3.54,57.54,47.99,622.61
AGOSTO,5,23,0.028,0.012,0.38,0.014,25,23,22.3,3.76,87.31,55.58,623.49
AGOSTO,6,0,0.019,0.012,0.3,0.015,28,24,20.9,3.56,90.78,60.04,623.85
AGOSTO,6,1,0.018,0.066,0.54,0.019,25,25,19.92,3.36,89.58,58.15,623.83
AGOSTO,6,2,0.024,0.039,1.02,0.015,22,20,19.95,4.55,60.41,58.42,623.47
AGOSTO,6,3,0.028,0.027,1.04,0.015,21,16,19.69,3.08,53.45,56.22,623.1
AGOSTO,6,4,0.028,0.03,1.54,0.015,23,14,19.44,2.76,53.74,57.3,622.84
AGOSTO,6,5,0.023,0.019,0.38,0.018,26,21,18.45,1.19,92.84,61.95,623.13
AGOSTO,6,6,0.035,0.011,0.34,0.022,29,16,17.04,0.62,115.95,68.9,623.5
AGOSTO,6,7,0.013,0.02,0.47,0.023,43,17,16.85,0.82,98.47,71.54,623.61
AGOSTO,6,8,0.019,0.028,0.7,0.024,33,25,18.86,1,88.62,65.95,624.04
AGOSTO,6,9,0.031,0.133,0.38,0.016,33,27,20.68,4.43,78.35,61.04,624.06
AGOSTO,6,10,0.036,0.028,0.28,0.012,29,24,21.69,4.61,90.87,58.72,624.36
AGOSTO,6,11,0.043,0.026,0.45,0.013,37,31,23.1,3.2,83.3,53.79,624.25
AGOSTO,6,12,0.049,0.028,0.75,0.014,26,28,24.91,1.62,139.5,45.36,623.9
AGOSTO,6,13,0.051,0.011,0.51,0.017,26,21,25.97,1.2,177.07,41.51,623.51
AGOSTO,6,14,0.057,0.018,0.61,0.019,27,23,27.06,0.5,214.02,39.19,622.72
AGOSTO,6,15,0.063,0.02,0.63,0.017,28,26,28.06,0.74,205.4,37.5,621.95
AGOSTO,6,16,0.066,0.012,0.52,0.017,28,19,28.98,0.79,158.44,35.5,621.33
AGOSTO,6,17,0.063,0.01,0.53,0.018,36,23,27.8,2.8,159.24,39.26,620.87
AGOSTO,6,18,0.043,0.005,0.48,0.02,37,24,24.18,2.83,248.53,50.85,621.24
AGOSTO,6,19,0.043,0.003,0.57,0.022,30,16,22.45,2.92,238.64,54.97,621.97
AGOSTO,6,20,0.037,0.003,0.48,0.022,29,25,20.82,1.6,290.66,65.18,622.49
AGOSTO,6,21,0.033,0.003,0.51,0.025,20,19,20.73,1.15,251.27,65.82,623.23
AGOSTO,6,22,0.035,0.003,0.57,0.023,22,14,21.13,1.19,215.03,63.7,624
AGOSTO,6,23,0.039,0.002,0.44,0.02,18,18,20.67,1.24,196.62,66.68,624.81
AGOSTO,7,0,0.028,0.002,0.36,0.018,20,16,20.15,1.13,163.11,70.05,624.98
AGOSTO,7,1,0.018,0.003,0.46,0.028,23,10,19.5,0.48,249.85,72.63,624.65
AGOSTO,7,2,0.018,0.003,0.33,0.028,22,16,18.75,0.74,190.19,73.66,624.25
AGOSTO,7,3,0.016,0.028,0.41,0.024,15,18,19.11,0.46,112.61,65.43,624.12
AGOSTO,7,4,0.017,0.029,0.34,0.024,21,19,18.78,0.45,146.61,66.26,623.87
AGOSTO,7,5,0.017,0.02,0.27,0.022,17,14,18.17,0.45,131.09,70.07,623.83
AGOSTO,7,6,0.017,0.023,0.34,0.023,25,14,17.85,0.45,155.76,72.18,624.14
AGOSTO,7,7,0.013,0.012,0.48,0.022,23,20,17.39,0.45,159.77,74.27,624.47
AGOSTO,7,8,0.011,0.013,0.7,0.024,26,20,18.03,0.45,251.38,73.17,624.98
AGOSTO,7,9,0.023,0.017,0.75,0.021,23,12,20.65,2.45,153.27,63.85,625.24
AGOSTO,7,10,0.035,0.051,0.52,0.011,20,13,21.8,4.69,75.48,59.45,625.43
AGOSTO,7,11,0.039,0.04,0.28,0.009,19,18,22.91,4.7,73.26,56.27,625.27
AGOSTO,7,12,0.045,0.033,0.37,0.01,16,16,24.64,3.8,79.97,51.31,624.9
AGOSTO,7,13,0.048,0.02,0.33,0.011,20,16,25.95,3.83,101.16,45.38,624.26
AGOSTO,7,14,0.054,0.02,0.35,0.011,20,21,27.33,3.15,87.35,41.1,623.49
AGOSTO,7,15,0.056,0.025,0.51,0.011,20,25,28.31,3.83,72.47,36.71,622.66
AGOSTO,7,16,0.051,0.028,0.29,0.01,20,18,29.38,3.25,80.97,30.98,621.91
AGOSTO,7,17,0.048,0.037,0.45,0.01,19,18,29.97,2.54,92.97,26.94,621.35
AGOSTO,7,18,0.047,0.012,0.3,0.01,17,21,29.84,2.16,118.61,26.62,621.16
AGOSTO,7,19,0.037,0.006,0.45,0.017,20,9,28.16,1.23,244.44,36.24,621.47
AGOSTO,7,20,0.028,0.003,0.34,0.015,17,6,26.75,3.78,57.97,40.39,621.85
AGOSTO,7,21,0.028,0.002,0.29,0.011,19,5,24.96,5.36,52.79,47.64,622.53
