DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
ABR,7,1,14.57,57.58166667,5.23875,14.5275,NA
ABR,7,2,10.26,57.86958333,5.212083333,12.7225,NA
ABR,7,3,13.99,58.47958333,5.21125,11.06625,NA
ABR,7,4,14,59.06,4.995833333,10.09375,NA
ABR,7,5,9.4,58.27916667,4.5675,9.65,NA
ABR,7,6,7.11,55.70583333,4.17,9.15625,NA
ABR,7,7,12.17,52.41958333,3.870833333,8.18625,NA
ABR,7,8,14.3,49.46333333,3.632916667,7.42375,NA
ABR,7,9,13.06,47.12625,3.477916667,7.235,NA
ABR,7,10,5.65,48.04875,3.392173913,7.27375,NA
ABR,7,11,3.63,48.65625,3.359130435,8.7225,NA
ABR,7,12,1.71,47.86083333,3.363043478,10.73125,NA
ABR,7,13,2.47,48.30083333,3.39826087,12.87625,NA
ABR,7,14,2.02,51.85708333,3.457391304,15.3675,NA
ABR,7,15,1.89,51.34375,3.54826087,18.67,NA
ABR,7,16,1.55,50.51666667,3.669130435,22.675,NA
ABR,7,17,1.74,50.20291667,3.838695652,26.48,NA
ABR,7,18,2.68,50.27,4.045652174,30.01375,NA
ABR,7,19,5.36,50.11125,4.300434783,32.26,NA
ABR,7,20,15.23,50.24375,4.622173913,32.69,NA
ABR,7,21,21.19,52.2675,5.01,31.38,NA
ABR,7,22,23.18,55.24041667,5.466521739,29.335,NA
ABR,7,23,9.49,56.49875,5.876086957,28.51,NA
ABR,8,0,8.29,55.28708333,6.234347826,26.6775,NA
ABR,8,1,10.49,54.61083333,6.259565217,24.39,NA
ABR,8,2,11.41,53.96416667,6.237391304,21.6225,NA
ABR,8,3,12.1,53.66791667,6.220434783,18.94375,NA
ABR,8,4,12.27,52.63708333,6.151304348,17.44,NA
ABR,8,5,15.89,52.22333333,6.029130435,16.58125,NA
ABR,8,6,18.64,53.20458333,6.142173913,15.46375,NA
ABR,8,7,19.96,54.90875,6.18,12.55625,NA
