DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
MAY,2,16,2.02,60.23875,7.670833333,26.84625,NA
MAY,2,17,1.35,44.91708333,7.894166667,28.7725,NA
MAY,2,18,1.73,37.4,7.994583333,29.35125,NA
MAY,2,19,3.03,38.76416667,8.10875,29.235,NA
MAY,2,20,5,40.56708333,8.190416667,28.465,NA
MAY,2,21,4.83,41.34791667,8.2825,27.4425,NA
MAY,2,22,5.43,41.2625,8.352083333,26.0375,NA
MAY,2,23,5.42,39.46,8.43625,24.63125,NA
MAY,3,0,4.87,39.68291667,8.490416667,22.96875,NA
MAY,3,1,7.31,40.20958333,8.5375,21.33375,NA
MAY,3,2,5.78,41.03583333,8.537083333,19.9225,NA
MAY,3,3,4.33,42.01166667,8.524166667,19.0225,NA
MAY,3,4,3.85,42.7475,8.50125,18.72125,NA
MAY,3,5,5.84,42.85208333,8.4775,18.48375,NA
MAY,3,6,10.67,42.69125,8.44,17.85125,NA
MAY,3,7,13.48,42.22666667,8.350416667,16.9275,NA
MAY,3,8,10.91,41.44166667,8.230833333,16.355,NA
MAY,3,9,6.22,39.98583333,8.0525,16.71375,NA
MAY,3,10,5.3,39.37083333,7.992083333,17.83,NA
MAY,3,11,3.21,39.78666667,7.954583333,19.1525,NA
MAY,3,12,2.59,40.27125,7.920833333,20.505,NA
MAY,3,13,3.11,40.5975,6.756666667,21.83625,NA
MAY,3,14,3.7,40.62208333,5.267083333,23.62875,NA
MAY,3,15,2.91,40.47833333,4.445,25.67,NA
MAY,3,16,2.59,40.74125,3.88875,27.565,NA
MAY,3,17,3.35,41.34833333,3.733333333,28.80875,NA
MAY,3,18,4.9,42.01041667,3.711666667,29.275,NA
MAY,3,19,6.58,40.88375,3.680833333,29.1325,NA
MAY,3,20,4.55,40.98333333,3.66375,28.32375,NA
MAY,3,21,6.31,41.415,3.69625,27.48,NA
MAY,3,22,5.02,41.20625,3.840833333,26.7725,NA
MAY,3,23,6.43,39.83083333,4.2025,25.84,NA
MAY,4,0,8.51,38.745,4.261666667,24.5425,NA
MAY,4,1,8.6,37.7375,4.245833333,22.9375,NA
MAY,4,2,8.3,36.87791667,4.234166667,21.3775,NA
MAY,4,3,7.4,35.56583333,4.275,20.24875,NA
MAY,4,4,13.45,34.61875,4.334583333,18.78875,NA
MAY,4,5,17.33,34.395,4.41125,16.9725,NA
MAY,4,6,15.36,34.25541667,4.490833333,14.895,NA
MAY,4,7,22.71,34.06333333,4.56875,12.79375,NA
MAY,4,8,20.29,33.95708333,4.744166667,11.065,NA
MAY,4,9,19.36,34.86375,5.05875,10.41375,NA
MAY,4,10,8.18,35.54458333,5.10826087,11.46,NA
MAY,4,11,7.29,35.12333333,6.483043478,13.02875,NA
MAY,4,12,7.7,34.75541667,8.715652174,16.36,NA
MAY,4,13,9.88,35.18,11.70869565,21.83,NA
MAY,4,14,7.56,35.99291667,12.9126087,27.78625,NA
MAY,4,15,5.03,36.8725,13.20130435,33.27125,NA
MAY,4,16,5.26,36.76791667,13.24913043,37.975,NA
MAY,4,17,11.41,36.77833333,14.69347826,40.505,NA
MAY,4,18,16.42,36.79875,16.28478261,40.43375,NA
MAY,4,19,14.32,36.69041667,16.35826087,39.2275,NA
MAY,4,20,10.97,36.6925,16.92043478,37.04625,NA
MAY,4,21,10.46,35.11166667,17.57434783,33.27125,NA
MAY,4,22,7.76,34.88166667,17.47304348,29.04375,NA
MAY,4,23,3.76,35.87,17.12130435,25.7875,NA
MAY,5,0,5.73,36.07666667,17.0526087,23.195,NA
MAY,5,1,5.94,36.38958333,17.02130435,21.5425,NA
MAY,5,2,5.65,36.4375,17.02652174,20.94125,NA
MAY,5,3,5.1,36.975,17.0526087,20.7575,NA
MAY,5,4,NA,38.01541667,17.03695652,20.79875,NA
MAY,5,5,NA,37.20666667,17.01608696,20.65,NA
MAY,5,6,NA,37.095,17.63347826,19.8025,NA
MAY,5,7,NA,36.77875,17.92869565,18.23125,NA
MAY,5,8,NA,36.42708333,17.89,16.465,NA
MAY,5,9,NA,35.605,17.97652174,16.15,NA
MAY,5,10,NA,34.51583333,17.51916667,16.585,NA
MAY,5,11,NA,34.12833333,16.28416667,17.4,NA
MAY,5,12,NA,33.68708333,14.2025,18.28375,NA
MAY,5,13,NA,32.31666667,11.39041667,19.47875,NA
