DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
FEB,11,9,13.37,24.02666667,6.310416667,0.22625,NA
FEB,11,10,13.04,24.86791667,6.237083333,0.46,NA
FEB,11,11,15,25.9075,6.120833333,1.02375,NA
FEB,11,12,10.73,26.645,6.00875,1.945,NA
FEB,11,13,7.64,26.93166667,6,3.24875,NA
FEB,11,14,4.74,27.15833333,5.995416667,4.81375,NA
FEB,11,15,4.29,26.99166667,5.968333333,6.41125,NA
FEB,11,16,4.2,26.6925,5.963333333,8.0475,NA
FEB,11,17,4.29,26.66541667,5.961666667,9.56375,NA
FEB,11,18,5.64,26.42125,5.963333333,10.9575,NA
FEB,11,19,11.18,26.095,5.968333333,11.39375,NA
FEB,11,20,15.53,25.41208333,5.984166667,10.84125,NA
FEB,11,21,19.7,25.28958333,6.012083333,9.6275,NA
FEB,11,22,20.23,25.8175,6.073333333,8.09,NA
FEB,11,23,17.78,28.25208333,6.210833333,6.505,NA
FEB,12,0,16.79,29.62875,6.265416667,5.531428571,NA
FEB,12,1,17.11,30.06583333,6.254583333,3.684285714,NA
FEB,12,2,16.53,29.20416667,6.197083333,2.108333333,NA
FEB,12,3,15.44,28.63833333,6.083333333,0.806666667,NA
FEB,12,4,15.48,28.79208333,6.0125,NA,NA
FEB,12,5,15.43,29.03625,6.002083333,NA,NA
FEB,12,6,16.59,29.58791667,6.025833333,NA,NA
FEB,12,7,16.08,30.43375,6.056666667,NA,NA
FEB,12,8,15.24,31.32958333,6.069166667,NA,NA
FEB,12,9,15.85,32.36333333,6.04625,NA,NA
FEB,12,10,16.08,33.34583333,6.0175,NA,NA
FEB,12,11,11.75,34.88666667,5.930416667,NA,NA
FEB,12,12,10.04,35.935,5.848333333,4.531666667,NA
FEB,12,13,7.84,36.49666667,5.807083333,7.263333333,NA
FEB,12,14,4.95,37.22,5.788333333,8.91,NA
FEB,12,15,3.72,37.59875,5.755,10.1325,NA
FEB,12,16,3.03,37.93083333,5.702916667,12.43875,NA
FEB,12,17,4.02,38.33,5.748333333,14.7125,NA
FEB,12,18,8.76,39.175,6.37,16.46375,NA
FEB,12,19,17.93,39.77375,6.841666667,17.09,NA
FEB,12,20,31.11,41.21583333,7.015416667,16.27375,NA
FEB,12,21,23.46,44.41875,7.563333333,14.7875,NA
FEB,12,22,11.36,44.66708333,8.06125,13.245,NA
FEB,12,23,9.41,42.3125,8.147083333,11.7725,NA
FEB,13,0,10.42,40.52958333,8.528333333,10.27,NA
FEB,13,1,8.66,40.0825,8.884583333,8.73375,NA
FEB,13,2,8.37,39.71958333,8.820416667,7.37,NA
FEB,13,3,7.18,39.34708333,8.705,6.30875,NA
FEB,13,4,7.02,38.975,8.73,6.225,NA
FEB,13,5,5.59,38.60916667,8.614583333,6.42375,NA
FEB,13,6,5.12,37.58708333,8.4,6.36,NA
FEB,13,7,8.63,36.60958333,8.417916667,6.02375,NA
FEB,13,8,10.63,36.17333333,8.665416667,5.4875,NA
FEB,13,9,8.83,34.84958333,9.174583333,5.16125,NA
FEB,13,10,7.22,33.82958333,9.568333333,5.17,NA
FEB,13,11,6.88,32.71416667,10.03416667,5.50375,NA
FEB,13,12,7.56,32.11916667,10.48291667,5.93875,NA
FEB,13,13,5.41,31.78375,10.475,6.7125,NA
FEB,13,14,4.98,31.18,10.41833333,7.83625,NA
FEB,13,15,5.04,31.42416667,10.34333333,9.21,NA
FEB,13,16,5.42,31.91541667,10.31041667,10.8825,NA
FEB,13,17,7.22,32.29125,10.69458333,12.44125,NA
FEB,13,18,8.97,32.415,11.21083333,13.43375,NA
FEB,13,19,8.02,32.87375,12.27,13.80625,NA
FEB,13,20,8.19,32.16625,14.5525,13.7425,NA
FEB,13,21,5.43,29.12375,14.13708333,13.1775,NA
FEB,13,22,5.03,28.01916667,14.32083333,12.22875,NA
FEB,13,23,5.86,27.98833333,14.55666667,11.13375,NA
FEB,14,0,6.71,27.89166667,14.44625,9.87,NA
FEB,14,1,6.41,27.07208333,14.51375,8.4925,NA
FEB,14,2,5.78,27.15208333,15.03958333,7.35,NA
FEB,14,3,5.05,26.81208333,15.3875,6.75875,NA
FEB,14,4,5.21,26.69125,16.30458333,6.4075,NA
FEB,14,5,5.94,26.105,16.51541667,6.14375,NA
FEB,14,6,5.65,26.10541667,16.85416667,5.92375,NA
FEB,14,7,9.28,25.595,16.85125,5.67,NA
FEB,14,8,11.66,25.28458333,16.82291667,5.20875,NA
FEB,14,9,9.6,25.33416667,16.82583333,4.87875,NA
FEB,14,10,6.64,25.19833333,17.29958333,4.87375,NA
FEB,14,11,5.78,24.75916667,17.15416667,5.0075,NA
FEB,14,12,6.35,24.245,17.13916667,5.42,NA
FEB,14,13,NA,24.21666667,17.68652174,5.37,NA
FEB,14,14,4.59,26.93833333,18.29086957,5.335,NA
FEB,14,15,2.29,26.765,18.8626087,8.908333333,NA
FEB,14,16,5.5,27.285,20.51391304,13.295,NA
FEB,14,17,10.43,28.305,23.81347826,17.22166667,NA
FEB,14,18,8.5,28.72541667,24.49869565,19.755,NA
FEB,14,19,14.15,28.61916667,24.6026087,21.74,NA
FEB,14,20,36.61,29.825,23.23043478,21.12166667,NA
FEB,14,21,9.09,31.22333333,23.63391304,19.64285714,NA
FEB,14,22,8.64,31.48583333,23.63608696,18.39625,NA
FEB,14,23,8.58,31.59958333,23.72,16.29,NA
FEB,15,0,7.24,31.90083333,24.00304348,13.88625,NA
FEB,15,1,5.96,32.53458333,24.25913043,11.6975,NA
FEB,15,2,6.36,32.515,24.62782609,10.20375,NA
FEB,15,3,6.71,32.93708333,25.30565217,8.78875,NA
