DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
AGO,13,22,10.49,9.036363636,3.461666667,25.10125,NA
AGO,13,23,10.56,8.500454545,3.283333333,23.3675,NA
AGO,14,0,8.99,8.337272727,3.14625,21.92,NA
AGO,14,1,11.96,8.079545455,3.099583333,20.00125,NA
AGO,14,2,14.68,8.190454545,3.118333333,17.6725,NA
AGO,14,3,15.9,8.526363636,3.1475,15.32375,NA
AGO,14,4,22.52,8.807272727,3.19,14.04285714,NA
AGO,14,5,22.95,9.305454545,3.323333333,12.35333333,NA
AGO,14,6,22.97,9.808181818,3.480833333,NA,NA
AGO,14,7,20.17,11.89045455,3.656666667,NA,NA
AGO,14,8,17.53,12.53695652,3.8375,NA,NA
AGO,14,9,7.86,12.67708333,3.99375,NA,NA
AGO,14,10,4.52,13.17,4.07375,NA,NA
AGO,14,11,3.85,13.52583333,4.14375,NA,NA
AGO,14,12,5.04,13.90125,4.159583333,NA,NA
AGO,14,13,4.22,14.67583333,4.191666667,NA,NA
AGO,14,14,1.52,15.40791667,4.234166667,22.25,NA
AGO,14,15,0.89,15.70166667,4.288333333,23.59571429,NA
AGO,14,16,0.69,15.72541667,4.354583333,24.52,NA
AGO,14,17,5,16.79,4.425,27.26625,NA
AGO,14,18,5.54,17.86875,4.495,28.36,NA
AGO,14,19,13.55,18.06333333,4.574583333,27.8775,NA
AGO,14,20,23.56,17.55333333,4.674166667,25.515,NA
AGO,14,21,27.47,17.82333333,4.80625,22.065,NA
AGO,14,22,26.46,18.52541667,4.985416667,18.44875,NA
AGO,14,23,26.16,19.3575,5.136666667,16.56,NA
AGO,15,0,14.95,20.22708333,5.287916667,13.46857143,NA
AGO,15,1,20.62,21.04333333,5.32875,10.17857143,NA
AGO,15,2,22.15,21.71416667,5.3075,7.22,NA
AGO,15,3,11.75,21.92458333,5.293333333,6.127142857,NA
AGO,15,4,16.71,22.40458333,5.308333333,5.971428571,NA
AGO,15,5,18.68,22.73458333,5.252083333,5.92,NA
AGO,15,6,22.16,23.20125,5.172083333,6.093333333,NA
AGO,15,7,21.3,22.56875,5.069166667,6.093333333,NA
AGO,15,8,24.45,22.43916667,4.965416667,NA,NA
AGO,15,9,20.49,23.33583333,4.915,NA,NA
AGO,15,10,8.12,23.35375,4.957916667,NA,NA
