DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,4,16,0.0554205,0.038657679,0.001897165,0.655691625,23,21
MARZO,4,17,0.057420033,0.044500644,0.001901523,0.60025075,26,20
MARZO,4,18,0.05404935,0.048707552,0.001894149,0.545698625,25,21
MARZO,4,19,0.0375289,0.048835625,0.001880664,0.536334875,26,19
MARZO,4,20,0.011634402,0.044785029,0.001888488,0.666533,31,18
MARZO,4,21,0.018082367,0.041482815,0.001873606,0.71361925,38,19
MARZO,4,22,0.015700067,0.037564,0.001881102,0.762120125,43,20
MARZO,4,23,0.011268988,0.032638076,0.001914386,0.82515325,45,22
MARZO,5,0,0.011648095,0.027166525,0.001932152,0.90396,51,26
MARZO,5,1,0.015589135,0.021937663,0.001986782,0.945550625,53,29
MARZO,5,2,0.026804545,0.018532062,0.00217282,0.978785,56,30
MARZO,5,3,0.009247828,0.014996928,0.002336225,0.99217275,51,29
MARZO,5,4,0.02279367,0.016391837,0.002572378,0.86384525,49,28
MARZO,5,5,0.013695183,0.015843439,0.002604023,0.810978625,47,27
MARZO,5,6,0.012181955,0.015403675,0.002671117,0.74981875,47,27
MARZO,5,7,0.014195317,0.015769466,0.003548085,0.688129375,48,25
MARZO,5,8,0.010834193,0.015667728,0.003950996,0.667305125,49,25
MARZO,5,9,0.019155887,0.016113572,0.004765103,0.6728505,49,27
MARZO,5,10,0.0292951,0.016424892,0.009563411,0.658944625,52,30
MARZO,5,11,0.039742867,0.020236772,0.011357604,0.637920875,55,37
MARZO,5,12,0.05115135,0.023781482,0.012961254,0.633987,54,40
MARZO,5,13,0.067837667,0.030549292,0.013346315,0.631816625,45,35
MARZO,5,14,0.06472865,0.037117629,0.013417599,0.62246625,37,31
MARZO,5,15,0.061713333,0.043057381,0.013464989,0.605398125,31,28
MARZO,5,16,0.058331817,0.048994584,0.013515953,0.552397375,28,25
MARZO,5,17,0.0632455,0.054505786,0.013562388,0.498042,26,24
MARZO,5,18,0.0652302,0.058997673,0.013597004,0.475627,27,24
MARZO,5,19,0.0508989,0.060392177,0.013627351,0.469616375,27,24
MARZO,5,20,0.016810528,0.056099574,0.01363352,0.558609875,29,21
MARZO,5,21,0.007839305,0.048599779,0.013721391,0.737264375,36,20
MARZO,5,22,0.02056695,0.043079567,0.01373284,0.781937125,48,22
MARZO,5,23,0.01744325,0.037545806,0.013728268,0.8206275,46,24
MARZO,6,0,0.008290027,0.031290583,0.01373286,0.85155125,43,24
MARZO,6,1,0.007322898,0.024300257,0.013661371,0.901126875,47,24
MARZO,6,2,0.020224063,0.01867449,0.014140383,0.926877375,49,24
MARZO,6,3,0.03149085,0.016248484,0.01451099,0.93808775,46,25
MARZO,6,4,0.011385052,0.015570299,0.014429356,0.86205,45,27
MARZO,6,5,0.007654487,0.015547197,0.014470502,0.675606125,41,26
MARZO,6,6,0.02488991,0.016087567,0.014566885,0.640480875,39,24
MARZO,6,7,0.020726183,0.016497934,0.013922306,0.697730875,40,24
MARZO,6,8,0.00968845,0.016672737,0.013707505,0.887544,62,25
MARZO,6,9,0.009940765,0.01699997,0.013143201,0.9483375,66,27
MARZO,6,10,0.02429185,0.017508443,0.008568113,0.978364375,70,32
MARZO,6,11,0.033496233,0.017759116,0.006879218,1.001235625,67,35
MARZO,6,12,0.049632,0.022539985,0.005323568,0.99515,51,33
MARZO,6,13,0.05870485,0.02892128,0.004971226,1.006605,43,28
MARZO,6,14,0.06454775,0.03387851,0.004925812,1.014621875,40,25
MARZO,6,15,0.069417833,0.039964966,0.004903843,0.934769875,36,25
MARZO,6,16,0.062665233,0.046587064,0.004886744,0.7354565,37,25
MARZO,6,17,0.059161467,0.052739652,0.004868633,0.646188375,37,25
MARZO,6,18,0.053028767,0.056331767,0.004856425,0.6314115,35,26
MARZO,6,19,0.03884525,0.057000394,0.004861887,0.655864,36,25
MARZO,6,20,0.016821505,0.052899082,0.004867089,0.770204,43,23
MARZO,6,21,0.010913515,0.046925165,0.00481854,0.88979025,63,22
MARZO,6,22,0.025953872,0.04210093,0.004826477,0.911676125,65,22
MARZO,6,23,0.03718075,0.038071295,0.009270082,0.92122125,60,23
MARZO,7,0,0.04099225,0.035362172,0.013349927,0.8916515,64,26
MARZO,7,1,0.0397841,0.032940001,0.016274534,0.86621175,57,30
MARZO,7,2,0.038248233,0.031092434,0.017519651,0.818645875,51,31
MARZO,7,3,0.026913417,0.029600955,0.017642998,0.74012425,48,30
