DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,
ABRIL,5,23,0.031,0.043,0.002,0.766,42,28,0.014,,
ABRIL,6,0,0.028,0.038,0.003,0.764,42,27,0.013,,
ABRIL,6,1,0.018,0.032,0.004,0.771,45,27,0.021,,
ABRIL,6,2,0.015,0.027,0.004,0.765,42,29,0.021,,
ABRIL,6,3,0.012,0.022,0.004,0.733,42,28,0.022,,
ABRIL,6,4,0.013,0.021,0.004,0.631,37,28,0.021,,
ABRIL,6,5,0.016,0.020,0.004,0.549,38,27,0.022,,
ABRIL,6,6,0.014,0.018,0.004,0.506,37,26,0.020,,
ABRIL,6,7,0.017,0.017,0.004,0.512,36,25,0.024,,
ABRIL,6,8,0.012,0.015,0.004,0.621,44,26,0.028,,
ABRIL,6,9,0.021,0.015,0.004,0.663,55,30,0.022,,
ABRIL,6,10,0.045,0.019,0.005,0.706,54,34,0.015,,
ABRIL,6,11,0.067,0.026,0.007,0.747,57,41,0.011,,
ABRIL,6,12,0.072,0.033,0.007,0.755,52,46,0.006,,
ABRIL,6,13,0.064,0.039,0.007,0.767,43,39,0.006,,
ABRIL,6,14,0.059,0.045,0.007,0.778,36,34,0.005,,
ABRIL,6,15,0.051,0.049,NA,0.792,39,30,0.006,,
ABRIL,6,16,0.055,0.054,NA,0.663,37,18,0.006,,
ABRIL,6,17,0.052,0.058,NA,0.593,38,12,0.006,,
ABRIL,6,18,0.046,0.058,NA,0.528,40,7,0.007,,
ABRIL,6,19,0.047,0.056,NA,0.480,49,7,0.009,,
ABRIL,6,20,0.039,0.052,NA,0.496,53,NA,0.012,,
ABRIL,6,21,0.034,0.048,NA,0.499,49,NA,0.010,,
ABRIL,6,22,0.034,0.045,NA,0.503,43,26,0.009,,
ABRIL,6,23,0.031,0.042,NA,0.498,40,27,0.006,,
ABRIL,7,0,0.026,0.039,NA,0.509,34,26,0.011,,
ABRIL,7,1,0.022,0.035,NA,0.506,30,24,0.008,,
ABRIL,7,2,0.026,0.032,NA,0.501,30,23,0.007,,
ABRIL,7,3,0.025,0.030,NA,0.485,31,22,0.006,,
ABRIL,7,4,0.025,0.028,NA,0.463,31,31,0.006,,
ABRIL,7,5,0.021,0.026,NA,0.444,27,29,0.007,,
ABRIL,7,6,0.021,0.025,NA,0.424,26,25,0.007,,
ABRIL,7,7,0.014,0.022,NA,0.426,26,28,0.011,,
ABRIL,7,8,0.016,0.021,NA,0.431,23,27,0.016,,
ABRIL,7,9,0.023,0.021,NA,0.460,27,25,0.014,,
ABRIL,7,10,0.032,0.022,NA,0.470,28,28,0.005,,
ABRIL,7,11,0.043,0.024,NA,0.479,26,29,0.004,,
ABRIL,7,12,0.051,0.028,NA,0.478,26,27,0.004,,
ABRIL,7,13,0.051,0.031,NA,0.485,24,24,0.005,,
ABRIL,7,14,0.055,0.036,NA,0.494,23,61,0.005,,
ABRIL,7,15,0.057,0.041,0.018,0.489,23,75,0.004,,
ABRIL,7,16,0.059,0.046,0.018,0.469,23,65,0.003,,
ABRIL,7,17,0.053,0.050,0.018,0.433,22,57,0.003,,
ABRIL,7,18,0.049,0.052,0.018,0.422,23,47,0.005,,
ABRIL,7,19,0.045,0.052,0.018,0.414,28,41,0.005,,
ABRIL,7,20,0.036,0.051,0.018,0.431,32,38,0.009,,
ABRIL,7,21,0.038,0.049,0.018,0.443,38,34,0.008,,
ABRIL,7,22,0.031,0.046,0.018,0.466,35,29,0.010,,
ABRIL,7,23,0.030,0.043,0.018,0.478,29,26,0.009,,
ABRIL,8,0,0.031,0.039,0.018,0.489,28,23,0.008,,
ABRIL,8,1,0.026,0.036,0.017,0.502,22,19,0.009,,
ABRIL,8,2,0.026,0.033,0.017,0.507,22,18,0.008,,
ABRIL,8,3,0.020,0.030,0.013,0.516,28,19,0.013,,
ABRIL,8,4,0.019,0.028,0.012,0.495,31,22,0.011,,
ABRIL,8,5,0.015,0.025,0.013,0.475,36,25,0.012,,
ABRIL,8,6,0.018,0.023,0.012,0.447,32,23,0.008,,
ABRIL,8,7,0.020,0.022,0.011,0.433,28,18,0.007,,
ABRIL,8,8,0.020,0.021,0.013,0.425,28,19,0.008,,
ABRIL,8,9,0.026,0.020,0.014,0.425,89,23,0.009,,
ABRIL,8,10,0.034,0.021,0.014,0.429,89,29,0.006,,
ABRIL,8,11,0.046,0.025,0.014,0.432,NA,26,0.005,,
ABRIL,8,12,0.056,0.029,0.015,0.450,NA,24,0.005,,
ABRIL,8,13,0.060,0.035,0.015,0.474,63,23,0.008,,
ABRIL,8,14,0.064,0.041,0.016,0.497,44,25,0.009,,
ABRIL,8,15,0.069,0.047,0.016,0.490,40,27,0.004,,
ABRIL,8,16,0.064,0.052,0.016,0.481,32,28,0.003,,
ABRIL,8,17,0.061,0.057,0.016,0.476,26,28,0.004,,
ABRIL,8,18,0.065,0.061,0.016,0.462,25,26,0.003,,
ABRIL,8,19,0.055,0.062,0.016,0.462,26,26,0.009,,
ABRIL,8,20,0.037,0.059,0.016,0.479,26,25,0.017,,
ABRIL,8,21,0.032,0.056,0.016,0.516,27,21,0.019,,
ABRIL,8,22,0.033,0.052,0.016,0.515,31,20,0.010,,
ABRIL,8,23,0.038,0.048,0.016,0.526,27,16,0.005,,
ABRIL,9,0,0.029,0.044,0.017,0.552,25,14,0.008,,
ABRIL,9,1,0.022,0.039,0.018,0.569,32,15,0.010,,
ABRIL,9,2,0.033,0.035,0.018,0.569,28,18,0.003,,
ABRIL,9,3,0.029,0.032,0.018,0.551,21,16,0.003,,
ABRIL,9,4,0.021,0.030,0.017,0.515,21,13,0.007,,
ABRIL,9,5,0.020,0.028,0.015,0.450,23,14,0.005,,
ABRIL,9,6,0.014,0.026,0.014,0.427,20,12,0.010,,
ABRIL,9,7,0.018,0.023,0.014,0.418,19,10,0.006,,
ABRIL,9,8,0.024,0.023,0.012,0.405,17,15,0.007,,
ABRIL,9,9,0.028,0.023,0.010,0.393,20,20,0.005,,
ABRIL,9,10,0.037,0.024,0.010,0.425,25,23,0.004,,
ABRIL,9,11,0.051,0.027,0.010,0.499,26,28,0.006,,
ABRIL,9,12,0.058,0.031,0.010,0.531,26,29,0.004,,
ABRIL,9,13,0.059,0.036,0.009,0.547,25,26,0.004,,
ABRIL,9,14,0.056,0.041,0.009,0.567,23,24,0.006,,
ABRIL,9,15,0.056,0.046,0.008,0.578,22,24,0.003,,
ABRIL,9,16,0.055,0.050,0.008,0.576,22,25,0.003,,
ABRIL,9,17,0.052,0.053,0.008,0.567,23,26,0.002,,
ABRIL,9,18,0.051,0.055,0.008,0.546,23,23,0.004,,
ABRIL,9,19,0.052,0.055,0.008,0.472,23,21,0.003,,
ABRIL,9,20,0.031,0.052,0.008,0.494,24,21,0.020,,
ABRIL,9,21,0.018,0.047,0.008,0.582,30,20,0.027,,
ABRIL,9,22,0.019,0.042,0.008,0.630,40,22,0.021,,
ABRIL,9,23,0.033,0.039,0.009,0.636,40,21,0.004,,
ABRIL,10,0,0.033,0.036,0.011,0.669,33,17,0.002,,
ABRIL,10,1,0.032,0.034,0.012,0.887,32,15,0.003,,
ABRIL,10,2,0.034,0.032,0.012,0.868,24,15,0.001,,
ABRIL,10,3,0.035,0.029,0.012,0.856,18,14,NA,,
ABRIL,10,4,0.035,0.030,0.012,0.781,14,13,NA,,
ABRIL,10,5,0.032,0.032,0.012,0.667,11,12,0.002,,
ABRIL,10,6,0.026,0.032,0.016,0.586,17,14,0.007,,
ABRIL,10,7,0.028,0.032,0.020,0.559,23,26,0.006,,
ABRIL,10,8,0.028,0.031,0.024,0.514,22,28,0.006,,
ABRIL,10,9,0.032,0.031,0.030,0.298,22,25,0.004,,
ABRIL,10,10,0.033,0.031,0.031,0.315,21,23,0.004,,
ABRIL,10,11,0.034,0.031,0.032,0.340,24,23,0.005,,
ABRIL,10,12,0.043,0.032,0.034,0.406,25,21,0.006,,
ABRIL,10,13,0.054,0.035,0.035,0.499,27,22,0.008,,
ABRIL,10,14,0.053,0.038,0.036,0.568,26,25,0.008,,
ABRIL,10,15,0.052,0.041,0.036,0.601,26,24,0.006,,
ABRIL,10,16,0.056,0.045,0.036,0.628,21,21,0.007,,
ABRIL,10,17,0.057,0.048,0.037,0.641,23,22,0.005,,
ABRIL,10,18,0.054,0.050,0.037,0.638,25,22,0.004,,
ABRIL,10,19,0.057,0.053,0.037,0.630,31,20,0.003,,
ABRIL,10,20,0.043,0.053,0.037,0.584,31,22,0.005,,
ABRIL,10,21,0.034,0.051,0.038,0.586,29,20,0.005,,
ABRIL,10,22,0.032,0.048,0.044,0.718,28,19,0.005,,
ABRIL,10,23,0.032,0.045,0.045,0.773,25,18,0.004,,
ABRIL,11,0,0.031,0.042,0.044,0.841,20,16,0.003,,
ABRIL,11,1,0.032,0.039,0.043,0.849,19,14,0.002,,
ABRIL,11,2,0.031,0.036,0.043,0.834,13,13,0.001,,
ABRIL,11,3,0.031,0.033,0.043,0.817,12,12,0.001,,
ABRIL,11,4,0.031,0.032,0.043,0.801,11,9,0.001,,
ABRIL,11,5,0.028,0.031,0.044,0.715,9,7,0.002,,
ABRIL,11,6,0.028,0.030,0.041,0.555,11,12,0.004,,
ABRIL,11,7,0.016,0.028,0.038,0.490,12,12,0.012,,
ABRIL,11,8,0.022,0.027,0.034,0.412,11,13,0.009,,
ABRIL,11,9,0.031,0.027,0.030,0.393,13,15,0.002,,
ABRIL,11,10,0.033,0.027,0.031,0.467,13,13,0.002,,
ABRIL,11,11,0.037,0.028,0.030,0.553,14,11,0.002,,
ABRIL,11,12,0.041,0.029,0.029,0.582,13,11,0.002,,
ABRIL,11,13,0.045,0.032,0.028,0.614,12,12,0.002,,
ABRIL,11,14,0.047,0.034,0.028,0.601,16,14,0.003,,
ABRIL,11,15,0.050,0.038,0.029,0.585,18,18,0.004,,
ABRIL,11,16,0.058,0.043,0.029,0.569,22,19,0.004,,
ABRIL,11,17,0.057,0.046,0.029,0.567,29,21,0.004,,
ABRIL,11,18,0.049,0.048,0.030,0.527,34,23,0.003,,
ABRIL,11,19,0.037,0.048,0.030,0.457,60,24,0.006,,
ABRIL,11,20,0.025,0.046,0.031,0.526,35,21,0.014,,
ABRIL,11,21,0.029,0.044,0.030,0.485,24,17,0.009,,
ABRIL,11,22,0.034,0.042,0.026,0.582,18,14,0.006,,
ABRIL,11,23,0.037,0.041,0.026,0.699,14,13,0.005,,
ABRIL,12,0,0.035,0.038,0.027,0.743,12,13,0.005,,
ABRIL,12,1,0.031,0.035,0.028,0.790,8,12,0.005,,
ABRIL,12,2,0.033,0.033,0.028,0.753,6,12,0.003,,
ABRIL,12,3,0.033,0.032,0.031,0.760,5,11,0.004,,
ABRIL,12,4,0.028,0.033,0.033,0.665,8,10,0.007,,
ABRIL,12,5,0.025,0.032,0.032,0.663,12,8,0.008,,
ABRIL,12,6,0.019,0.030,0.033,0.541,22,12,0.010,,
ABRIL,12,7,0.012,0.027,0.033,0.426,27,13,0.015,,
ABRIL,12,8,0.015,0.025,0.034,0.393,23,15,0.015,,
ABRIL,12,9,0.023,0.024,0.035,0.350,26,20,0.013,,
ABRIL,12,10,0.031,0.023,0.035,0.367,26,28,0.010,,
ABRIL,12,11,0.036,0.024,0.036,0.365,25,30,0.012,,
ABRIL,12,12,0.050,0.026,0.036,0.384,22,29,0.007,,
ABRIL,12,13,0.062,0.031,0.035,0.405,22,24,0.006,,
ABRIL,12,14,0.063,0.037,0.034,0.424,19,19,0.007,,
ABRIL,12,15,0.062,0.043,0.034,0.430,16,16,0.006,,
ABRIL,12,16,0.058,0.048,0.033,0.428,15,17,0.007,,
ABRIL,12,17,0.052,0.052,0.033,0.434,19,18,0.008,,
ABRIL,12,18,0.050,0.054,0.032,0.449,21,17,0.009,,
ABRIL,12,19,0.041,0.055,0.032,0.482,22,18,0.016,,
ABRIL,12,20,0.031,0.053,0.031,0.535,26,18,0.020,,
ABRIL,12,21,0.044,0.050,NA,0.547,28,13,0.006,,
ABRIL,12,22,0.032,0.046,NA,0.577,29,13,0.013,,
ABRIL,12,23,0.031,0.042,NA,0.599,31,NA,0.011,,
ABRIL,13,0,0.030,0.039,NA,0.602,18,NA,0.011,,
ABRIL,13,1,0.028,0.036,NA,0.582,15,16,0.009,,
ABRIL,13,2,0.021,0.032,NA,0.556,16,16,0.013,,
ABRIL,13,3,0.021,0.030,NA,0.502,17,16,0.013,,
ABRIL,13,4,0.013,0.028,NA,0.428,21,15,0.018,,
ABRIL,13,5,0.016,0.024,NA,0.415,18,14,0.015,,
ABRIL,13,6,0.010,0.021,NA,0.380,17,13,0.018,,
ABRIL,13,7,0.008,0.018,NA,0.374,18,13,0.021,,
ABRIL,13,8,0.014,0.016,NA,0.412,23,14,0.023,,
ABRIL,13,9,0.019,0.015,NA,0.466,27,17,0.018,,
ABRIL,13,10,0.037,0.017,NA,0.507,29,22,0.009,,
ABRIL,13,11,0.042,0.020,NA,0.539,28,19,0.008,,
ABRIL,13,12,0.040,0.023,NA,0.564,26,16,0.008,,
ABRIL,13,13,0.043,0.027,NA,0.581,20,16,0.009,,
ABRIL,13,14,0.044,0.031,NA,0.585,25,NA,0.006,,
ABRIL,13,15,0.044,0.035,NA,0.570,29,NA,0.007,,
ABRIL,13,16,0.047,0.040,NA,0.531,31,24,0.007,,
ABRIL,13,17,0.049,0.043,NA,0.490,36,27,0.007,,
ABRIL,13,18,0.047,0.044,NA,0.468,33,29,0.009,,
ABRIL,13,19,0.042,0.044,NA,0.466,33,28,0.011,,
ABRIL,13,20,0.031,0.043,NA,0.491,34,26,0.017,,
ABRIL,13,21,0.026,0.041,0.012,0.525,42,25,0.018,,
ABRIL,13,22,0.039,0.041,0.012,0.550,47,24,0.013,,
ABRIL,13,23,0.041,0.040,0.011,0.554,44,23,0.007,,
ABRIL,14,0,0.031,0.038,0.008,0.548,39,25,0.008,,
ABRIL,14,1,0.034,0.036,0.006,0.553,37,24,0.007,,
ABRIL,14,2,0.031,0.034,0.006,0.552,34,25,0.008,,
ABRIL,14,3,0.022,0.032,0.005,0.538,33,25,0.013,,
ABRIL,14,4,0.010,0.029,0.004,0.508,32,24,0.023,,
ABRIL,14,5,0.010,0.027,0.003,0.479,33,26,0.022,,
ABRIL,14,6,0.010,0.024,0.003,0.477,33,25,0.022,,
ABRIL,14,7,0.009,0.020,0.003,0.515,36,26,0.023,,
ABRIL,14,8,0.009,0.017,NA,0.532,37,26,0.023,,
ABRIL,14,9,0.029,0.016,NA,0.542,40,NA,0.018,,
ABRIL,14,10,0.037,0.017,NA,NA,42,NA,0.018,,
ABRIL,14,11,0.039,0.019,NA,NA,41,32,0.010,,
ABRIL,14,12,0.043,0.023,NA,NA,33,32,0.008,,
ABRIL,14,13,0.048,0.028,NA,NA,28,29,0.006,,
ABRIL,14,14,0.047,0.033,NA,NA,23,24,0.007,,
ABRIL,14,15,0.042,0.037,NA,NA,21,22,0.008,,
ABRIL,14,16,0.040,0.041,NA,NA,22,18,0.008,,
ABRIL,14,17,0.042,0.042,NA,NA,23,18,0.008,,
ABRIL,14,18,0.040,0.043,NA,NA,23,13,0.010,,
ABRIL,14,19,0.040,0.043,NA,NA,25,16,0.007,,
ABRIL,14,20,0.027,0.041,NA,NA,28,18,0.016,,
ABRIL,14,21,0.028,0.038,NA,0.557,33,17,0.015,,
ABRIL,14,22,0.027,0.036,NA,0.569,32,18,0.013,,
ABRIL,14,23,0.028,0.034,NA,0.564,28,19,0.011,,
ABRIL,15,0,0.025,0.032,NA,0.564,26,18,0.012,,
ABRIL,15,1,0.023,0.030,NA,0.574,26,16,0.012,,
ABRIL,15,2,0.026,0.028,NA,0.556,28,17,0.008,,
ABRIL,15,3,0.018,0.025,NA,0.555,29,17,0.014,,
ABRIL,15,4,0.018,0.024,NA,0.533,28,14,0.015,,
ABRIL,15,5,0.026,0.024,NA,0.501,27,16,0.008,,
ABRIL,15,6,0.024,0.024,NA,0.480,26,13,0.008,,
ABRIL,15,7,0.010,0.021,NA,0.499,29,13,0.022,,
ABRIL,15,8,0.009,0.019,0.002,0.567,37,24,0.023,,
ABRIL,15,9,0.011,0.018,0.001,0.620,38,29,0.022,,
ABRIL,15,10,0.024,0.018,0.001,0.686,40,22,0.018,,
ABRIL,15,11,0.041,0.021,0.001,0.708,33,22,0.009,,
ABRIL,15,12,0.045,0.024,0.001,0.714,29,24,0.005,,
ABRIL,15,13,0.044,0.026,0.001,0.728,24,18,0.006,,
ABRIL,15,14,0.040,0.028,0.001,0.732,20,15,0.005,,
ABRIL,15,15,0.040,0.032,0.001,0.719,21,14,0.007,,
ABRIL,15,16,0.043,0.036,0.001,0.665,24,14,0.007,,
ABRIL,15,17,0.042,0.040,0.001,0.606,26,15,0.007,,
ABRIL,15,18,0.043,0.042,0.001,0.549,28,15,0.007,,
ABRIL,15,19,0.044,0.043,0.001,0.531,28,15,0.007,,
ABRIL,15,20,0.030,0.041,0.001,0.557,39,16,0.019,,
ABRIL,15,21,0.021,0.038,0.001,0.598,44,22,0.025,,
ABRIL,15,22,0.013,0.034,0.001,0.625,47,19,0.025,,
ABRIL,15,23,0.013,0.031,0.001,0.651,47,22,0.018,,
ABRIL,16,0,0.013,0.027,0.001,0.676,42,20,0.019,,
ABRIL,16,1,0.010,0.023,0.001,0.717,48,20,0.019,,
ABRIL,16,2,0.011,0.019,0.001,0.749,47,23,0.017,,
ABRIL,16,3,0.008,0.015,0.002,0.752,43,20,0.018,,
ABRIL,16,4,0.013,0.013,0.002,0.740,44,20,0.019,,
ABRIL,16,5,0.009,0.011,0.002,0.695,44,22,0.016,,
ABRIL,16,6,0.010,0.011,0.002,0.679,42,22,0.019,,
ABRIL,16,7,0.007,0.010,0.002,0.677,46,22,0.018,,
ABRIL,16,8,0.017,0.011,0.003,0.653,43,24,0.014,,
ABRIL,16,9,0.029,0.013,0.003,0.619,44,25,0.010,,
ABRIL,16,10,0.045,0.017,0.004,0.580,38,25,0.005,,
ABRIL,16,11,0.054,0.023,0.005,0.563,34,22,0.004,,
ABRIL,16,12,0.060,0.029,0.005,0.541,32,22,0.005,,
ABRIL,16,13,0.065,0.036,0.005,0.529,30,22,0.003,,
ABRIL,16,14,0.058,0.042,0.006,0.507,25,22,0.005,,
ABRIL,16,15,0.062,0.049,0.006,0.462,24,22,0.004,,
