DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,3,18,0.041,0.043,0.04,0.358,19,15,0.007
NOVIEMBRE,3,19,0.035,0.043,0.04,0.354,23,14,0.007
NOVIEMBRE,3,20,0.034,0.042,0.04,0.347,18,14,0.005
NOVIEMBRE,3,21,0.032,0.041,0.04,0.338,15,14,0.005
NOVIEMBRE,3,22,0.024,0.038,0.04,0.327,18,12,0.009
NOVIEMBRE,3,23,0.025,0.035,0.03,0.315,14,10,0.006
NOVIEMBRE,4,0,0.021,0.032,0.03,0.304,20,8,0.008
NOVIEMBRE,4,1,0.021,0.029,0.03,0.294,19,9,0.008
NOVIEMBRE,4,2,0.020,0.026,0.03,0.274,17,12,0.006
NOVIEMBRE,4,3,0.020,0.025,0.03,0.268,16,14,0.006
NOVIEMBRE,4,4,0.021,0.023,0.03,0.267,15,13,0.003
NOVIEMBRE,4,5,0.019,0.021,0.03,0.273,15,13,0.004
NOVIEMBRE,4,6,0.020,0.021,0.03,0.277,12,13,0.004
NOVIEMBRE,4,7,0.019,0.020,0.03,0.287,12,12,0.006
NOVIEMBRE,4,8,0.015,0.019,0.02,0.308,15,11,0.009
NOVIEMBRE,4,9,0.018,0.019,0.02,0.325,20,14,0.009
NOVIEMBRE,4,10,0.023,0.019,0.02,0.342,21,16,0.006
NOVIEMBRE,4,11,0.029,0.020,0.02,0.354,16,19,0.006
NOVIEMBRE,4,12,0.037,0.022,0.02,0.357,15,18,0.002
NOVIEMBRE,4,13,0.039,0.025,0.02,0.365,12,14,0.003
NOVIEMBRE,4,14,0.041,0.027,0.02,0.369,9,12,0.001
NOVIEMBRE,4,15,0.042,0.030,0.02,0.379,10,11,0.003
NOVIEMBRE,4,16,0.042,0.034,0.02,0.374,10,11,0.001
NOVIEMBRE,4,17,0.041,0.037,0.02,0.361,13,12,0.002
NOVIEMBRE,4,18,0.039,0.039,0.02,0.348,15,11,0.002
NOVIEMBRE,4,19,0.034,0.039,0.02,0.347,16,10,0.006
