DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
SEP,13,18,0.056,0.058,0.479,0.481,NA,NA,0.014
SEP,13,19,0.045,0.057,0.479,0.484,NA,NA,0.022
SEP,13,20,0.032,0.054,0.479,0.554,NA,NA,0.033
SEP,13,21,0.024,0.05,0.479,0.589,NA,NA,0.03
SEP,13,22,0.033,0.047,0.479,0.621,NA,NA,0.022
SEP,13,23,0.032,0.043,0.479,0.629,NA,NA,0.013
SEP,14,0,0.031,0.039,0.479,0.634,NA,NA,0.01
SEP,14,1,0.029,0.035,0.479,0.61,NA,NA,0.01
SEP,14,2,0.028,0.032,0.479,0.575,NA,NA,0.007
SEP,14,3,0.011,0.027,0.479,0.524,NA,NA,0.021
SEP,14,4,0.011,0.025,0.479,0.436,NA,NA,0.02
SEP,14,5,0.02,0.024,0.479,0.386,NA,NA,0.01
SEP,14,6,0.019,0.022,0.479,0.351,NA,NA,0.012
SEP,14,7,0.016,0.021,0.479,0.365,NA,NA,0.015
SEP,14,8,0.019,0.019,0.479,0.409,NA,NA,0.018
SEP,14,9,0.032,0.019,0.479,0.453,NA,NA,0.016
SEP,14,10,0.041,0.021,0.479,0.473,NA,NA,0.004
SEP,14,11,0.04,0.025,0.479,0.485,NA,NA,0.008
SEP,14,12,0.048,0.029,0.479,0.48,NA,NA,0.003
SEP,14,13,0.048,0.033,0.479,0.495,NA,NA,0.007
SEP,14,14,0.052,0.037,0.479,0.508,NA,NA,0.007
SEP,14,15,0.054,0.042,0.479,0.494,NA,NA,0.006
SEP,14,16,0.062,0.047,0.479,0.451,NA,NA,0.006
SEP,14,17,0.061,0.051,0.479,0.431,23,NA,0.009
SEP,14,18,0.058,0.053,0.479,0.459,24,NA,0.012
SEP,14,19,0.048,0.054,0.479,0.526,31,NA,0.021
SEP,14,20,0.03,0.052,0.479,0.659,71,NA,0.035
SEP,14,21,0.021,0.048,0.479,0.728,62,NA,0.034
SEP,14,22,0.03,0.046,0.479,0.774,54,NA,0.022
SEP,14,23,0.028,0.042,0.479,0.768,39,NA,0.006
SEP,15,0,0.026,0.038,0.479,0.77,33,NA,0.01
SEP,15,1,0.02,0.033,0.479,0.805,36,NA,0.011
SEP,15,2,0.022,0.028,0.479,0.791,26,NA,0.008
