DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,
JUNIO,14,13,0.095,0.050,NA,0.517,40.9545,28.2455,0.009,,
JUNIO,14,14,0.093,0.060,NA,0.549,42.4559,33.2315,0.010,,
JUNIO,14,15,0.085,0.068,NA,0.535,37.1683,31.1203,0.008,,
JUNIO,14,16,0.072,0.075,NA,0.509,31.3369,31.7749,0.010,,
JUNIO,14,17,0.072,0.079,NA,0.495,29.4644,27.782,0.007,,
JUNIO,14,18,0.073,0.080,NA,0.471,29.4462,23.7116,0.006,,
JUNIO,14,19,0.063,0.079,NA,0.480,91.5849,22.2564,0.017,,
JUNIO,14,20,0.055,0.076,NA,0.492,200.3252,19.4305,0.021,,
JUNIO,14,21,0.027,0.067,NA,0.500,120.5032,17.5843,0.015,,
JUNIO,14,22,0.021,0.058,NA,0.468,81.3228,18.5047,0.011,,
JUNIO,14,23,0.031,0.052,0.014,0.459,62.4666,13.2102,0.008,,
JUNIO,15,0,0.029,0.046,0.014,0.466,53.8688,19.1111,0.010,,
JUNIO,15,1,0.027,0.041,0.013,0.518,58.755,31.7131,0.011,,
JUNIO,15,2,0.021,0.034,0.013,0.561,65.9847,47.2593,0.014,,
JUNIO,15,3,0.036,0.031,0.013,0.539,55.2646,50.7996,0.004,,
JUNIO,15,4,0.031,0.028,0.013,0.508,45.422,36.6987,0.004,,
JUNIO,15,5,0.015,0.026,0.013,0.476,37.7628,31.4786,0.013,,
JUNIO,15,6,0.010,0.025,0.013,0.495,37.081,28.8716,0.017,,
JUNIO,15,7,0.010,0.022,0.012,0.538,36.5372,26.8341,0.018,,
JUNIO,15,8,0.015,0.021,0.012,0.564,36.8168,25.6913,0.017,,
JUNIO,15,9,0.024,0.020,0.011,0.539,36.8159,NA,0.013,,
JUNIO,15,10,0.039,0.023,0.010,0.523,40.1694,24.9649,0.009,,
JUNIO,15,11,0.055,0.025,0.009,0.559,45.3842,27.4823,0.012,,
JUNIO,15,12,0.067,0.029,0.009,0.598,48.3019,32.6081,0.009,,
JUNIO,15,13,0.066,0.036,0.007,0.625,44.9634,30.6911,0.008,,
JUNIO,15,14,0.057,0.042,0.006,0.645,41.0532,23.8925,0.009,,
JUNIO,15,15,0.071,0.049,0.005,0.608,40.2544,23.8851,0.006,,
JUNIO,15,16,0.075,0.057,0.005,0.568,40.7175,29.0903,0.007,,
JUNIO,15,17,0.076,0.063,0.004,0.538,41.3449,33.0208,0.007,,
JUNIO,15,18,0.070,0.067,0.005,0.514,41.5265,31.7876,0.010,,
JUNIO,15,19,0.052,0.067,0.005,0.471,39.9886,30.7017,0.007,,
JUNIO,15,20,0.037,0.063,0.005,0.437,39.1372,26.792,0.014,,
JUNIO,15,21,0.027,0.058,0.005,0.398,31.6754,23.1722,0.008,,
JUNIO,15,22,0.019,0.053,0.005,0.383,27.6311,17.228,0.015,,
JUNIO,15,23,0.031,0.048,0.005,0.376,30.5012,14.3981,0.009,,
JUNIO,16,0,0.029,0.043,0.006,0.369,34.4919,17.8732,0.009,,
JUNIO,16,1,0.026,0.036,0.005,0.374,37.152,21.7023,0.010,,
JUNIO,16,2,0.020,0.030,0.006,0.375,35.5658,22.4898,0.013,,
JUNIO,16,3,0.007,0.025,0.006,0.388,33.5036,22.6522,0.025,,
JUNIO,16,4,0.017,0.022,0.006,0.390,34.0365,24.5781,0.017,,
JUNIO,16,5,0.010,0.020,0.006,0.411,35.2934,27.0301,0.021,,
JUNIO,16,6,0.012,0.019,0.006,0.414,35.9334,24.1986,0.019,,
JUNIO,16,7,0.011,0.016,0.006,0.450,37.8071,23.038,0.020,,
JUNIO,16,8,0.009,0.014,0.006,0.560,46.1757,22.8249,0.025,,
JUNIO,16,9,0.024,0.014,0.007,0.651,54.9304,27.9094,0.029,,
JUNIO,16,10,0.051,0.018,0.010,0.741,62.2237,30.3011,0.027,,
JUNIO,16,11,0.076,0.026,0.012,0.815,68.9625,45.7293,0.017,,
JUNIO,16,12,0.076,0.034,0.013,0.884,67.454,47.7331,0.010,,
JUNIO,16,13,0.065,0.040,0.013,0.943,55.063,41.2449,0.007,,
JUNIO,16,14,0.063,0.047,0.013,1.011,44.8282,33.5042,0.011,,
JUNIO,16,15,0.072,0.054,0.014,1.039,39.5573,32.607,0.007,,
JUNIO,16,16,0.073,0.062,0.014,0.992,40.1587,34.2952,0.010,,
JUNIO,16,17,0.078,0.069,0.014,0.948,39.3783,35.8755,0.008,,
JUNIO,16,18,0.078,0.073,0.014,0.924,41.8018,36.0408,0.013,,
JUNIO,16,19,0.076,0.073,0.013,0.943,46.3964,36.6209,0.013,,
JUNIO,16,20,0.055,0.070,0.014,0.961,49.7193,33.5335,0.025,,
JUNIO,16,21,0.034,0.066,0.014,0.968,46.9012,33.4844,0.018,,
JUNIO,16,22,0.034,0.063,0.014,0.930,41.6524,26.1793,0.011,,
JUNIO,16,23,0.035,0.058,0.014,0.915,44.5729,27.5608,0.007,,
JUNIO,17,0,0.034,0.053,0.014,0.892,42.8908,30.3601,0.006,,
JUNIO,17,1,0.043,0.049,0.015,0.861,41.2752,28.9004,0.006,,
JUNIO,17,2,0.050,0.045,0.015,0.800,60.9534,38.8105,0.004,,
JUNIO,17,3,0.041,0.041,0.014,0.707,49.9753,32.1567,0.006,,
JUNIO,17,4,0.049,0.040,0.014,0.624,43.0785,28.6989,0.003,,
JUNIO,17,5,0.044,0.041,0.014,0.560,50.9725,29.3297,0.004,,
JUNIO,17,6,0.038,0.042,0.015,0.523,46.3648,32.5206,0.007,,
JUNIO,17,7,0.022,0.040,0.016,0.511,41.5954,33.5075,0.017,,
JUNIO,17,8,0.033,0.040,0.017,0.504,46.2995,34.4902,0.013,,
JUNIO,17,9,0.044,0.040,0.018,0.497,45.1991,40.1512,0.007,,
JUNIO,17,10,0.053,0.041,0.017,0.513,49.62,43.8914,0.009,,
JUNIO,17,11,0.070,0.044,0.014,0.534,48.7308,41.9871,0.007,,
JUNIO,17,12,0.084,0.048,0.014,0.556,46.7787,39.5948,0.006,,
JUNIO,17,13,0.085,0.054,0.014,0.584,48.0046,43.6338,0.010,,
JUNIO,17,14,0.100,0.061,0.015,0.608,48.3847,44.1916,0.008,,
JUNIO,17,15,0.071,0.067,0.015,0.591,48.9514,50.6242,0.007,,
JUNIO,17,16,0.069,0.072,0.015,0.569,42.005,42.0719,0.006,,
JUNIO,17,17,0.073,0.076,0.014,0.567,38.396,37.7392,0.008,,
JUNIO,17,18,0.074,0.078,0.014,0.563,39.3811,36.938,0.010,,
JUNIO,17,19,0.053,0.076,0.013,0.561,67.9562,34.288,0.010,,
JUNIO,17,20,0.042,0.071,0.013,0.567,67.9604,33.4229,0.012,,
JUNIO,17,21,0.045,0.066,0.013,0.548,NA,28.3873,0.009,,
JUNIO,17,22,0.042,0.059,0.013,0.562,NA,30.3713,0.012,,
JUNIO,17,23,0.029,0.054,0.012,0.587,46.1498,30.2652,0.012,,
JUNIO,18,0,0.027,0.048,0.012,0.605,46.0877,26.0422,0.008,,
JUNIO,18,1,0.020,0.042,0.011,0.609,39.4403,26.75,0.013,,
JUNIO,18,2,0.022,0.035,0.011,0.602,39.5353,23.6714,0.012,,
JUNIO,18,3,0.016,0.030,0.011,0.590,40.713,27.1105,0.017,,
JUNIO,18,4,0.017,0.027,0.011,0.567,44.7763,28.97,0.017,,
JUNIO,18,5,0.021,0.024,0.011,0.549,42.4371,29.9243,0.011,,
JUNIO,18,6,0.012,0.021,0.010,0.520,43.549,28.344,0.014,,
JUNIO,18,7,0.013,0.019,0.010,0.495,45.4485,32.3341,0.015,,
JUNIO,18,8,0.022,0.018,0.010,0.487,43.7307,33.078,0.010,,
JUNIO,18,9,0.033,0.019,0.009,0.478,42.2886,37.1318,0.006,,
JUNIO,18,10,0.043,0.022,0.009,0.477,43.8409,39.1303,0.007,,
JUNIO,18,11,0.055,0.027,0.009,0.476,41.263,39.5265,0.005,,
JUNIO,18,12,0.066,0.033,0.009,0.483,39.3737,36.1027,0.005,,
JUNIO,18,13,0.072,0.039,0.009,0.505,40.394,34.9176,0.006,,
JUNIO,18,14,0.070,0.046,0.008,0.497,38.0954,35.5569,0.005,,
JUNIO,18,15,0.060,0.052,0.009,0.479,32.6092,36.1625,0.005,,
JUNIO,18,16,0.064,0.058,0.009,0.460,31.0096,33.1206,0.005,,
JUNIO,18,17,0.050,0.060,0.009,0.458,37.1398,33.5156,0.006,,
JUNIO,18,18,0.044,0.060,0.009,0.470,27.069,27.5927,0.008,,
JUNIO,18,19,0.045,0.059,0.009,0.489,26.8785,24.8053,0.010,,
JUNIO,18,20,0.043,0.056,0.009,0.501,35.8689,26.4431,0.011,,
JUNIO,18,21,0.038,0.052,0.009,0.501,36.2039,26.4292,0.011,,
JUNIO,18,22,0.043,0.048,0.009,0.507,32.3485,24.4351,0.008,,
JUNIO,18,23,0.037,0.046,0.009,0.529,29.4188,21.956,0.011,,
JUNIO,19,0,0.034,0.042,0.009,0.554,30.9628,21.4289,0.011,,
JUNIO,19,1,0.031,0.039,0.008,0.555,35.1988,22.0905,0.009,,
JUNIO,19,2,0.023,0.037,0.008,0.539,33.6445,23.5005,0.011,,
JUNIO,19,3,0.026,0.034,0.008,0.506,31.3488,24.3086,0.010,,
JUNIO,19,4,0.019,0.031,0.008,0.479,29.4795,22.9315,0.013,,
JUNIO,19,5,0.012,0.028,0.008,0.462,28.7325,22.6497,0.020,,
JUNIO,19,6,0.015,0.025,0.008,0.467,29.9616,22.8606,0.017,,
JUNIO,19,7,0.013,0.022,0.008,0.486,38.9361,23.3904,0.021,,
JUNIO,19,8,0.016,0.019,0.008,0.504,41.0971,32.2891,0.019,,
JUNIO,19,9,0.030,0.019,0.008,0.513,45.9037,35.3516,0.011,,
JUNIO,19,10,0.043,0.022,0.008,0.528,43.204,38.9804,0.009,,
JUNIO,19,11,0.054,0.025,0.007,0.562,42.9259,36.7437,0.009,,
JUNIO,19,12,0.065,0.031,0.007,0.574,95.6514,34.5841,0.005,,
JUNIO,19,13,0.075,0.039,0.008,0.579,141.0548,32.7789,0.008,,
JUNIO,19,14,0.074,0.046,0.010,0.568,90.77,37.9483,0.009,,
JUNIO,19,15,0.072,0.054,0.011,0.529,66.9649,38.6807,0.011,,
JUNIO,19,16,0.069,0.060,0.012,0.479,89.7543,39.9653,0.006,,
JUNIO,19,17,0.055,0.063,0.013,0.447,84.608,34.7082,0.007,,
JUNIO,19,18,0.054,0.065,0.016,0.411,69.8098,36.6346,0.009,,
JUNIO,19,19,0.049,0.064,0.018,0.360,62.3053,38.0184,0.007,,
JUNIO,19,20,0.040,0.061,0.018,0.335,54.315,38.1202,0.007,,
JUNIO,19,21,0.039,0.057,0.018,0.306,42.7924,32.8108,0.005,,
JUNIO,19,22,0.039,0.052,0.018,0.279,33.3053,30.0118,0.004,,
JUNIO,19,23,0.039,0.048,0.018,0.260,27.4029,24.1884,0.003,,
JUNIO,20,0,0.028,0.043,0.020,0.257,NA,NA,0.010,,
JUNIO,20,1,0.030,0.040,0.022,0.263,NA,NA,0.009,,
JUNIO,20,2,0.031,0.037,0.023,0.269,NA,NA,0.007,,
JUNIO,20,3,0.033,0.035,0.024,0.281,NA,NA,0.005,,
JUNIO,20,4,0.035,0.034,0.024,0.290,NA,NA,0.005,,
JUNIO,20,5,0.027,0.033,0.025,0.301,NA,NA,0.008,,
JUNIO,20,6,0.029,0.031,0.027,0.315,NA,NA,0.006,,
JUNIO,20,7,0.024,0.030,0.028,0.338,NA,NA,0.010,,
JUNIO,20,8,0.031,0.030,0.030,0.355,NA,NA,0.011,,
JUNIO,20,9,0.042,0.032,0.029,0.387,NA,NA,0.006,,
JUNIO,20,10,0.049,0.034,0.030,0.405,NA,NA,0.005,,
JUNIO,20,11,0.057,0.037,0.032,0.427,NA,NA,0.010,,
JUNIO,20,12,0.061,0.040,0.033,0.453,NA,NA,0.010,,
JUNIO,20,13,0.064,0.045,0.034,0.481,NA,NA,0.009,,
JUNIO,20,14,0.065,0.049,0.033,0.494,NA,NA,0.005,,
JUNIO,20,15,0.070,0.055,0.031,0.500,NA,NA,0.008,,
JUNIO,20,16,0.065,0.059,0.032,0.499,NA,NA,0.007,,
JUNIO,20,17,0.062,0.062,0.032,0.473,NA,NA,0.006,,
JUNIO,20,18,0.053,0.062,0.031,0.462,NA,NA,0.010,,
JUNIO,20,19,0.050,0.061,0.030,0.445,NA,NA,0.007,,
JUNIO,20,20,0.041,0.059,0.030,0.418,NA,NA,0.006,,
JUNIO,20,21,0.034,0.055,0.030,0.397,NA,NA,0.007,,
JUNIO,20,22,0.034,0.051,0.030,0.385,NA,NA,0.007,,
JUNIO,20,23,0.036,0.047,0.030,0.370,NA,NA,0.004,,
JUNIO,21,0,0.037,0.043,0.028,0.360,33.0136,19.2783,0.003,,
JUNIO,21,1,0.024,0.039,0.026,0.355,31.9885,17.5212,0.010,,
JUNIO,21,2,0.028,0.035,0.027,0.343,32.27,18.596,0.008,,
JUNIO,21,3,0.032,0.033,0.027,0.328,28.0212,20.3621,0.008,,
JUNIO,21,4,0.029,0.032,0.029,0.317,29.5652,16.1074,0.008,,
JUNIO,21,5,0.024,0.030,0.028,0.306,28.5142,18.7508,0.011,,
JUNIO,21,6,0.018,0.028,0.027,0.310,33.1359,22.7728,0.015,,
JUNIO,21,7,0.015,0.026,0.026,0.336,35.8055,24.7837,0.018,,
JUNIO,21,8,0.018,0.023,0.025,0.391,43.9831,28.3876,0.022,,
JUNIO,21,9,0.032,0.025,0.027,0.422,50.5636,33.9293,0.019,,
JUNIO,21,10,0.039,0.026,0.029,0.451,53.668,40.6172,0.016,,
JUNIO,21,11,0.057,0.029,0.027,0.487,48.5928,42.3649,0.007,,
JUNIO,21,12,0.069,0.034,0.026,0.517,45.9975,36.3275,0.005,,
JUNIO,21,13,0.065,0.039,0.025,0.539,39.2018,34.675,0.007,,
JUNIO,21,14,0.066,0.045,0.025,0.544,38.0652,34.728,0.007,,
JUNIO,21,15,0.075,0.053,0.025,0.529,37.052,35.7532,0.009,,
JUNIO,21,16,0.069,0.059,0.024,0.480,38.3494,32.0306,0.008,,
JUNIO,21,17,0.069,0.064,0.024,0.457,34.9901,31.1354,0.009,,
JUNIO,21,18,0.062,0.067,0.022,0.439,34.1911,30.6447,0.006,,
JUNIO,21,19,0.045,0.065,0.021,0.405,62.5379,24.0049,0.004,,
JUNIO,21,20,0.046,0.062,0.021,0.376,216.5626,23.18,0.004,,
JUNIO,21,21,0.044,0.060,0.021,0.350,142.4466,21.1702,0.003,,
JUNIO,21,22,0.043,0.057,0.021,0.327,84.4812,21.0186,0.003,,
JUNIO,21,23,0.039,0.052,0.022,0.325,68.2876,19.9731,0.005,,
JUNIO,22,0,0.040,0.049,0.022,0.307,51.086,26.7354,0.005,,
JUNIO,22,1,0.029,0.044,0.022,0.302,41.1169,23.1865,0.010,,
JUNIO,22,2,0.026,0.039,0.020,0.302,37.9301,19.9532,0.011,,
JUNIO,22,3,0.026,0.037,0.022,0.313,37.1895,26.9736,0.013,,
JUNIO,22,4,0.030,0.035,0.023,0.323,40.7479,25.8845,0.012,,
JUNIO,22,5,0.027,0.033,0.023,0.336,37.8371,26.0674,0.012,,
JUNIO,22,6,0.024,0.030,0.024,0.357,40.2357,27.3102,0.015,,
JUNIO,22,7,0.024,0.028,0.026,0.369,37.2855,24.2248,0.015,,
JUNIO,22,8,0.022,0.026,0.026,0.422,40.3696,24.5109,0.019,,
JUNIO,22,9,0.035,0.027,0.026,0.448,48.7383,26.6577,0.015,,
JUNIO,22,10,0.048,0.030,0.024,0.475,49.1007,34.0268,0.010,,
JUNIO,22,11,0.057,0.033,0.023,0.497,48.205,28.9358,0.008,,
JUNIO,22,12,0.061,0.037,0.025,0.509,42.7117,27.2421,0.010,,
JUNIO,22,13,0.072,0.043,0.025,0.518,47.3773,29.5966,0.007,,
JUNIO,22,14,0.063,0.048,0.025,0.517,49.8635,27.4836,0.004,,
JUNIO,22,15,0.062,0.052,0.024,0.503,43.6882,27.8709,0.005,,
JUNIO,22,16,0.061,0.057,0.025,0.476,44.6349,25.1564,0.006,,
JUNIO,22,17,0.057,0.060,0.025,0.454,37.7948,28.4785,0.003,,
JUNIO,22,18,0.051,0.060,0.024,0.428,37.8572,26.6643,0.003,,
JUNIO,22,19,0.047,0.059,0.024,0.407,37.4885,24.9136,0.004,,
JUNIO,22,20,0.046,0.057,0.024,0.398,39.8575,21.3092,0.004,,
JUNIO,22,21,0.046,0.054,0.024,0.390,39.3211,23.5236,0.002,,
JUNIO,22,22,0.044,0.052,0.024,0.389,37.8436,24.9575,0.003,,
JUNIO,22,23,0.041,0.049,0.024,0.396,49.8533,25.6224,0.004,,
JUNIO,23,0,0.031,0.045,0.024,0.395,48.7595,35.4168,0.009,,
JUNIO,23,1,0.037,0.043,0.026,0.384,38.5324,33.0661,0.007,,
JUNIO,23,2,0.039,0.041,0.027,0.375,35.0204,29.4001,0.004,,
JUNIO,23,3,0.038,0.040,0.026,0.366,31.9201,26.2185,0.003,,
JUNIO,23,4,0.033,0.039,0.024,0.360,31.9869,25.628,0.006,,
JUNIO,23,5,0.032,0.037,0.023,0.356,32.3335,26.565,0.007,,
JUNIO,23,6,0.032,0.035,0.023,0.352,32.5102,29.2573,0.008,,
JUNIO,23,7,0.033,0.034,0.022,0.349,33.5772,27.1553,0.007,,
JUNIO,23,8,0.037,0.035,0.021,0.348,33.3192,28.0764,0.006,,
JUNIO,23,9,0.044,0.036,0.019,0.368,34.5026,29.6339,0.005,,
JUNIO,23,10,0.050,0.037,0.020,0.396,38.8134,29.4655,0.007,,
JUNIO,23,11,0.060,0.040,0.021,0.411,38.7697,30.1056,0.006,,
JUNIO,23,12,0.060,0.043,0.020,0.423,38.2249,29.0115,0.007,,
JUNIO,23,13,0.065,0.048,0.021,0.433,38.8802,28.9983,0.005,,
JUNIO,23,14,0.063,0.052,0.021,0.438,38.7248,65.8306,0.004,,
JUNIO,23,15,0.059,0.055,0.020,0.431,36.4419,65.2422,0.004,,
JUNIO,23,16,0.052,0.057,0.020,0.419,37.1862,49.4987,0.003,,
JUNIO,23,17,0.051,0.058,0.021,0.398,39.8815,43.6563,0.003,,
JUNIO,23,18,0.049,0.057,0.022,0.376,37.5645,35.193,0.004,,
JUNIO,23,19,0.045,0.056,0.022,0.367,33.9621,28.0903,0.005,,
JUNIO,23,20,0.041,0.053,0.022,0.356,64.1479,24.7004,0.006,,
JUNIO,23,21,0.041,0.050,0.022,0.348,59.5234,24.7274,0.003,,
JUNIO,23,22,0.042,0.048,0.022,0.337,41.3665,21.8117,0.003,,
JUNIO,23,23,0.040,0.045,0.022,0.332,32.5223,16.6873,0.003,,
JUNIO,24,0,0.039,0.044,0.021,0.356,28.6588,17.0552,0.003,,
JUNIO,24,1,0.037,0.042,0.020,0.359,27.4662,17.3632,0.004,,
JUNIO,24,2,0.032,0.040,0.019,0.353,25.1485,17.0286,0.007,,
JUNIO,24,3,0.032,0.038,0.020,0.339,28.0335,18.6919,0.006,,
JUNIO,24,4,0.032,0.037,0.020,0.329,26.9821,19.7885,0.006,,
JUNIO,24,5,0.030,0.035,0.019,0.329,28.7895,18.8625,0.007,,
JUNIO,24,6,0.033,0.034,0.018,0.339,34.9832,23.0567,0.004,,
JUNIO,24,7,0.035,0.034,0.019,0.336,36.7685,27.0192,0.004,,
JUNIO,24,8,0.034,0.033,0.019,0.310,32.4527,28.7579,0.005,,
JUNIO,24,9,0.042,0.034,0.018,0.314,30.5999,26.0385,0.003,,
JUNIO,24,10,0.049,0.036,0.017,0.322,29.7833,24.2039,0.002,,
JUNIO,24,11,0.053,0.039,0.017,0.339,43.6529,22.8796,0.003,,
JUNIO,24,12,0.055,0.041,0.017,0.359,43.4647,27.9734,0.008,,
JUNIO,24,13,0.055,0.044,0.017,0.367,35.6646,34.3208,0.005,,
JUNIO,24,14,0.057,0.047,0.017,0.366,31.1447,30.0366,0.005,,
JUNIO,24,15,0.060,0.051,0.017,0.378,31.0413,29.7647,0.006,,
JUNIO,24,16,0.055,0.053,0.017,0.381,32.7667,29.8774,0.004,,
JUNIO,24,17,0.050,0.054,0.016,0.376,31.6268,27.7911,0.002,,
JUNIO,24,18,0.049,0.054,0.015,0.371,31.9335,24.3746,0.001,,
JUNIO,24,19,0.046,0.053,0.015,0.359,141.8155,45.8848,0.001,,
JUNIO,24,20,0.043,0.052,0.015,0.343,146.2148,36.6797,0.002,,
JUNIO,24,21,0.040,0.050,0.015,0.331,90.308,28.8804,0.002,,
JUNIO,24,22,0.041,0.048,0.015,0.319,63.1309,24.6013,0.001,,
JUNIO,24,23,0.038,0.045,0.015,0.305,44.272,21.1235,0.001,,
JUNIO,25,0,0.036,0.043,0.015,0.298,33.0315,18.3004,0.001,,
JUNIO,25,1,0.035,0.041,0.015,0.293,20.4837,16.5266,0.000,,
JUNIO,25,2,0.034,0.039,0.014,0.285,20.0109,15.5165,NA,,
JUNIO,25,3,0.033,0.038,0.012,0.284,17.4249,16.837,0.001,,
JUNIO,25,4,0.029,0.036,0.012,0.287,22.2539,17.8805,0.002,,
JUNIO,25,5,0.027,0.034,0.012,0.283,23.9239,15.9494,0.003,,
JUNIO,25,6,0.026,0.032,0.013,0.279,22.622,16.6953,0.003,,
JUNIO,25,7,0.024,0.031,0.013,0.280,20.7547,18.6206,0.004,,
JUNIO,25,8,0.028,0.030,0.012,0.282,13.7056,16.1111,0.001,,
JUNIO,25,9,0.031,0.029,0.012,0.286,12.722,16.6389,0.001,,
JUNIO,25,10,0.032,0.029,0.012,0.293,12.5258,15.4663,0.002,,
JUNIO,25,11,0.035,0.029,0.012,0.303,30.934,17.8,0.004,,
JUNIO,25,12,0.039,0.030,0.011,0.306,77.8744,21.3357,0.004,,
JUNIO,25,13,0.041,0.032,0.011,0.314,49.8026,19.4635,0.003,,
JUNIO,25,14,0.041,0.034,0.010,0.320,33.1369,17.4624,0.003,,
JUNIO,25,15,0.042,0.036,0.011,0.320,24.6155,16.1789,0.002,,
JUNIO,25,16,0.043,0.038,0.010,0.340,20.3417,15.389,0.002,,
JUNIO,25,17,0.036,0.039,0.009,0.350,17.7039,14.5064,0.003,,
JUNIO,25,18,0.038,0.039,0.009,0.347,59.0969,13.9314,0.002,,
JUNIO,25,19,0.037,0.040,0.009,0.334,55.6752,22.6513,0.001,,
JUNIO,25,20,0.037,0.039,0.009,0.320,41.0324,15.156,0.001,,
JUNIO,25,21,0.033,0.038,0.010,0.313,30.9562,12.8832,0.001,,
JUNIO,25,22,0.030,0.037,0.010,0.313,24.7809,14.7921,0.001,,
JUNIO,25,23,0.031,0.036,0.010,0.308,18.4132,14.2788,0.001,,
JUNIO,26,0,0.033,0.034,0.010,0.278,15.1287,12.4525,NA,,
JUNIO,26,1,0.031,0.034,0.010,0.263,10.723,9.4543,0.000,,
JUNIO,26,2,0.029,0.033,0.011,0.259,12.2866,8.0931,0.000,,
JUNIO,26,3,0.027,0.031,0.013,0.390,13.4955,9.3728,0.002,,
JUNIO,26,4,0.029,0.031,0.013,0.392,11.0603,15.7473,NA,,
JUNIO,26,5,0.028,0.030,0.012,0.387,9.6585,11.6131,NA,,
JUNIO,26,6,0.024,0.029,0.011,0.378,7.5217,9.6542,0.003,,
JUNIO,26,7,0.024,0.028,0.011,0.383,7.6321,10.2662,0.003,,
JUNIO,26,8,0.024,0.027,0.011,0.399,6.5076,9.8455,0.004,,
JUNIO,26,9,0.030,0.027,0.011,0.438,8.5874,8.8916,0.001,,
JUNIO,26,10,0.033,0.027,0.011,0.501,34.613,10.1349,0.002,,
JUNIO,26,11,0.036,0.029,0.011,0.425,94.6824,13.7983,0.002,,
JUNIO,26,12,0.037,0.029,0.011,0.476,57.4811,15.6332,0.002,,
JUNIO,26,13,0.038,0.031,0.011,0.539,38.9583,14.6033,0.003,,
JUNIO,26,14,0.044,0.033,0.011,0.612,30.1005,17.9978,0.002,,
JUNIO,26,15,0.045,0.036,0.011,0.667,22.4556,16.8864,0.002,,
JUNIO,26,16,0.045,0.038,0.011,0.686,21.4199,18.5097,0.003,,
JUNIO,26,17,0.051,0.041,0.012,0.694,20.5884,21.5116,0.003,,
JUNIO,26,18,0.044,0.042,0.012,0.710,23.339,22.0435,0.002,,
JUNIO,26,19,0.038,0.043,0.012,0.702,21.161,16.4438,0.002,,
JUNIO,26,20,0.032,0.042,0.012,0.670,24.9468,14.2545,0.002,,
JUNIO,26,21,0.029,0.041,0.012,0.631,27.5702,15.4803,0.005,,
JUNIO,26,22,0.030,0.039,0.013,0.607,34.1253,16.6891,0.005,,
JUNIO,26,23,0.030,0.037,0.013,0.662,28.0438,16.214,0.005,,
JUNIO,27,0,0.033,0.036,0.014,0.643,21.3042,15.8576,0.004,,
JUNIO,27,1,0.032,0.034,0.015,0.683,14.6238,17.1358,0.004,,
JUNIO,27,2,0.030,0.032,0.015,0.619,12.8447,13.2605,0.005,,
JUNIO,27,3,0.029,0.031,0.013,0.636,13.6867,12.0592,0.004,,
JUNIO,27,4,0.033,0.031,0.014,0.811,14.0538,12.1959,0.005,,
JUNIO,27,5,0.031,0.031,0.014,0.954,13.9642,12.6289,0.004,,
JUNIO,27,6,0.030,0.031,0.015,1.043,15.6608,12.9777,0.005,,
JUNIO,27,7,0.033,0.031,0.016,0.963,16.0234,14.8118,0.005,,
JUNIO,27,8,0.035,0.032,0.016,1.039,11.8375,15.987,0.005,,
JUNIO,27,9,0.040,0.033,0.017,0.959,14.4474,17.182,0.004,,
JUNIO,27,10,0.043,0.034,0.017,0.955,18.4977,17.0662,0.004,,
JUNIO,27,11,0.043,0.036,0.018,0.901,21.44,15.1131,0.008,,
JUNIO,27,12,0.053,0.038,0.018,0.714,27.8505,22.0347,0.006,,
JUNIO,27,13,0.060,0.042,0.018,0.559,28.6721,33.6577,0.004,,
JUNIO,27,14,0.062,0.046,0.018,0.429,26.7109,26.5355,0.004,,
JUNIO,27,15,0.063,0.050,0.018,0.408,24.0691,22.4727,0.004,,
JUNIO,27,16,0.058,0.053,0.017,0.324,23.8994,21.0355,0.005,,
JUNIO,27,17,0.053,0.054,0.018,0.320,24.8662,20.6869,0.005,,
JUNIO,27,18,0.053,0.056,0.018,0.313,26.5407,22.5903,0.004,,
JUNIO,27,19,0.040,0.055,0.018,0.313,23.226,19.9832,0.004,,
JUNIO,27,20,0.035,0.053,0.018,0.307,27.387,13.3251,0.003,,
JUNIO,27,21,0.036,0.050,0.018,0.296,29.284,10.9612,0.002,,
JUNIO,27,22,0.035,0.047,0.017,0.285,27.6243,11.2449,0.001,,
JUNIO,27,23,0.033,0.043,0.018,0.339,24.8255,11.8847,0.002,,
JUNIO,28,0,0.043,0.041,0.019,0.340,24.0852,15.2512,0.004,,
JUNIO,28,1,0.051,0.041,0.018,0.339,23.0671,17.7833,0.003,,
JUNIO,28,2,0.046,0.040,0.018,0.338,16.8582,12.3654,0.004,,
JUNIO,28,3,0.035,0.039,0.020,0.334,17.6275,10.367,0.006,,
JUNIO,28,4,0.030,0.039,0.020,0.333,18.1951,13.7642,0.004,,
JUNIO,28,5,0.023,0.037,0.022,0.336,20.9924,10.0964,0.008,,
JUNIO,28,6,0.026,0.036,0.022,0.350,20.3264,15.3521,0.005,,
JUNIO,28,7,0.024,0.035,0.025,0.309,19.9128,13.708,0.006,,
