DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
OCT,5,7,2.00,3.01,0.287,23,2.11,126.35,14.97,88.81,12.02
OCT,5,8,2.00,4.37,0.362,24,2.13,113.56,17.73,81.84,149.78
OCT,5,9,8.42,2.20,0.352,19,2.95,104.54,21.02,68.17,377.73
OCT,5,10,18.56,1.34,0.265,10,3.63,100.78,23.13,57.19,587.36
OCT,5,11,24.10,1.10,0.222,12,3.35,106.47,24.77,50.85,766.12
OCT,5,12,25.78,7.03,0.204,9,2.71,107.00,26.39,45.71,782.36
OCT,5,13,28.22,15.76,0.254,14,2.49,231.26,27.49,41.45,655.54
OCT,5,14,31.77,8.23,0.227,11,2.70,223.54,29.23,36.00,880.03
OCT,5,15,30.88,3.79,0.199,7,2.51,173.66,29.83,33.19,666.64
OCT,5,16,31.20,8.89,0.239,25,2.74,229.86,29.26,33.71,479.99
OCT,5,17,28.30,7.77,0.201,13,3.03,102.38,28.75,29.61,181.35
OCT,5,18,26.16,13.23,0.289,18,3.16,93.46,27.60,29.15,82.90
OCT,5,19,20.43,11.87,0.347,19,2.93,71.76,25.90,32.65,7.17
OCT,5,20,15.12,23.67,0.342,25,3.32,55.71,23.88,38.24,4.04
OCT,5,21,17.56,6.19,0.284,24,3.88,66.60,22.55,45.42,2.52
OCT,5,22,14.10,4.58,0.279,24,3.87,96.16,21.38,51.10,2.62
OCT,5,23,15.07,8.88,0.223,21,3.95,68.89,20.52,57.53,18.94
OCT,6,0,13.26,5.68,0.225,18,3.14,76.10,19.31,63.83,14.50
OCT,6,1,11.30,6.94,0.223,15,3.52,69.81,18.36,69.77,4.57
OCT,6,2,12.81,2.65,0.207,15,2.95,60.56,17.99,72.92,2.96
OCT,6,3,10.64,3.05,0.204,8,2.61,101.26,17.37,77.37,11.88
OCT,6,4,10.53,6.20,0.202,15,2.24,81.92,16.99,80.52,11.94
OCT,6,5,4.66,2.35,0.243,17,2.07,138.29,15.49,84.57,3.12
OCT,6,6,2.00,1.10,0.336,18,1.79,107.55,14.93,88.24,7.59
OCT,6,7,7.31,13.02,0.324,19,2.51,102.95,16.17,84.83,11.11
OCT,6,8,5.49,2.91,0.356,28,2.18,139.93,17.84,81.75,151.01
OCT,6,9,10.43,2.48,0.301,8,2.17,131.34,21.54,69.42,363.79
OCT,6,10,18.50,3.33,0.304,14,2.92,88.95,23.56,58.08,590.09
OCT,6,11,23.94,9.93,0.277,10,3.25,88.67,24.94,49.41,713.35
OCT,6,12,28.05,2.03,0.236,7,2.80,105.31,26.45,41.81,856.55
OCT,6,13,29.06,6.60,0.224,8,2.83,108.61,28.06,34.52,881.26
