DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
AGO,2,0,14.04,3.05,0.200,27,3.19,99.52,21.15,51.28,2.57
AGO,2,1,12.15,7.80,0.226,17,2.94,78.72,20.15,57.38,2.70
AGO,2,2,11.30,5.81,0.207,22,2.94,75.09,19.14,63.40,2.78
AGO,2,3,13.58,3.14,0.199,19,3.30,61.14,18.73,65.35,2.82
AGO,2,4,14.70,8.66,0.210,18,3.28,55.51,18.31,66.63,2.83
AGO,2,5,12.90,13.74,0.226,23,2.84,65.13,17.79,69.22,2.89
AGO,2,6,4.20,4.49,0.319,26,1.56,130.82,15.96,77.15,3.01
AGO,2,7,2.00,2.81,0.406,38,2.17,131.65,15.65,80.39,34.32
AGO,2,8,3.56,2.05,0.449,31,2.01,134.08,19.21,72.17,172.28
AGO,2,9,9.80,1.79,0.378,36,2.28,145.51,22.24,62.59,407.80
AGO,2,10,21.34,5.31,0.301,20,3.17,98.91,24.49,48.29,625.03
AGO,2,11,26.80,21.41,0.264,20,3.88,89.10,26.24,36.20,806.22
AGO,2,12,31.05,11.64,0.239,21,3.31,95.21,27.38,32.98,928.97
AGO,2,13,35.86,1.75,0.197,11,3.27,114.35,28.38,29.56,995.24
AGO,2,14,37.40,5.58,0.198,11,3.10,93.94,29.43,26.40,998.44
AGO,2,15,38.56,3.60,0.180,9,3.24,129.61,30.18,25.07,942.99
AGO,2,16,38.76,8.00,0.181,5,3.06,137.06,30.90,24.62,805.36
AGO,2,17,38.97,7.91,0.186,8,2.92,131.48,31.69,23.37,604.23
AGO,2,18,40.24,1.94,0.180,22,3.09,168.22,31.34,24.60,410.01
AGO,2,19,46.01,4.59,0.224,30,2.72,214.53,29.90,27.33,186.01
AGO,2,20,41.17,5.07,0.420,49,1.75,228.70,26.88,31.33,8.51
AGO,2,21,25.80,5.54,0.732,53,1.11,181.22,25.18,34.06,2.18
AGO,2,22,14.55,9.10,0.511,51,1.89,118.17,24.20,41.97,2.32
AGO,2,23,13.48,3.96,0.277,46,1.84,102.56,22.03,54.22,2.47
AGO,3,0,6.78,3.33,0.270,35,2.12,90.73,20.97,65.93,2.65
AGO,3,1,6.12,3.49,0.215,23,2.01,148.58,20.21,64.77,2.68
AGO,3,2,8.60,3.28,0.195,25,2.30,139.78,19.65,62.50,2.69
AGO,3,3,7.97,3.43,0.225,18,2.21,114.08,19.17,66.04,2.76
AGO,3,4,3.92,2.68,0.216,21,1.73,129.67,18.60,68.86,2.81
AGO,3,5,4.91,2.56,0.203,17,1.68,129.42,18.78,68.82,2.82
AGO,3,6,4.51,2.07,0.241,26,1.72,120.93,18.64,69.63,2.77
AGO,3,7,2.00,2.38,0.314,34,2.21,127.94,17.99,73.33,26.02
AGO,3,8,2.00,2.06,0.346,38,2.45,127.40,20.54,67.69,179.40
AGO,3,9,9.83,1.93,0.338,35,2.99,107.35,23.73,55.55,403.95
AGO,3,10,20.28,1.76,0.273,29,3.27,95.59,25.39,49.44,608.24
AGO,3,11,27.47,1.75,0.236,20,3.05,105.72,27.11,42.66,762.74
AGO,3,12,30.84,1.64,0.217,22,3.10,107.74,28.29,37.00,913.53
AGO,3,13,31.68,1.10,0.187,28,3.02,107.84,29.36,33.73,787.47
AGO,3,14,30.33,1.10,0.180,14,2.74,139.62,30.09,32.73,719.82
AGO,3,15,37.50,2.70,0.220,18,2.17,184.38,29.97,33.20,587.47
AGO,3,16,46.22,8.29,0.335,19,2.65,242.38,31.18,31.88,709.27
AGO,3,17,44.72,4.32,0.228,22,2.53,243.90,31.37,31.38,506.41
AGO,3,18,42.17,1.75,0.236,28,2.92,265.11,31.02,32.04,362.47
AGO,3,19,41.63,1.46,0.245,35,3.00,254.18,29.58,35.13,160.98
AGO,3,20,38.49,1.10,0.356,51,2.33,228.58,27.44,40.42,6.88
AGO,3,21,26.61,1.10,0.771,63,2.31,251.12,24.73,53.03,2.43
AGO,3,22,17.05,2.02,0.554,44,2.75,214.09,23.33,64.50,2.47
AGO,3,23,9.94,3.85,0.313,31,3.23,96.16,23.58,55.77,2.42
AGO,4,0,8.32,1.12,0.255,33,2.24,117.75,22.70,58.44,2.47
AGO,4,1,11.34,1.85,0.207,35,2.84,101.03,22.30,59.73,2.46
AGO,4,2,9.19,3.65,0.200,21,2.94,85.66,21.60,62.52,2.54
AGO,4,3,8.93,5.15,0.183,21,2.90,66.24,20.51,66.75,2.63
AGO,4,4,12.60,2.66,0.180,23,3.25,57.66,20.00,68.67,2.70
AGO,4,5,15.27,3.30,0.180,10,3.00,60.80,19.82,68.98,2.74
AGO,4,6,5.70,4.50,0.238,24,1.71,126.47,18.53,72.70,2.80
AGO,4,7,2.00,2.73,0.277,30,1.56,137.18,17.51,79.80,17.16
AGO,4,8,2.00,2.07,0.316,31,2.44,128.22,19.96,75.72,162.45
AGO,4,9,6.44,1.49,0.312,20,3.02,114.57,23.55,62.49,397.36
AGO,4,10,21.63,2.02,0.295,21,4.03,90.16,25.28,52.67,622.61
AGO,4,11,27.21,3.16,0.253,25,3.74,91.86,27.29,45.66,780.33
AGO,4,12,30.87,2.17,0.234,13,3.30,109.59,28.80,39.14,876.23
AGO,4,13,32.40,6.74,0.279,19,2.85,97.56,28.37,37.68,532.97
AGO,4,14,34.33,1.10,0.205,18,2.40,113.13,28.57,37.16,418.35
AGO,4,15,34.37,2.72,0.211,11,2.04,192.48,29.66,34.24,610.67
AGO,4,16,37.90,11.88,0.291,12,2.20,176.20,30.70,32.09,524.99
AGO,4,17,39.41,12.23,0.276,16,1.77,190.53,31.48,30.25,476.67
AGO,4,18,38.54,3.71,0.180,21,2.40,173.94,30.64,31.63,249.83
AGO,4,19,41.19,6.55,0.373,110,2.38,219.75,28.11,37.61,63.35
AGO,4,20,31.04,3.81,0.400,51,2.88,239.71,26.48,45.04,4.60
AGO,4,21,21.55,1.94,0.319,42,2.84,244.49,24.13,58.40,2.29
AGO,4,22,17.46,1.59,0.368,36,2.38,259.11,23.10,63.04,2.41
AGO,4,23,19.24,1.28,0.240,29,2.01,205.84,22.65,64.17,2.38
AGO,5,0,18.05,1.38,0.196,30,2.15,175.89,21.95,65.98,2.51
AGO,5,1,16.87,1.55,0.180,17,1.85,136.03,21.03,73.19,2.65
AGO,5,2,16.20,1.71,0.180,15,1.50,144.99,20.65,74.36,2.61
AGO,5,3,16.33,1.54,0.180,20,2.45,285.36,20.82,74.30,2.68
AGO,5,4,17.35,8.88,0.290,16,2.22,231.71,20.48,74.87,2.67
AGO,5,5,13.30,7.64,0.215,16,1.85,205.23,20.05,76.08,2.67
AGO,5,6,13.21,2.85,0.257,23,2.08,231.06,18.84,78.49,2.77
AGO,5,7,7.33,2.14,0.442,23,1.34,217.65,18.35,79.36,17.58
AGO,5,8,2.00,2.73,0.652,46,1.53,217.99,22.26,74.63,172.87
AGO,5,9,4.96,7.83,0.277,34,2.57,114.11,24.80,58.63,396.89
AGO,5,10,15.10,8.79,0.237,23,3.34,101.89,25.79,51.09,607.11
AGO,5,11,24.84,3.88,0.232,23,3.11,134.73,27.32,47.69,719.66
AGO,5,12,30.10,3.02,0.225,28,2.55,164.86,28.10,46.32,708.32
AGO,5,13,32.07,2.47,0.212,19,2.28,167.68,28.78,42.32,614.02
AGO,5,14,35.08,2.06,0.205,19,2.44,234.48,29.88,38.27,892.36
AGO,5,15,38.17,2.36,0.208,21,2.34,252.09,30.36,34.91,711.41
AGO,5,16,39.21,4.24,0.248,12,2.90,249.86,31.31,30.87,745.44
AGO,5,17,39.31,2.91,0.217,22,2.68,254.82,31.33,30.78,537.33
AGO,5,18,35.44,3.95,0.296,26,2.79,282.79,30.62,31.40,339.19
AGO,5,19,40.81,3.10,0.249,38,3.10,232.25,28.79,37.12,119.71
AGO,5,20,27.84,2.88,0.233,45,3.66,166.20,24.60,55.73,8.18
AGO,5,21,22.17,2.60,0.264,38,3.50,126.22,22.67,60.02,2.46
AGO,5,22,14.90,17.65,0.234,40,5.21,87.45,22.77,59.72,2.49
AGO,5,23,15.35,5.56,0.221,34,3.29,128.68,21.83,64.84,2.54
AGO,6,0,19.79,2.98,0.224,23,2.40,132.42,20.96,69.58,2.59
AGO,6,1,14.02,2.41,0.198,10,2.35,130.99,20.51,72.45,2.67
AGO,6,2,15.83,1.82,0.182,16,2.21,147.77,20.11,73.30,2.68
AGO,6,3,19.53,1.29,0.187,11,1.74,209.45,19.70,73.28,2.70
AGO,6,4,18.78,1.42,0.187,20,1.65,235.71,19.74,73.43,2.73
AGO,6,5,16.00,1.43,0.216,20,2.03,235.62,19.07,76.53,2.77
AGO,6,6,11.61,1.10,0.259,18,2.16,249.48,17.99,81.97,2.86
AGO,6,7,2.00,1.10,0.393,24,2.21,259.21,17.81,84.64,21.03
AGO,6,8,2.00,1.10,0.360,22,2.41,254.92,18.62,84.69,94.03
AGO,6,9,14.51,1.12,0.399,20,1.79,253.15,21.91,77.64,299.34
AGO,6,10,21.33,15.97,0.554,26,1.94,248.49,23.97,67.00,411.52
AGO,6,11,30.93,20.45,0.449,34,1.92,206.09,26.54,54.75,606.02
AGO,6,12,35.61,6.94,0.306,27,2.40,239.88,26.62,52.33,483.87
AGO,6,13,39.44,3.37,0.265,15,2.86,247.02,28.87,45.92,1001.42
AGO,6,14,43.15,2.38,0.245,34,3.09,249.61,28.70,44.75,851.87
AGO,6,15,45.92,1.70,0.214,15,3.11,242.36,29.62,41.09,898.31
AGO,6,16,43.84,1.24,0.202,8,3.48,243.24,28.97,42.22,714.87
AGO,6,17,44.80,1.10,0.215,13,3.56,260.93,29.67,38.61,589.20
AGO,6,18,44.22,19.39,0.545,24,3.41,212.81,28.81,37.98,296.91
AGO,6,19,27.61,19.95,0.577,71,2.44,245.84,20.14,68.09,4.98
AGO,6,20,22.22,3.08,0.395,20,2.83,248.16,18.96,79.31,2.99
AGO,6,21,23.14,2.33,0.352,18,2.63,244.22,17.87,88.88,2.92
AGO,6,22,18.24,4.38,0.303,19,2.25,150.34,18.16,91.50,2.90
AGO,6,23,20.18,8.80,0.344,21,2.80,97.28,18.41,89.00,2.95
AGO,7,0,30.47,9.22,0.180,23,2.55,207.08,16.64,90.10,3.07
AGO,7,1,27.58,5.34,0.302,14,2.77,264.93,16.40,94.30,3.07
AGO,7,2,24.90,3.34,0.222,13,2.88,290.59,16.43,95.30,3.04
AGO,7,3,22.62,1.80,0.180,NA,2.98,312.17,16.91,96.91,3.06
AGO,7,4,22.17,1.64,0.180,NA,1.78,249.74,16.97,97.44,2.97
AGO,7,5,18.58,1.40,0.197,11,2.03,225.09,16.53,97.75,2.97
AGO,7,6,16.47,1.27,0.254,11,1.57,188.39,16.29,98.10,3.02
AGO,7,7,2.00,1.10,0.544,17,1.47,137.99,16.25,98.60,18.47
AGO,7,8,5.48,1.36,0.388,16,1.87,106.80,17.61,98.37,92.99
AGO,7,9,18.22,4.35,0.362,14,1.48,178.08,21.68,89.65,303.01
AGO,7,10,16.20,10.88,0.673,38,2.05,289.93,20.96,95.43,233.26
AGO,7,11,23.14,24.64,0.472,34,1.82,203.50,23.56,88.59,505.04
AGO,7,12,32.56,23.64,0.284,16,2.19,148.76,26.08,67.74,779.55
AGO,7,13,37.95,8.52,0.243,16,2.84,111.47,27.03,53.76,932.41
AGO,7,14,43.27,11.24,0.231,18,2.62,105.77,28.44,46.39,1021.11
AGO,7,15,49.65,5.00,0.218,20,2.69,123.32,28.96,41.86,647.06
AGO,7,16,48.72,4.57,0.241,30,3.29,142.93,27.55,42.82,214.67
AGO,7,17,40.47,3.32,0.218,30,4.66,164.39,25.05,52.49,187.03
AGO,7,18,34.96,2.39,0.276,17,2.61,175.74,23.70,58.81,55.01
AGO,7,19,30.87,2.40,0.326,22,1.71,193.16,23.35,60.59,32.08
AGO,7,20,28.90,2.75,0.309,23,2.20,155.42,22.51,65.42,3.47
AGO,7,21,21.66,2.23,0.334,27,2.47,158.13,21.95,69.70,2.48
AGO,7,22,17.42,2.16,0.303,20,2.53,124.05,21.57,69.21,2.57
AGO,7,23,18.40,3.95,0.255,24,3.50,95.32,21.18,66.42,2.58
