DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MAY,4,20,33.29,1.34,0.359,73,3.31,265.78,27.71,20.99,24.14
MAY,4,21,29.68,1.34,0.449,30,2.70,262.15,26.68,21.93,8.39
MAY,4,22,27.49,1.72,0.439,38,2.62,273.16,25.23,24.03,1.81
MAY,4,23,31.64,1.82,0.409,39,2.77,260.88,24.48,27.87,4.08
MAY,5,0,26.88,1.43,0.419,35,2.02,261.81,23.76,29.70,1.93
MAY,5,1,25.20,1.93,0.419,43,2.15,316.52,23.36,31.00,6.40
MAY,5,2,27.82,2.37,0.399,34,1.36,274.47,22.82,31.22,24.20
MAY,5,3,18.06,2.56,0.439,37,1.15,136.11,21.54,34.27,4.28
MAY,5,4,13.02,2.49,0.419,48,1.13,268.03,20.44,34.37,2.07
MAY,5,5,13.24,4.19,0.449,48,1.32,93.87,19.58,39.51,2.18
MAY,5,6,3.13,5.69,0.498,47,1.67,125.63,18.04,44.95,2.25
MAY,5,7,2.76,16.62,0.658,50,1.94,116.23,18.04,44.07,30.16
MAY,5,8,8.20,8.66,0.717,59,2.38,99.65,21.86,40.60,214.86
MAY,5,9,19.71,6.78,0.588,56,2.66,117.78,25.08,42.64,401.43
MAY,5,10,32.65,8.83,0.488,57,2.26,105.31,28.13,33.18,676.37
MAY,5,11,47.89,3.69,0.379,42,2.61,143.09,30.94,23.02,832.39
MAY,5,12,48.37,2.58,0.329,24,2.62,241.74,32.34,19.42,996.55
MAY,5,13,43.73,2.01,0.250,28,3.11,234.23,32.53,17.23,1041.91
MAY,5,14,39.72,1.31,0.260,26,4.07,274.10,32.94,15.54,934.18
MAY,5,15,37.97,1.24,0.200,11,4.07,238.15,33.54,13.67,922.29
MAY,5,16,36.32,1.19,0.180,16,4.66,254.11,33.79,13.01,738.45
MAY,5,17,37.36,1.24,0.180,22,5.03,259.51,33.11,13.60,463.80
MAY,5,18,36.54,1.16,0.180,22,4.98,263.06,31.91,14.26,236.07
MAY,5,19,30.85,1.49,0.180,29,4.49,255.67,30.38,14.69,76.31
MAY,5,20,26.00,2.35,0.210,33,3.73,236.28,28.63,15.85,3.32
MAY,5,21,22.68,2.05,0.210,36,3.26,226.72,27.00,16.88,1.71
MAY,5,22,27.02,2.40,0.180,38,4.32,231.41,25.77,21.20,1.80
MAY,5,23,25.41,2.64,0.220,36,2.27,230.59,24.15,23.77,1.88
MAY,6,0,20.58,2.91,0.230,32,1.67,105.31,22.68,26.26,1.99
MAY,6,1,21.04,3.34,0.230,24,1.38,235.36,21.73,27.65,3.15
MAY,6,2,5.98,3.39,0.289,33,1.17,143.79,20.17,31.54,2.15
MAY,6,3,2.11,3.83,0.289,38,1.79,122.01,19.22,33.48,2.19
MAY,6,4,NA,8.05,0.309,38,1.50,160.25,18.43,36.56,2.21
MAY,6,5,2.00,5.82,0.409,31,1.40,110.61,17.99,37.72,2.23
MAY,6,6,NA,6.48,0.488,40,1.34,163.87,17.05,40.37,2.30
MAY,6,7,NA,7.12,1.006,54,1.45,214.79,18.04,41.12,36.24
MAY,6,8,2.00,6.40,1.255,61,1.57,196.08,23.25,38.75,223.10
MAY,6,9,30.71,5.03,0.319,44,2.16,198.93,26.87,32.33,469.75
MAY,6,10,39.18,4.15,0.230,31,3.36,177.70,27.63,26.39,685.02
MAY,6,11,45.52,3.43,0.240,30,2.54,223.86,29.60,23.88,857.43
MAY,6,12,44.44,2.76,0.240,24,3.67,261.82,30.25,20.03,992.61
MAY,6,13,49.08,2.62,0.280,22,3.90,265.14,31.08,18.59,1038.28
MAY,6,14,49.74,2.26,0.230,27,5.17,267.98,31.45,16.70,1016.67
MAY,6,15,47.46,2.41,0.260,31,5.48,271.79,31.95,15.37,894.07
MAY,6,16,43.91,2.16,0.180,42,5.30,261.39,31.76,13.30,627.99
MAY,6,17,45.43,1.54,0.180,40,5.19,267.31,31.36,13.62,453.82
MAY,6,18,43.17,1.10,0.180,42,5.24,262.13,30.33,13.98,252.64
MAY,6,19,39.80,1.10,0.240,41,4.63,276.74,28.66,15.08,74.17
MAY,6,20,30.95,2.11,0.429,43,3.17,271.84,26.69,16.13,4.17
MAY,6,21,26.93,2.52,0.359,70,2.60,235.46,25.30,20.26,1.83
MAY,6,22,28.74,2.61,0.260,48,2.63,214.37,24.41,20.74,1.87
MAY,6,23,26.19,1.82,0.260,38,2.02,228.76,23.01,21.55,1.97
MAY,7,0,20.19,2.86,0.260,33,1.79,192.02,21.49,23.46,2.09
MAY,7,1,20.69,2.78,0.220,43,1.99,291.94,20.71,24.85,2.10
MAY,7,2,17.80,1.82,0.230,30,2.07,298.01,19.87,26.86,2.18
MAY,7,3,15.52,2.13,0.280,30,1.48,266.89,18.73,27.21,2.24
MAY,7,4,7.05,2.72,0.339,43,1.49,249.21,17.74,29.69,2.24
MAY,7,5,13.15,2.63,0.409,51,1.73,236.60,17.24,31.69,2.30
MAY,7,6,8.78,2.41,0.578,59,2.12,251.76,17.15,33.73,2.33
MAY,7,7,2.33,9.31,0.787,53,1.58,91.46,16.96,36.29,39.41
MAY,7,8,2.00,6.02,0.618,50,1.64,138.63,20.22,32.58,218.70
MAY,7,9,16.88,30.95,0.578,43,1.78,193.25,25.80,24.87,471.49
MAY,7,10,37.55,50.98,0.578,38,1.92,311.21,28.08,18.71,693.55
MAY,7,11,45.58,9.97,0.359,40,2.27,263.59,29.27,17.17,884.97
MAY,7,12,46.89,1.95,0.260,36,2.85,263.89,30.21,16.41,1016.44
MAY,7,13,48.71,1.55,0.270,23,3.53,269.02,30.98,14.88,1051.90
MAY,7,14,48.87,1.27,0.190,20,4.23,252.91,31.83,13.25,1049.36
MAY,7,15,52.99,1.47,0.210,25,4.95,261.66,32.32,12.32,949.64
MAY,7,16,51.45,2.17,0.180,36,5.89,269.19,32.51,11.35,800.48
MAY,7,17,50.03,2.12,0.180,33,5.37,268.33,32.49,10.98,580.80
MAY,7,18,51.17,2.17,0.349,155,5.42,272.81,31.53,10.78,304.99
MAY,7,19,49.63,2.26,0.399,102,5.29,277.25,29.93,10.11,109.31
MAY,7,20,39.66,3.29,0.459,63,3.28,263.18,27.09,11.77,4.96
MAY,7,21,34.70,3.23,0.419,44,2.28,255.88,24.66,12.78,1.92
MAY,7,22,33.91,2.84,0.439,40,2.12,257.47,23.17,13.28,1.99
MAY,7,23,37.28,3.23,0.359,51,2.40,263.74,22.30,13.61,2.06
MAY,8,0,31.09,3.14,0.270,49,2.43,272.49,20.67,15.45,2.12
MAY,8,1,27.82,2.70,0.250,37,2.80,276.44,19.27,20.15,2.20
MAY,8,2,25.65,2.35,0.240,34,2.78,287.95,18.72,23.20,2.22
MAY,8,3,21.88,2.56,0.250,26,2.51,303.89,17.95,26.16,2.24
MAY,8,4,14.70,2.91,0.289,32,1.97,313.17,16.96,25.39,2.25
MAY,8,5,13.42,3.03,0.379,40,1.68,259.67,16.42,27.44,2.29
MAY,8,6,4.64,3.51,0.727,42,1.54,246.91,15.78,29.72,2.41
MAY,8,7,3.35,4.80,1.135,52,1.67,254.33,16.23,30.96,42.47
MAY,8,8,2.84,5.44,1.265,49,2.02,299.12,21.39,25.58,246.06
MAY,8,9,12.98,4.02,0.687,43,2.49,291.14,25.03,17.80,484.66
MAY,8,10,34.54,3.47,0.319,45,3.59,259.93,26.38,18.64,714.26
MAY,8,11,45.34,3.08,0.299,35,4.96,266.80,27.72,17.73,909.05
MAY,8,12,48.45,2.81,0.289,49,5.78,258.35,28.49,14.16,1031.33
MAY,8,13,51.21,2.02,0.270,44,5.72,259.41,29.45,11.68,1082.71
MAY,8,14,57.35,1.53,0.240,51,6.14,252.28,29.81,8.87,1071.07
MAY,8,15,62.70,1.55,0.260,97,5.53,257.65,30.72,8.28,969.71
MAY,8,16,59.92,1.38,0.190,110,5.47,251.20,31.09,7.39,805.02
MAY,8,17,56.34,1.10,0.180,45,5.57,249.20,31.27,7.39,584.10
MAY,8,18,58.37,1.10,0.180,53,5.38,244.44,30.72,8.94,314.91
MAY,8,19,51.34,1.10,0.379,59,4.57,256.95,29.28,10.10,92.80
MAY,8,20,37.30,1.10,0.479,63,2.90,267.23,26.48,12.09,4.96
MAY,8,21,28.17,1.27,0.449,48,3.00,274.07,24.76,13.76,1.87
MAY,8,22,31.36,1.36,0.419,56,2.77,259.84,23.67,14.99,1.96
MAY,8,23,35.97,1.83,0.280,52,2.96,233.09,23.46,15.20,2.00
MAY,9,0,36.74,1.59,0.270,49,2.55,238.69,22.68,17.41,2.01
MAY,9,1,29.25,2.09,0.319,43,1.69,9.42,20.82,19.40,2.11
