DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
FEB,7,6,2.00,1.90,NA,48,1.25,262.90,12.45,49.18,2.46
FEB,7,7,NA,2.40,NA,52,1.41,153.43,11.45,55.95,2.52
FEB,7,8,NA,11.26,NA,100,1.60,106.04,11.00,63.39,33.36
FEB,7,9,NA,23.80,NA,60,1.68,116.18,16.10,49.95,228.95
FEB,7,10,5.17,25.21,NA,59,1.49,127.67,21.34,34.92,451.31
FEB,7,11,19.30,8.97,NA,38,1.60,162.56,24.82,27.70,653.65
FEB,7,12,30.72,4.19,NA,10,1.93,112.69,26.81,25.01,803.64
FEB,7,13,38.28,4.49,NA,12,2.11,138.40,28.26,22.77,883.51
FEB,7,14,42.80,3.85,NA,2,2.01,128.56,29.78,19.93,724.81
FEB,7,15,44.61,1.10,NA,11,2.13,162.14,30.52,16.21,814.15
FEB,7,16,40.90,NA,NA,7,2.63,102.72,30.88,13.31,661.95
FEB,7,17,44.07,NA,NA,10,1.83,191.49,31.44,13.24,461.78
FEB,7,18,40.49,14.47,NA,19,2.17,90.76,30.29,13.53,237.89
FEB,7,19,30.34,3.34,NA,33,1.65,64.80,26.98,15.05,39.42
FEB,7,20,7.34,8.39,NA,61,0.97,1.45,22.07,16.87,1.93
FEB,7,21,2.00,12.51,NA,88,1.16,82.74,20.52,27.71,2.03
FEB,7,22,2.00,14.49,NA,93,1.26,120.05,18.85,28.33,2.12
FEB,7,23,2.00,37.75,NA,114,4.36,87.82,19.45,31.76,2.14
FEB,8,0,16.74,13.04,NA,53,5.66,87.29,20.26,40.51,2.08
FEB,8,1,15.79,45.34,NA,44,4.80,79.14,19.17,46.86,2.13
FEB,8,2,10.80,56.56,NA,44,4.38,80.96,17.40,55.12,2.20
FEB,8,3,8.59,82.03,NA,53,4.60,71.03,16.57,61.37,2.26
FEB,8,4,8.12,65.91,NA,56,4.05,73.40,15.68,68.31,2.29
FEB,8,5,9.84,18.23,NA,44,4.18,73.55,15.38,70.38,2.29
FEB,8,6,11.84,6.22,NA,28,4.57,66.52,15.15,70.21,2.33
FEB,8,7,12.25,4.00,NA,19,4.83,66.73,15.39,69.86,2.32
FEB,8,8,9.24,14.66,NA,27,4.29,72.23,15.39,70.27,25.65
FEB,8,9,5.11,99.20,NA,37,4.62,70.59,16.58,66.46,170.35
FEB,8,10,12.78,61.86,NA,48,5.93,75.42,19.16,56.69,424.78
FEB,8,11,20.41,40.22,NA,71,6.90,86.00,21.49,44.82,556.53
FEB,8,12,23.84,33.43,NA,69,7.10,85.38,22.84,39.51,681.41
FEB,8,13,27.02,68.07,NA,49,7.00,77.89,24.39,35.51,806.44
FEB,8,14,28.39,44.36,NA,48,6.14,79.22,25.56,32.79,658.50
FEB,8,15,28.00,46.09,NA,41,6.31,81.24,26.49,31.38,794.92
FEB,8,16,29.34,4.26,NA,40,6.52,83.39,26.30,32.41,628.86
FEB,8,17,24.80,19.03,NA,37,5.82,86.42,25.80,33.50,353.04
FEB,8,18,19.47,1.23,NA,40,5.50,88.11,23.98,38.58,155.77
FEB,8,19,13.06,1.10,NA,38,5.21,86.34,21.93,44.14,26.68
FEB,8,20,6.08,69.82,NA,47,5.27,77.99,20.50,48.99,2.05
FEB,8,21,5.12,45.46,NA,38,5.56,74.55,19.10,53.53,2.11
FEB,8,22,6.71,14.09,NA,26,5.35,74.61,17.61,58.35,2.17
FEB,8,23,7.58,17.57,NA,16,5.90,76.79,16.76,61.03,2.21
FEB,9,0,6.64,32.47,NA,18,5.59,74.18,15.64,64.99,2.26
FEB,9,1,8.49,4.78,NA,19,5.39,74.05,14.88,67.77,2.32
FEB,9,2,7.84,20.77,NA,9,5.68,75.49,14.44,69.32,2.35
FEB,9,3,6.19,49.16,NA,10,5.28,78.04,13.75,72.07,2.37
FEB,9,4,4.44,70.25,NA,20,4.78,76.40,13.26,74.13,2.42
FEB,9,5,5.36,50.15,NA,23,4.78,71.11,13.05,73.86,2.42
FEB,9,6,5.02,34.07,NA,17,3.43,81.82,12.59,75.10,2.45
FEB,9,7,3.50,9.75,NA,16,2.92,100.03,12.03,77.31,2.50
FEB,9,8,2.00,7.48,NA,16,3.34,74.48,12.10,78.17,23.94
FEB,9,9,2.00,10.89,NA,8,3.09,94.87,13.32,73.66,114.11
FEB,9,10,6.23,5.43,NA,13,4.64,91.76,15.60,64.43,362.88
FEB,9,11,10.97,51.43,NA,15,5.92,77.17,17.93,54.36,657.30
FEB,9,12,15.14,11.85,NA,20,5.88,90.86,20.36,46.30,807.43
FEB,9,13,19.58,4.64,NA,18,5.45,96.10,22.22,39.94,890.25
FEB,9,14,23.03,13.56,NA,11,4.85,93.23,23.82,34.20,758.09
FEB,9,15,25.69,7.81,NA,12,4.74,84.79,25.08,29.66,814.50
FEB,9,16,26.77,3.82,NA,13,4.67,91.61,25.79,27.63,668.24
FEB,9,17,27.44,2.81,NA,18,4.46,92.91,26.06,26.83,468.49
FEB,9,18,25.02,1.28,NA,27,3.94,104.91,25.74,27.43,240.23
FEB,9,19,19.98,2.59,NA,33,2.82,119.29,23.68,30.85,39.35
FEB,9,20,8.16,6.19,NA,38,3.21,72.13,21.25,37.13,1.97
FEB,9,21,7.37,9.93,NA,28,3.48,71.07,19.60,45.16,2.10
FEB,9,22,4.47,84.45,NA,29,4.81,83.53,17.76,55.46,2.25
FEB,9,23,5.78,39.40,NA,33,4.66,88.04,16.74,58.35,2.23
