DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,8,3,9.85,3.93,0.270,35,1.69,146.52,19.06,51.14,5.47
MZO,8,4,11.73,2.58,0.250,58,1.30,285.15,17.98,52.55,2.18
MZO,8,5,16.14,1.75,0.230,23,1.98,267.84,17.87,52.24,2.20
MZO,8,6,15.96,1.92,0.240,24,1.51,244.02,16.68,54.18,5.60
MZO,8,7,3.26,2.43,0.628,26,1.11,289.45,15.88,55.06,3.80
MZO,8,8,2.00,2.96,1.095,45,1.84,317.09,17.33,56.32,74.47
MZO,8,9,3.04,3.16,0.936,32,1.51,226.65,22.50,44.97,297.22
MZO,8,10,20.01,11.31,0.588,53,1.86,240.73,25.84,33.76,534.70
MZO,8,11,32.29,2.87,0.379,37,2.66,278.15,27.17,28.71,746.45
MZO,8,12,38.39,1.69,0.280,20,2.97,278.69,28.43,24.61,900.37
MZO,8,13,40.97,1.17,0.280,16,3.28,272.67,29.78,20.99,974.86
MZO,8,14,42.00,1.10,0.250,16,3.18,268.10,31.14,18.33,941.58
MZO,8,15,40.90,1.20,0.200,13,3.14,263.33,32.20,15.15,885.88
MZO,8,16,41.61,1.10,0.180,15,3.31,254.78,32.57,14.30,727.80
MZO,8,17,46.64,1.30,0.190,25,3.45,274.79,32.18,15.43,514.08
MZO,8,18,45.94,1.10,0.220,35,3.07,273.19,31.44,16.30,274.87
MZO,8,19,41.63,1.46,0.349,34,2.59,267.01,29.09,18.59,52.41
MZO,8,20,27.28,1.65,0.558,48,2.27,261.93,26.52,22.87,15.16
MZO,8,21,15.17,3.28,0.757,50,1.91,218.21,25.18,25.04,20.22
MZO,8,22,16.10,2.93,0.459,74,2.24,194.18,24.04,27.43,11.86
MZO,8,23,20.84,2.27,0.369,41,2.56,278.44,23.41,30.03,6.39
MZO,9,0,19.67,1.61,0.349,34,2.64,298.27,22.16,36.01,3.08
MZO,9,1,13.02,2.78,0.349,37,2.42,299.79,20.84,39.79,11.00
MZO,9,2,19.56,2.69,0.280,38,1.80,244.57,19.89,44.18,2.14
MZO,9,3,19.22,2.14,0.210,29,2.33,268.40,18.91,47.24,4.38
MZO,9,4,17.43,1.44,0.200,20,2.27,240.00,18.03,48.17,7.75
MZO,9,5,15.69,1.50,0.180,26,1.76,259.45,17.06,47.62,5.63
MZO,9,6,12.07,1.55,0.200,25,1.98,288.18,16.51,48.53,8.99
MZO,9,7,5.31,1.75,0.359,26,1.67,300.27,16.01,50.71,2.75
MZO,9,8,2.00,5.03,0.618,36,1.66,101.07,16.69,52.97,75.40
MZO,9,9,27.29,7.83,0.528,75,1.72,252.65,22.05,42.92,307.07
MZO,9,10,29.49,3.98,0.309,17,2.01,263.04,25.53,31.32,547.92
MZO,9,11,35.67,2.18,0.250,12,2.24,266.23,27.72,24.90,756.15
MZO,9,12,41.40,1.96,0.200,18,2.25,255.37,29.61,21.09,904.73
MZO,9,13,42.47,1.80,0.220,12,2.89,284.97,30.74,19.47,986.74
MZO,9,14,42.87,1.67,0.240,13,2.66,245.40,31.29,19.61,949.31
MZO,9,15,40.08,1.67,0.180,15,3.15,260.89,32.01,17.97,902.44
MZO,9,16,41.98,1.66,0.230,17,3.59,276.72,32.45,17.62,739.27
MZO,9,17,44.35,1.24,0.200,25,3.27,281.01,32.32,16.92,524.77
MZO,9,18,40.36,1.21,0.240,19,3.85,298.08,31.52,14.62,281.37
MZO,9,19,38.21,1.10,0.309,30,2.70,284.64,29.35,16.45,59.71
MZO,9,20,23.79,1.10,0.697,35,1.98,270.72,26.66,20.31,5.15
MZO,9,21,10.68,1.14,0.896,45,1.92,249.19,25.57,23.53,3.96
MZO,9,22,12.24,1.34,0.697,54,1.49,227.75,24.67,24.14,1.85
MZO,9,23,15.75,1.45,0.558,45,2.52,279.47,23.12,26.22,7.71
MZO,10,0,16.22,2.03,0.518,36,2.63,298.00,22.04,28.75,4.20
MZO,10,1,16.91,2.81,0.419,45,2.15,275.79,21.00,29.43,12.02
MZO,10,2,24.00,2.61,0.319,33,1.64,248.43,19.37,31.36,3.23
MZO,10,3,22.86,2.36,0.270,28,1.89,268.11,18.65,35.93,9.40
MZO,10,4,18.07,1.96,0.260,21,1.69,235.15,17.55,39.25,2.23
MZO,10,5,14.88,1.72,0.260,21,1.40,298.19,16.81,41.55,15.63
MZO,10,6,9.07,1.69,0.309,29,1.09,261.77,15.77,44.56,8.92
MZO,10,7,9.41,2.91,0.528,36,1.18,266.78,15.20,45.80,16.21
MZO,10,8,3.61,3.27,1.056,36,1.20,29.93,16.90,45.78,82.40
MZO,10,9,11.88,4.62,0.727,43,1.16,253.85,22.87,36.67,318.48
MZO,10,10,27.09,2.87,0.479,15,1.82,270.95,26.10,27.33,551.40
MZO,10,11,36.78,2.82,0.250,20,1.64,242.74,28.13,21.80,761.52
MZO,10,12,45.30,2.23,0.250,10,1.76,249.33,30.22,18.72,913.98
MZO,10,13,45.69,1.41,0.220,11,2.25,286.12,31.33,14.77,990.75
MZO,10,14,43.30,1.12,0.180,11,2.44,267.77,32.08,13.90,957.45
MZO,10,15,41.18,1.10,0.180,9,3.39,290.58,32.61,13.36,905.38
MZO,10,16,42.22,1.14,0.190,9,3.12,275.04,32.94,12.83,749.09
MZO,10,17,44.74,1.67,0.180,22,3.26,300.32,32.72,13.48,528.70
MZO,10,18,44.62,1.40,0.180,23,3.85,303.57,31.74,14.78,276.13
MZO,10,19,37.42,1.78,0.280,26,2.80,276.10,29.59,17.02,56.82
MZO,10,20,17.36,3.28,0.777,34,2.04,289.97,27.20,20.47,5.12
MZO,10,21,6.91,4.31,0.906,53,1.25,221.31,25.80,22.52,1.74
MZO,10,22,3.57,4.54,1.275,96,1.64,241.67,23.95,25.20,5.26
MZO,10,23,4.25,5.08,0.996,59,1.54,187.63,23.14,27.61,5.27
MZO,11,0,3.67,8.36,0.628,55,1.21,148.05,21.99,31.61,4.21
MZO,11,1,14.74,4.30,0.538,54,2.00,149.86,21.78,40.30,1.98
MZO,11,2,21.72,2.40,0.389,36,1.18,154.57,20.68,43.43,8.72
MZO,11,3,21.24,2.07,0.260,29,1.35,130.06,19.82,45.98,6.60
MZO,11,4,12.72,2.93,0.299,27,0.96,166.91,18.44,46.82,2.15
MZO,11,5,2.00,4.36,0.349,35,0.93,88.76,17.40,48.04,7.80
MZO,11,6,NA,4.54,0.419,41,1.03,109.00,16.80,54.23,7.85
MZO,11,7,NA,4.55,0.747,47,1.11,100.82,16.14,56.85,4.00
MZO,11,8,NA,3.93,0.548,48,1.24,135.28,17.50,54.12,81.19
MZO,11,9,9.28,2.64,0.508,36,2.42,101.19,21.39,43.27,305.08
MZO,11,10,20.70,2.05,0.389,33,3.19,89.20,24.07,35.33,542.47
MZO,11,11,29.59,5.11,0.429,44,3.01,105.42,27.16,29.66,741.75
MZO,11,12,43.63,6.10,0.339,53,2.78,133.02,29.62,26.25,897.29
MZO,11,13,56.39,3.51,0.309,26,2.94,124.00,31.06,23.48,978.47
MZO,11,14,59.20,2.05,0.299,26,2.58,115.80,32.65,20.68,948.80
MZO,11,15,66.36,2.61,0.280,27,2.73,119.55,33.96,18.25,880.80
MZO,11,16,66.83,1.95,0.230,32,2.23,117.61,35.07,16.35,722.05
MZO,11,17,61.55,1.67,0.210,31,2.51,176.00,35.10,15.46,508.42
MZO,11,18,51.58,1.14,0.180,35,2.90,211.51,34.00,14.64,280.22
