DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
NOV,7,22,3.44,3.00,0.299,34,2.01,112.31,20.25,54.86,2.80
NOV,7,23,7.29,2.67,0.254,27,2.86,66.22,19.20,62.80,2.82
NOV,8,0,8.76,1.91,0.217,21,3.32,89.18,18.46,71.40,2.91
NOV,8,1,11.87,3.11,0.181,7,4.31,74.23,17.83,76.85,2.96
NOV,8,2,11.04,7.15,0.181,12,4.99,68.57,17.41,79.39,2.97
NOV,8,3,11.11,4.49,0.184,13,3.61,87.77,16.67,81.45,3.03
NOV,8,4,8.58,6.79,0.180,14,3.63,80.79,16.21,83.61,3.03
NOV,8,5,11.08,4.66,0.180,15,4.54,71.33,16.22,82.89,3.01
NOV,8,6,9.56,3.21,0.191,6,3.26,97.40,15.72,82.99,3.03
NOV,8,7,3.98,1.95,0.290,17,1.99,112.39,14.70,85.87,5.82
NOV,8,8,2.00,1.10,0.392,17,2.09,135.11,16.68,81.02,110.52
NOV,8,9,6.95,1.10,0.335,13,4.26,92.88,19.29,68.60,295.58
NOV,8,10,13.21,1.60,0.338,21,4.89,87.03,21.80,56.21,518.18
NOV,8,11,16.96,3.86,0.318,39,6.00,76.76,23.14,52.73,608.27
NOV,8,12,20.54,4.89,0.282,33,6.20,82.66,24.57,46.28,769.06
NOV,8,13,24.90,3.47,0.270,43,5.92,83.52,26.12,38.31,721.81
NOV,8,14,24.06,7.22,0.270,28,5.67,79.92,26.75,35.61,678.28
NOV,8,15,22.91,11.42,0.236,21,5.05,75.69,27.65,32.66,688.91
NOV,8,16,26.34,5.11,0.260,15,4.75,76.25,28.06,31.14,525.34
NOV,8,17,25.16,3.33,0.221,25,4.72,74.86,27.77,31.50,311.03
NOV,8,18,20.33,2.09,0.324,38,3.75,72.27,26.07,36.19,72.71
NOV,8,19,15.26,2.70,0.323,37,4.81,65.12,23.27,49.76,3.73
NOV,8,20,12.66,3.52,0.369,33,5.41,68.08,20.69,60.92,2.73
NOV,8,21,12.49,3.15,0.238,20,5.63,53.79,19.17,66.23,2.84
NOV,8,22,12.67,31.46,0.219,14,5.18,50.79,18.49,68.45,2.92
NOV,8,23,12.53,119.84,0.223,13,4.86,52.75,18.39,68.66,2.96
NOV,9,0,11.89,251.40,0.197,21,4.89,60.42,18.23,68.97,2.93
