MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR
MAYO,12.0,11.0,0.057,0.031,0.45,0.006,22.0,19.0,24.464583,3.93375,78.559433,36.95205,623.197667
MAYO,12.0,12.0,0.066,0.031,0.51,0.007,26.0,16.0,26.80315,4.40248,88.835717,24.094933,622.5095
MAYO,12.0,13.0,0.071,0.036,0.41,0.006,24.0,18.0,28.6397,4.557495,76.853683,14.234317,621.882167
MAYO,12.0,14.0,0.072,0.033,0.44,0.006,21.0,14.0,29.846483,4.276948,98.807017,12.412283,621.094833
MAYO,12.0,15.0,0.074,0.03,0.53,0.007,25.0,16.0,30.88355,3.690167,96.699167,11.043755,620.218167
MAYO,12.0,16.0,0.072,0.01,0.35,0.004,26.0,22.0,31.97785,3.067973,85.60465,7.949083,619.439167
MAYO,12.0,17.0,0.069,0.002,0.36,0.003,18.0,21.0,32.359733,3.230173,74.282083,6.121445,619.021
MAYO,12.0,18.0,0.064,0.001,0.35,0.003,19.0,12.0,32.110067,4.44447,73.269217,7.565762,618.912333
MAYO,12.0,19.0,0.06,0.0,0.33,0.004,22.0,12.0,30.847367,4.983713,84.21015,7.052688,619.277833
MAYO,12.0,20.0,0.055,0.001,0.33,0.005,23.0,10.0,28.864817,4.27191,55.031333,10.037237,619.9315
MAYO,12.0,21.0,0.056,0.0,0.32,0.004,21.0,8.0,27.115233,4.211778,47.817033,13.85505,620.625
MAYO,12.0,22.0,0.055,0.0,0.3,0.003,20.0,9.0,25.545667,4.621625,49.02395,16.912,621.024667
MAYO,12.0,23.0,0.054,0.0,0.28,0.002,14.0,9.0,24.385967,4.401297,46.631517,17.205633,621.3235
MAYO,13.0,0.0,0.044,0.049,0.32,0.008,17.0,7.0,23.034917,3.155523,86.3271,19.267117,621.619
MAYO,13.0,1.0,0.041,0.085,0.28,0.01,34.0,25.0,21.965517,3.529603,83.306783,25.207367,621.61
MAYO,13.0,2.0,0.036,0.095,0.27,0.012,28.0,12.0,21.290017,3.386433,87.925533,30.762417,621.439667
MAYO,13.0,3.0,0.038,0.121,0.68,0.012,36.0,34.0,20.7199,2.820832,72.668817,38.226167,621.172833
MAYO,13.0,4.0,0.041,0.046,0.64,0.008,20.0,18.0,20.182633,2.046217,71.16355,39.058833,620.827
MAYO,13.0,5.0,0.031,0.021,0.28,0.011,28.0,16.0,17.643767,0.447,152.110767,40.760833,621.3835
MAYO,13.0,6.0,0.024,0.021,0.4,0.014,29.0,17.0,17.055583,0.447,102.7937,44.3593,621.766333
MAYO,13.0,7.0,0.01,0.01,0.89,0.025,38.0,19.0,16.480267,0.447,183.591802,44.7808,622.066667
MAYO,13.0,8.0,0.018,0.013,0.76,0.022,40.0,24.0,18.5186,0.447,149.313532,42.23425,622.54
MAYO,13.0,9.0,0.027,0.068,0.63,0.022,42.0,23.0,21.13815,1.128157,124.336417,43.751767,622.4395
MAYO,13.0,11.0,0.053,0.007,0.55,0.012,43.0,34.0,24.963203,1.253968,234.998983,31.542593,622.12
MAYO,13.0,12.0,0.068,0.008,0.54,0.01,33.0,33.0,26.78945,1.863518,237.897917,23.675217,621.686
MAYO,13.0,13.0,0.072,0.004,0.49,0.009,33.0,23.0,28.390017,2.281223,262.166833,19.63305,620.963
MAYO,13.0,14.0,0.07,0.003,0.52,0.01,28.0,17.0,30.243517,2.147697,224.713167,13.99335,620.349667
MAYO,13.0,15.0,0.071,0.002,0.48,0.01,25.0,22.0,31.707617,1.505063,186.84135,10.25665,619.544167
MAYO,13.0,16.0,0.074,0.002,0.48,0.009,21.0,14.0,32.56765,1.268657,184.9641,8.617,618.824167
MAYO,13.0,17.0,0.069,0.004,0.52,0.012,24.0,16.0,33.408783,1.384052,221.837333,7.336093,618.238167
MAYO,13.0,18.0,0.073,0.006,0.51,0.011,23.0,18.0,33.83115,1.06454,171.730617,6.418835,617.958667
MAYO,13.0,19.0,0.069,0.006,0.58,0.014,32.0,10.0,32.8397,1.282208,142.699633,7.539612,618.016333
MAYO,13.0,20.0,0.055,0.005,0.82,0.021,32.0,19.0,31.380167,0.447075,152.352817,9.398068,618.311
MAYO,13.0,21.0,0.033,0.019,0.93,0.022,30.0,20.0,30.038567,1.163852,149.313,10.76247,619.038333
MAYO,13.0,22.0,0.038,0.068,1.28,0.011,35.0,16.0,28.670117,2.971552,79.556617,13.223517,619.688667
MAYO,13.0,23.0,0.031,0.057,0.71,0.014,33.0,19.0,26.796167,3.523528,82.503067,19.031567,620.258333
MAYO,14.0,0.0,0.027,0.04,0.5,0.016,48.0,32.0,25.09185,2.227238,108.997767,25.955717,620.7185
MAYO,14.0,1.0,0.029,0.092,0.55,0.017,63.0,33.0,24.4634,2.15176,80.189167,28.668067,620.881167
MAYO,14.0,2.0,0.038,0.004,0.28,0.008,35.0,41.0,23.237283,1.961872,54.856433,28.48595,620.748333
MAYO,14.0,3.0,0.033,0.018,0.55,0.008,21.0,15.0,21.9311,0.833247,81.261733,31.390317,620.471833
MAYO,14.0,4.0,0.032,0.048,0.63,0.011,27.0,12.0,21.569483,1.607193,104.313567,32.5481,620.219333
MAYO,14.0,5.0,0.025,0.1,0.48,0.015,40.0,24.0,20.277733,2.289443,101.012083,37.166117,620.431
MAYO,14.0,6.0,0.02,0.151,1.12,0.022,65.0,52.0,19.8483,2.977552,85.367983,43.508483,620.894833
MAYO,14.0,7.0,0.019,0.112,0.7,0.021,90.0,86.0,19.159617,3.506198,87.683183,46.370117,621.213833
MAYO,14.0,8.0,0.023,0.076,0.44,0.019,60.0,57.0,20.131417,3.527075,92.5051,45.97835,621.402667
MAYO,14.0,9.0,0.029,0.114,0.5,0.018,68.0,51.0,22.58195,2.94949,97.9947,40.0,621.719667
MAYO,14.0,10.0,0.041,0.062,0.46,0.015,65.0,52.0,24.681317,1.915222,90.817183,37.283367,621.696167
MAYO,14.0,11.0,0.06,0.01,0.57,0.011,45.0,47.0,26.971633,0.867245,178.4588,33.1505,621.452333
MAYO,14.0,12.0,0.078,0.005,0.52,0.007,46.0,32.0,28.8638,0.783845,165.09575,29.811783,620.989667
MAYO,14.0,13.0,0.087,0.022,0.51,0.007,36.0,29.0,30.955283,0.999958,137.464612,22.27725,620.457
MAYO,14.0,16.0,0.072,0.014,0.61,0.013,39.0,35.0,32.473783,0.997438,188.948633,15.829183,618.330833
MAYO,14.0,17.0,0.062,0.01,0.8,0.021,37.0,26.0,31.954233,1.546395,205.207167,17.022783,617.8065
MAYO,14.0,18.0,0.057,0.004,0.77,0.018,43.0,33.0,31.3823,2.712785,224.426167,21.426567,617.6775
MAYO,14.0,19.0,0.05,0.005,0.78,0.014,79.0,37.0,29.091517,3.710153,250.735333,31.381983,618.473833
MAYO,14.0,20.0,0.039,0.003,0.71,0.015,70.0,46.0,27.3035,3.820802,211.2155,34.4448,619.464833
MAYO,14.0,21.0,0.041,0.003,0.63,0.01,66.0,42.0,25.5527,4.63296,218.3005,39.188417,620.357167
MAYO,14.0,22.0,0.041,0.003,0.54,0.01,69.0,36.0,23.756583,3.031462,217.7885,46.6946,621.0115
MAYO,14.0,23.0,0.039,0.002,0.51,0.009,45.0,33.0,23.005767,1.600228,226.588167,49.681617,621.849333
MAYO,15.0,0.0,0.041,0.002,0.42,0.007,32.0,30.0,22.234,0.578907,226.298333,51.978833,621.9495
MAYO,15.0,1.0,0.041,0.002,0.49,0.007,18.0,20.0,22.222267,0.447,242.088983,51.09375,622.086833
MAYO,15.0,2.0,0.037,0.002,0.51,0.009,26.0,20.0,21.7089,0.45137,239.369833,52.73205,621.9975
MAYO,15.0,3.0,0.034,0.002,0.45,0.009,27.0,25.0,20.471417,0.447148,224.2005,56.011833,621.9625
MAYO,15.0,4.0,0.021,0.002,0.5,0.016,34.0,27.0,19.583567,0.481367,281.030267,58.126233,621.972
MAYO,15.0,5.0,0.017,0.003,0.48,0.019,40.0,33.0,18.6634,0.45137,232.051003,58.910083,621.878333
MAYO,15.0,6.0,0.012,0.003,0.59,0.022,39.0,30.0,18.682933,0.447,231.531667,58.637217,621.898833
MAYO,15.0,7.0,0.018,0.005,0.67,0.02,49.0,35.0,18.814433,0.5321,90.123627,58.971983,622.151333
MAYO,15.0,8.0,0.026,0.027,0.62,0.019,42.0,35.0,19.435,0.82495,108.52775,59.983783,622.645833
MAYO,15.0,9.0,0.04,0.046,0.51,0.012,53.0,45.0,21.6254,1.736947,124.8016,52.211883,622.703333
MAYO,15.0,10.0,0.052,0.054,0.47,0.007,32.0,33.0,24.2917,2.452232,88.489167,40.311417,622.598333
MAYO,15.0,11.0,0.056,0.058,0.49,0.009,34.0,29.0,26.07085,1.990097,101.562917,34.273967,622.422
MAYO,15.0,12.0,0.064,0.052,0.66,0.008,35.0,33.0,28.204017,1.898558,140.21775,27.624283,622.001
MAYO,15.0,13.0,0.065,0.03,0.45,0.007,26.0,22.0,29.889433,1.790203,153.008833,20.285167,621.3245
MAYO,15.0,14.0,0.067,0.01,0.41,0.005,17.0,16.0,30.884667,1.730882,159.615417,16.789867,620.513667
MAYO,15.0,15.0,0.065,0.007,0.42,0.006,16.0,18.0,32.6097,1.019895,176.61005,13.040517,619.696167
MAYO,15.0,16.0,0.065,0.003,0.36,0.004,21.0,12.0,32.9572,2.09252,276.41695,12.562233,619.061167
MAYO,15.0,17.0,0.063,0.001,0.39,0.004,22.0,13.0,32.80565,1.45907,252.176363,11.94245,618.588333
MAYO,15.0,18.0,0.062,0.001,0.37,0.004,17.0,23.0,32.5881,1.1512,169.174883,10.638312,618.395833
MAYO,15.0,19.0,0.062,0.001,0.36,0.003,28.0,14.0,31.878983,3.684165,57.321267,13.033105,618.673667
MAYO,15.0,20.0,0.055,0.001,0.36,0.003,40.0,20.0,30.125683,4.697473,48.879133,18.601583,619.191333
MAYO,15.0,21.0,0.049,0.021,0.48,0.005,22.0,13.0,28.591733,4.489207,69.11795,20.383317,619.893333
MAYO,15.0,22.0,0.045,0.066,2.07,0.008,33.0,23.0,27.35495,4.834475,55.87485,24.46575,620.649333
MAYO,15.0,23.0,0.044,0.213,0.55,0.008,32.0,20.0,25.89075,5.248545,74.597183,28.637017,621.3125
MAYO,16.0,0.0,0.039,0.058,0.43,0.011,51.0,26.0,24.303083,4.153412,99.330667,33.35175,621.6585
MAYO,16.0,1.0,0.041,0.048,0.34,0.007,55.0,35.0,23.415833,3.01406,96.56615,34.4054,621.863667
MAYO,16.0,2.0,0.036,0.111,0.43,0.011,46.0,31.0,22.513467,2.85261,61.797117,37.716617,621.764167
MAYO,16.0,3.0,0.039,0.005,0.3,0.006,28.0,24.0,20.9883,2.20998,56.74165,38.895567,621.613833
MAYO,16.0,4.0,0.043,0.004,0.36,0.004,19.0,16.0,20.549933,2.20325,57.586267,39.078417,621.490333
MAYO,16.0,5.0,0.041,0.019,0.44,0.007,17.0,17.0,20.35015,1.356555,93.764417,37.287533,621.610333
MAYO,16.0,6.0,0.024,0.046,0.46,0.019,35.0,21.0,18.953117,2.240565,103.9124,41.176217,621.848167
MAYO,16.0,7.0,0.02,0.07,0.5,0.022,49.0,34.0,18.657317,2.059862,96.4604,42.6545,622.287333
MAYO,16.0,8.0,0.026,0.075,0.52,0.022,59.0,46.0,19.990117,2.316488,103.887467,40.192583,622.838333
MAYO,16.0,9.0,0.033,0.071,0.54,0.02,60.0,43.0,22.350817,2.694485,107.295983,34.900417,622.9735
MAYO,16.0,10.0,0.044,0.048,0.52,0.017,59.0,46.0,24.8491,3.219095,111.81845,24.24155,623.021833
MAYO,16.0,11.0,0.055,0.039,0.47,0.014,41.0,34.0,26.938967,3.150627,110.450617,17.3974,623.018333
MAYO,16.0,12.0,0.063,0.023,0.35,0.008,37.0,26.0,28.827717,2.94874,101.652017,10.271748,622.475667
MAYO,16.0,13.0,0.063,0.019,0.37,0.008,23.0,14.0,29.742933,2.591912,124.601733,7.582233,621.753833
MAYO,16.0,14.0,0.068,0.02,0.34,0.008,21.0,19.0,30.997783,2.306032,126.795033,6.010203,620.960667
MAYO,16.0,15.0,0.065,0.02,0.37,0.008,27.0,18.0,32.289683,3.270537,120.130533,3.734132,620.203
MAYO,16.0,16.0,0.058,0.001,0.35,0.006,10.0,18.0,33.23045,2.128148,180.814083,2.696483,619.668667
MAYO,16.0,17.0,0.063,0.0,0.27,0.002,15.0,11.0,33.27275,2.694935,71.712,2.691382,619.310167
MAYO,16.0,18.0,0.064,0.072,0.48,0.004,22.0,12.0,32.932267,2.801798,97.000917,2.91334,619.124167
MAYO,16.0,19.0,0.062,0.16,0.52,0.004,33.0,12.0,32.052767,2.797882,63.24525,4.1306,619.291167
MAYO,16.0,20.0,0.049,0.005,0.39,0.007,25.0,16.0,30.53245,3.402733,48.17275,6.180133,619.629
MAYO,16.0,21.0,0.046,0.001,0.3,0.005,26.0,13.0,28.633617,3.24447,46.256467,12.8186,620.311833
MAYO,16.0,22.0,0.043,0.001,0.28,0.005,25.0,18.0,27.080267,3.200475,49.457433,17.134367,621.113667
MAYO,16.0,23.0,0.038,0.034,0.33,0.009,24.0,17.0,25.686617,3.022502,90.293567,19.38805,621.718167
MAYO,17.0,0.0,0.035,0.025,0.38,0.009,40.0,34.0,24.711583,3.149962,108.26,22.6923,622.527
MAYO,17.0,1.0,0.035,0.072,0.67,0.012,44.0,31.0,23.973117,3.649353,60.496517,26.4071,622.645667
MAYO,17.0,2.0,0.046,0.003,0.28,0.004,29.0,20.0,23.1135,3.79229,49.829617,27.05595,622.382667
