DATOS HORARIOS 2021_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
FEB,9,18,0.054,0.0073,0.48,0.018,68,17,67.7,1.6,255,16,621.3
FEB,9,19,0.0368,0.0069,0.781,0.0309,25,16,24.9,1.4,273,19,621.5
FEB,9,20,0.0122,0.0067,1.35,0.0496,20,18,20.3,1.1,248,21,621.7
FEB,9,21,0.0049,0.0082,1.85,0.0559,18,15,18.1,0.6,185,24,622.2
FEB,9,22,0.021,0.0063,0.599,0.0297,35,39,35.2,1.6,213,29,622.8
FEB,9,23,0.0233,0.0051,0.358,0.0197,37,21,36.8,0.9,178,33,623.3
FEB,10,0,0.0121,0.0086,0.495,0.0329,16,14,16.2,0.4,65,35,623.7
FEB,10,1,0.0077,0.0211,0.495,0.0349,27,22,26.9,0.4,121,40,623.7
FEB,10,2,0.0045,0.022,0.55,0.0327,17,23,17.3,0.4,257,41,623.6
FEB,10,3,0.0032,0.0206,0.52,0.0323,16,22,15.7,1,252,41,623.3
FEB,10,4,0.0051,0.0174,0.458,0.0326,18,25,18,0.8,261,44,623.2
FEB,10,5,0.0074,0.0148,0.357,0.0287,24,24,23.6,0.5,252,48,623.1
FEB,10,6,0.0084,0.0134,0.328,0.0261,17,19,17.4,0.4,210,51,623.3
FEB,10,7,0.0047,0.0159,0.764,0.0309,29,14,29.3,1.2,315,50,623.6
FEB,10,8,0.0051,0.0166,1.324,0.0307,34,29,33.7,0.4,254,51,623.9
FEB,10,9,0.0065,0.017,1.646,0.0359,33,34,32.7,0.4,247,46,624.1
FEB,10,10,0.0172,0.0158,1.037,0.0431,30,34,30.2,0.9,237,44,624.5
FEB,10,11,0.0348,0.0143,0.466,0.0268,36,27,36,1.6,270,42,624.5
FEB,10,12,0.0422,0.0132,0.38,0.0217,21,19,20.9,1.9,253,38,624
FEB,10,13,0.0448,0.0131,0.429,0.0213,21,13,20.7,2.5,231,36,623.3
FEB,10,14,NA,NA,NA,0.0146,12,19,11.8,3,266,28,622.3
FEB,10,15,NA,NA,NA,NA,7,12,7,3,235,25,621.3
FEB,10,16,NA,NA,NA,0.0124,19,9,19.1,2.6,256,21,620.6
FEB,10,17,0.0393,NA,NA,NA,20,15,19.7,3,264,17,620.3
FEB,10,18,0.0347,0.0117,0.413,0.0148,18,14,17.9,2.8,253,18,620.3
FEB,10,19,0.0236,0.0116,0.648,0.0218,21,5,20.9,2.8,231,19,620.5
FEB,10,20,0.013,0.0118,0.784,0.0272,24,7,23.6,2.4,241,20,620.9
FEB,10,21,0.0117,0.0116,0.673,0.0247,32,9,31.8,1.9,234,24,621.4
FEB,10,22,0.0147,0.0113,0.393,0.0184,47,12,47.2,2.3,211,31,621.8
FEB,10,23,0.0172,0.0111,0.311,0.014,52,16,52.3,1.9,221,35,622
FEB,11,0,0.0155,0.0111,0.201,0.0122,38,14,38,0.9,272,36,622.1
FEB,11,1,0.0159,0.0119,0.287,0.0119,45,9,45.3,0.9,297,37,622.3
FEB,11,2,0.0139,0.0128,0.274,0.0157,38,8,38.4,0.5,92,40,622.4
FEB,11,3,0.0097,0.0128,0.276,0.0214,23,16,23,0.7,193,44,622.2
FEB,11,4,0.0109,0.0125,0.223,0.0172,26,14,25.9,1,247,50,622
FEB,11,5,0.0201,0.0122,0.176,0.0083,31,7,30.8,2,233,53,621.9
FEB,11,6,0.0074,0.0126,0.256,0.0199,37,13,36.6,0.5,296,55,621.8
FEB,11,7,0.0024,0.0131,0.37,0.0251,43,13,43.3,0.5,112,57,621.9
FEB,11,8,0.0044,0.0173,0.954,0.0264,37,20,37.2,0.5,92,59,622.2
FEB,11,9,0.0102,0.0189,0.755,0.0261,41,26,41.1,0.6,83,53,622.5
FEB,11,10,0.0159,0.0242,0.567,0.0253,58,22,57.9,0.9,138,49,622.7
FEB,11,11,0.0271,0.0162,0.462,0.0196,54,25,54.2,1.3,168,44,622.6
